phone,website,location,moreInfoLink,name,startDate,venue,price,description,endDate
480-994-2787,http://www.scottsdaleperformingarts.org,"7380 E. Second St. Scottsdale, AZ, 85251",http://www.azcentral.com/thingstodo/music/Canadian_Brass_450751422113,Canadian Brass,03/18/2011,Scottsdale Center for the Performing Arts,$34 - $44,"The five-man brass ensemble, known for their music and trademark suits and white sneakers, peppers their musical performances with anecdotes and pranks.",
602-495-1999,http://www.phoenixsymphony.org,"75 N. Second St. Phoenix, AZ, 85004",http://www.azcentral.com/thingstodo/music/&quot;The_Rhythms_of_the_Earth&quot;_452472734779,"""The Rhythms of the Earth""",03/19/2011,Symphony Hall,$10 - $18,"Conductor Joseph Young leads the Phoenix Symphony through Ferde Grofé's Grand Canyon Suite, and other works that express the beauty of the world, in celebration of Earth Day.",
602-667-0330 602-956-4262,,"2515 E. Camelback Road Phoenix, AZ, 85016",http://www.azcentral.com/thingstodo/music/The_Met:_&quot;Live_in_HD&quot;_series:_&quot;Lucia_di_Lammermoor&quot;_188846450381,"The Met: ""Live in HD"" series: ""Lucia di Lammermoor""",03/19/2011,AMC Theatres Esplanade 14,$18 - $22,,
602-956-4262 480-705-4727,,"4915 E. Ray Road Phoenix, AZ, 85044",http://www.azcentral.com/thingstodo/music/The_Met:_&quot;Live_in_HD&quot;_series:_&quot;Lucia_di_Lammermoor&quot;_491878023828,"The Met: ""Live in HD"" series: ""Lucia di Lammermoor""",03/19/2011,AMC Ahwatukee 24,$18 - $22,,
480-733-2843,,"1051 N. Dobson Road Mesa, AZ, 85201",http://www.azcentral.com/thingstodo/music/The_Met:_&quot;Live_in_HD&quot;_series:_&quot;Lucia_di_Lammermoor&quot;_767215584652,"The Met: ""Live in HD"" series: ""Lucia di Lammermoor""",03/19/2011,Cinemark Mesa 16 Theatre,$16 - $24,,
602-956-4262,,"9400 W. Hanna Lane Glendale, AZ, 85305",http://www.azcentral.com/thingstodo/music/The_Met:_&quot;Live_in_HD&quot;_series:_&quot;Lucia_di_Lammermoor&quot;_752898964613,"The Met: ""Live in HD"" series: ""Lucia di Lammermoor""",03/19/2011,AMC Westgate 20,$18 - $22,,
480-503-1680,,"1645 S. Stapley Drive Mesa, AZ, 85204",http://www.azcentral.com/thingstodo/music/The_Met:_&quot;Live_in_HD&quot;_series:_&quot;Lucia_di_Lammermoor&quot;_957199249748,"The Met: ""Live in HD"" series: ""Lucia di Lammermoor""",03/19/2011,AMC Mesa Grand 24,$18 - $22,,
602-956-4AMC 480-606-0806,,"21001 N. Tatum Blvd. Phoenix, AZ, 85050",http://www.azcentral.com/thingstodo/music/The_Met:_&quot;Live_in_HD&quot;_series:_&quot;Lucia_di_Lammermoor&quot;_426367401262,"The Met: ""Live in HD"" series: ""Lucia di Lammermoor""",03/19/2011,AMC Desert Ridge 18,$18 - $22,,
623-465-4650,http://www.promusicaaz.org,"33606 N. 60th St. Scottsdale, AZ, 85331",http://www.azcentral.com/thingstodo/music/ProMusica_Arizona_Chorale_and_Orchestra:_&quot;Classical_Fantasy&quot;_857651127368,"ProMusica Arizona Chorale and Orchestra: ""Classical Fantasy""",03/18/2011,Cactus Shadows Fine Arts Center,$15 - $20,"The chorale and orchestra perform Beethoven’s ""Choral Fantasy,"" along with Franz Schubert’s ""Song of Miriam"" and Mozart’s Symphony No. 35 in D, often referred to as the ""Haffner Symphony.""",03/19/2011
602-495-1999,,"75 N. Second St. , Phoenix, AZ 85004",http://www.azcentral.com/thingstodo/music/&quot;Feelin'_Groovy:_A_Tribute_to_Simon_&amp;_Garfunkel&quot;_982874534634,"""Feelin' Groovy: A Tribute to Simon & Garfunkel""",03/18/2011,Symphony Hall,,,03/20/2011
623-236-6781,http://www.westvalleysymphony.org,"16000 N. Del Webb Blvd. Sun City, AZ, 85351",http://www.azcentral.com/thingstodo/music/&quot;Memorable_Masterpieces&quot;_180965171457,"""Memorable Masterpieces""",03/20/2011,Faith Presbyterian Church,$25,"Joined by guest cellist Thomas Landschoot, the West Valley Symphony presents Mozart's ""Don Giovanni Overture,"" Camille Saint-Saëns' Cello Concerto No. 1 in A Minor, David Popper's ""Hungarian Rhapsody"" and Beethoven's Symphony No. 2 in D Major.",
928-684-6624,http://www.delewebbcenter.org,"1090 S. Vulture Mine Road Wickenburg, AZ, 85390",http://www.azcentral.com/thingstodo/music/Canadian_Brass_932988339506,Canadian Brass,03/20/2011,Del E. Webb Center for the Performing Arts,$5 - $38,"The quintet performs an array of styles, including jazz, pop and classical. The group formed in 1970 and has toured and recorded extensively. The Washington Post called them the ""world's leading brass ensemble.""",
480-644-6500,,"1 E. Main St. Mesa, AZ, 85211",http://www.azcentral.com/thingstodo/music/Yasmin_Levy_123521181869,Yasmin Levy,03/22/2011,Mesa Arts Center,$32,"This Israeli singer-songwriter performs her brand of Judaeo-Spanish music, playing music from her latest release, 2009's ""Sentir.""",
602-254-7126,http://www.trinitycathedral.com,"100 W. Roosevelt St. Phoenix, AZ, 85003",http://www.azcentral.com/thingstodo/music/Noon-time_Organ_Recital_758845277836,Noon-time Organ Recital,03/25/2011,Trinity Episcopal Cathedral,Free,"During the season of Lent, the Trinity Episcopal Cathedral presents a series of lunch-time organ recitals, featuring sacred music and other classical works. This concert features organist Ashley Snavely.",
480-478-6000,,"4725 E. Mayo Blvd. Phoenix, AZ, 85050",http://www.azcentral.com/thingstodo/music/Trio_Sonnerie_featuring_Monica_Huggett_618196501599,Trio Sonnerie featuring Monica Huggett,03/25/2011,MIM Music Theater,$25 - $35,"The Trio Sonnerie is one of the most highly regarded chamber groups in Europe. Featuring violin, viola da gamba and harpsichord, the group preforms a range of Baroque pieces, joined by violinist Monica Huggett.",
602-495-1999,http://www.phoenixsymphony.org,"75 N. Second St. Phoenix, AZ, 85004",http://www.azcentral.com/thingstodo/music/Threepenny_Opera_Suite_726475635101,Threepenny Opera Suite,03/24/2011,Symphony Hall,$18 - $78,"Concertmaster Steven Moeckel leads the Phoenix Symphony through performances of Mozart’s ""Haffner Serenade"" and Kurt Weill’s Suite from ""The Threepenny Opera,"" featuring ""Mack the Knife."" The concert is paired with ""A Study for Strings"" by Czech composer Pavel Haas.",03/26/2011
480-644-6500,http://www.symphonyofthesouthwest.org,"1 E. Main St. Mesa, AZ, 85211",http://www.azcentral.com/thingstodo/music/&quot;Take_Me_Out_to_the_Ballgame&quot;_740672606825,"""Take Me Out to the Ballgame""",03/26/2011,Mesa Arts Center,$19,"The Symphony of the Southwest jumps into summertime with celebration of baseball, including a performance of ""Casey at the Bat"" with a guest narrator.",
480-350-2822,http://www.tempe.gov/tca,"700 W. Rio Salado Parkway Tempe, AZ, 85281",http://www.azcentral.com/thingstodo/music/Sonoran_Chamber_Music:_The_Sonoran_Piano_Quartet_885599332102,Sonoran Chamber Music: The Sonoran Piano Quartet,03/27/2011,Tempe Center for the Arts,$20,"Cellist Thomas Landschoot, violinist Jonathon Swartz, violist Nancy Buck and pianist Russel Ryan perform selections by Schumann, Mozart and Brahms.",
480-478-6000,http://www.themim.org,"4725 E. Mayo Blvd. Phoenix, AZ, 85050",http://www.azcentral.com/thingstodo/music/MIM_Wednesday_Morning_Interludes_Series:_ASU_Contemporary_Percussion_Ensemble_136803190910,MIM Wednesday Morning Interludes Series: ASU Contemporary Percussion Ensemble,03/30/2011,MIM Music Theater,Free,"Twenty-seven musicians from the School of Music of Arizona State University perform Stephen Ridley’s new ""Symphony for Percussion.""",
602-254-7126,http://www.trinitycathedral.com,"100 W. Roosevelt St. Phoenix, AZ, 85003",http://www.azcentral.com/thingstodo/music/Noon-Time_Organ_Recital_872998615887,Noon-Time Organ Recital,04/01/2011,Trinity Episcopal Cathedral,Free,"During the season of Lent, the Trinity Episcopal Cathedral presents a series of lunch-time organ recitals, featuring sacred music and other classical works. This concert features organist Anna Sung.",
602-955-6370,,"3900 E. Stanford Drive Paradise Valley, AZ, 85253",http://www.azcentral.com/thingstodo/music/Musicians_from_Marlboro_591291746581,Musicians from Marlboro,04/01/2011,Camelback Bible Church,$30,"Founded in 1951, the Musicians from Marlboro touring program was created as an extension of Vermont’s Marlboro Music Festival. Known for joyous, high-energy performances, the show provides touring experience to artists at the beginning of their careers. The performance features Leoš Janá ek's Quartet No.1, Mozart's Quartet in E flat Major, K.614 and Mendelssohn's Octet in E flat Major, Op.20.",
480-478-6000,http://www.themim.org,"4725 E. Mayo Blvd. Phoenix, AZ, 85050",http://www.azcentral.com/thingstodo/music/Arizona_Chamber_Orchestra:_Selections_from_Gershwin's_&quot;Porgy_and_Bess&quot;_843856279964,"Arizona Chamber Orchestra: Selections from Gershwin's ""Porgy and Bess""",04/01/2011,MIM Music Theater,$30,"The Arizona Chamber Orchestra wraps up their inaugural season at MIM with selections from one of America’s most beloved operas, George Gershwin's ""Porgy and Bess.""",
480-478-6000,,"4725 E. Mayo Blvd. Phoenix, AZ, 85050",http://www.azcentral.com/thingstodo/music/KlezFest_Concert:_Klezmer_Company_Orchestra_Presents_&quot;Beyond_the_Tribes&quot;_833314625204,"KlezFest Concert: Klezmer Company Orchestra Presents ""Beyond the Tribes""",04/02/2011,MIM Music Theater,$35,"The Klezmer Company Orchestra performs world Jewish music from its award-winning album, ""Beyond the Tribes."" Influenced by Latin, Mediterranean and American sounds, the record took home the awards for ""Best Klezmer Album"" and ""Best Klezmer Song"" for 2009 from Just Plain Folks, the world's largest independent music organization.",
480-965-6447 480-965-8863,http://music.asu.edu/facilities/katzin.php,"Music Building 50 E. Gammage Parkway Tempe, AZ, 85281",http://www.azcentral.com/thingstodo/music/Faculty_Artist_Series:_Schoenberg's_&quot;Pierrot_Lunaire&quot;_375598744279,"Faculty Artist Series: Schoenberg's ""Pierrot Lunaire""",04/03/2011,ASU Katzin Concert Hall,$5 - $9,"David Schildkret conducts music faculty artists and members of the Phoenix Symphony Players as they perform Arnold Schoenberg’s ""Pierrot Lunaire."" This multimedia performance also includes works by Steven Stucky and Anton Berg.",
480-478-6000,,"4725 E. Mayo Blvd. Phoenix, AZ, 85050",http://www.azcentral.com/thingstodo/music/KlezFest_Family:_Klez4Kidz_&quot;Mendel's_Accordion&quot;_326486123377,"KlezFest Family: Klez4Kidz ""Mendel's Accordion""",04/03/2011,MIM Music Theater,$10,"This multimedia presentation features the award-winning children's book ""Mendel's Accordion"" by Heidi Smith Hyde, accompanied by the Klezmer Company Orchestra. The performance features a dramatic reading, live music and projected illustrations from the book.",
602-271-9396,http://www.orpheus.org,"17200 N. Del Webb Blvd. Sun City, AZ, 85373",http://www.azcentral.com/thingstodo/music/Orpheus_Male_Chorus:_&quot;Water_in_the_Desert&quot;_557278967515,"Orpheus Male Chorus: ""Water in the Desert""",04/03/2011,The American Lutheran Church of Sun City,,"The Orpheus Male Chorus presents this water-themed concert, which features secular and sacred works, sea shanties and songs about pirates and mermaids. Call for prices.",
480-303-2474,http://www.pinnacleconcerts.org,"25150 N. Pima Road Scottsdale, AZ, 85255",http://www.azcentral.com/thingstodo/music/Pinnacle_Concert_Series:_Fauré's_&quot;Requiem&quot;_725230469856,"Pinnacle Concert Series: Fauré's ""Requiem""",04/03/2011,Pinnacle Presbyterian Church,$5 - $40,"The Pinnacle Chancel Choir, soloists and chamber orchestra perform the best known work of French composer Gabriel Fauré, his Requiem in D minor, Op. 48.",
602-264-5328,http://www.boyschoir.org,"300 E. Indian School Road Phoenix, AZ, 85012",http://www.azcentral.com/thingstodo/music/Phoenix_Boys_Choir:_&quot;Thursday_Concert_Series&quot;_285529687707,"Phoenix Boys Choir: ""Thursday Concert Series""",04/07/2011,Steele Indian School Park,$10,"The choir performs its monthly Thursday concert, presenting an impromptu concert of the latest songs from their repertoire, ranging from classical pieces to Broadway tunes.",
480-644-6500,http://www.mesaartscenter.com,"1 E. Main St. Mesa, AZ, 85211",http://www.azcentral.com/thingstodo/music/&quot;Video_Games_Live&quot;_712742100480,"""Video Games Live""",04/07/2011,Mesa Arts Center,$37 - $52,"This elaborate concert combines the theatrics of a rock concert, the power of a full orchestra and the visuals of video games. Created by video-game composers Tommy Tallarico and Jack Wall, the show features video footage, music arrangements, synchronized lighting, solo performers, electronic percussion and live action, all used to create an immersive video-game experience.",
602-254-7126,http://www.trinitycathedral.com,"100 W. Roosevelt St. Phoenix, AZ, 85003",http://www.azcentral.com/thingstodo/music/Noon-Time_Organ_Recital_242628274990,Noon-Time Organ Recital,04/08/2011,Trinity Episcopal Cathedral,Free,"During the season of Lent, the Trinity Episcopal Cathedral presents a series of lunch-time organ recitals, featuring sacred music and other classical works. This concert features organist Ilona Kubiaczyk-Adler.",
602-253-2224,http://www.phoenixchorale.org,"100 W. Roosevelt St. Phoenix, AZ, 85003",http://www.azcentral.com/thingstodo/music/Phoenix_Chorale:_&quot;The_Rhythm_of_Life&quot;_176769403625,"Phoenix Chorale: ""The Rhythm of Life""",04/09/2011,Trinity Episcopal Cathedral,$10 - $25,"Visitors 25-years-old and younger can attend Phoenix Chorale concerts for free, with seats subject to availability and available starting 10 minutes prior to concert start-time.",
602-956-4262 480-705-4727,,"4915 E. Ray Road Phoenix, AZ, 85044",http://www.azcentral.com/thingstodo/music/The_Met:_&quot;Live_in_HD&quot;_series:_&quot;Le_Comte_Ory&quot;_126643578267,"The Met: ""Live in HD"" series: ""Le Comte Ory""",04/09/2011,AMC Ahwatukee 24,$18 - $22,,
480-733-2843,,"1051 N. Dobson Road Mesa, AZ, 85201",http://www.azcentral.com/thingstodo/music/The_Met:_&quot;Live_in_HD&quot;_series:_&quot;Le_Comte_Ory&quot;_404621468767,"The Met: ""Live in HD"" series: ""Le Comte Ory""",04/09/2011,Cinemark Mesa 16 Theatre,$16 - $24,,
602-956-4262,,"9400 W. Hanna Lane Glendale, AZ, 85305",http://www.azcentral.com/thingstodo/music/The_Met:_&quot;Live_in_HD&quot;_series:_&quot;Le_Comte_Ory&quot;_981363044474,"The Met: ""Live in HD"" series: ""Le Comte Ory""",04/09/2011,AMC Westgate 20,$18 - $22,,
480-503-1680,,"1645 S. Stapley Drive Mesa, AZ, 85204",http://www.azcentral.com/thingstodo/music/The_Met:_&quot;Live_in_HD&quot;_series:_&quot;Le_Comte_Ory&quot;_289072208561,"The Met: ""Live in HD"" series: ""Le Comte Ory""",04/09/2011,AMC Mesa Grand 24,$18 - $22,,
602-956-4AMC 480-606-0806,,"21001 N. Tatum Blvd. Phoenix, AZ, 85050",http://www.azcentral.com/thingstodo/music/The_Met:_&quot;Live_in_HD&quot;_series:_&quot;Le_Comte_Ory&quot;_245447607753,"The Met: ""Live in HD"" series: ""Le Comte Ory""",04/09/2011,AMC Desert Ridge 18,$18 - $22,,
602-495-1999,http://www.azopera.com,"75 N. Second St. Phoenix, AZ, 85004",http://www.azcentral.com/thingstodo/music/&quot;Abduction_from_the_Seraglio&quot;_565682182521,"""Abduction from the Seraglio""",04/08/2011,Symphony Hall,$30.25 - $161.50,"The Arizona Opera presents Mozart's German masterpiece of stolen love. The wild three-act opera tells the story of a young man whose true love is kidnapped by pirates and sold to the Pasha Selim. After trying to save her from the sultan, the lovers are captured, and a deadly secret is revealed. This is the first Arizona staging of this opera, which is sung in German with English supertitles.",04/10/2011
602-253-2224,http://www.phoenixchorale.org,"3900 E. Stanford Drive Paradise Valley, AZ, 85253",http://www.azcentral.com/thingstodo/music/Phoenix_Chorale:_&quot;The_Rhythm_of_Life&quot;_850467697204,"Phoenix Chorale: ""The Rhythm of Life""",04/10/2011,Camelback Bible Church,$10 - $25,"Visitors 25-years-old and younger can attend Phoenix Chorale concerts for free, with seats subject to availability and available starting 10 minutes prior to concert start-time.",
623-935-6384,http://www.westvalleyarts.org,"1933 S. Ballpark Way Goodyear, AZ, 85338",http://www.azcentral.com/thingstodo/music/West_Valley_Arts_Council:_Phoenix_Symphony_Pops_685200876541,West Valley Arts Council: Phoenix Symphony Pops,04/10/2011,Goodyear Ballpark and Recreational Complex,"$15, $75 VIP, $10 Student, $5 ages 10 and younger","Pack a picnic, bring a blanket and relax under the stars while the Phoenix Symphony presents an evening of classical masterpieces and pop favorites.",
602-254-7126,http://www.trinitycathedral.com,"100 W. Roosevelt St. Phoenix, AZ, 85003",http://www.azcentral.com/thingstodo/music/Noon-Time_Organ_Recital_319075196626,Noon-Time Organ Recital,04/15/2011,Trinity Episcopal Cathedral,Free,"During the season of Lent, the Trinity Episcopal Cathedral presents a series of lunch-time organ recitals, featuring sacred music and other classical works. This concert features organist Devon Howard.",
602-495-1999,http://www.phoenixsymphony.org,"75 N. Second St. Phoenix, AZ, 85004",http://www.azcentral.com/thingstodo/music/Sibelius_Symphony_No._2_282949651575,Sibelius Symphony No. 2,04/14/2011,Symphony Hall,$18 - $78,"World-renown Swedish trombonist Christian Lindberg makes his North American conducting debut at this concert, leading the Phoenix Symphony through Jean Sibelius' Symphony No. 2 and Carl Nielsen's ""Helios Overture."" Lindberg also performs his own composition, a concerto for the trombone called ""Kundraan’s Karma.""",04/16/2011
480-994-2787,http://www.musicanovaaz.org,"7380 E. Second St. Scottsdale, AZ, 85251",http://www.azcentral.com/thingstodo/music/MusicaNova:_&quot;The_Orbit_of_Shostakovich;_Overcoming_Adversity&quot;_750535313179,"MusicaNova: ""The Orbit of Shostakovich; Overcoming Adversity""",04/17/2011,Scottsdale Center for the Performing Arts,"$30; $25 seniors and students, Free for students 18-and-younger accompanied by an adult","The orchestra closes out its 2010-11 season with a show about overcoming adversity. The show features an appearance by Canadian violinist Adrian Anantawan, who was born without a right hand and has learned to bow the violin with a prosthetic limb. Anantawan performs Dmitri Shostakovich's Violin Concerto No. 2. The orchestra also performs Boris Tchaikovsky's ""Music for Orchestra"" and Iosif Andriasov's Symphony No. 1",
480-350-2822,http://www.tempe.gov/arts/events/tso/,"700 W. Rio Salado Parkway Tempe, AZ, 85281",http://www.azcentral.com/thingstodo/music/Tempe_Symphony_Orchestra:_&quot;Final_Concert&quot;_990825244216,"Tempe Symphony Orchestra: ""Final Concert""",04/18/2011,Tempe Center for the Arts,Free,"The orchestra closes out its 2010-11 season with Carnival Overture, Op. 92 by Antonin DvoYák, Clarinet Concerto Nr. 1 in F minor, Op. 73 by Carl Maria von Weber, ""Flight of the Bumblebee"" by Nikolai Rimsky-Korsakov, ""A Midsummer Night’s Dream"" Overture, Op. 21 by Felix Mendelssohn, ""A Night on Bald Mountain"" by Modest Mussorgsky and ""Crown Imperial"" by William Walton. This is a free, ticketed event. No reserved seating. Tickets available at the door on a first-come, first-served basis on the night of the concert. Doors open at 6:30 p.m.",
623-974-3611,,"16000 N. Del Webb Blvd. Sun City, AZ, 85351",http://www.azcentral.com/thingstodo/music/Chamber_Music_West:_David_Finkel_and_Wu_Han_797052363768,Chamber Music West: David Finkel and Wu Han,04/18/2011,Faith Presbyterian Church,"$25, Free for students","Acclaimed cellist David Finkel and pianist Wu Han have become classical powerhouses, filling concert halls around the world, including New York's Lincoln Center. The duo performs Bach’s Adagio, Beethoven’s Sonata in C Major, Op. 102, No. 1 and Chopin’s Sonata for cello and piano, along with Pierre Jalbert’s Sonata for cello and piano.",
480-350-2822,http://www.tempe.gov/tca,"700 W. Rio Salado Parkway Tempe, AZ, 85281",http://www.azcentral.com/thingstodo/music/&quot;Music_in_the_Park&quot;_138014318922,"""Music in the Park""",04/22/2011,Tempe Center for the Arts,Free,"This free outdoor concert, held on the east lawn of the Tempe Center for the Arts, features performances by the Arizona Wind Symphony, the Academy drum and bugle corps, and bands from Corona del Sol and Desert Vista high schools.",
602-495-1999,http://www.phoenixsymphony.org,"75 N. Second St. Phoenix, AZ, 85004",http://www.azcentral.com/thingstodo/music/Mendelssohn’s_Scottish_Journey_811989062755,Mendelssohn’s Scottish Journey,04/21/2011,Symphony Hall,$18 - $78,"Joel Revzen makes his directorial debut, leading the Phoenix Symphony on a nautical-themed musical voyage. The concert features Mendelssohn's Symphony No. 3 , which was composed after a visit to the British Isles, along with Mahler's ""Songs of a Wayfayer"" and Giuseppe Verdi's La Forza del Destino.",04/23/2011
602-667-0330 602-956-4262,,"2515 E. Camelback Road Phoenix, AZ, 85016",http://www.azcentral.com/thingstodo/music/The_Met:_&quot;Live_in_HD&quot;_series:_&quot;Capriccio&quot;_507964473504,"The Met: ""Live in HD"" series: ""Capriccio""",04/23/2011,AMC Theatres Esplanade 14,$18 - $22,,
602-956-4262 480-705-4727,,"4915 E. Ray Road Phoenix, AZ, 85044",http://www.azcentral.com/thingstodo/music/The_Met:_&quot;Live_in_HD&quot;_series:_&quot;Capriccio&quot;_876955211140,"The Met: ""Live in HD"" series: ""Capriccio""",04/23/2011,AMC Ahwatukee 24,$18 - $22,,
480-733-2843,,"1051 N. Dobson Road Mesa, AZ, 85201",http://www.azcentral.com/thingstodo/music/The_Met:_&quot;Live_in_HD&quot;_series:_&quot;Capriccio&quot;_212714223947,"The Met: ""Live in HD"" series: ""Capriccio""",04/23/2011,Cinemark Mesa 16 Theatre,$16 - $24,,
602-956-4262,,"9400 W. Hanna Lane Glendale, AZ, 85305",http://www.azcentral.com/thingstodo/music/The_Met:_&quot;Live_in_HD&quot;_series:_&quot;Capriccio&quot;_631354151694,"The Met: ""Live in HD"" series: ""Capriccio""",04/23/2011,AMC Westgate 20,$18 - $22,,
480-503-1680,,"1645 S. Stapley Drive Mesa, AZ, 85204",http://www.azcentral.com/thingstodo/music/The_Met:_&quot;Live_in_HD&quot;_series:_&quot;Capriccio&quot;_816659098785,"The Met: ""Live in HD"" series: ""Capriccio""",04/23/2011,AMC Mesa Grand 24,$18 - $22,,
602-956-4AMC 480-606-0806,,"21001 N. Tatum Blvd. Phoenix, AZ, 85050",http://www.azcentral.com/thingstodo/music/The_Met:_&quot;Live_in_HD&quot;_series:_&quot;Capriccio&quot;_701009850017,"The Met: ""Live in HD"" series: ""Capriccio""",04/23/2011,AMC Desert Ridge 18,$18 - $22,,
480-478-6000,http://www.themim.org,"4725 E. Mayo Blvd. Phoenix, AZ, 85050",http://www.azcentral.com/thingstodo/music/MIM_Wednesday_Morning_Interludes_Series:_Lynn_Aspnes_and_Elizabeth_Buck_910940165640,MIM Wednesday Morning Interludes Series: Lynn Aspnes and Elizabeth Buck,04/27/2011,MIM Music Theater,Free,"Arizona State University faculty members Elizabeth Buck and Lynne Aspnes present ""World Music for Flute and Harp,"" featuring the music of Claude-Achille Debussy, Marjan Mozetich and Tôru Takemitsu.",
480-965-6447 480-965-8863,http://music.asu.edu/facilities/katzin.php,"Music Building 50 E. Gammage Parkway Tempe, AZ, 85281",http://www.azcentral.com/thingstodo/music/Faculty_Artist_Series:_&quot;Xenakisfest&quot;_327553836188,"Faculty Artist Series: ""Xenakisfest""",04/27/2011,ASU Katzin Concert Hall,$5 - $9,"Percussionist Simone Mancuso leads this three-part concert series, which honors Greek composer and architect Iannis Xenakis. The concert series also features performances by the Arizona Contemporary Music Ensemble.",04/29/2011
602-271-9396,http://www.orpheus.org,"6300 E. Bell Road Scottsdale, AZ, 85254",http://www.azcentral.com/thingstodo/music/Orpheus_Male_Chorus:_&quot;Water_in_the_Desert&quot;_522041350995,"Orpheus Male Chorus: ""Water in the Desert""",04/29/2011,La Casa De Cristo Lutheran Church,,"The Orpheus Male Chorus presents this water-themed concert, which features secular and sacred works, sea shanties and songs about pirates and mermaids. Call for prices.",
602-495-1999,http://www.phoenixsymphony.org,"75 N. Second St. Phoenix, AZ, 85004",http://www.azcentral.com/thingstodo/music/&quot;The_Elvis_Tribute&quot;_187750754587,"""The Elvis Tribute""",04/29/2011,Symphony Hall,$18 - $82,"Top-notch Elvis impersonator Kraig Parker brings the music of the King to Symphony Hall. Parker and the Phoenix Symphony take fans through fully orchestrated renditions of some of Elvis' biggest songs, including ""Hound Dog,"" ""Don’t be Cruel,"" ""Blue Suede Shoes"" and ""Jailhouse Rock.""",04/30/2011
602-667-0330 602-956-4262,,"2515 E. Camelback Road Phoenix, AZ, 85016",http://www.azcentral.com/thingstodo/music/The_Met:_&quot;Live_in_HD&quot;_series:_&quot;Il_Trovatore&quot;_550216676806,"The Met: ""Live in HD"" series: ""Il Trovatore""",04/30/2011,AMC Theatres Esplanade 14,$18 - $22,,
602-956-4262 480-705-4727,,"4915 E. Ray Road Phoenix, AZ, 85044",http://www.azcentral.com/thingstodo/music/The_Met:_&quot;Live_in_HD&quot;_series:_&quot;Il_Trovatore&quot;_858664000740,"The Met: ""Live in HD"" series: ""Il Trovatore""",04/30/2011,AMC Ahwatukee 24,$18 - $22,,
480-733-2843,,"1051 N. Dobson Road Mesa, AZ, 85201",http://www.azcentral.com/thingstodo/music/The_Met:_&quot;Live_in_HD&quot;_series:_&quot;Il_Trovatore&quot;_636920938208,"The Met: ""Live in HD"" series: ""Il Trovatore""",04/30/2011,Cinemark Mesa 16 Theatre,$16 - $24,,
602-956-4262,,"9400 W. Hanna Lane Glendale, AZ, 85305",http://www.azcentral.com/thingstodo/music/The_Met:_&quot;Live_in_HD&quot;_series:_&quot;Il_Trovatore&quot;_952138020238,"The Met: ""Live in HD"" series: ""Il Trovatore""",04/30/2011,AMC Westgate 20,$18 - $22,,
480-969-5577,http://www.sonorandesertchorale.org,"15 E. First Ave. Mesa, AZ, 85210",http://www.azcentral.com/thingstodo/music/&quot;Crossing_Paths&quot;_226777897427,"""Crossing Paths""",04/30/2011,First United Methodist Church,$12 - $15,"The Sonoran Desert Chorale closes out its season with this spirited concert, which features music the group will perform on their upcoming annual international tour, which includes stops in Austria, Hungary and Slovenia.",
623-487-1414,,"7700 W. Bell Road, Suite 1079 Glendale, AZ, 85308",http://www.azcentral.com/thingstodo/music/The_Met:_&quot;Live_in_HD&quot;_series:_&quot;Il_Trovatore&quot;_656661005835,"The Met: ""Live in HD"" series: ""Il Trovatore""",04/30/2011,AMC Arrowhead Town Center 14,$18 - $22,,
602-956-4AMC 480-606-0806,,"21001 N. Tatum Blvd. Phoenix, AZ, 85050",http://www.azcentral.com/thingstodo/music/The_Met:_&quot;Live_in_HD&quot;_series:_&quot;Il_Trovatore&quot;_902973565647,"The Met: ""Live in HD"" series: ""Il Trovatore""",04/30/2011,AMC Desert Ridge 18,$18 - $22,,
602-271-9396,http://www.orpheus.org,"3900 E. Stanford Drive Paradise Valley, AZ, 85253",http://www.azcentral.com/thingstodo/music/Orpheus_Male_Chorus:_&quot;Water_in_the_Desert&quot;_515994022428,"Orpheus Male Chorus: ""Water in the Desert""",05/01/2011,Camelback Bible Church,,"The Orpheus Male Chorus presents this water-themed concert, which features secular and sacred works, sea shanties and songs about pirates and mermaids. Call for prices.",
480-644-6500,,"1 E. Main St. Mesa, AZ, 85211",http://www.azcentral.com/thingstodo/music/Salt_River_Brass:_&quot;Rags_to_Riches&quot;_847797440781,"Salt River Brass: ""Rags to Riches""",05/01/2011,Mesa Arts Center,$15 - $20,"Pianist Rich Ridenour joins the Salt River Brass for a concert dedicated to the music of the piano. The afternoon includes Scott Joplin’s ""Maple Leaf Rag,"" Elton John’s ""Funeral for a Friend,"" Claude Debussy’s ""Claire de Lune"" and finally George Gershwin's ""Rhapsody in Blue.""",
480-585-9448,http://www.carolyneynonsingers.com,"25150 N. Pima Road Scottsdale, AZ, 85255",http://www.azcentral.com/thingstodo/music/Carolyn_Eynon_Singers:_&quot;Songs_of_the_American_Spirit&quot;_763642068358,"Carolyn Eynon Singers: ""Songs of the American Spirit""",05/01/2011,Pinnacle Presbyterian Church,$15,"The group closes their 2010-11 season with a celebration of American composers and arrangers, including spirituals, Native American music, popular tunes and a composition by Arizona State University music professor James DeMars.",
