phone,zipCode,title,picture,webSite,address,city,startDate,venue,description,email,endDate,state
,33401.0,Palm Beach Fine Craft Show,http://cdn.fldataengine.milesmedia.com/fldataengine/appmedia/images/45/45346/45346_73x73.jpg,http://www.palmbeachfl.com,"1555 Palm Beach Lakes Blvd., Ste. 800",West Palm Beach,03/04/11,Palm Beach County Convention & Visitors Bureau,"Discover The Palm Beaches and Boca Raton, an exciting collection of colorful resorts, matchless culinary delights, trendy shops and boutiques of world-wide fame, and a nightlife that thrives year-round. With 38 diverse cities and towns, 47 miles of pristine beaches, and a staggering collection of attractions and cultural venues, the possibilities are endless. As America&rsquo;s First Resort Destination&reg; &ndash; established in 1894 &ndash; the area has spent decades perfecting the art of welcoming guests, and showing them the best way to experience Florida. <br />  <br />  Known for legendary hospitality, the luxury and upscale hotels have enticed visitors to return year after year with their assurance of an unforgettable experience and world-class comfort. The sophistication and style of the enchanting boutique hotels is sure to impress you with choices from lavish to affordable or hip to historic. <br />  <br />  Fine hotel brands are represented and deliver their trusted standards, amenities, service and value. Our distinctive hotels will tempt you to stay just a little bit longer with their charm and local ambiance. Ideal for an intimate vacation or getaway, our small inns, B&amp;Bs and vacation rentals offer the appeal of a home-away-from-home. Whether looking for an activity-filled campground or a secluded, private location, there is something for everyone. <br />  <br />  Discover your vacation experience. We are the gateway to the Florida Everglades. Ecotourism and natural attractions lure the adventurer in all of us; whether it be strolling through a natural preserve or catching bass in Lake Okeechobee.&nbsp;The Palm Beaches boasts more than 170 public and private golf courses&mdash; from executive to championship level&mdash; throughout its expansive, nearly 2,000 square miles of picturesque territory. With world-famous equestrian and tennis facilities,&nbsp;the destination&nbsp;provide a large scope of sporting activities. If your travel passions are cultural, culinary or sporting, there is a top-notched event of festival to suit you.&nbsp;Considered Florida&rsquo;s Cultural Capital, the Palm Beaches and Boca Raton are also home to more than 200 theaters, museums, arts centers, indoor and outdoor performance stages and other cultural venues.<br />  <br />  Come to The Palm Beaches and Boca Raton and come experience our hospitality and affordability. Discover the best of everything and the best way to experience Florida.                             <!--<div style=""padding:10px 0px""><fb:like href="""" ></fb:like></div>-->",info@PalmBeachFL.com,03/07/11,FL
,33706.0,St. Pete Pride Street Festival,,http://residenceinntreasureisland.com,11908 Gulf Blvd.,Treasure Island,06/25/11,Residence Inn by Marriott St. Petersburg Treasure Island,"The all new Residence Inn by Marriott St. Petersburg / Treasure Island offers outstanding Studio, One, Two, and Three Bedroom Suites at a great location. You'll experience outstanding service, extra amenities such as free breakfast, complimentary high speed internet, and luxurious suites, all with energy efficient stainless steel appliances in our fully-equipped kitchens, flat screen TV&rsquo;s, and a private balcony overlooking the beach. Be prepared for fun filled days and spectacular sunsets.                             <!--<div style=""padding:10px 0px""><fb:like href="""" ></fb:like></div>-->",ri.tpati.gm@marriott.com,06/25/11,FL
,32202.0,Jacksonville Fourth of July Fireworks,http://cdn.fldataengine.milesmedia.com/fldataengine/appmedia/images/14/14022/14022_73x73.jpg,http://www.visitjacksonville.com,208 North Laura St.,Jacksonville,07/04/11,Visit Jacksonville,"Visit Jacksonville is the marketing organization contracted by the Duval County Tourist Development Council (TDC) to champion the growth of business and leisure tourism in Northeast Florida. Along with its nearly 400 tourism partners, Visit Jacksonville stimulates economic impact, quality of life and recognition for the Northeast Florida region. For a closer look at all there is to see and do in Jacksonville, go to www.VisitJacksonville.com.                             <!--<div style=""padding:10px 0px""><fb:like href="""" ></fb:like></div>-->",visitorinfo@visitjacksonville.com,07/04/11,FL
,33602.0,July 4th Celebration,,http://www.flaquarium.org,701 Channelside Dr.,Tampa,07/04/11,The Florida Aquarium,"Come experience Florida's Best Aquarium and one of the &quot;top 5 kid-friendly aquariums in the country&quot;! Whether exploring &quot;the great outdoors&quot; while inside our cool, air-conditioned facility or having a virtual encounter with a dolphin in our newest gallery, Ocean Commotion, The Florida Aquarium is a fabulous detination in the Tampa Bay area. <br />  Encounter more than 20,000 aquatic plants and animals, from sharks to playful river otters. Enjoy daily penguin promenades, behind-the-scenes tours, dive shows, close-up animal encounters and two touch-tanks for hands-on experiences.<br />  Certified SCUBA divers can Dive with the Sharks and those a little less adventurous can Swim with the Fishes in our largest exhibit, the 500,000-gallon Coral Reef. Come nose-to-nose with a green sea turtle while checking out the other 2,300 fish in crystal clear waters.<br />  After looking at all that water inside, go outside and splash the day away in&nbsp;the 2-acre outdoor children's play area, Explore a Shore. Children can enjoy Florida sunshine while climbing aboard a 24-foot pirate ship, firing water canons or just playing in the water spouts with parents watching from the cool comfort of the full-service Cantina Bar and Grill.                             <!--<div style=""padding:10px 0px""><fb:like href="""" ></fb:like></div>-->",Kedmiston@flaquarium.org,07/04/11,FL
,32801.0,Free Community Weekend presented by Orlando Health,,http://www.thehistorycenter.org,65 E. Central Blvd.,Orlando,02/26/11,Orange County Regional History Center,"Houses the collection of the Historical Society of Central Florida, Inc. Located in the restored 1927 Orange County Courthouse in downtown Orlando, The History Center is continuously distinguished as the area's &quot;Best Museum&quot; and provides dynamic changing and permanent exhibits. From guided tours to children's summer camps, learning is made fun for all ages. Members enjoy a number of special benefits, including discounts and exclusive event opportunities.                             <!--<div style=""padding:10px 0px""><fb:like href="""" ></fb:like></div>-->",,02/27/11,FL
,32502.0,Smokin\' In The Square BBQ Cookoff,,http://www.visitpensacola.com,1401 East Gregory Street,Pensacola,03/04/11,Pensacola Bay Area Convention & Visitors Bureau,"Pensacola beckons those who want to relax next to the soothing Gulf of Mexico surf, stretch out on sugar-white sand beaches, windsurf, fish and soak in Florida sunshine. Explore fascinating museums, taste fresh seafood, walk amid 450-year historical sites, hit the links of the tournament-quality golf courses or watch the world-famous Blue Angels precision flying team. Whatever your adventure, you'll soon sense the intangible spirit that makes Pensacola a perennial, affordable favorite.                             <!--<div style=""padding:10px 0px""><fb:like href="""" ></fb:like></div>-->",ask@visitpensacola.com,03/05/11,FL
,33020.0,St. Patrick’s Day Parade and Festival Set for Downtown Hollywood,http://cdn.fldataengine.milesmedia.com/fldataengine/appmedia/images/49/49654/49654_73x73.jpg,http://www.visithollywoodfl.org,330 N. Federal Highway,Hollywood,03/13/11,Hollywood Office of Tourism,"Hollywood is&nbsp;a classic Florida beachtown that&rsquo;s enchanted visitors since the 1920s. Visitors love the Hollywood Trolley&nbsp;which provides&nbsp;a scenic way to enjoy the best of Hollywood Beach and Downtown.&nbsp;Hollywood Beach features a one-of-a-kind oceanfront promenade called the Hollywood Beach Broadwalk that stretches nearly two and a half miles along the Atlantic. Named one of America&rsquo;s Best Beach Boardwalk&rsquo;s by Travel + Leisure magazine, this brick-paved thoroughfare is a haven for joggers, bicyclists, roller-bladers and all who&rsquo;d prefer to take in the action from the comfort of one of the countless eateries and caf&eacute;&rsquo;s along the way.<br />  <br />  The easy ocean access and village-like feel make this a can&rsquo;t miss destination with numerous highly-rated restaurants, small inns and hotels right on the broadwalk adding to its yesteryear charm. Family dining becomes stress-free, as Mom&rsquo;s and Dad&rsquo;s kick back to enjoy a seaside meal while their little ones entertain themselves in the sand just steps away. Two broadwalk parks attract kids of all ages to play paddleball at the historic Garfield Street courts or cool off in the whimsical dolphin play fountain. Locals rave about Josh&rsquo;s Organic Market which sets up shop on the south end of the Hollywood Broadwalk every weekend selling garden fresh produce and blending a variety of mouth-watering exotic, tropical smoothies from its seaside stand. City leaders recently voted to move forward with a public/private partnership to build the first Jimmy Buffet Margaritaville Beach Resort on a six acre site on the broadwalk. This island-themed family-friendly resort will feature shops, restaurants and an immense outdoor entertainment area. A convenient Trolley service runs Wednesdays through Sundays, 10 a.m.-10 p.m. offering a nostalgic way to get to and from the best sites on the beach and downtown. For more information:<br />  <br />  Call: (954) 924-2980 or visit www.visithollywoodfl.org                             <!--<div style=""padding:10px 0px""><fb:like href="""" ></fb:like></div>-->",jerickson@hollywoodfl.org,03/13/11,FL
,34736.0,Classic Race Boat Association Regatta,,http://www.lakecountyfl.com,20763 U.S. Hwy. 27,Groveland,03/18/11,Lake County Tourism and Business Relations,"<p>Lake County Tourism and Business Relations located in Central Florida works with businesses in the Lake County area to promote Lake County to attract visitors to the area.&nbsp; Other resources are also available for residents.&nbsp; From sports such as fishing or baseball, to shopping in downtown Mount Dora, Lake County just about covers it all!&nbsp; The eco-tourism atmosphere is a must see!</p><br />  <p>Come join us for a weekend at one of our Bed &amp; Breakfasts!</p><br />  <p>For more information call 1 (800) 430-LAKE or (352) 429-3673.</p><br />  <p>We hope you'll join us!</p>                             <!--<div style=""padding:10px 0px""><fb:like href="""" ></fb:like></div>-->",welcomecenter@lakecountyfl.gov,03/20/11,FL
,33868.0,Mustangs & Mustangs,http://cdn.fldataengine.milesmedia.com/fldataengine/appmedia/images/27/27112/27112_73x73.jpg,http://www.fantasyofflight.com,1400 Broadway Blvd. S.E.,Polk City,04/02/11,Fantasy of Flight,"Florida's premiere aviation attraction&nbsp;showcases vintage aircraft from the world&rsquo;s largest private collection. General admission includes flight simulators, interactive exhibits, a tram tour of aircraft maintenance areas, restoration and backlot tours and a daily aerial demonstration - a unique opportunity to see rare aircraft in flight (weather permitting). Sight and sound immersion experiences bring you back in time to Early Flight, the trenches of WWI and even on board a B-17 in a WWII bombing mission.<br />  &nbsp;<br />  Recent additions to Fantasy of Flight attractions include audio tours, the Fun with Flight center for families, The Tuskegee Airmen &ndash; They Dared to Fly exhibit and the multimedia tribute to the WASP (Women Airforce Service Pilots) &ndash; A Passionate Pursuit.<br />  &nbsp;<br />  Visit the Art Deco-styled Compass Rose Diner from 11 a.m.-3 p.m. daily, or Fantasy of Flight&rsquo;s Gift Shop for specialty product offerings for your favorite aviation enthusiast. Both are open to the public, with no admission fee required. Parking is free (excluding special events). Hot air balloon rides and biplane rides are available for an extra charge.                             <!--<div style=""padding:10px 0px""><fb:like href="""" ></fb:like></div>-->",jmontague@fantasyofflight.com,04/02/11,FL
,32502.0,Pensacola JazzFest,,http://www.visitpensacola.com,1401 East Gregory Street,Pensacola,04/02/11,Pensacola Bay Area Convention & Visitors Bureau,"Pensacola beckons those who want to relax next to the soothing Gulf of Mexico surf, stretch out on sugar-white sand beaches, windsurf, fish and soak in Florida sunshine. Explore fascinating museums, taste fresh seafood, walk amid 450-year historical sites, hit the links of the tournament-quality golf courses or watch the world-famous Blue Angels precision flying team. Whatever your adventure, you'll soon sense the intangible spirit that makes Pensacola a perennial, affordable favorite.                             <!--<div style=""padding:10px 0px""><fb:like href="""" ></fb:like></div>-->",ask@visitpensacola.com,04/03/11,FL
,32903.0,Florida Egg fest,,http://www.tuckawayshores.com,1441 S. Miramar Ave.,Indialantic,04/08/11,Tuckaway Shores Resort,"<p>Ocean front&nbsp;boutique condo-hotel resort with&nbsp;""old Florida' charm and ambiance, but with all the modern comforts of home.&nbsp;&nbsp;Only thirty two-room suites with fully equipped kitchenettes, spacious&nbsp;and&nbsp;tropically decorated&nbsp;sleep four to five.&nbsp;&nbsp;""Relax, away from the crowds, our secluded almost private beach is only steps from your door.&nbsp;One of the best ""surfing"" beaches on the Space Coast.&nbsp;&nbsp;Beach chairs&nbsp;and wi-fi offered at no cost to our gurests.&nbsp;Tuckaway Shores has won the coveted ""White Glove' award for superior housekeeping from Superior Small Lodging for past two years.&nbsp;&nbsp;The perfect Florida destination for the leisure or corporate traveler.&nbsp;&nbsp;Away from the crowds, but near restaurants, stores, antique shops, local attractions&nbsp;like Kennedy Space Center, Brevard Zoo, air boat rides and more.&nbsp; An easy hour or so drive&nbsp;to Orlando's&nbsp;attractions.&nbsp; Three of Florida's Ten Best Beaches, as declared by Southern Living, ribbon along Florida's Space Coast offering distinct settings from secluded, sea-oat scattered strands to sun-splashed excitement beside the breakers.&nbsp;Nestle yourself on our expansive and secluded white sandy beach and listen to the surf&nbsp;or maybe&nbsp;try surf fishing and grill your catch of the day at our state of the art barbecue grill. So whether it's a family vacation or a romantic getaway, business trip, class reunion or wedding,&nbsp;come relax in the ambiance of this quaint and friendly&nbsp;piece of tropical paradise.&nbsp; If you come once, you will come back again and again!</p>                             <!--<div style=""padding:10px 0px""><fb:like href="""" ></fb:like></div>-->",tuckawayshores@cfl.rr.com,04/10/11,FL
,32502.0,27th Annual Interstate Mullet Toss,,http://www.visitpensacola.com,1401 East Gregory Street,Pensacola,04/29/11,Pensacola Bay Area Convention & Visitors Bureau,"Pensacola beckons those who want to relax next to the soothing Gulf of Mexico surf, stretch out on sugar-white sand beaches, windsurf, fish and soak in Florida sunshine. Explore fascinating museums, taste fresh seafood, walk amid 450-year historical sites, hit the links of the tournament-quality golf courses or watch the world-famous Blue Angels precision flying team. Whatever your adventure, you'll soon sense the intangible spirit that makes Pensacola a perennial, affordable favorite.                             <!--<div style=""padding:10px 0px""><fb:like href="""" ></fb:like></div>-->",ask@visitpensacola.com,05/01/11,FL
,32502.0,Blue Angels Air Show,,http://www.visitpensacola.com,1401 East Gregory Street,Pensacola,05/03/11,Pensacola Bay Area Convention & Visitors Bureau,"Pensacola beckons those who want to relax next to the soothing Gulf of Mexico surf, stretch out on sugar-white sand beaches, windsurf, fish and soak in Florida sunshine. Explore fascinating museums, taste fresh seafood, walk amid 450-year historical sites, hit the links of the tournament-quality golf courses or watch the world-famous Blue Angels precision flying team. Whatever your adventure, you'll soon sense the intangible spirit that makes Pensacola a perennial, affordable favorite.                             <!--<div style=""padding:10px 0px""><fb:like href="""" ></fb:like></div>-->",ask@visitpensacola.com,05/04/11,FL
,33701.0,The Taste of Pinellas,http://cdn.fldataengine.milesmedia.com/fldataengine/appmedia/images/39/39839/39839_73x73.jpg,http://www.vinoyrenaissanceresort.com,501 5th Ave. N.E.,St. Petersburg,06/03/11,Renaissance Vinoy Resort & Golf Club,"The 360-room Renaissance resort recalls the style and glamour of another era. The property's grand furnishings and vintage architectural detail surround guests in elegance. The property is the only luxury resort on Florida's West Coast with the combination of a private marina, 18-hole golf course and 12-court tennis complex. The resort is central to the area's many cultural and entertainment attractions.                             <!--<div style=""padding:10px 0px""><fb:like href="""" ></fb:like></div>-->",reservations.vinoy@renaissancehotels.com,06/03/11,FL
,32502.0,"Red, White and Blues Week",,http://www.visitpensacola.com,1401 East Gregory Street,Pensacola,07/04/11,Pensacola Bay Area Convention & Visitors Bureau,"Pensacola beckons those who want to relax next to the soothing Gulf of Mexico surf, stretch out on sugar-white sand beaches, windsurf, fish and soak in Florida sunshine. Explore fascinating museums, taste fresh seafood, walk amid 450-year historical sites, hit the links of the tournament-quality golf courses or watch the world-famous Blue Angels precision flying team. Whatever your adventure, you'll soon sense the intangible spirit that makes Pensacola a perennial, affordable favorite.                             <!--<div style=""padding:10px 0px""><fb:like href="""" ></fb:like></div>-->",ask@visitpensacola.com,07/09/11,FL
,32502.0,Blue Angels Air Show,,http://www.visitpensacola.com,1401 East Gregory Street,Pensacola,07/09/11,Pensacola Bay Area Convention & Visitors Bureau,"Pensacola beckons those who want to relax next to the soothing Gulf of Mexico surf, stretch out on sugar-white sand beaches, windsurf, fish and soak in Florida sunshine. Explore fascinating museums, taste fresh seafood, walk amid 450-year historical sites, hit the links of the tournament-quality golf courses or watch the world-famous Blue Angels precision flying team. Whatever your adventure, you'll soon sense the intangible spirit that makes Pensacola a perennial, affordable favorite.                             <!--<div style=""padding:10px 0px""><fb:like href="""" ></fb:like></div>-->",ask@visitpensacola.com,07/09/11,FL
,34286.0,North Port Newcomer Day,http://cdn.fldataengine.milesmedia.com/fldataengine/appmedia/images/35/35193/35193_73x73.jpg,http://www.cityofnorthport.com,4970 City Hall Boulevard,North Port,08/06/11,"North Port, Florida","For those who enjoy exploring a new, up-and-coming Florida community, the City of North Port is located in Sarasota County between Tampa and Fort Myers. The Southwest Florida city is tucked beneath a thick oak and pine canopy, rich with archeological history, beautiful natural springs, and more than 80 miles of freshwater canals.<br />  Incorporated just 50 years ago, the City's population has a median age of 38 and is one of the youngest in the Southwest Florida region. This City is known for its youthful mindset and unique natural environment. Visitors to this City can enjoy mountain biking, hiking, horseback riding, bird watching and more.<br />  <br />  Here, you&rsquo;ll experience a vacation of your own. In North Port, it is natural to feel vital and potential is unlimited. Achieve Anything.                             <!--<div style=""padding:10px 0px""><fb:like href="""" ></fb:like></div>-->",,08/06/11,FL
,32502.0,4th Annual Taste of the Beach,,http://www.visitpensacola.com,1401 East Gregory Street,Pensacola,09/17/11,Pensacola Bay Area Convention & Visitors Bureau,"Pensacola beckons those who want to relax next to the soothing Gulf of Mexico surf, stretch out on sugar-white sand beaches, windsurf, fish and soak in Florida sunshine. Explore fascinating museums, taste fresh seafood, walk amid 450-year historical sites, hit the links of the tournament-quality golf courses or watch the world-famous Blue Angels precision flying team. Whatever your adventure, you'll soon sense the intangible spirit that makes Pensacola a perennial, affordable favorite.                             <!--<div style=""padding:10px 0px""><fb:like href="""" ></fb:like></div>-->",ask@visitpensacola.com,09/18/11,FL
,34286.0,North Port Newcomer Day,http://cdn.fldataengine.milesmedia.com/fldataengine/appmedia/images/35/35193/35193_73x73.jpg,http://www.cityofnorthport.com,4970 City Hall Boulevard,North Port,11/05/11,"North Port, Florida","For those who enjoy exploring a new, up-and-coming Florida community, the City of North Port is located in Sarasota County between Tampa and Fort Myers. The Southwest Florida city is tucked beneath a thick oak and pine canopy, rich with archeological history, beautiful natural springs, and more than 80 miles of freshwater canals.<br />  Incorporated just 50 years ago, the City's population has a median age of 38 and is one of the youngest in the Southwest Florida region. This City is known for its youthful mindset and unique natural environment. Visitors to this City can enjoy mountain biking, hiking, horseback riding, bird watching and more.<br />  <br />  Here, you&rsquo;ll experience a vacation of your own. In North Port, it is natural to feel vital and potential is unlimited. Achieve Anything.                             <!--<div style=""padding:10px 0px""><fb:like href="""" ></fb:like></div>-->",,11/05/11,FL
,32034.0,Amelia Island Film Festival,http://cdn.fldataengine.milesmedia.com/fldataengine/appmedia/images/13/13153/13153_73x73.jpg,http://www.ameliaisland.com,102 Centre Street,Fernandina Beach,02/25/11,Amelia Island Tourist Development Council,"Located in the northeastern-most tip of Florida, 25 miles from Jacksonville International Airport, Amelia Island offers guests an island with 14 miles of spacious peaceful shores easily accessible to those wishing to claim their own stretch of sand. Scorched-shouldered beachcombers can mosey over to Historic Center Street, recognized by its Victorian architecture and historical charm. Amelia Island is synonymous for its protected wildlife, state parks and family-filled adventure. Recently named one of North America's Top 10 Island Destinations by the readers of Conde Nast Traveler, Amelia Island combines southern charm with Florida relaxation and adds a healthy dose of adventure. For more information visit their website.                             <!--<div style=""padding:10px 0px""><fb:like href="""" ></fb:like></div>-->",info@ameliaisland.com,03/01/11,FL
,32502.0,Gulf Coast Renaissance Fair,,http://www.visitpensacola.com,1401 East Gregory Street,Pensacola,02/26/11,Pensacola Bay Area Convention & Visitors Bureau,"Pensacola beckons those who want to relax next to the soothing Gulf of Mexico surf, stretch out on sugar-white sand beaches, windsurf, fish and soak in Florida sunshine. Explore fascinating museums, taste fresh seafood, walk amid 450-year historical sites, hit the links of the tournament-quality golf courses or watch the world-famous Blue Angels precision flying team. Whatever your adventure, you'll soon sense the intangible spirit that makes Pensacola a perennial, affordable favorite.                             <!--<div style=""padding:10px 0px""><fb:like href="""" ></fb:like></div>-->",ask@visitpensacola.com,02/27/11,FL
,34217.0,Anna Maria Island Chamber of Commerce 4th Annual Wedding Festival,http://cdn.fldataengine.milesmedia.com/fldataengine/appmedia/images/41/41765/41765_73x73.jpg,http://www.annamariaislandchamber.org,5313 Gulf Dr. N.,Holmes Beach,02/26/11,Anna Maria Island Chamber of Commerce,"A tourist information center with on-site help for all tourist-related questions. <br />  <br />  Directions:<br />  Manatee Avenue (State Road 64) to Gulf Drive. Right on Gulf Drive to Chamber of Commerce (right side)                             <!--<div style=""padding:10px 0px""><fb:like href="""" ></fb:like></div>-->",info@amichamber.org,02/27/11,FL
,32401.0,Friday Fest,http://cdn.fldataengine.milesmedia.com/fldataengine/appmedia/images/26/26499/26499_73x73.jpg,http://www.panamacitydowntown.com,413 Harrison Ave.,Panama City,03/04/11,Panama City Downtown Improvement Board,"<p>A&nbsp;historic district with several buildings on the National Historic Register. This is the county and city governmental center as well as the cultural center for the arts, music and plays. The area boasts a unique shopping district of specialized boutique stores and high quality restaurants.</p>                             <!--<div style=""padding:10px 0px""><fb:like href="""" ></fb:like></div>-->",,11/04/11,FL
,32118.0,"Bike Week March 4-13, 2011",,http://www.daytonabahamahouse.com/vf,2001 S. Atlantic Ave.,Daytona Beach Shores,03/04/11,Bahama House,"<p>One of the best is the Bahama House. Oversized rooms, great ocean views, gorgeous oceanfront pool and sun deck, elegant lobby, interior hallways and convenient underground parking are some of the features that make the Bahama House the finest choice for your Daytona Beach Vacation. All value rates include deluxe Continental breakfast, happy hour, freshly baked cookies and newspaper daily. Families and golfers are their specialty. Check out their website for special family packages and customized golf packages.</p>                             <!--<div style=""padding:10px 0px""><fb:like href="""" ></fb:like></div>-->",reservations@daytonabahamahouse.com,03/04/11,FL
,,Firefighters Indian River County Fair,http://cdn.fldataengine.milesmedia.com/fldataengine/appmedia/images/25/25946/25946_73x73.jpg,,,,03/11/11,Hampton Inn Vero Beach,<!---->,,03/20/11,
,32541.0,HarborWalk Village Grogg Games & Irish Street Festival,,http://www.EmeraldGrande.com,10 Harbor Blvd.,Destin,03/12/11,Emerald Grande at HarborWalk Village,"For those looking for the ideal vacation The Emerald Grande resort is Destin's shining jewel overlooking some of the most marvelous turquoise water and sugar sand beaches in creation. Add in some of the most spectacular sunsets you're ever likely to witness, and you'll soon see why the Emerald Grande is a place you won't soon forget.<br />  <br />  The vacation residences strike the perfect balance of elegance, kid-friendliness and relaxed coastal flair. Whether your group consists of a romantic twosome or an entire extended variety of loved ones, the Emerald Grande has the perfect accommodations to ensure your comfort and delight. With elegant 1, 2, 3, and 4-bedroom, full service, residences -you'll surely be able to enjoy the ideal, ultra-luxurious sanctuary that you deserve.<br />  <br />  Emerald Grande highlights include a full service and friendly spa and fitness center for pampering treatments for both men and women. Then right out your rooms back door you can find water sports, fishing, aqua adventures, indoor and outdoor pools and hot tubs, clubs and nightlife, fireworks, live entertainment, and world class dining with restaurant to satisfy all tastes. The Emerald Grande and HarborWalk Village has activities and entertainment to please each and every taste in your family&mdash;from the smallest infant to the hardiest grandparent&mdash;everyone's fantasies a reality and leaves you with memories that will last a lifetime.<br />  <br />  Emerald Grande was also voted Best Wedding Venue on the Gulf Coast in 2009. For more information, visit www.emeraldgrande.com.                             <!--<div style=""padding:10px 0px""><fb:like href="""" ></fb:like></div>-->",reservations@emeraldgrande.com,03/12/11,FL
,32118.0,Spring Car Show,,http://www.daytonabahamahouse.com/vf,2001 S. Atlantic Ave.,Daytona Beach Shores,03/25/11,Bahama House,"<p>One of the best is the Bahama House. Oversized rooms, great ocean views, gorgeous oceanfront pool and sun deck, elegant lobby, interior hallways and convenient underground parking are some of the features that make the Bahama House the finest choice for your Daytona Beach Vacation. All value rates include deluxe Continental breakfast, happy hour, freshly baked cookies and newspaper daily. Families and golfers are their specialty. Check out their website for special family packages and customized golf packages.</p>                             <!--<div style=""padding:10px 0px""><fb:like href="""" ></fb:like></div>-->",reservations@daytonabahamahouse.com,03/27/11,FL
,33948.0,31st Annual Florida International Air Show,http://cdn.fldataengine.milesmedia.com/fldataengine/appmedia/images/27/27807/27807_73x73.jpg,http://www.charlotteharbortravel.com,"18501 Murdock Cir., Ste. 502",Port Charlotte,03/26/11,Charlotte Harbor Visitor & Convention Bureau,"Welcome to <i><b>Charlotte Harbor &amp; the Gulf Islands</b></i>. A natural vacation paradise awaits you on Florida's Southwest Gulf coast. Located halfway between Tampa and Naples, Charlotte Harbor &amp; the Gulf Islands is a charming collection of nine coastal communities surrounding the state&rsquo;s second largest harbor. Here, nature comes at a relaxed pace. Whether it&rsquo;s relaxing on natural beaches, paddling through lush Blueway trails, exploring back country in a thrilling swamp buggy tour or playing a round on one of our 4&frac12; star golf courses, Charlotte Harbor &amp; the Gulf Islands is an ecological jewel&mdash;a traveler&rsquo;s treasure.<br />  <br />  Visit www.CharlotteHarborTravel.com or call 1.800.652.6090<br />  <br />  (Charlotte Harbor &amp; the Gulf Islands includes the areas of Boca Grande,&nbsp;El Jobean, Englewood-Cape Haze, Little Gasparilla Island, Manasota Key, Palm Island, Placida, Port Charlotte and Punta Gorda.)                             <!--<div style=""padding:10px 0px""><fb:like href="""" ></fb:like></div>-->",visit@charlotteharbortravel.com,03/27/11,FL
,,Wakulla Wildlife Festival,http://cdn.fldataengine.milesmedia.com/fldataengine/appmedia/images/27/27112/27112_73x73.jpg,,,,04/01/11,,<!---->,,04/02/11,
,32320.0,13th Historic Apalachicola Antique & Classic Boat Show,,http://www.apalachicolabay.org,122 Commerce St.,Apalachicola,04/15/11,Apalachicola Bay Chamber of Commerce,"Highly valued for their unspoiled natural environment, Franklin Co. boasts some of the state's most beautiful natural beaches and historic Apalachicola, one of Florida's oldest cities. Activities revolve around the natural environment: canoeing, kayaking, fishing, boating, biking. Visitors can take a leisurely stroll through the trendy shops and galleries or take a trip across the Bay to one of the barrier islands.&nbsp; Apalachicola Bay is famous for its oysters.&nbsp; Ninety percent of the oysters consumed in Florida come from the unspoiled Apalachicola Bay.&nbsp; Selected one of American's Dozen Distinctive Destinations in 2008 by the National Trust for Historic Preservation Apalachicola has over 900 structures on the National Register.                             <!--<div style=""padding:10px 0px""><fb:like href="""" ></fb:like></div>-->",anita@apalachicolabay.org,04/16/11,FL
,32340.0,29th Annual Down Home Days April 16 & 17th,,http://www.madisonfl.org,248 SW Range Avenue,Madison,04/15/11,Madison County Chamber of Commerce & Tourism,"&nbsp;&nbsp;&nbsp;&nbsp; Madison County is the gem of North Florida rural counties.&nbsp;The county features a large agricultural business base, combined with retail, medical, service and professional businesses.&nbsp;In addition, Madison County is the home of North Florida Community College, now celebrating 50 years of service to the community.&nbsp;Madison is a faith-based community offering over 100 churches for its citizens. It is home to several annual festivals including the Lee Homecoming Days (early April), Down Home Days (late April in Madison), Hickory Grove Founders Day (Oct.) and the Greenville Country Christmas (Dec.).&nbsp;And continuing through&nbsp;2009 and 2010,&nbsp;Downtown Madison will be hosting the Fifth Saturday Farmers&nbsp;and Friends Festival each&nbsp;fifth Sat. during the year!<br />  &nbsp;&nbsp;&nbsp;&nbsp; Madison County is well known for its rolling hills and beautiful vistas and is frequently visited by nationally known bicycle organizations.&nbsp;The county is filled with bicycle and walking&nbsp;trails and with three different rivers serving as our county boundaries, canoeing,&nbsp;kayaking and boating opportunities abound.&nbsp; <br />  &nbsp;&nbsp;&nbsp;&nbsp; And in Madison County, &quot;History never had it so good!&quot;&nbsp; Madison County is blessed with dozens of structures ranging from 100 years to over 150 years old.&nbsp;When you visit, be sure to enjoy the Treasures of Madison County Museum located on South Range Street in Madison.<br />  &nbsp;&nbsp;&nbsp;&nbsp; Accommodations range from nationally known hotel chains and campgrounds to quaint, totally refurbished bed &amp; breakfast facilities.<br />  &nbsp;&nbsp;&nbsp;&nbsp; Visiting Madison County,&nbsp;is&nbsp;a relaxing, comforting&nbsp;and educational opportunity to fall back into the 19th century.&nbsp;And they're proud to say that&nbsp;they're home to over 20,000 friendly country people and just a few old grouches!<br />  &nbsp;&nbsp;&nbsp;&nbsp; Madison County is conveniently located on Interstate 10, between Lake City and Tallahassee and is a good stone's throw just south of Valdosta, GA.<br />  &nbsp;&nbsp;&nbsp;&nbsp; Come visit Madison County.&nbsp; We make new friends everyday!<br />  &nbsp;&nbsp;&nbsp;&nbsp; For additional information call the Madison County Chamber of Commerce &amp; Tourism or visit their website.                             <!--<div style=""padding:10px 0px""><fb:like href="""" ></fb:like></div>-->",ted@madisonfl.org,04/15/11,FL
