address,price,description,venue,phone,website,title,fullDates,moreInfo
1042 N. Mills Ave.,$12-$14,"Cave Singers, Lia Ices",Will's Pub,(407) 898-5070,http://www.myspace.com/willspub,"Cave Singers, Lia Ices",3/24 8:00PM,http://calendar.orlandoweekly.com/Events/e10530/Cave_Singers_Lia_Ices
114 S. Palmetto Ave.,free,Chuck Culbertson,Sanford Wine Company,(407) 302-8620,http://www.sanfordwinecompany.com,Chuck Culbertson,"3/24 8:00PM, 3/31 8:00PM, 3/25 8:00PM",http://calendar.orlandoweekly.com/Events/e11136/Chuck_Culbertson
6700 Aloma Ave.,$5-$8,"Behind the Mayan&#39;s Eye, From Within, Lasher",The Haven,(407) 673-2712,http://thehavenrocks.com,"Behind the Mayan\u0027s Eye, From Within, Lasher",3/24 9:00PM,http://calendar.orlandoweekly.com/Events/e11179/Behind_the_Mayans_Eye_From_Within_Lasher
1321 N. Mills Ave.,free,Rock the Crates,The Peacock Room,(407) 228-0048,http://www.peacockroom.com,Rock the Crates,3/24 10:00PM,http://calendar.orlandoweekly.com/Events/e11316/Rock_the_Crates
114 S. Semoran Blvd.,free,"Fried CD Release Party featuring Marc with a C, Captain Dan, The Scurvy Crew, Krondor Krew and others -  	Sci-Fried CD Release Party featuring Marc with a C, Captain Dan, The Scurvy Crew, Krondor Krew and others",The Geek Easy,(407) 332-9636,,"Sci-Fried CD Release Party featuring Marc with a C, Captain Dan, The Scurvy Crew, Krondor Krew and others",3/25 7:00PM,http://calendar.orlandoweekly.com/Events/e10780/Sci-Fried_CD_Release_Party_featuring_Marc_with_a_C_Captain_Dan_The_Scurvy_Crew_Krondor_Krew_and_others
1000 Holt Ave.,$30-$40,Olga Kern (piano),"Rollins College, Tiedtke Concert Hall",(407) 646-2342,,Olga Kern (piano),3/25 8:00PM,http://calendar.orlandoweekly.com/Events/e5114/Olga_Kern_piano
54 N. Orange Ave.,$20,!!!/Klaxons,The Social,(407) 246-1419,http://www.thesocial.org,!!!/Klaxons,3/25 8:00PM,http://calendar.orlandoweekly.com/Events/e10531/Klaxons
1842 E. Winter Park Road,free,"The Video Dept. with DJs Sleepy, Hippie and Xuan",Stardust Video &amp; Coffee,(407) 623-3393,http://www.stardustie.com,"The Video Dept. with DJs Sleepy, Hippie and Xuan",3/25 7:00PM,http://calendar.orlandoweekly.com/Events/e10597/The_Video_Dept_with_DJs_Sleepy_Hippie_and_Xuan
1000 Universal Studios Plaza,various prices,New Orleans-style street party with live music by Blake Shelton,Universal Studios at Universal Orlando,(407) 363-8000,http://www.universalorlando.com,Mardi Gras,3/25 5:00PM,http://calendar.orlandoweekly.com/Events/e10745/Mardi_Gras
1000 Universal Studios Plaza,various prices,New Orleans-style street party with live music by OneRepublic,Universal Studios at Universal Orlando,(407) 363-8000,http://www.universalorlando.com,Mardi Gras,3/25 5:00PM,http://calendar.orlandoweekly.com/Events/e10746/Mardi_Gras
Downtown Disney West Side,$21.25-$24.25,"Pretty Lights, Paper Diamond",House of Blues,(407) 934-2583,http://www.hob.com,"Pretty Lights, Paper Diamond",3/25 7:30PM,http://calendar.orlandoweekly.com/Events/e10853/Pretty_Lights_Paper_Diamond
Epcot,included with park admission,Flower Power Concert Series featuring Melissa Manchester,America Gardens Theatre,(407) 939-1289,,Flower Power Concert Series featuring Melissa Manchester,"3/25 5:15PM, 3/25 6:30PM, 3/25 7:45PM, 3/26 5:15PM, 3/26 6:30PM, 3/26 7:45PM, 3/27 5:15PM, 3/27 6:30PM, 3/27 7:45PM",http://calendar.orlandoweekly.com/Events/e10920/Flower_Power_Concert_Series_featuring_Melissa_Manchester
12078 Collegiate Way,free,Tet -  	Jarritt Sheel Blu-Tet,Natura Coffee &amp; Tea,(407) 482-5000,http://www.naturacoffeeandtea.com,Jarritt Sheel Blu-Tet,3/25 9:00PM,http://calendar.orlandoweekly.com/Events/e10953/Jarritt_Sheel_Blu-Tet
1042 N. Mills Ave.,$10-$12,Chris Duarte,Will's Pub,(407) 898-5070,http://www.myspace.com/willspub,Chris Duarte,3/25 7:30PM,http://calendar.orlandoweekly.com/Events/e11190/Chris_Duarte
6700 Aloma Ave.,$5-$7,"Pop Head, Black Tent Revival, Tin Can Rally, The Ludes",The Haven,(407) 673-2712,http://thehavenrocks.com,"Pop Head, Black Tent Revival, Tin Can Rally, The Ludes",3/25 9:00PM,http://calendar.orlandoweekly.com/Events/e11180/Pop_Head_Black_Tent_Revival_Tin_Can_Rally_The_Ludes
1301 Atlanta Ave.,free,"Maia &amp; the Makeshift, Kindergarten Friends",Orlando Brewing,(407) 872-1117,http://www.orlandobrewing.com,"Maia & the Makeshift, Kindergarten Friends",3/25 9:00PM,http://calendar.orlandoweekly.com/Events/e11151/Maia_and_the_Makeshift_Kindergarten_Friends
309 E. First St.,free,"The Hoverounds, Playground Heroes, Jay D Clark, Funk Your Face",Little Fish Huge Pond,(407) 920-1321,http://www.littlefish-hugepond.com,"The Hoverounds, Playground Heroes, Jay D Clark, Funk Your Face",3/25 9:00PM,http://calendar.orlandoweekly.com/Events/e11287/The_Hoverounds_Playground_Heroes_Jay_D_Clark_Funk_Your_Face
1321 N. Mills Ave.,$5,"The Vanilla Gorilla, Geebo",The Peacock Room,(407) 228-0048,http://www.peacockroom.com,"The Vanilla Gorilla, Geebo",3/25 10:00PM,http://calendar.orlandoweekly.com/Events/e11317/The_Vanilla_Gorilla_Geebo
54 N. Orange Ave.,$13-$15,"Of Mice And Men, I Set My Friends on Fire, Sleeping With Sirens, The Amity Affliction",The Social,(407) 246-1419,http://www.thesocial.org,"Of Mice And Men, I Set My Friends on Fire, Sleeping With Sirens, The Amity Affliction",3/26 6:00PM,http://calendar.orlandoweekly.com/Events/e9448/Of_Mice_And_Men_I_Set_My_Friends_on_Fire_Sleeping_With_Sirens_The_Amity_Affliction
37 W. Pine St.,$10-$12,"Starfucker, Casiokids",Back Booth,(407) 999-2570,http://www.backbooth.com,"Starfucker, Casiokids",3/26 7:30PM,http://calendar.orlandoweekly.com/Events/e10125/Starfucker_Casiokids
Downtown Disney West Side,$5,"Orlando Rocks! with The Lighter Exchange, Stockholm",House of Blues,(407) 934-2583,http://www.hob.com,"Orlando Rocks! with The Lighter Exchange, Stockholm",3/26 7:00PM,http://calendar.orlandoweekly.com/Events/e10856/Orlando_Rocks_with_The_Lighter_Exchange_Stockholm
578 N. Orange Ave.,$20-$25,Peter Murphy,Firestone Live,(407) 872-0066,http://www.firestonelive.net,Peter Murphy,3/26 8:00PM,http://calendar.orlandoweekly.com/Events/e10858/Peter_Murphy
12078 Collegiate Way,free,Ian Dean&#39;s Tangent,Natura Coffee &amp; Tea,(407) 482-5000,http://www.naturacoffeeandtea.com,Ian Dean\u0027s Tangent,3/26 9:00PM,http://calendar.orlandoweekly.com/Events/e10954/Ian_Deans_Tangent
114 S. Palmetto Ave.,free,Donnie Lee,Sanford Wine Company,(407) 302-8620,http://www.sanfordwinecompany.com,Donnie Lee,3/26 8:00PM,http://calendar.orlandoweekly.com/Events/e11137/Donnie_Lee
1566 W. Fairbanks Ave.,$8-$10,Langhorne Slim,McRaney's Tavern,(407) 622-4474,http://www.mcraneystavern.com,Langhorne Slim,3/26 8:00PM,http://calendar.orlandoweekly.com/Events/e11108/Langhorne_Slim
1301 Atlanta Ave.,free,Corn Farmer Shamus,Orlando Brewing,(407) 872-1117,http://www.orlandobrewing.com,Corn Farmer Shamus,3/26 9:00PM,http://calendar.orlandoweekly.com/Events/e11152/Corn_Farmer_Shamus
6700 Aloma Ave.,call for price,"Heroine, Meka Nism, Blame the Mano",The Haven,(407) 673-2712,http://thehavenrocks.com,"Heroine, Meka Nism, Blame the Mano",3/26 9:00PM,http://calendar.orlandoweekly.com/Events/e11181/Heroine_Meka_Nism_Blame_the_Mano
1042 N. Mills Ave.,$8-$10,"Wormrot, Tombs, Putrescent Secretancy, Quarter The Villain",Will's Pub,(407) 898-5070,http://www.myspace.com/willspub,"Wormrot, Tombs, Putrescent Secretancy, Quarter The Villain",3/26 9:00PM,http://calendar.orlandoweekly.com/Events/e11191/Wormrot_Tombs_Putrescent_Secretancy_Quarter_The_Villain
100 S. Orange Ave.,free,Two Weeks Notice,Tanqueray's,(407) 649-8540,,Two Weeks Notice,3/26 10:30PM,http://calendar.orlandoweekly.com/Events/e11217/Two_Weeks_Notice
309 E. First St.,free,Kim Hightower,Little Fish Huge Pond,(407) 920-1321,http://www.littlefish-hugepond.com,Kim Hightower,3/26 9:00PM,http://calendar.orlandoweekly.com/Events/e11288/Kim_Hightower
7007 SeaWorld Drive,included with park admission,Viva La Musica featuring Jerry Rivera,SeaWorld,(888) 800-5447,http://www.seaworldorlando.com,Viva La Musica featuring Jerry Rivera,3/26 3:00PM,http://calendar.orlandoweekly.com/Events/e11372/Viva_La_Musica_featuring_Jerry_Rivera
11680 E. Colonial Drive,free,Port Barlow,Mellow Mushroom,(407) 384-4455,,Port Barlow,3/26 9:30PM,http://calendar.orlandoweekly.com/Events/e11347/Port_Barlow
33 W. Church St.,$5,Latitudes Birthday Bash,Latitudes,(407) 649-4270,http://www.churchstreetbars.com,Latitudes Birthday Bash,3/26 10:00PM,http://calendar.orlandoweekly.com/Events/e11390/Latitudes_Birthday_Bash
1521 W. Ivanhoe Blvd.,$12,Central Florida Folk Jam with Doug Spears,Villa ConRoy,(407) 679-6426,http://www.cffolf.org,Central Florida Folk Jam with Doug Spears,3/27 2:30PM,http://calendar.orlandoweekly.com/Events/e10425/Central_Florida_Folk_Jam_with_Doug_Spears
1566 W. Fairbanks Ave.,$5,Leeroy Stagger,McRaney's Tavern,(407) 622-4474,http://www.mcraneystavern.com,Leeroy Stagger,3/27 8:00PM,http://calendar.orlandoweekly.com/Events/e11109/Leeroy_Stagger
1042 N. Mills Ave.,$4,Up The Chunks! Texas is The Reason Cover Show,Will's Pub,(407) 898-5070,http://www.myspace.com/willspub,Up The Chunks! Texas is The Reason Cover Show,3/27 9:00PM,http://calendar.orlandoweekly.com/Events/e11192/Up_The_Chunks_Texas_is_The_Reason_Cover_Show
1042 N. Mills Ave.,$6-$8,"Gobble Gobble, Oh Fortuna, Michael Parallax",Will's Pub,(407) 898-5070,http://www.myspace.com/willspub,"Gobble Gobble, Oh Fortuna, Michael Parallax",3/28 8:00PM,http://calendar.orlandoweekly.com/Events/e11193/Gobble_Gobble_Oh_Fortuna_Michael_Parallax
54 N. Orange Ave.,$15,Sebadoh,The Social,(407) 246-1419,http://www.thesocial.org,Sebadoh,3/29 7:00PM,http://calendar.orlandoweekly.com/Events/e10292/Sebadoh
CityWalk at Universal Orlando,$35-$55,Video Games Live: Bonus Level,Hard Rock Live,(407) 351-5483,http://www.hardrock.com/live2/live.asp,Video Games Live: Bonus Level,3/29 6:30PM,http://calendar.orlandoweekly.com/Events/e10314/Video_Games_Live_Bonus_Level
37 W. Pine St.,$8-$10,"Morning, Teleportation",Back Booth,(407) 999-2570,http://www.backbooth.com,"Morning, Teleportation",3/29 8:00PM,http://calendar.orlandoweekly.com/Events/e10721/Morning_Teleportation
46 N. Orange Ave.,$20-$30,"Steve Angello, AN21, Max Vangeli",The Beacham,(407) 246-1419,http://www.thesocial.org,"Steve Angello, AN21, Max Vangeli",3/29 9:00PM,http://calendar.orlandoweekly.com/Events/e10758/Steve_Angello_AN21_Max_Vangeli
1321 N. Mills Ave.,free,"Time Lords, DJ Craig James",The Peacock Room,(407) 228-0048,http://www.peacockroom.com,"Time Lords, DJ Craig James",3/29 10:00PM,http://calendar.orlandoweekly.com/Events/e11319/Time_Lords_DJ_Craig_James
37 W. Pine St.,$5,"Not Them!, Future Sound, Birds of a Feather, Mad Happy",Back Booth,(407) 999-2570,http://www.backbooth.com,"Not Them!, Future Sound, Birds of a Feather, Mad Happy",3/30 8:00PM,http://calendar.orlandoweekly.com/Events/e10968/Not_Them_Future_Sound_Birds_of_a_Feather_Mad_Happy
54 N. Orange Ave.,$7,"Liminal, John Wayne & The Pain -  	B-Liminal, John Wayne &amp; The Pain",The Social,(407) 246-1419,http://www.thesocial.org,"B-Liminal, John Wayne & The Pain",3/30 8:00PM,http://calendar.orlandoweekly.com/Events/e11110/B-Liminal_John_Wayne_and_The_Pain
1301 Atlanta Ave.,free,Decoy Beat,Orlando Brewing,(407) 872-1117,http://www.orlandobrewing.com,Decoy Beat,3/30 7:00PM,http://calendar.orlandoweekly.com/Events/e11153/Decoy_Beat
425 N. Bumby Ave.,$23,Punch Brothers,The Plaza Theatre,(407) 228-1220,http://www.theplazatheatre.com,Punch Brothers,3/31 8:00PM,http://calendar.orlandoweekly.com/Events/e9630/Punch_Brothers
46 N. Orange Ave.,$20-$25,"House of Pain, Big B, Slaine, Sozay",The Beacham,(407) 648-8363,http://www.thebeacham.com,"House of Pain, Big B, Slaine, Sozay",3/31 8:00PM,http://calendar.orlandoweekly.com/Events/e10307/House_of_Pain_Big_B_Slaine_Sozay
54 N. Orange Ave.,$10,Mad Professor,The Social,(407) 246-1419,http://www.thesocial.org,Mad Professor,3/31 9:00PM,http://calendar.orlandoweekly.com/Events/e10309/Mad_Professor
1042 N. Mills Ave.,$5,"Bare Wires, Garbo&#39;s Daughter",Will's Pub,(407) 898-5070,http://www.myspace.com/willspub,"Bare Wires, Garbo\u0027s Daughter",3/31 9:00PM,http://calendar.orlandoweekly.com/Events/e10601/Bare_Wires_Garbos_Daughter
37 W. Pine St.,$5,ANR,Back Booth,(407) 999-2570,http://www.backbooth.com,ANR,3/31 8:00PM,http://calendar.orlandoweekly.com/Events/e11072/ANR
1321 N. Mills Ave.,free,House of Mo: DJ Mo,The Peacock Room,(407) 228-0048,http://www.peacockroom.com,House of Mo: DJ Mo,3/31 10:00PM,http://calendar.orlandoweekly.com/Events/e11078/House_of_Mo_DJ_Mo
Hard Rock Hotel at Universal Orlando,$29-$50,Velvet Sessions with Taylor Dayne,Velvet Bar,(407) 351-7625,http://www.hardrock.com,Velvet Sessions with Taylor Dayne,3/31 6:30PM,http://calendar.orlandoweekly.com/Events/e11369/Velvet_Sessions_with_Taylor_Dayne
425 N. Bumby Ave.,$40,The 5 Browns,The Plaza Theatre,(407) 228-1220,http://www.theplazatheatre.com,The 5 Browns,4/1 7:00PM,http://calendar.orlandoweekly.com/Events/e7059/The_5_Browns
Downtown Disney West Side,$22.25-$24.25,"All Time Low, Yellowcard, Hey Monday, Summer Set",House of Blues,(407) 934-2583,http://www.hob.com,"All Time Low, Yellowcard, Hey Monday, Summer Set",4/1 6:00PM,http://calendar.orlandoweekly.com/Events/e9426/All_Time_Low_Yellowcard_Hey_Monday_Summer_Set
1042 N. Mills Ave.,$5,"Surf City, Fever, The Knots, Permanent Nap",Will's Pub,(407) 898-5070,http://www.myspace.com/willspub,"Surf City, Fever, The Knots, Permanent Nap",4/1 9:00PM,http://calendar.orlandoweekly.com/Events/e10599/Surf_City_Fever_The_Knots_Permanent_Nap
Wall and Court streets,$5,"FedEx Underground Music Series featuring Adam Ezra Group, Jonnie Morgan Band",Wall Street Plaza,(407) 849-0471,http://www.fedexmusic.com,"FedEx Underground Music Series featuring Adam Ezra Group, Jonnie Morgan Band",4/1 9:00PM,http://calendar.orlandoweekly.com/Events/e10590/FedEx_Underground_Music_Series_featuring_Adam_Ezra_Group_Jonnie_Morgan_Band
1000 Universal Studios Plaza,various prices,New Orleans-style street party with live music by Sean Kingston,Universal Studios at Universal Orlando,(407) 363-8000,http://www.universalorlando.com,Mardi Gras,4/1 5:00PM,http://calendar.orlandoweekly.com/Events/e10747/Mardi_Gras
Epcot,included with park admission,Flower Power Concert Series featuring Starship with Mickey Thomas,America Gardens Theatre,(407) 939-1289,,Flower Power Concert Series featuring Starship with Mickey Thomas,"4/1 5:15PM, 4/1 6:30PM, 4/1 7:45PM, 4/2 5:15PM, 4/2 6:30PM, 4/2 7:45PM, 4/3 5:15PM, 4/3 6:30PM, 4/3 7:45PM",http://calendar.orlandoweekly.com/Events/e10921/Flower_Power_Concert_Series_featuring_Starship_with_Mickey_Thomas
100 S. Orange Ave.,free,SugarFree Music,Tanqueray's,(407) 649-8540,,SugarFree Music,4/1 10:30PM,http://calendar.orlandoweekly.com/Events/e11218/SugarFree_Music
54 N. Orange Ave.,$8-$10,"Damion Suomi &amp; The Minor Prophets, Louis DeFabrizio (Gasoline Heart), Lauris Vidal",The Social,(407) 246-1419,http://www.thesocial.org,"Damion Suomi & The Minor Prophets, Louis DeFabrizio (Gasoline Heart), Lauris Vidal",4/1 8:30PM,http://calendar.orlandoweekly.com/Events/e11335/Damion_Suomi_and_The_Minor_Prophets_Louis_DeFabrizio_Gasoline_Heart_Lauris_Vidal
401 Channelside Drive,$30-$128,"&nbsp;  	98Rockfest with 3 Doors Down, Seether, Theory of a Deadman, Skillet and others",St. Pete Times Forum,(813) 301-6500,,"98Rockfest with 3 Doors Down, Seether, Theory of a Deadman, Skillet and others",4/2 6:15PM,http://calendar.orlandoweekly.com/Events/e10347/98Rockfest_with_3_Doors_Down_Seether_Theory_of_a_Deadman_Skillet_and_others
CityWalk at Universal Orlando,$15-$30,Classic Albums Live featuring The Best of Woodstock,Hard Rock Live,(407) 351-5483,http://www.hardrock.com/live2/live.asp,Classic Albums Live featuring The Best of Woodstock,4/2 7:30PM,http://calendar.orlandoweekly.com/Events/e10733/Classic_Albums_Live_featuring_The_Best_of_Woodstock
1000 Universal Studios Plaza,various prices,New Orleans-style street party with live music by Ne-Yo,Universal Studios at Universal Orlando,(407) 363-8000,http://www.universalorlando.com,Mardi Gras,4/2 5:00PM,http://calendar.orlandoweekly.com/Events/e10748/Mardi_Gras
Downtown Disney West Side,$30-$40,"Oscar D&#39;Leon, Servando y Florentino",House of Blues,(407) 934-2583,http://www.hob.com,"Oscar D\u0027Leon, Servando y Florentino",4/2 8:30PM,http://calendar.orlandoweekly.com/Events/e10957/Oscar_DLeon_Servando_y_Florentino
578 N. Orange Ave.,$20,"Baby Anne, DJ Sandy, DJ Cliff T, DJ Chris B",Firestone Live,(407) 872-0066,http://www.firestonelive.net,"Baby Anne, DJ Sandy, DJ Cliff T, DJ Chris B",4/2 10:00PM,http://calendar.orlandoweekly.com/Events/e10960/Baby_Anne_DJ_Sandy_DJ_Cliff_T_DJ_Chris_B
37 W. Pine St.,$3-$5,&nbsp;  	Blink 182 Cover Band: Going Away To College,Back Booth,(407) 999-2570,http://www.backbooth.com,Blink 182 Cover Band: Going Away To College,4/2 8:00PM,http://calendar.orlandoweekly.com/Events/e11073/Blink_182_Cover_Band_Going_Away_To_College
West First Street and South Park Avenue,free,Jazzed in Sanford featuring Ambassadors of Jazz with Larry Coryell,downtown Sanford,,,Jazzed in Sanford featuring Ambassadors of Jazz with Larry Coryell,4/2 4:00PM,http://calendar.orlandoweekly.com/Events/e11140/Jazzed_in_Sanford_featuring_Ambassadors_of_Jazz_with_Larry_Coryell
1042 N. Mills Ave.,call for price,Shak Nasti,Will's Pub,(407) 898-5070,http://www.myspace.com/willspub,Shak Nasti,4/2 9:00PM,http://calendar.orlandoweekly.com/Events/e11194/Shak_Nasti
100 S. Orange Ave.,free,Daz Voo Doo,Tanqueray's,(407) 649-8540,,Daz Voo Doo,4/2 10:30PM,http://calendar.orlandoweekly.com/Events/e11219/Daz_Voo_Doo
6405 U.S. Highway 17-92,$30-$40,Dave Mason,Orlando Jai-Alai,(407) 339-6221,http://www.orlandojaialai.com,Dave Mason,4/2 8:00PM,http://calendar.orlandoweekly.com/Events/e11304/Dave_Mason
7007 SeaWorld Drive,included with park admission,Viva La Musica featuring Ednita Nazario,SeaWorld,(888) 800-5447,http://www.seaworldorlando.com,Viva La Musica featuring Ednita Nazario,4/2 3:00PM,http://calendar.orlandoweekly.com/Events/e11373/Viva_La_Musica_featuring_Ednita_Nazario
578 N. Orange Ave.,$10,"Eye Empire, NuEra, Soulswitch",Firestone Live,(407) 872-0066,http://www.firestonelive.net,"Eye Empire, NuEra, Soulswitch",4/3 6:30PM,http://calendar.orlandoweekly.com/Events/e10961/Eye_Empire_NuEra_Soulswitch
54 N. Orange Ave.,$12-$14,"Crossfade, Down From Up",The Social,(407) 246-1419,http://www.thesocial.org,"Crossfade, Down From Up",4/3 7:30PM,http://calendar.orlandoweekly.com/Events/e11336/Crossfade_Down_From_Up
54 N. Orange Ave.,$10-$13,Bobby Long,The Social,(407) 246-1419,http://www.thesocial.org,Bobby Long,4/4 8:00PM,http://calendar.orlandoweekly.com/Events/e9935/Bobby_Long
54 N. Orange Ave.,$15,Lyrics Born,The Social,(407) 246-1419,http://www.thesocial.org,Lyrics Born,4/4 8:00PM,http://calendar.orlandoweekly.com/Events/e11111/Lyrics_Born
701 N. Econlockhatchee Trail,free,Voices of Valencia Concert,"Valencia Community College Performing Arts Center, East Campus",(407) 582-2900,,Voices of Valencia Concert,4/5 7:30PM,http://calendar.orlandoweekly.com/Events/e8062/Voices_of_Valencia_Concert
University of Central Florida,$59.65,Further featuring Phil Lesh &amp; Bob Weir,UCF Arena,(407) 823-6006,,Further featuring Phil Lesh & Bob Weir,4/5 7:30PM,http://calendar.orlandoweekly.com/Events/e9958/Further_featuring_Phil_Lesh_and_Bob_Weir
54 N. Orange Ave.,$12-$15,Ron Pope &amp; Ari Herstand,The Social,(407) 246-1419,http://www.thesocial.org,Ron Pope & Ari Herstand,4/5 7:00PM,http://calendar.orlandoweekly.com/Events/e10293/Ron_Pope_and_Ari_Herstand
425 N. Bumby Ave.,$32.50-$42.50,The Robert Cray Band,The Plaza Theatre,(407) 228-1220,http://www.theplazatheatre.com,The Robert Cray Band,4/6 6:30PM,http://calendar.orlandoweekly.com/Events/e10346/The_Robert_Cray_Band
400 W. Church St.,various prices,&nbsp;  	Lil Wayne,Amway Center,(800) 745-3000,http://www.amwaycenter.com,Lil Wayne,4/6 7:00PM,http://calendar.orlandoweekly.com/Events/e10875/Lil_Wayne
701 N. Econlockhatchee Trail,free,Spring Symphonic/Jazz Concert,"Valencia Community College Performing Arts Center, East Campus",(407) 582-2900,,Spring Symphonic/Jazz Concert,4/7 7:30PM,http://calendar.orlandoweekly.com/Events/e6668/Spring_SymphonicJazz_Concert
CityWalk at Universal Orlando,$25-$35,Scissor Sisters,Hard Rock Live,(407) 351-5483,http://www.hardrock.com,Scissor Sisters,4/7 7:00PM,http://calendar.orlandoweekly.com/Events/e8959/Scissor_Sisters
425 N. Bumby Ave.,call for price,Here Comes The Mummies,The Plaza Theatre,(407) 228-1220,http://www.theplazatheatre.com,Here Comes The Mummies,4/7 9:00PM,http://calendar.orlandoweekly.com/Events/e10005/Here_Comes_The_Mummies
Downtown Disney West Side,$18.25-$23.25,Moe.,House of Blues,(407) 934-2583,http://www.hob.com,Moe.,4/8 7:00PM,http://calendar.orlandoweekly.com/Events/e9427/Moe
400 W. Church St.,$44-$123.50,Ricky Martin,Amway Center,(800) 745-3000,http://www.amwaycenter.com,Ricky Martin,4/8 8:00PM,http://calendar.orlandoweekly.com/Events/e10537/Ricky_Martin
425 N. Bumby Ave.,$20-$30,"Voice of the Wetlands featuring Tab Benoit, Anders Osborne, Cyril Neville",The Plaza Theatre,(407) 228-1220,http://www.theplazatheatre.com,"Voice of the Wetlands featuring Tab Benoit, Anders Osborne, Cyril Neville",4/8 8:00PM,http://calendar.orlandoweekly.com/Events/e10756/Voice_of_the_Wetlands_featuring_Tab_Benoit_Anders_Osborne_Cyril_Neville
Epcot,included with park admission,"Flower Power Concert Series featuring Marilyn McCoo &amp; Billy Davis, Jr.",America Gardens Theatre,(407) 939-1289,,"Flower Power Concert Series featuring Marilyn McCoo & Billy Davis, Jr.","4/8 5:15PM, 4/8 6:30PM, 4/8 7:45PM, 4/9 5:15PM, 4/9 6:30PM, 4/9 7:45PM, 4/10 5:15PM, 4/10 6:30PM, 4/10 7:45PM",http://calendar.orlandoweekly.com/Events/e10922/Flower_Power_Concert_Series_featuring_Marilyn_McCoo_and_Billy_Davis_Jr
203 Magnolia Ave.,$25-$35,Phil Dirt & the Dozers,Wayne Densch Performing Arts Center,(407) 321-8111,,Phil Dirt & the Dozers,4/9 7:30PM,http://calendar.orlandoweekly.com/Events/e5607/Phil_Dirt_and_the_Dozers
578 N. Orange Ave.,$22,Accept,Firestone Live,(407) 872-0066,http://www.clubfirestone.com,Accept,4/9 8:00PM,http://calendar.orlandoweekly.com/Events/e9184/Accept
1920 N. Forest Ave.,$15-$20,"Jazz &#39;n Blues Stroll with Robert Harris Group, Bobby Blackmon and Dave Capp Project",Harry P. Leu Gardens,(407) 246-2620,http://www.leugardens.org,"Jazz \u0027n Blues Stroll with Robert Harris Group, Bobby Blackmon and Dave Capp Project",4/9 7:00PM,http://calendar.orlandoweekly.com/Events/e10209/Jazz_n_Blues_Stroll_with_Robert_Harris_Group_Bobby_Blackmon_and_Dave_Capp_Project
1000 Universal Studios Plaza,various prices,New Orleans-style street party with live music by Lifehouse,Universal Studios at Universal Orlando,(407) 363-8000,http://www.universalorlando.com,Mardi Gras,4/9 5:00PM,http://calendar.orlandoweekly.com/Events/e10749/Mardi_Gras
1042 N. Mills Ave.,call for price,"Khann, Ken Mode, Flying Snakes",Will's Pub,(407) 898-5070,http://www.myspace.com/willspub,"Khann, Ken Mode, Flying Snakes",4/9 9:00PM,http://calendar.orlandoweekly.com/Events/e10766/Khann_Ken_Mode_Flying_Snakes
Downtown Disney West Side,$5,"Orlando Rocks Country: April Phillips, Alex Hayes Band",House of Blues,(407) 934-2583,http://www.hob.com,"Orlando Rocks Country: April Phillips, Alex Hayes Band",4/9 7:00PM,http://calendar.orlandoweekly.com/Events/e11350/Orlando_Rocks_Country_April_Phillips_Alex_Hayes_Band_
401 W. Livingston St.,$33-$98.20,Harry Connick Jr.,Bob Carr Performing Arts Centre,(407) 849-2020,http://www.orlandovenues.net,Harry Connick Jr.,4/10 8:00PM,http://calendar.orlandoweekly.com/Events/e10860/Harry_Connick_Jr
425 N. Bumby Ave.,$18,The Radiators,The Plaza Theatre,(407) 228-1220,http://www.theplazatheatre.com,The Radiators,4/11 12:00PM,http://calendar.orlandoweekly.com/Events/e9596/The_Radiators
37 W. Pine St.,$10,"Mount Kimbie, Sumsun",Back Booth,(407) 999-2570,http://www.backbooth.com,"Mount Kimbie, Sumsun",4/12 8:00PM,http://calendar.orlandoweekly.com/Events/e10752/Mount_Kimbie_Sumsun
Downtown Disney West Side,$15-$18,"Forever the Sickest Kids, Breathe Carolina, Before Their Eyes",House of Blues,(407) 934-2583,http://www.hob.com,"Forever the Sickest Kids, Breathe Carolina, Before Their Eyes",4/13 6:00PM,http://calendar.orlandoweekly.com/Events/e10553/Forever_the_Sickest_Kids_Breathe_Carolina_Before_Their_Eyes
1042 N. Mills Ave.,$5-$7,"Thomas &amp; Olivia Wynn, Christina Wagner, Goodrich and The Die Tryins, Rebels &amp; Rogues",Will's Pub,(407) 898-5070,http://www.myspace.com/willspub,"Thomas & Olivia Wynn, Christina Wagner, Goodrich and The Die Tryins, Rebels & Rogues",4/13 9:00PM,http://calendar.orlandoweekly.com/Events/e10930/Thomas_and_Olivia_Wynn_Christina_Wagner_Goodrich_and_The_Die_Tryins_Rebels_and_Rogues
425 N. Bumby Ave.,$30-$52,Marc Cohn,The Plaza Theatre,(407) 228-1220,http://www.plazaliveorlando.com,Marc Cohn,4/13 7:00PM,http://calendar.orlandoweekly.com/Events/e11143/Marc_Cohn
