address,venueName,description,phone,title,moreInfoLink
221 West A St.,Green Door Gallery,"Ongoing exhibition of artwork by local and regional artists, including drawing, painting, pastels, mixed media, monotypes, ceramics, sculpture, photography, wood design, fabric design, stained glass and handmade jewelry.",704-932-0099,Group Show,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A17528&amp;max=10
,,"Learn the Russian system of breathing, exercise  and self-defense. Classes meet in Fort Mill, 14+ time/mo., flexible schedule. Call Mark for details.",,Palmetto State Systema: Russian Martial Arts Club,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A56796&amp;max=10
4621 Mount Gallant Road,Museum of York County,"Interpreter Kitty Wilson Evans' vivid portrayals of historically-documented slave Kessie inspired local artist Kaye Cloniger to write a poem and paint a series of 14 portraits that ""capture the essence and spirit of Kessie.""",803-329-2121,Heart and Soul: Portraits of Kessie,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A154386&amp;max=10
5815 Westpark Drive,Little Diversified Architectural Consulting,"Monthly meeting. Q&A followed by program with Warren Shanahan covering the recent update of the ""Office 2007"" program. www.littleonline.com.",,PC3,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A83875&amp;max=10
2730 Randolph Rd.,Mint Museum Randolph,The exhibition showcases an array of diverse and unique platform shoes from the 1930's through the present.,704-337-2009,The Heights of Fashion: Platform Shoes Then and Now,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A158890&amp;max=10
,,"a social group for adults who love to have fun. E-mails are sent each week listing the best parties in the area. Events include nightclubs, wine tastings, sporting events, hiking, camping and other trips. More information? www.PartyGoersAnonymous-subscribe@yahoogroups.com.",704-236-4467,PGA: Party Goers Anonymous,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A20746&amp;max=10
5225 Sample Road,Historic Latta Plantation,"Site tours include an optional 15 minute introductory video, a guided tour of the plantation home and a self-guided tour of the grounds.",704-875-2312,Historic Latta Plantation Tours,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A212154&amp;max=10
,,"This volunteer organization enables pharmaceutical/medical representatives to network with their peers while giving back to the community through volunteering. Meetings once a month for both strategic planning and volunteer opportunities. For more information, visit www.pmva.org.",,Pharmaceutical Medical Volunteer Association,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A195648&amp;max=10
128 E. Park Ave.%2C Suite B,"Lark & Key Gallery, Southend location","Showcasing new works by current gallery artists, such as Duy Huynh, Charlotte Foust and Anna Japp, as well as new artists to the gallery, including Kathe Fraga and Honora Jacob. Opening reception on Friday, Dec. 3, 6 p.m.-9 p.m.",704-334-4616,Holiday Group Exhibition,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231721&amp;max=10
,,Metrolina AIDS Project offers a free and confidential support group for gay men diagnosed with HIV/AIDS. Meets twice a month at a discreet location.,,Positive Gay Men's Support Group,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A19931&amp;max=10
19818 N. Cove Road,Christa Faut Gallery,"Featuring jewelry, paintings, glass, ceramics, and sculptures by gallery artists.",704-892-5312,Holiday Jewelry Show and Group Exhibition,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A199632&amp;max=10
601 Providence Road%2C Suite A,Providence Gallery,"Featuring more than 150 original pieces of art by 80 artists from across the Carolinas. Opening reception with the artists on Friday, Dec. 3, from 6 p.m.-9 p.m.",704-333-4535,Holiday Square Works Show,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231881&amp;max=10
,,"Got dreams?  Empower self, support others, jump start a lifelong dream or launch a new enterprise.  susanbrazzell7@yahoo.com.",704-375-9587,The Power of Women Success Club,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A85309&amp;max=10
721 N. Tryon St,McColl Center for Visual Arts,Patricia Steele Raible exhibits a series of mixed media paintings that explore the different manifestations of prayer.,704-332-5535,InnerSights,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231868&amp;max=10
,,Metrolina AIDS Project offers a free and confidential support group for HIV positive gay men. Meets the 2nd and 4th Thursdays of each month at a discreet location from 5:30-7 p.m.,704-602-2419,Poz Charlotte,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A37264&amp;max=10
1401 Central Ave.,Fluxomat,"The ""other"" gallery by Jacqueline Heer. Grand opening on Friday, Dec. 3, from 5 p.m.-8 p.m.",704-995-3877,"It&#146;s art in action, it&#146;s a concept, it&#146;s a game",http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231878&amp;max=10
,,"A running group for all ages and abilities. Meets in the North Charlotte/University area Thursdays at 6:30 p.m. and Saturdays at 8:30 a.m.; Uptown on Mondays at 5:30 p.m. Pace and distance varies. For more information, visit www.meetup.com/runstrong.",,RunStrong Charlotte,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A57170&amp;max=10
,,An anonymous 12-step support group for men  and women dealing with addictive sexual  behavior. Meeting times and locations vary.,,S.A.A.,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A79136&amp;max=10
301 N. Tryon St.,Discovery Place,"Fun and learning go hand in hand at this exhibit for young visitors. The stimulating atmosphere relates to science and math. Children will learn by touching and testing different environments and activities, including water tables, wind tunnels, blocks, gears and air tubes.",704-372-6261,KidScience,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A199919&amp;max=10
131 W. Main St.,Gaston County Museum of Art & History,The exhibition examines the history of wartime brides and the effects war had on marriage and families.,704-852-6025,Love & War: The History of Wartime Weddings,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A228507&amp;max=10
4400 Sharon Road,SouthPark Mall,"SouthPark mall partners with The Salvation Army on their  annual holiday Angel Tree program, which provides new  clothing and toys for children of families in need. The public  is invited to select a child's name from the tree located in the  Food Court. www.salvationarmytreeusa.org.",,Salvation Army Angel Tree,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231584&amp;max=10
3500 Shamrock Drive,Charlotte Museum of History,"Tells the story of Charlotte from the nation's first Gold Rush through the Civil War, World War II and other significant events up to the present day.",704-568-1774,Mecklenburg: Crossroads of Commerce,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A113031&amp;max=10
,,"Please visit each Wednesday at www.siameserescue.org. We have saved over 4500 Siamese. We need volunteers, homes and you.",,Siamese Cat Rescue!,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A21738&amp;max=10
1519 Camden Road,Ciel Gallery,"Featuring a collection of messages in square format (mosaics) by various artists. Reception on Friday, Dec. 3, from 6 p.m.-9 p.m.",704-577-1254,Mosaic Vision,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231644&amp;max=10
,,"Support for those who want to lose weight without  dieting. Meets in the conference room,  Providence United Methodist Church, 2810  Providence Rd.",704-525-9691,Smart Eaters,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A29855&amp;max=10
301 E. 9th St.,McColl Center for Visual Art Clayworks Gallery,"Features handmade original and functional  pottery by McColl Center faculty, affiliate artists  and Clayworks members.",704-332-5535,Multiple Artists,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A23148&amp;max=10
,,"Dances, wine tastings and other fun social events  for singles 28 and up.",704-606-8517,South Charlotte Singles,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A83355&amp;max=10
500 South Tryon St.,The Mint Museum Uptown,"The exhibition highlights strengths of Bank of America's post World War II collection. Works focus on intense color and geometry as an organizing principle. Artists in the exhibition, include Frank Stella, Ellsworth Kelly, Elizabeth Murray and Jennifer Bartlett, among others.",,New Visions: Contemporary Masterworks from Bank of America,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A229193&amp;max=10
109 S. Old Statesville Rd,Huntersville Arts & Cultural Center,"Join storytellers from the Public Library to hear multi-cultural stories from around the world. All ages. Donations accepted. For more information, call 704-655-1253.",,Storytime,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A157862&amp;max=10
116 W. Bland St.,Carolyn DiGiovanni's Studio Gallery,"Ongoing recent works by mixed media artist Carolyn DiGiovanni, will highlight the upcoming book she is compiling in her biography hall.",704-576-7090,New works by artist Carolyn DiGiovanni,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A196882&amp;max=10
,,The Timmons & Thompson Psychotherapy Group is now registering participants for a therapeutic and psycho-educational group focused on Couples Communications. The purpose of the group is to enhance communication skill with couples in a safe environment. This group is specifically for couples committed to building a healthy relationship. The group meets at 3707 Latrobe Dr. Suite 470. Both evening and daytime groups are available.,,Support Group - Couples Communications,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A23047&amp;max=10
420 South Tryon St.,Bechtler Museum of Modern Art,"Featuring works by mid 20th century European and American artists, including Pablo Picasso, Max Ernst, Andy Warhol, Jean Tinguely, Joan Miro, Alberto Giacometti, Niki de Saint Phalle and more.",704-353-9200,Ongoing exhibition,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A198691&amp;max=10
1346 Hill Rd.,Artists' Atelier Carolina,"By appointment. Ongoing exhibits feature paintings and mixed media by popular North Carolina Artists: Peggy Hutson Weston, Fay M. Miller, Carol Mueller, Betty G. Robinson; Photography by Waldo Miller; and sculptures by Greg Weston. Studios are open to the public, gallery owners, designers and art connoisseurs. Please call for an appointment.",704-552-6200,Open Studios,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A22936&amp;max=10
,,The Timmons & Thompson Psychotherapy Group is now registering participants for a nine week therapeutic and psycho-educational group focused on depression. The group meets at 3707 Latrobe Dr. Suite 470. Both evening and daytime groups are available.,,Support Group - Depression,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A23046&amp;max=10
143 Brevard Court,Evergreen Studio & Gallery,"The exhibit features a collection of plant-inspired works by artist Virginia Dunn. Exploring seeds, pods and growth, Dunn uses three print processes - Cyanotype, Platinum/Palladium and Gum Biochromate - to bring light to the botanical world.",,Plant. Life.,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231880&amp;max=10
,,A nonprofit in Charlotte helping people find and form nonprofit support groups of all types in Mecklenburg County. Staff provide personal assistance Monday through Thursday mornings at 704-331-9500. All data at www.supportworks.org.,,SupportWorks,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A83082&amp;max=10
551 South Tryon St.,Harvey B. Gantt Center for African-American Arts + Culture,"Deborah Willis and Hank Willis Thomas (mother and son) collaborate with Fo Wilson and her son Dayo Harewood for this exhibit, which highlights the impact of family, history, and memory on the processes of artistic production.",704-547-3700,Progeny Two,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231871&amp;max=10
8326-408 Pineville-Matthews Rd.,Eagle TaeKwonDo Academy,"Learn the ""way of the Samurang."" More skills than video games or movies. Learn this art in a safe, supportive atmosphere. For a free tour and trial lesson or more information, call 704-541-9400.",,Sword Martial Art,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A158625&amp;max=10
551 South Tryon St.,Harvey B. Gantt Center for African-American Arts + Culture,Featuring works by abstract artists Sam Gilliam and Kevin Cole.,704-547-3700,Protege,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231870&amp;max=10
5007 Providence Rd.,Levine Jewish Community Center,With Mike Gentile.,704-944-6735,Tai Chi,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A57060&amp;max=10
131 W. Main St.,Gaston County Museum of Art & History,This series of works offers a brief glimpse into the world of a pugilist (boxer) in the late 1800s.,704-852-6025,The Pugilist:  Joe Bemis Photography,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230577&amp;max=10
,,"Seeking teens (sophomores-seniors in high school) to get involved and make a difference in Teens Learning and Caring Program. For more information, contact Elise Hurst at 704-335-3577 or hurste@hpccr.org. www.hpccr.org.",,Teen Hospice Volunteers,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A58285&amp;max=10
143 Brevard Court,Evergreen Studio & Gallery,A collection of photographs by Byron Baldwin and his students at CPCC.,,Repeat Offenders,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230823&amp;max=10
,,"For home-school and after school; Girls 9-17.  Classes last 1-1/2 hours, once a week for 4  weeks. Bring sewing machine.",704-563-7011,Teen Sewing Club,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A80107&amp;max=10
420 South Tryon St.,Bechtler Museum of Modern Art,"The exhibition presents more than 60 works (paintings, drawings, prints and artist books), by artists including Alfred Manessier, Gustave Singier, Alberto Magnelli, Pierre Soulages and Nicolas de Stael and many more.",704-353-9200,School of Paris: European Abstraction Post World War II,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230328&amp;max=10
3500 Shamrock Drive,Charlotte Museum of History,"Learn about 18th century settlers who traveled the Great Wagon Road into the rugged N.C. Piedmont frontier. You can also view Charlotte, as it appeared in 1775 through an interactive diorama.",704-568-1774,Settlement in the Backcountry,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A113853&amp;max=10
,,"World Affairs Council of Charlotte presents a networking organization for internationally minded young professionals in the Charlotte area. For more information, visit www.charlotteworld.org.",,The Magellan Society,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A113106&amp;max=10
3500 Shamrock Drive,Charlotte Museum of History,"Chronicles the restoration of the Alexander homesite and explores the names and faces, myths and legends, surrounding the more than 230 year old home.",704-568-1774,Solving the Rock House Mysteries,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A196470&amp;max=10
220 Byers Creek Road%2C Ste. 211,NASCAR Technical Institute,"Guests always welcome.  A place to find your voice, improve your speaking and leadership skills in a friendly, supportive environment.",,Toastmasters at the Lake,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A201442&amp;max=10
345 N. College St.,The Light Factory,"Exhibition focuses on forms of surrealism. Featuring new works by Jerry Uelsmann, Robert and Shana ParkeHarrison, Tom Chambers, Joel Whitaker and Malena Bergmann. Held in Knight Gallery.",704-333-9755,Suspicious Minds,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A201709&amp;max=10
,,"For investors, homeowners, or anyone who wants to learn the foreclosure process and all the options.  www.unioncountyforeclosures.com.",704-282-9338,Union County Foreclosure Network,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A85284&amp;max=10
2730 Randolph Rd.,Mint Museum Randolph,"The works presented in this exhibition come from the primary mask-producing regions of Mexico where dance performances commonly accompany religious rituals and civic events. This includes masks from the states of Veracruz, Puebla, Tlaxcala, Sonora, Sinaloa, Michoac&aacute;n, Hidalgo and Guerrero.",704-337-2009,The Transformed Self: Performance Masks of Mexico,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A199962&amp;max=10
,,"Group now forming. Meet for potlucks, picnics and other family-friendly gatherings. Share recipes, meals and friendship with others who are raising vegetarian children. tikvah@bellsouth.net.",,Vegetarian Families of Charlotte,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A110807&amp;max=10
345 N. College St.,The Light Factory,This exhibition features photographs by Steve Perille. Held in Middleton McMillan Gallery.,704-333-9755,Unfiltered,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A201710&amp;max=10
3121 Providence Rd.,Allegro Foundation,Allegro Foundation is a non-profit organization that combines movement instruction with educational and medical expertise to teach children with disabilities. Looking for volunteers to be teaching assistants and/or volunteer at the office or for other events. 704-412-5229. www.allegrofoundation.net.,,Volunteer With Allegro,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A113235&amp;max=10
248 S. Sharon Amity Rd.,Skillbeck Gallery,"A distinctive collection of contemporary American crafts. Features jewelry, ceramics, handblown glass, and a large selection of Judaica.",704-366-8613,Various Artists,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A22938&amp;max=10
,,"The Ada Jenkins Center, a community center offering education and human services to the north Mecklenburg and south Iredell county area, is looking for volunteers who would like to teach adults how to read and write. Training in the Laubach method will be provided to anybody interested in working one-on-one with a student in this program.",704-896-0417,Volunteers Needed for Adult Literacy Program,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A20636&amp;max=10
1710 Camden Road,SouthEnd Home,Featuring new works by artist Scott Partridge. Collages by David Buckle will also be on display.,704-332-5220,Window Series,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231729&amp;max=10
345 N. College St.,Spirit Square,"Cardio and culture with LeShea. Live drumming. All levels welcome to attend, ages 14 and up.",704-293-2462,West African Dance Class,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A112028&amp;max=10
301 N. Tryon St.,Discovery Place,"Exhibit explores the Earths's biodiversity, through a range of habitats and live species. From rainforests to aquariums, viewers can broaden their education and experience related hands-on activities.",704-372-6261,World Alive,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A212098&amp;max=10
721 N. Tryon St,McColl Center for Visual Arts,"Featuring installations by Hong Seon Jang and Jonathan Brilliant. Closing reception on Nov. 19, 6 p.m.-9 p.m.",704-332-5535,ZipStir,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230132&amp;max=10
,,"Bond with women of all racial backgrounds for dinners, holiday parties, sporting events and more. For more information, call 704-890-6293 or email sistascarolinas@aol.com.",,Women of Diversity,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A83116&amp;max=10
1910 S. Blvd.%2C Suite 130,Hidell Brooks Gallery,"Featuring abstract art by Barbara Fisher, Chris Hayman, Jennifer Scott McLaughlin, Chris Metze, Rana Rochat, Charles Edward Walker and Rusty Wolfe.",704-334-7302,Abstract Thinking,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231635&amp;max=10
,,"a blend of breathing, postures, stretching and meditation. Come relax, improve your health and help reduce stress. Classes held at Tuckaseegee Recreation Center, 4820 Tuckaseegee Rd.",704-399-4492,Yoga Class,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A15421&amp;max=10
19818 N. Cove Road,Christa Faut Gallery,"Featuring handmade jewelry by a variety of artists, including Angela Bubash, Emanuela Duca, Christy Klug, Jeong Ju Lee, Keiko Mita, and Klaus Spies.",704-892-5312,Annual Holiday Jewelry Show,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231623&amp;max=10
1940 E. 8th St.,The Yoga Center,Offers a variety of classes on different days and at different times. www.8thstreetstudio.com.,704-372-4289,Yoga Classes,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A82677&amp;max=10
9201 University City Blvd.,UNC-Charlotte Art Galleries,Held in Rowe Arts Gallery.,704-687-0189,BFA Group 2 (Graphic Design),http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231876&amp;max=10
11401 Ardrey Kell Rd.,521 Recreation Center,"Free class offered by Mecklenburg County Park and Recreation. Class is designed for all skill levels. For more information, call Ann at 704-542-8952.",,Yoga for Active Seniors,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A156804&amp;max=10
227 W. Trade St.,The Gallery at Carillon,"Exhibit of paintings by New York artist Carl Plansky. Features the energetic floral bouquets, which have become the artist&#146;s trademark, along with landscapes and figure paintings from the artist&#146;s collection.",704-334-8840,"Carl Plansky, Abstract Expressionist",http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230129&amp;max=10
125 Baldwin Ave.%2C Ste. 100,Presbyterian Cancer Rehab & Wellness Center,"Presbyterian Cancer Rehab & Wellness Center offers free yoga classes for anyone diagnosed with cancer. Classes are offered in a six-week series and registration is required. For more information, call 704-376-8909 or visit http://www.novathealth.org.",,Yoga for Cancer,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A156801&amp;max=10
,Davidson College,"Featuring works by Darren Goins. Opening reception on Oct. 14, 7 p.m. Held in Edward M. Smith Gallery, Katherine and Tom Belk Visual Arts Center.",,Carnivorous Pudding,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230842&amp;max=10
,,"Ten-week sessions. Mixed level classes that emphasize awareness, relaxation, breathing and  personal practices. For more details visit, www.riverbirchyoga.com or call 704-905-3652.",,Yoga on Lake Wylie,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A56481&amp;max=10
551 South Tryon St.,Harvey B. Gantt Center for African-American Arts + Culture,The exhibit will feature cultural masterpieces that depict world renowned and emerging artists.,704-547-3700,Charlotte Collects African American Art,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231869&amp;max=10
,,"Ditch the workout, join the party! Weekly classes in Uptown, Hickory Grove area and Gastonia. www.queencitydancingqueen.com.",704-526-8845,Zumba with Angie,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A109884&amp;max=10
1658 Sterling Road,Charlotte Nature Museum,"Features live exhibits of mammals, birds, reptiles and amphibians native to North Carolina. Get close to wildlife by walking among butterflies in a Butterfly Pavilion, observing live animals in both Creative Cavern and Insect Alley and hang out in ""Our Big Backyard"" or explore the Paw Paw Nature Trail.",704-372-6261,Charlotte Nature Museum,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A113856&amp;max=10
,514 E. 15th St.,"Sacred space for the urban soul, 24-7 is an intensely creative, comfortable, multi-sensory uptown prayer loft for anyone needing to get some one-on-one talk time with God.",,24-7,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A84627&amp;max=10
3500 Shamrock Drive,Charlotte Museum of History,"Exhibit explores the history, architecture and culture of selected Charlotte neighborhoods.",704-568-1774,Charlotte Neighborhoods,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A109879&amp;max=10
,Millennium Dance Studio,"Offering ballet, tap, jazz, hip-hop, burlesque,  belly dance and specialty classes in both beginner and advanced levels.",704-323-7421,Adult Dance Classes,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A57516&amp;max=10
3500 Shamrock Drive,Charlotte Museum of History,"Highlights a variety of treasures from the Charlotte Museum of History collection, as well as borrowed items.",704-568-1774,"Charlotte Stories: Our Collections, Your Treasures",http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A196471&amp;max=10
,,The Aikido Center of Charlotte is now offering classes in the University and Cotswold areas. Nationally affiliated. Certified professional instructors. Visitors welcome anytime. More information? www.aikidocentercharlotte.com.,704-366-6322,Aikido In The University Area,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A21592&amp;max=10
,,"Join the fun Italian Social Club to connect with those who love ""everything Italian."" Socials, dinners, language and cooking classes, wine events, social networking and more. For details visit, www.nadasitaly.com or Meetup.com/ItalianSocialClub.",,Amici Italiani: Italian Language & Culture,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A154305&amp;max=10
1507 Camden Road,Charlotte Trolley Powerhouse Museum,Museum offers a glimpse into the significant role that trolleys played in the social and economic development of Charlotte.,704-375-0850,Charlotte Trolley Powerhouse Museum exhibit,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A212097&amp;max=10
,,"Volunteers are needed to assist with raising funds  for Janice White's transplant related expenses.  Janice is in need of a double lung transplant in  order to continue her 41-year fight with Cystic  Fibrosis. Individuals and groups interested in  more information can contact campaign manager,  Susan Riordan. Visit www.lungsforjan.org for  more information.",919-676-9223,Apex Resident in Need of Life-Saving Transplant,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A24332&amp;max=10
3500 Shamrock Drive,Charlotte Museum of History,This exhibit traces a Charlotte city flag's journey to the North and South Poles.,704-568-1774,Charlotte's Pole to Pole Flag,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A113854&amp;max=10
,,Volunteers needed to help bring independent  world news weekly to Charlotte.  E-mail: agrincharlotte@yahoo.com.,,Asheville Global Report,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A56814&amp;max=10
2730 Randolph Rd.,Mint Museum Randolph,"In 1644, the Manchu-Qing nomads took control over China and imposed dress codes for their ruling imperial family to distinguish these individuals from the general citizenry. A hierarchy of color and decoration distinguished the rank of the wearers.",704-337-2009,Chinese Court Robes: The Mint Museum Collection,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A199959&amp;max=10
,,"A nonprofit, all volunteer organization dedicated to meeting the needs of at-risk children in the Charlotte-Mecklenburg community. New members welcome. Email:  alcharlotte@bellsouth.net.",704-525-5228,Assistance League of  Charlotte,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A82462&amp;max=10
500 South Tryon St.,The Mint Museum Uptown,"The exhibition is comprised of functional and sculptural objects, from the 1980s through the present. It includes works by Lucie Rie, Julian Stair, Kate Malone and Grayson Perry.",,Contemporary British Studio Ceramics: The Grainer Collection,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A229192&amp;max=10
2520 N. Sharon Amity Rd.,Fred Astaire Dance Studio,"Engage in an evening of ballroom dancing and music. For more information, visit www.fredastairesouthcharlotte.com.",,Ballroom & Social Dance Party,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A154772&amp;max=10
301 N. Tryon St.,Discovery Place,"Exhibit explores science and physics through hands-on interaction and experimentation. The exhibit allows visitors to launch objects into the air, lie on a bed of nails, crush a garbage can, use a laser to listen to secret messages and more.",704-372-6261,Cool Stuff,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A198092&amp;max=10
5007 Providence Rd.,Levine Jewish Community Center,"Six-week session of low impact, anatomically correct, fun exercise classes taught by Zarifa. 704-366-5007. http://zarifa-raks-sharki.com.",704-366-5007,Belly Dance Classes,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A154780&amp;max=10
200 E. 7th St.,Levine Museum of the New South,The interactive exhibit features Charlotte and its 13 surrounding counties as a case study to illustrate the profound changes in the South since the Civil War.,704-333-1887,Cotton Fields to Sky Scrapers,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A27508&amp;max=10
3116 Milton Rd.%2C Ste. F,World Dance Center,"Featuring a variety of belly dance classes including Cabaret-style, American-fusion, Egyptian, Turkish and Greek.",,Belly Dance Classes,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A155445&amp;max=10
9201 University City Blvd.,UNC-Charlotte Art Galleries,"Featuring new works by British artist Jennifer E. Price. Opening reception on Wednesday, Dec. 8, from 5 p.m.-7 p.m. Held in the Student Union Gallery.",704-687-0189,Courting Charlotte,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231874&amp;max=10
,,"A web-based support group that provides peer counseling, support, encouragement and friendship to pregnant women considering adoption as well as women who have already placed children for adoption. 1-800-790-4174. birthmombuds@gmail.com.",,Birthmom Buds,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A112660&amp;max=10
8326-408 Pineville-Matthews Rd.,Eagle TaeKwonDo Academy,"In this 50-minute class, you will get the equivalent of 30-minutes of cardio, 30-minutes of strength training, 30-minutes of yoga, plus the most effective means of self-defense. For a free tour and trial lesson or more information, call 704-541-9400.",,Body & Mind Fitness,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A158623&amp;max=10
