email,state,endDate,city,address1,startDate,locationName,hour,description,photo,webSite,zipCode,phone,title,info
call_center@mail.cosi.org,Ohio,"<span id=""cEventDatesEnd"">5/27/2011</span>",Columbus,333 West Broad Street,"<span id=""cEventDatesStart"">1/2/2011</span>",COSI Columbus,"Saturday: 11:00 AM - 3:00 PM, Friday: 11:00 AM - 3:00 PM, Thursday: 11:00 AM - 3:00 PM, Wednesday: 11:00 AM - 3:00 PM, Sunday: 1:00 PM - 5:00 PM","Journey Into Amazing CavesSeptember 18, 2010 - January 2, 2011Journey into Amazing Caves tells the story of two women, Nancy Aulenbach and Dr. Hazel Barton, who explore caves like the ice caves in Greenland and the underwater caves in the jungles of Mexico, looking for important clues about the Earth's past and microorganisms that inhabit the most extreme environments. Featured on COSI's 7-Story Extreme Screen, this unique story will transport viewers on an adventure to some of the most extraordinary environments on earth. Journey into Amazing Caves is narrated by Liam Neeson and featuring a soundtrack with songs and music from The Moody Blues. more info...Annual Presenting Media Sponsor: Time Warner CableAdmission:$6.00 with COSI admission, $7.50 for Theater-Only admissionParking: $5",,http://www.cosi.org,43215,"Toll-Free: (888) 819-2674, Local Number: (614) 228-2674",Extreme Screen Film: Mysteries of the Great Lakes,http://consumer.discoverohio.com/searchdetails.aspx?detail=78441
,OH,"<span id=""cEventDatesEnd"">4/1/2011</span>",Cleveland,10730 Euclid Avenue,"<span id=""cEventDatesStart"">9/21/2006</span>",The Children's Museum of Cleveland,"Wednesday: 10:00 AM - 4:45 PM, Tuesday: 10:00 AM - 4:45 PM, Monday: 10:00 AM - 4:45 PM, Sunday: 10:00 AM - 4:45 PM, Thursday: 10:00 AM - 4:45 PM, Friday: 10:00 AM - 4:45 PM, Saturday: 10:00 AM - 4:45 PM","Our water exhibit is sure to engage little ones! This permanent exhibit teaches children about water transportation, weather and the earth's water systems. It features a 2-story tall climbing structure designed to teach the basic principles of the water cycle as well as a 16-long water table with water wheel, locks and dams....more",,http://www.clevelandchildrensmuseum.org,44106,Local Number: (216) 791-7114,Splish! Splash! Exhibit,http://consumer.discoverohio.com/searchdetails.aspx?detail=74876
sandcofair@ezworks.net,Ohio,"<span id=""cEventDatesEnd"">4/10/2011</span>",Fremont,712 North Street,"<span id=""cEventDatesStart"">4/9/2010</span>",,"Saturday: 9:00 AM - 4:00 PM, Sunday: 9:00 AM - 3:00 PM",Spend the day shopping and looking for that unique find from over 200 vendors. Free Admission and Free Parking! Concessions are available for your eating pleasure.,,http://www.sanduskycofair.net,43420,Local Number: (419) 332-5604,Fremont Flea Market,http://consumer.discoverohio.com/searchdetails.aspx?detail=77835
museum@kent.edu,Ohio,"<span id=""cEventDatesEnd"">6/30/2011</span>",Kent,Rockwell Hall,"<span id=""cEventDatesStart"">6/28/2010</span>",Kent State University Museum,"Thursday: 10:00 AM - 8:45 PM, Sunday: 12:00 PM - 4:45 PM, Wednesday: 10:00 AM - 4:45 PM, Saturday: 10:00 AM - 4:45 PM, Friday: 10:00 AM - 4:45 PM","This exhibition features early kerosene and electric lamps, Ohio pottery from the Paige Palmer collection, and a variety of collections of small objects including inkwells, snuff boxes, etc.",,http://kent.edu/museum,44242,Local Number: 330.672.3450,Collectors and Collecting,http://consumer.discoverohio.com/searchdetails.aspx?detail=76735
call_center@mail.cosi.org,Ohio,"<span id=""cEventDatesEnd"">3/12/2011</span>",Columbus,333 West Broad Street,"<span id=""cEventDatesStart"">11/3/2010</span>",COSI Columbus,"Wednesday: 10:00 AM - 4:00 PM, Saturday: 10:00 AM - 4:00 PM, Friday: 10:00 AM - 4:00 PM, Thursday: 10:00 AM - 4:00 PM, Sunday: 12:00 PM - 5:00 PM","Legends of FlightNovember 3, 2010 - March 12, 2011Take the ultimate flying experience without ever leaving the ground.Enter the cockpits of planes representing over 100 years of breakthrough aeronautic design and soar through the skies in this visually stunning film for all ages. Legends of Flight brings a new perspective to aviation through the inestimable skills and personality of The Boeing Company's chief pilot for the 787 Dreamliner, Capt. Mike Carriker. His guests will fly engineless through mountain passes, feel the wind in their hair barnstorming in a Stearman bi-plane, and will experience sheer flight exhilaration as a Harrier Jump Jet leaps into the sky at the pilot's command and then rockets to tactical speed.Also get an insider's view of how a modern aircraft is built, and become privy to the manufacturing challenges and incredible financial risks companies assume when they embark on radical new designs. Produced and directed by Stephen Low, in association with the Smithsonian National Air and Space Museum.Media Sponsor: Time Warner Cable Film Sponsor: Yellow BookAdmission:$6.00 with COSI admission, $7.50 for Theater-Only admissionParking: $5",,http://www.cosi.org,43215,"Toll-Free: (888) 918-2674, Local Number: (614) 228-2674",Extreme Screen Film: Legends of Flight,http://consumer.discoverohio.com/searchdetails.aspx?detail=78440
museum@kent.edu,Ohio,"<span id=""cEventDatesEnd"">10/9/2011</span>",Kent,Rockwell Hall,"<span id=""cEventDatesStart"">11/19/2010</span>",,"Saturday: 10:00 AM - 4:45 PM, Sunday: 12:00 PM - 4:45 PM, Wednesday: 10:00 AM - 4:45 PM, Thursday: 10:00 AM - 8:45 PM, Friday: 10:00 AM - 4:45 PM","This exhibition of historic garments opens November 19th, featuring garments donated by the original owners and their families. Costumes include items from the 1830s to a NASA space suit.",,http://kent.edu/museum,44242,Local Number: 330.672.3450,New and Noteworthy,http://consumer.discoverohio.com/searchdetails.aspx?detail=78401
,Ohio,"<span id=""cEventDatesEnd"">5/29/2011</span>",Warren,National Packard Museum,"<span id=""cEventDatesStart"">1/8/2011</span>",,"Thursday: 12:00 PM - 5:00 PM, Sunday: 1:00 PM - 5:00 PM, Tuesday: 12:00 PM - 5:00 PM, Wednesday: 12:00 PM - 5:00 PM, Friday: 12:00 PM - 5:00 PM, Saturday: 12:00 PM - 5:00 PM","This two-wheel exhibit features over 30 classic motorcycles including Harleys, Indian Chiefs, BMWs, BSAs and NSUs dating from the early 1900s to 1980.    ",,http://www.PackardMuseum.org,44483,Local Number: 330.394.1899,"11th Annual Antique Motorcycle Show -- ""Motorcyles on Main Street""",http://consumer.discoverohio.com/searchdetails.aspx?detail=75625
mayhem.mystery@woh.rr.com,Ohio,"<span id=""cEventDatesEnd"">3/25/2011</span>",Dayton,36 W. Fifth St.,"<span id=""cEventDatesStart"">10/22/2010</span>",The Spaghetti Warehouse,Friday: 6:45 PM - 9:15 PM,"Join Mayhem &amp; Mystery Interactive Theatre on a special night with performances on select Fridays in October, November, January, February, and March.  We will be performing the same show as our Monday performances on an additional night.Seating at the Spaghetti Warehouse begins around 6:45 PM.  Salad, bread, and beverages are served, and then the show begins.  The main entree is served after Act 1.  Act 2 begins after the meal.  A crime occurs, and the audience must try to solve the mystery.  Dessert is served, and Act 3 with the solutions begins.  At the end of the show, prizes are awarded, with up to three people winning a ticket to see the next production for FREE.  Reservations are required and can be made by calling the Spaghetti Warehouse at 937-461-3913. To receive a brochure, send a mailing address to tamra@mayhemmystery.com.Schedule includes: October 22 - &quot;Festival Fracas&quot;November 19 - &quot;Hollywood Holiday&quot;January 21 - &quot;Tragedy in the Theater&quot;February 18 - &quot;Tragedy in the the Theater&quot;March 25 - &quot;Fashion Friction&quot;",,http://www.mayhemmystery.com,45402,Reservations: (937) 461-3913,Mystery Theatre - Fridays!,http://consumer.discoverohio.com/searchdetails.aspx?detail=63365
artmuseum@muohio.edu,Ohio,"<span id=""cEventDatesEnd"">7/23/2011</span>",Oxford,801 South Patterson Avenue,"<span id=""cEventDatesStart"">1/11/2011</span>",Miami University Art Museum,"Tuesday: 10:00 AM - 5:00 PM, Saturday: 12:00 PM - 5:00 PM, Friday: 10:00 AM - 5:00 PM, Thursday: 10:00 AM - 5:00 PM, Wednesday: 10:00 AM - 5:00 PM",,,http://arts.muohio.edu/art-museum,45056,Local Number: (513) 529-2232,Looking Beyond the Surface: Understanding Identity Through Art,http://consumer.discoverohio.com/searchdetails.aspx?detail=77910
,OH,"<span id=""cEventDatesEnd"">3/27/2011</span>",Columbus,1665 W. Fifth Avenue,"<span id=""cEventDatesStart"">2/6/2011</span>",Ohio Craft Museum,"Saturday: 1:00 PM - 4:00 PM, Sunday: 1:00 PM - 4:00 PM, Monday: 10:00 AM - 5:00 PM, Tuesday: 10:00 AM - 5:00 PM, Wednesday: 10:00 AM - 5:00 PM, Thursday: 10:00 AM - 5:00 PM, Friday: 10:00 AM - 5:00 PM","The Texas Chair Project by Damian Priour features miniature chairs in a variety of media by 80 artists. Coordinated by Texas artist Damian Priour, the project's only requirement was that each chair fit inside an 8x8x8-inch box. Materials used to create the chairs include clay, felt, bronze, buttons, buttons, lead, twigs, even sawdust....more",,http://www.ohiocraft.org,43212,Local Number: (614) 486-7119,The Texas Chair Project by Damian Priour,http://consumer.discoverohio.com/searchdetails.aspx?detail=78634
,OH,"<span id=""cEventDatesEnd"">5/3/2011</span>",Cleveland,91 Public Square,"<span id=""cEventDatesStart"">2/15/2011</span>",Old Stone Church,"Thursday: 9:00 AM - 4:00 PM, Monday: 9:00 AM - 4:00 PM, Tuesday: 9:00 AM - 4:00 PM, Wednesday: 9:00 AM - 4:00 PM, Friday: 9:00 AM - 4:00 PM","With titles like ""Her System Is Completely Constipated...and It Is Everybody Else's %#$@*"" and ""Tribute to Fruit Was Not a Big Seller During Fashion Week"" - Judi Krew's humorous and sarcastic look at the human condition through the medium of paint is a show not to be missed!About Judi:""As a working artist, I can adapt to wherever life takes me because the need to create comes from within. Formal art training in both undergraduate and graduate schools expanded upon what I knew I needed to do. Pieces in shows from coast to coast validate my efforts as an artist, but only laughter from those who view my work can ultimately prove me successful.""Visit her website www.judikrew.com.February 4, 2011 through May 3, 2011 (closed holidays)Gallery Hours: Monday-Friday, 9am-4pmArtist Reception: Friday, March 11, 7-9pm, Open to the Public...more",,http://www.oldstonechurch.org,44113,Local Number: (216) 241-6145,Grins and Giggles Are Good for the Soul - An Exhibit by Canton artist Judi Krew,http://consumer.discoverohio.com/searchdetails.aspx?detail=79152
,Ohio,"<span id=""cEventDatesEnd"">9/5/2011</span>",Cincinnati,1301 Western Avenue,"<span id=""cEventDatesStart"">2/18/2011</span>",Cincinnati Museum Center at Union Terminal,"Monday: 10:00 AM - 5:00 PM, Wednesday: 10:00 AM - 5:00 PM, Thursday: 10:00 AM - 5:00 PM, Friday: 10:00 AM - 5:00 PM, Saturday: 10:00 AM - 5:00 PM, Sunday: 11:00 AM - 6:00 PM, Tuesday: 10:00 AM - 5:00 PM",The Cincinnati Museum Center at Union Terminal will be one of only five North American cities to host this exciting NEW exhibition! This thrilling exhibit includes 150 artifacts primarily retrieved from the Bay of Aboukir in Egypt that provide a glimpse into the history of the legendary queen and the search for her tomb. Artifacts on display range from small gold coins to colossal red-granite statues dating from between the third and fourth century B.C.,,http://www.cincymuseum.org,45203,Local Number: (513) 287-7000,"""Cleopatra: The Search for the Last Queen of Egypt""",http://consumer.discoverohio.com/searchdetails.aspx?detail=79021
info@cbgarden.org,Ohio,"<span id=""cEventDatesEnd"">3/27/2011</span>",Cleveland,11030 East Blvd.,"<span id=""cEventDatesStart"">2/26/2011</span>",Cleveland Botanical Garden,"Sunday: 12:00 PM - 5:00 PM, Tuesday: 10:00 AM - 5:00 PM, Saturday: 10:00 AM - 5:00 PM, Friday: 10:00 AM - 5:00 PM, Thursday: 10:00 AM - 5:00 PM, Wednesday: 10:00 AM - 5:00 PM","Orchid Mania is Cleveland Botanical Garden’s annual ode to nature’s most fascinating plant. Now in its 8th year, this beautiful show is an eagerly awaited milestone on Cleveland’s cultural calendar. In 2011, Orchid Mania meets purple passion! This year’s theme, “Purple Reign” conjures -- with a nod and a wink -- a predominant orchid color and the queen of all flowers. You’ll see hundreds of exotic, blooming orchids in a playful setting that is, by turns, French, funky, and fabulous! Presented by KeyBank",,http://www.cbgarden.org,44106,"Local Number: 216-721-1600, Toll-Free: 888-853-7091",Cleveland Botanical Garden's Orchid Mania:Purple Reign,http://consumer.discoverohio.com/searchdetails.aspx?detail=78954
,Ohio,"<span id=""cEventDatesEnd"">7/10/2011</span>",Cincinnati,953 Eden Park Dr,"<span id=""cEventDatesStart"">2/26/2011</span>",Cincinnati Art Museum,"Sunday: 11:00 AM - 5:00 PM, Tuesday: 11:00 AM - 5:00 PM, Saturday: 11:00 AM - 5:00 PM, Wednesday: 11:00 AM - 5:00 PM, Thursday: 11:00 AM - 5:00 PM, Friday: 11:00 AM - 5:00 PM","NEW! Linking legendary lithographs produced in Cincinnati with the city's rich circus tradtions; Featuring 80 circus posters created between 1878 and 1939, along with materials related to circus advertising.",,http://www.cincinnatiartmuseum.org,45202,Local Number: (513) 639-2995,The Amazing American Circus Poster Exhibit,http://consumer.discoverohio.com/searchdetails.aspx?detail=79052
,OH,"<span id=""cEventDatesEnd"">3/26/2011</span>","Wapakoneta, OH",20322 US 33,"<span id=""cEventDatesStart"">2/26/2011</span>",Famous Old Time Music Company,"Sunday: 7:00 PM - 9:00 PM, Friday: 7:00 PM - 9:00 PM, Saturday: 7:00 PM - 9:00 PM, Thursday: 7:00 PM - 9:00 PM, Wednesday: 7:00 PM - 9:00 PM, Tuesday: 7:00 PM - 9:00 PM, Monday: 7:00 PM - 9:00 PM","The Appalachian Opry is our answer to Hee Haw and the Grand Ole Opry. Join Vernon and Kitty McIntyre with the Opry Staff Band and their guest artists for an evening of bluegrass, old country music, comedy, and fun.Comedy skits by Laura's Comedy Crew. Refreshments are available on site....more",,http://www.fotmc.com,45895,Local Number: (419) 568-1220,Appalachian Opry,http://consumer.discoverohio.com/searchdetails.aspx?detail=79064
museum@kent.edu,Ohio,"<span id=""cEventDatesEnd"">2/29/2012</span>",Kent,Corner of E. Main and S. Lincoln Streets,"<span id=""cEventDatesStart"">3/3/2011</span>",Kent State University Museum,"Saturday: 10:00 AM - 4:45 PM, Friday: 10:00 AM - 4:45 PM, Thursday: 10:00 AM - 8:45 PM, Wednesday: 10:00 AM - 4:45 PM, Sunday: 12:00 PM - 4:45 PM","Kent State University Museum presents in the Higbee Gallery, the much anticipated exhibit ""Beyond Fashion - Fiber and Fashion Art by Vincent Quevedo"" featuring the intricate work of well-known local fashion designer and Kent State University professor Vincent Quevedo.",,http://www.kent.edu/museum,44242,Local Number: 330-672-3450,Beyond Fashion: Fiber and Fashion Art by Vincent Quevedo blurs the line between art and fashion,http://consumer.discoverohio.com/searchdetails.aspx?detail=79419
jan.hendrickx@mvnu.edu,Ohio,"<span id=""cEventDatesEnd"">4/16/2011</span>",Mount Vernon,211 S. Main Street,"<span id=""cEventDatesStart"">3/11/2011</span>",Schnormeier Gallery,"Saturday: 9:00 AM - 2:00 PM, Thursday: 11:00 AM - 4:00 PM, Friday: 11:00 AM - 4:00 PM, Wednesday: 11:00 AM - 4:00 PM, Tuesday: 11:00 AM - 4:00 PM, Monday: 11:00 AM - 4:00 PM","MVNU’s Schnormeier Gallery will feature the paintings of Christopher Ryan and the wood sculptures of James Mellick in a joint show running from March 11 through April 16. A reception, free and open to the public, will be held Friday, April 1, from 6-8 p.m. in the Buchwald Center in downtown Mount Vernon.",,http://www.mvnu.edu/art/artgallery/schnormeier.asp,43050,Local Number: (740) 392-6868,Art Exhibit: Christopher Ryan and James Mellick,http://consumer.discoverohio.com/searchdetails.aspx?detail=77451
,Ohio,"<span id=""cEventDatesEnd"">7/8/2011</span>",Wilmington,Wilmington College,"<span id=""cEventDatesStart"">3/14/2011</span>",Quaker Heritage Center,"Friday: 9:00 AM - 4:00 PM, Monday: 9:00 AM - 4:00 PM, Tuesday: 9:00 AM - 4:00 PM, Wednesday: 9:00 AM - 4:00 PM, Thursday: 9:00 AM - 4:00 PM","Despite early Quaker cautions against music as a &quot;distraction from God,&quot; Quakers have a small, but growing, musical tradition.  This exhibit touches on historic and contemporary Quaker musicians and composers, as well as ways that the Quaker image has been used in music in wider culture.",,,45177,Local Number: (937) 382-6661 x 719,Quaker Harmonies,http://consumer.discoverohio.com/searchdetails.aspx?detail=72687
,Ohio,"<span id=""cEventDatesEnd"">4/12/2011</span>",Wilmington,1870 Quaker Way,"<span id=""cEventDatesStart"">3/14/2011</span>","Quaker Heritage Center, Wilmington College","Friday: 9:00 AM - 7:00 PM, Monday: 9:00 AM - 7:00 PM, Tuesday: 9:00 AM - 7:00 PM, Wednesday: 9:00 AM - 7:00 PM, Thursday: 9:00 AM - 7:00 PM","Listen to America's music and hear the story of freedom.  It's the story of people in a New World, places they have left behind and ideas they have brought with them.  It is the story of people who were already here, but whose world is remade.  The distinct cultural identities of all these people are carried in song - both sacred and secular.  Their music tracks the unique history of many peoples reshaping each other into one incredibly diverse and complex people - Americans.  Their music is the root of American music.  Visit the website for a list of concerts and programs associated with this exhibit.",,http://www.wilmington.edu/qhc,45177,Toll-Free: (937) 382-6661 x 719,New Harmonies: Celebrating American Roots Music,http://consumer.discoverohio.com/searchdetails.aspx?detail=78918
,Ohio,"<span id=""cEventDatesEnd"">4/23/2011</span>",Cleveland,1710 Euclid Avenue,"<span id=""cEventDatesStart"">3/18/2011</span>",The Bonfoey Gallery,"Tuesday: 5:00 PM - 5:00 PM, Monday: 5:00 PM - 5:00 PM, Wednesday: 5:00 PM - 5:00 PM, Thursday: 5:00 PM - 5:00 PM, Friday: 5:00 PM - 5:00 PM, Saturday: 5:00 PM - 5:00 PM","Talented local artist and Cleveland State Professor of Painting, Ken Nevadomi, will be exhibiting his work at The Bonfoey Gallery, 1710 Euclid Avenue. All Over the Place, an exhibition of new paintings on canvas, woven paintings, and pastels, will be on view in our street level gallery from March 18 through April 23, 2011.Please join us for an opening reception Friday, March 18, from 5 - 8 pm at the gallery....more",,http://www.bonfoey.com,44115,Local Number: (216) 621-0178,All Over the Place - new work by Ken Nevadomi,http://consumer.discoverohio.com/searchdetails.aspx?detail=79008
pgnc@lakemetroparks.com,Ohio,"<span id=""cEventDatesEnd"">5/15/2011</span>",Kirtland,8668 Kirtland-Chardon Rd,"<span id=""cEventDatesStart"">3/19/2011</span>",Penitentiary Glen Reservation,"Friday: 9:00 AM - 5:00 PM, Saturday: 9:00 AM - 5:00 PM, Sunday: 9:00 AM - 5:00 PM, Monday: 9:00 AM - 5:00 PM, Tuesday: 9:00 AM - 5:00 PM, Wednesday: 9:00 AM - 5:00 PM, Thursday: 9:00 AM - 5:00 PM","Discover nature in its many forms as interpreted by the artists of the Creative Artists Association.  This multi-media show features paintings, pottery, jewelry, and more, all inspired by the natural world. Get a sneak peek of the show and meet the artists at the free, informal reception on Saturday, March 14 from noon to 4:00 pm.Directions: Take I-90 to Rt. 306 south for about one mile. Turn left onto Rt. 615. Turn right (east) onto Kirtland-Chardon Road and continue for two miles. Penitentiary Glen Reservation is located on the right (south) side of the road.",,"http://bit.ly/lakemetroparks, http://www.lakemetroparks.com/select-park/penitentiaryglen.shtml",44094,Local Number: (440) 256-1404,Spring Art Show at Penitentiary Glen Reservation,http://consumer.discoverohio.com/searchdetails.aspx?detail=60025
pgnc@lakemetroparks.com,Ohio,"<span id=""cEventDatesEnd"">5/15/2011</span>",Kirtland,8668 Kirtland-Chardon Rd,"<span id=""cEventDatesStart"">3/19/2011</span>",Lake Metropark Penitentiary Glen Reservation,"Wednesday: 9:00 AM - 5:00 PM, Thursday: 9:00 AM - 5:00 PM, Friday: 9:00 AM - 5:00 PM, Saturday: 9:00 AM - 5:00 PM, Monday: 9:00 AM - 5:00 PM, Sunday: 9:00 AM - 5:00 PM, Tuesday: 9:00 AM - 5:00 PM","works by James Polewchak ArtistJim Polewchak is a life-long Lake County residentwho grew up playing in many of thegreen areas that have since becomepart of Lake Metroparks.See your park system come to life through themedium of oil painting in thisspecial one-man show. Opening ReceptionMeetand talk with the artist at the free, informal reception on Saturday, March 19from noon to 4p.m. Enjoy light refreshments and art demonstrations. Artwork available for purchase; proceeds benefit the Penitentiary Glen Nature Center.",,"http://bit.ly/lakemetroparks, http://www.lakemetroparks.com/programs/fallartshow.shtml",44094,Local Number: (440) 256-1404,"“Lake Metroparks through Paint & Canvas""",http://consumer.discoverohio.com/searchdetails.aspx?detail=60043
marketing@fpconservatory.org,Ohio,"<span id=""cEventDatesEnd"">8/14/2011</span>",Columbus,1777 E. Broad Street,"<span id=""cEventDatesStart"">3/19/2011</span>",Franklin Park Conservatory,"Thursday: 10:00 AM - 5:00 PM, Sunday: 10:00 AM - 5:00 PM, Monday: 10:00 AM - 5:00 PM, Tuesday: 10:00 AM - 5:00 PM, Saturday: 10:00 AM - 5:00 PM, Friday: 10:00 AM - 5:00 PM, Wednesday: 10:00 AM - 8:00 PM",Experience the emergence of exotic butterflies and watch their release into the Franklin Park Conservatory&#39;s Pacific Island Water Garden. Dozens of species from around the world take flight and feed on tropical blooms. The Butterfly Emergence Center and hands-on activities interpret the butterfly&#39;s life cycle are featured.&#160;,,http://www.fpconservatory.org,43203,"Local Number: (614) 645-8733, Toll-Free: (800) 214-7275",Blooms & Butterflies 2011,http://consumer.discoverohio.com/searchdetails.aspx?detail=70228
,Ohio,"<span id=""cEventDatesEnd"">4/22/2011</span>",Upper Arlington,3600 Tremont Road,"<span id=""cEventDatesStart"">3/21/2011</span>",Upper Arlington Concourse Gallery,"Friday: 8:00 AM - 5:00 PM, Monday: 8:00 AM - 5:00 PM, Tuesday: 8:00 AM - 5:00 PM, Wednesday: 8:00 AM - 5:00 PM, Thursday: 8:00 AM - 5:00 PM","March 21-April 22 Department of Art Professor and 2008 Guggenheim Fellow Ardine Nelson developed a collaborative project with 23 students that address the question ""How does one understand self through image?"" Throughout the summer and fall Nelson created large-scale formal studio portraits of students. Each student was given a copy of her portrait, and full liberty to alter it-in any manner she chose-to more fully and corporeally capture and reflect her understanding of self. Support provided by the Department of Women's Studies and the Coca-Cola Critical Difference for Women Research on Women, Gender and Gender Equity Grant.",,http://www.uaoh.net,43221,Local Number: (614) 583-5310,Image-Self: Ardine Nelson,http://consumer.discoverohio.com/searchdetails.aspx?detail=78743
,Ohio,"<span id=""cEventDatesEnd"">3/22/2011</span>",Mansfield,110 W. Third St.,"<span id=""cEventDatesStart"">3/21/2011</span>","Art Cellar Gallery/Henne's Drafting & Art Supply, Inc.","Monday: 8:00 AM - 4:00 PM, Tuesday: 8:00 AM - 4:00 PM","The human face offers a vast array of possibilities for exploring your creativity. In this head and shoulders workshop students will learn to capture the likeness and character of a live clothed model in the medium of their choice. Focus will on drawing, composition, anatomy, proportion and value; the fundamentals behind successful portrait painting from a live model. Sharon Weaver is an award winning portrait artist, a member of the Ohio Plein Aire Society, the Brush &amp; Palette Art Club and founding member of the Portrait Artists of Mid-Ohio. Her work has been displayed in numerous shows through out Ohio including the Peninsula Art Academy, Schumacher Gallery in Columbus, Lakeside Art Festival, and High Roads Gallery in Worthington. Locally, she has shown at Henne's Art Cellar Gallery and The Creative Chateau. A $50 deposit is required at registration. For more information or to register call 419-522-4401 or toll free 877-ART-HENE (278-4363) or email info@henneart.com.",,http://www.henneart.com,44902,Local Number: (419) 522-4401,2 Day Live Model Portrait Workshop with Sharon Weaver,http://consumer.discoverohio.com/searchdetails.aspx?detail=78817
,Ohio,"<span id=""cEventDatesEnd"">3/22/2011</span>",Mansfield,138 Park Avenue West,"<span id=""cEventDatesStart"">3/22/2011</span>",Renaissance Theater,,"North America's premier Celtic Event promises a fun-filled evening jam-packed with blistering piping, energetic dancing, and bawdy, ale-fueled humor! Standing room only audiences know why this group has taken the Celtic scene storm!",,http://www.mansfieldtickets.com,44902,Local Number: (419) 522-2726,The Tartan Terrors,http://consumer.discoverohio.com/searchdetails.aspx?detail=76838
gallery@pgrahamdunn.com,Ohio,"<span id=""cEventDatesEnd"">3/22/2011</span>",Dalton,630 Henry St.,"<span id=""cEventDatesStart"">3/22/2011</span>",P. Graham Dunn Gallery of Dalton,,"P. Graham Dunn's Annual Spring Celebration concert will be held at Central Christian School in Kidron, OH. This year's event will feature a presentation by Alistair Begg as well as performances by local musical guests, Sonnenburg Station and the Heartland String Quartet&nbsp;.This event is free and open to the public.&nbsp; Doors open at 6:00 pm.Central Christian School3970 Kidron RoadP.O. Box 9Kidron, OH 44636Phone: 330-857-7311",,http://www.pgrahamdunn.com,44618,Toll-Free: 866-922-0306,P. Graham Dunn's Spring Celebration Concert,http://consumer.discoverohio.com/searchdetails.aspx?detail=79444
,Ohio,"<span id=""cEventDatesEnd"">3/23/2011</span>",Beachwood,2929 Richmond Rd.,"<span id=""cEventDatesStart"">3/23/2011</span>",Maltz Museum of Jewish Heritage,Wednesday: 7:00 PM - 9:00 PM,"Cantor Paula Pepperstone explores the many facets of American womanhood in this musical tribute to mothers and daughters, doers and dreamers, immigrants and entrepreneurs. Bring your mother, sister, daughter, friend or even the man in your life for a delightful evening of songs both familiar and new.",,http://www.maltzjewishmuseum.org,44122,Local Number: (216) 593-0575,"Life, Love and Song: Celebrating American Women",http://consumer.discoverohio.com/searchdetails.aspx?detail=78886
