venue,to,description,city,address,zipcode,image,state,email,longitude,title,moreInfoLink,tickets,times,latitude,from
Symphony Hall,03/13/2011,"Since its debut at the Berlin Festival in 1981, KODO has given over 3,300 performances on five continents and has introduced countless audiences to its peaceful, world-centered vision. The word &lsquo;Kodo&rsquo; is a homonym for &lsquo;heartbeat&rsquo;&mdash;humanity&rsquo;s most fundamental source of rhythm&mdash;the first sound a child hears in its mother&rsquo;s womb. The taiko drum, in the hands of a master drummer, has an almost astounding organic power. Feel the primal energy of KODO!  &ldquo;&hellip; the discipline of a surgeon&rsquo;s scalpel with the primitive, muscular endurance of a cavalry charge. The speed and dexterity are as impressive as the physical tenacity is breathtaking.&rdquo; &mdash;Chicago Tribune</p>			</p>    			<br><br>",<br /> 						Boston,301 Massachusetts Avenue,02115,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/440749521/kodo_80_medium.jpg,MA,,-71.0854039,KODO Drummers,http://www.artsboston.org/event/detail/440749521/KODO_Drummers,Tickets are $55-$42 (subscription prices),4pm,42.343064,03/13/2011
Symphony Hall,03/19/2011,"Bluegrass and jazz get together at the crossroads of American musical legend when the Del McCoury Band and the Preservation Hall Jazz Band share the stage to celebrate mutual 50th anniversaries. The high lonesome sound of the Appalachians meets the hot and rollicking jazz of New Orleans, creating a seamless blend of traditional harmonies to lift the soul. Be there to witness the coming together of two extraordinary groups of musicians from two distinctly American, but utterly complementary, musical lineages.  &ldquo;It is good to be the king. And that is precisely what Del McCoury&mdash;backed by arguably the most formidable bluegrass outfit in existence&mdash;remains.&rdquo; &mdash;Billboard  &ldquo;The tradition of New Orleans Jazz championed by the Preservation Hall Jazz Band has to be the purest expression of the &lsquo;melting pot&rsquo; ideal &hellip; where talent reigns, anything goes.&rdquo; &mdash;Los Angeles Times</p>			</p>    			<br><br>",<br /> 						Boston,301 Massachusetts Avenue,02115,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/440749531/del_phjb_80_medium.jpg,MA,,-71.0854039,American Legacies: The Del McCoury Band with Preservation Hall Jazz Band,http://www.artsboston.org/event/detail/440749531/American_Legacies_The_Del_McCoury_Band_with_Preservation_Hall_Jazz_Band,Tickets are $55-$42 (subscription prices),8pm,42.343064,03/19/2011
"First Church in Cambridge, Congregational",03/19/2011,A program of music by Victoria and other Spanish composers to commemorate the 400th anniversary of the master&rsquo;s death.</p>			</p>    			<br><br>,<br /> 						Cambridge,11 Garden Street,02138,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/440827869/closer_with_lamppost_medium.jpg,MA,office@blueheronchoir.org,-71.122956,Music of Tomás Luis de Victoria (d. 1611),http://www.artsboston.org/event/detail/440827869/Music_of_Tomas_Luis_de_Victoria_d_1611,"$50 Section A (reserved seating), $35 Section B, $30 Section C  Discounts (all section C):  $25 Senior/$10 student &amp; low income/FREE under 18",8 PM with a pre-concert talk at 7:15,42.376696,03/19/2011
Symphony Hall,03/20/2011,"Witness classical music's most famous symphony like never before &mdash; the way Beethoven intended. Richard Egarr leads this emotionally-charged work of clever rhapsody. Egarr also takes a turn on the fortepiano for Haydn's lively Concerto no. 11, and conducts the Society debut of Haydn's The Clock.</p>			</p>    			<br><br>",<br /> 						Boston,301 Massachusetts Avenue,02115,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/440723806/fifth_t_medium.gif,MA,boxoffice@handelandhaydn.org,-71.0854039,Beethoven's Fifth,http://www.artsboston.org/event/detail/440723806/Beethovens_Fifth,,"&nbsp;Friday - 8PM, Sunday - 3PM",42.343064,03/18/2011
King Philip Regional High School,03/20/2011,"Lawrence Isaacson conducts the Neponset Valley Philharmonic Orchestra in Shostakovich.<br> Colleen Potter Thorburn, harp soloist. <br> <br> ARNOLD: Tam O'Shanter Overture<br> GLIERE: Harp Concerto, Op. 74<br> Colleen Potter Thorburn, harp<br> SHOSTAKOVICH: Symphony No. 5</p>			</p>    			<br><br>",<br /> 						Wrentham,201 Franklin Street,02093,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/440827911/colorartsboston_medium.jpg,MA,beth@nvporchestra.org,-71.331149,Russian Favorites,http://www.artsboston.org/event/detail/440827911/Russian_Favorites,,3:00 PM,42.07295,03/20/2011
Citi Shubert Theatre,03/22/2011,"Agrippina wants her rotten son to be the emperor of Rome. What's a mother to do? She promises anything to everyone standing in her way: Nero himself, an ambitious courtesan, a general, a couple of fawning sycophants, and half the Roman Senate. Also her husband, current emperor Claudius. The numbers are staggering. No, really. Handel's music soars. Come delight in his fresh musical invention and some crazy, hothouse humanity.</p>			</p>    			<br><br>",<br /> 						Boston,265 Tremont Street,02116,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/440780465/agrippina_face_title_rgb_for_web_copy_medium.jpg,MA,boxoffice@blo.org,-71.065235,Handel's Agrippina,http://www.artsboston.org/event/detail/440780465/Handels_Agrippina,Tickets start at $34.,"Performance dates are March 11, 13m, 16, 18, 20m, 22, 2011",42.3499464,03/11/2011
NEC's Jordan Hall,03/24/2011,"Winner of The Metropolitan Opera&rsquo;s 2008 Beverly Sills Artist Award and a regular on concert stages throughout the world, tenor Matthew Polenzani is an artist on the rise. To hear his ringing, clarion tenor voice floating freely, gloriously above its accompaniment is to understand what everyone has been buzzing about. Polenzani is one of the most gifted lyric tenors of his generation and it is Boston&rsquo;s good fortune that Mr. Polenzani is also a committed recitalist. This recital is a must-hear event!  &ldquo;Few singers today command the sheer beauty of timbre and dynamic control of Matthew Polenzani.&rdquo; &mdash;Opera News</p>			</p>    			<br><br>",<br /> 						Boston,30 Gainsborough Street,02115,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/440749543/matthew_polenzani_80_medium.jpg,MA,,-71.0850575,"Matthew Polenzani, tenor",http://www.artsboston.org/event/detail/440749543/Matthew_Polenzani_tenor,Tickets are $46-$34 (subscription prices),8pm,42.3404547,03/24/2011
NEC's Jordan Hall,03/25/2011,"John Williams is a teller of tales. Having spent his career as one of the two or three very best guitarists in the world, technique and polish have long since become second nature. Williams now focuses entirely on what he is known for: creating compelling imagery by using a musical freedom distilled from a life spent in devotion to his craft. Though some may not believe their ears, John Williams is not a miracle worker, he is merely a master.  &ldquo;Williams created a range of sound and feeling that verged on the magical.&rdquo;&mdash;Edinburgh Evening News  &ldquo;Williams&rsquo; performance was technically flawless, emotionally charged, almost otherworldly in its seemingly effortless delivery.&rdquo; &mdash;The Irish Examiner</p>			</p>    			<br><br>",<br /> 						Boston,30 Gainsborough Street,02115,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/440749547/jw_80_medium.jpg,MA,,-71.0850575,"John Williams, guitar",http://www.artsboston.org/event/detail/440749547/John_Williams_guitar,Tickets are $55-$42 (subscription prices),8pm,42.3404547,03/25/2011
Faneuil Hall,03/27/2011,"Saxophonist Kenneth Radnofsky plays Bach:  Brandenburg Concerto No. 2 and Glazunov:  Saxophone Concerto.  Music Director Steven Lipsitt conducts.  Also Mozart:  Divertimento in F Major, K. 138 and Tchaikovsky: Serenade for Strings.    Kenneth Radnofsky:  &ldquo;Radnofsky&rsquo;s virtuoso technical skills are of the highest rank.&quot; ---American Record Guide</p>			</p>    			<br><br>",<br /> 						Boston,Congress & State Streets,02109,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/440812253/radnofsky_candid_medium.jpg,MA,qdodge@bostonclassicalorchestra.org,-71.0567405,Saxophone Baroque et Romantique,http://www.artsboston.org/event/detail/440812253/Saxophone_Baroque_et_Romantique,"Tickets:  Sect. A:  $65 (reserved, center front, floor &amp; balcony); Sect. B: $49 (reserved, center rear, floor); Sect. C:  $39 (unreserved, balcony side); Sect. D:  $37 (unreserved, floor side);  $3 senior discount all sections.  Students:  $20 balcony side.",Sat.  8 pm Sun.  3 pm,42.3588877,03/26/2011
NEC's Jordan Hall,04/01/2011,"The sensuous beauty and fluid technique of Leif Ove Andsnes&rsquo; playing are just the beginning of a dynamic and riveting musical world view. This magnificent Norwegian pianist is something of a maverick (he once took six months off to live alone in the Norwegian countryside). His is a poet&rsquo;s soul, searching for musical truth, not mere expression. Leif Ove Andsnes makes utterly vital music.  &ldquo;The all-but-flawless technique is a given; seldom has there been a pianist who negotiates technical challenges with more ease and less fuss. What is particularly interesting is what Andsnes&rsquo; formidable technique allows him to do.&rdquo; &mdash;The Seattle Times</p>			</p>    			<br><br>",<br /> 						Boston,30 Gainsborough Street,02115,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/440750557/andsnes_80_medium.jpg,MA,,-71.0850575,"Leif Ove Andsnes, piano",http://www.artsboston.org/event/detail/440750557/Leif_Ove_Andsnes_piano,Tickets are $65-$45 (subscription prices),8pm,42.3404547,04/01/2011
St. Cecilia Church,04/03/2011,"Prepare to feel moments of exquisite tenderness as Harry Christophers leads you on a voyage of breathtaking vocal works, including music by the most outstanding of Renaissance composers, Victoria.</p>			</p>    			<br><br>",Bay<br /> 						Boston,30 Saint Cecilia Street  Back,02115-3132,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/440723807/voyage_t_medium.gif,MA,boxoffice@handelandhaydn.org,-71.0866307,Harry's Vocal Voyage,http://www.artsboston.org/event/detail/440723807/Harrys_Vocal_Voyage,,,42.3465928,04/01/2011
Symphony Hall,04/03/2011,"Two-time Tony Award-winner Patti LuPone is a singer of stunning musicality, a master dramatist, a gifted comedienne, and a larger-than-life presence onstage. LuPone thrills audiences not because of any single thing she does, but because she distills her talent into a pure essence. She is the embodiment of her art. In &ldquo;The Gypsy in My Soul,&rdquo; Ms. LuPone, accompanied by a 10-piece band, will sing songs associated with her Broadway career, from such shows as Gypsy, Anything Goes, and Oliver!, as well as some of her personal pop favorites. Don&rsquo;t miss American musical theater&rsquo;s greatest living star.  &ldquo;Patti LuPone imparts an aura of a New York class act. Her songs are propelled by emotional purpose, intensity, both ardent and burning, and enormous comic flair.&rdquo; &mdash;The New York Times</p>			</p>    			<br><br>",<br /> 						Boston,301 Massachusetts Avenue,02115,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/440750573/pattilupone_80_medium.jpg,MA,,-71.0854039,"Patti LuPone, ""The Gypsy in My Soul""",http://www.artsboston.org/event/detail/440750573/Patti_LuPone_The_Gypsy_in_My_Soul,Tickets are $85-$55 (subscription prices),5pm,42.343064,04/03/2011
Symphony Hall,04/10/2011,"Having spent over 125 years at the center of Russian musical life, the St. Petersburg Philharmonic is Russia&rsquo;s oldest symphonic ensemble and the crown jewel of Russian orchestras. At the helm is Principal Conductor Yuri Temirkanov, a courtly paragon of Old World virtues. Temirkanov&rsquo;s penchant for warmth of feeling over cold precision is his constant quest, and in the St. Petersburg Philharmonic he has a perfect companion. Maestro Temirkanov and the St. Petersburg will be joined by the charismatic young cellist Alisa Weilerstein, known for her meltingly beautiful sound, passionate expression, and concentrated power.  &ldquo;No acoustical properties in any hall can account for the string sound this orchestra makes, which seems to emanate out of the stage floorboards and throb with a dark, slightly opaque glow.&rdquo; &mdash;The New York Times  &ldquo;Weilerstein seemed to implicitly answer the challenge Isaac Stern used to pose time and time again to technically gifted young players: Show the audience not just how you make music but why.&rdquo; &mdash;The Boston Globe</p>			</p>    			<br><br>",<br /> 						Boston,301 Massachusetts Avenue,02115,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/440750579/stpetersburg_phihl_80_medium.jpg,MA,,-71.0854039,"St. Petersburg Philharmonic; Yuri Temirkanov, conductor; Alisa Weilerstein, cello soloist",http://www.artsboston.org/event/detail/440750579/St_Petersburg_Philharmonic_Yuri_Temirkanov_conductor_Alisa_Weilerstein_cello_soloist,Tickets are $90-$50 (subscription prices),3pm,42.343064,04/10/2011
NEC's Jordan Hall,04/15/2011,"Dubravka Tomsic at the piano is the picture of strength and command in every sense. She is never for a moment in doubt as she glides warmly and gracefully through punishingly difficult passages. With perfect pacing and superlative mastery, Tomsic unfolds music with entrancing finesse. She is a rare blend of energy and elegance, a treasure.  &ldquo;Her playing is big, opulently colored, imaginatively pedaled; it is generously emotional but never sentimental.&rdquo; &mdash;The Boston Globe</p>			</p>    			<br><br>",<br /> 						Boston,30 Gainsborough Street,02115,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/440750587/tomsic_80_medium.jpg,MA,,-71.0850575,"Dubravka Tomsic, piano",http://www.artsboston.org/event/detail/440750587/Dubravka_Tomsic_piano,Tickets are $65-$45 (subscription prices),8pm,42.3404547,04/15/2011
First Lutheran Church of Boston,04/16/2011,"Festival 21 celebrates contemporary music for the classical guitar through classes, workshops, and concerts. An all day event with a stellar line-up of guitarists, Festival 21 has something for everyone, including the second annual Boston Community Guitar Orchestra.</p>			</p>    			<br><br>",<br /> 						Boston,299 Berkley Street,02116,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/440799213/poster_11_festival21_medium.jpg,MA,adbcgs@gmail.com,-71.114922,Festival 21 - New Music for Guitar,http://www.artsboston.org/event/detail/440799213/Festival_21_New_Music_for_Guitar,Tickets for evening concert: $25 general; $20 seniors and students and BCGS members.  Festival Pass: $75 general admission; $60 seniors; BCGS &amp; Church members receive $10 discount; Special Student price $45.,10:00 am - 5:00 pm classes and workshops  8:00pm Concert,42.493531,04/16/2011
"Emmanuel Church, Boston",04/16/2011,"Soloists:      * Trulove - Paul Guttry     * Anne Trulove - Kristen Watson     * Tom Rakewell - Charles Blandy     * Nick Shadow - David Kravitz     * Mother Goose -       Deborah Rentz-Moore     * Baba the Turk -       Mary Westbrook-Geha     * Sellem - Frank Kelley      The Orchestra and Chorus of Emmanuel Music     Ryan Turner, conductor</p>			</p>    			<br><br>",<br /> 						Boston,15 Newbury Street,02116,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/440824703/kelley_frank_rakesprogress_medium.jpg,MA,music@emmanuelmusic.org,-71.0724,Emmanuel Music: Stravinsky - The Rake's Progress,http://www.artsboston.org/event/detail/440824703/Emmanuel_Music_Stravinsky_The_Rakes_Progress,,,42.3526,04/16/2011
Faneuil Hall,04/17/2011,"Music Director Steven Lipsitt evokes approaching summer as he conducts Elgar:  &ldquo;Sospiri&rdquo;; Delius:  &ldquo;Summer Night on the River&rdquo;, Barber:  &ldquo;Knoxville, Summer of 1915&rdquo; (Dominique Labelle, soprano) and Beethoven:  Symphony No. 6, &ldquo;Pastoral&rdquo;.    Dominique Labelle:  &ldquo;Really everybody needs more Dominique Labelle in their lives.&rdquo;  ---Boston Globe</p>			</p>    			<br><br>",<br /> 						Boston,Congress & State Streets,02109,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/440812263/labelle-web_medium.jpg,MA,tickets@bostonclassicalorchestra.org,-71.0567405,"Summer Strolls, with Dominique Labelle",http://www.artsboston.org/event/detail/440812263/Summer_Strolls_with_Dominique_Labelle,"Tickets:  Sect. A:  $65 (reserved, center front, floor &amp; balcony); Sect. B: $49 (reserved, center rear, floor); Sect. C:  $39 (unreserved, balcony side); Sect. D:  $37 (unreserved, floor side);  $3 senior discount all sections.  Students:  $20 balcony side.",Sat. 8 pm Sun.  3 pm,42.3588877,04/16/2011
NEC's Jordan Hall,04/29/2011,"The bright light of Dawn Upshaw&rsquo;s artistry continues to shine. At any point, in any performance, she is capable of taking an audience to profound places. She is a world-class singer of great expression and warmth, in voice and disposition; but she is beloved, above all, because she gives all of herself to every performance, pouring her heart out on the stage. Is there a more generous artist performing today?  &ldquo;Dawn Upshaw, who is at her best in music that dwells on extreme passion, gave the intense melancholia and regret of Margarita a wrenching directness.&rdquo; &mdash;The New York Times</p>			</p>    			<br><br>",<br /> 						Boston,30 Gainsborough Street,02115,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/440750593/dawn_upshaw_80_medium.jpg,MA,,-71.0850575,"Dawn Upshaw, soprano",http://www.artsboston.org/event/detail/440750593/Dawn_Upshaw_soprano,"Tickets are $65-$45 (subscription prices),",8pm,42.3404547,04/29/2011
Symphony Hall,05/01/2011,"Feel Mozart's immortal legacy through this mysterious work of drama, intensity, and depth. Handel's Dixit Dominus, with its wild effervescence, could not be more different. This unique musical pairing touches all emotions, creating an unforgettable close to the season.</p>			</p>    			<br><br>",<br /> 						Boston,301 Massachusetts Avenue,02115,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/440723808/requiem_t_medium.gif,MA,boxoffice@handelandhaydn.org,-71.0854039,Mozart's Requiem,http://www.artsboston.org/event/detail/440723808/Mozarts_Requiem,,"&nbsp;Friday - 8PM, Sunday - 3PM",42.343064,04/29/2011
NEC's Jordan Hall,05/01/2011,"The Boston Civic Symphony, Max Hobart, conductor, celebrates &ldquo;May Day&rdquo; with an All Russian program, featuring cellist Sergey Antonov, Gold Medal winner of the 2008 International Tchaikovsky Competition, performing Tchaikovsky&rsquo;s &ldquo;Variations on a Rococo Theme for Cello and Orchestra.&rdquo;  Kabalevsky&rsquo;s Overture to &ldquo;Colas Breugnon&rdquo; will be the opening piece, followed by Mussorgsky&rsquo;s Prelude to &ldquo;Khovantchina&rdquo; (Dawn on the Moscow River). The orchestra will close out its 86th season with a performance of Shostakovich&rsquo;s masterpiece, Symphony no. 5 in D minor.</p>			</p>    			<br><br>",<br /> 						Boston,30 Gainsborough Street,02115,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/440824691/orchestraphotoforweb_medium.jpg,MA,info@bostoncivicsymphony.org,-71.0850575,All Russian,http://www.artsboston.org/event/detail/440824691/All_Russian,Adults $32/$27 Seniors $27/$22,2:00 pm,42.3404547,05/01/2011
Symphony Hall,05/06/2011,"For over 30 years, Sweet Honey In The Rock has moved audiences mightily, singing and signing their way across the epic landscape of African-American music and culture from the blues to gospel, reggae and hip hop. At every performance, Sweet Honey In The Rock delivers songs of hope, justice, love, and peace with a pure, smooth, fabulous sound as only these vocal masters can. Believe it!  &quot;Trying to describe an evening spent with Sweet Honey In The Rock would be like trying to describe seeing Moses part the red Sea. Unless you were there, you can&rsquo;t fully take it in.&quot; &mdash;Pittsburgh Post-Gazette</p>			</p>    			<br><br>",<br /> 						Boston,301 Massachusetts Avenue,02115,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/440750623/sweet_honey_80_medium.jpg,MA,,-71.0854039,Sweet Honey In The Rock,http://www.artsboston.org/event/detail/440750623/Sweet_Honey_In_The_Rock,Tickets are $55-$42 (subscription prices),8pm,42.343064,05/06/2011
Citi Shubert Theatre,05/10/2011,"Ah, the thrill of the chase. Over hill, over dale, girdling the earth in forty minutes - when the words are mostly Shakespeare, even the libretto sings. Britten gives us a stageful of sprites and mortals in a touching and very funny take: a dreamscape. Or is it a nightmare? Depends on how you feel about unrequited lover, and donkeys.</p>			</p>    			<br><br>",<br /> 						Boston,265 Tremont Street,02116,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/440780467/midsummer_face_title__rgb_for_web_copy_medium.jpg,MA,boxoffice@blo.org,-71.065235,Britten's A Midsummer Night's Dream,http://www.artsboston.org/event/detail/440780467/Brittens_A_Midsummer_Nights_Dream,Tickets start at $34.,"Performance dates are April 29, May 1m, 4, 6, 8m, 10, 2011",42.3499464,04/29/2011
Encore Lounge,06/12/2011,"Live Jazz and Blues. John Minnock (host) with trio and special guests. 2nd and 4th Sundays monthly, in one of Boston's longest running live music venues. Encore Lounge is in the Courtyard Marriott, 275 Tremont St Boston, in the theater district opposite the Citi-Wang Center.</p>			</p>    			<br><br>",<br /> 						Boston,275 Tremont St Boston,02116,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/440790683/john_minnock_1_medium.jpg,MA,,-71.0653017,Sunday Night Jazz & Blues at Encore Lounge,http://www.artsboston.org/event/detail/440790683/Sunday_Night_Jazz_Blues_at_Encore_Lounge,No Cover Charge,7:30 pm,42.3498226,06/12/2010
Seaport World Trade Center,04/08/2011,"Join thousands of activists, media makers, educators, academics, journalists, policymakers and people who want better media at the 2011 National Conference for Media Reform, presented by Free Press. This three-day conference will include speeches, panels, hands-on workshops, meetings, film screenings, live entertainment, parties and more.  Registration will open in the fall. There will also be a limited number of scholarships available. To learn more about the event, please visit www.freepress.net/conference.</p>			</p>    			<br><br>",<br /> 						Boston,1 Seaport Lane,02210,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/placeholder.jpg,MA,www.freepress.net/conference,-71.0418,The 2011 National Conference for Media Reform,http://www.artsboston.org/event/detail/440798747/The_2011_National_Conference_for_Media_Reform,"To register for the conference, visit www.freepress.net/conference.","The conference will be held all day, for the schedule please check the website (www.freepress.net/conference) in the Fall.",42.3492,04/10/2011
Seaport World Trade Center,04/10/2011,"Join thousands of activists, media makers, educators, academics, journalists, policymakers and people who want better media at the 2011 National Conference for Media Reform, presented by Free Press. This three-day conference will include speeches, panels, hands-on workshops, meetings, film screenings, live entertainment, parties and more.  Registration will open in the fall. There will also be a limited number of scholarships available. To learn more about the event, please visit www.freepress.net/conference or contact Mary Alice Crim, Outreach Manager, at conference@freepress.net.</p>			</p>    			<br><br>",<br /> 						Boston,1 Seaport Lane,02210,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/placeholder.jpg,MA,,-71.0418,The 2011 National Conference for Media Reform,http://www.artsboston.org/event/detail/440791239/The_2011_National_Conference_for_Media_Reform,"Registration will open in the fall. There will also be a limited number of scholarships available. To learn more about the event, please visit www.freepress.net/conference.",Exact times of the event will be announced later at www.freepress.net/conference.,42.3492,04/08/2011
,12/06/2011,"The Freedom Trail Foundation offers several themed tours for groups and by reservation.  They include: African-American Patriots Tour Tour Times:  offered Thursday, Friday, Saturday, Sunday in February, Black History month, by reservation throughout the year.  Minimum group size 6.</p> <p>Price: From $150</p> <p>Hear History Audio Guide Rental at Visitor Information Center,  Boston Common</p> <p>Download MP3 File at TheFreedomTrail.org</p> <p>Historic Holiday Stroll Tour times:  offered November through January,  Thursday through Sunday at 3:30 p.m.     Price: $27 adults $18 children (Price includes food and drink. Reservations required. Available for groups)</p> <p>Tea Party Sail - Freedom Trail Aboard  Liberty Clipper 	Check times and prices at LivertyFleet.com</p> <p>Offered for groups (min 6) March - December.</p>			</p>    			<br><br>",,,,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/41535/granary_jonf-girl4_medium.jpg,,info@TheFreedomTrail.org,,Freedom Trail Walking Tours for Groups,http://www.artsboston.org/event/detail/41535/Freedom_Trail_Walking_Tours_for_Groups,Price: From $150,Groups can select their start times and dates.,,03/15/2010
MBTA Harbor Express Ferry,01/01/2037,"90 min. round trip ferry ride from Boston's Long Wharf and back. Scenic, historical, inexpensive family fun. Best views of Boston and the Harbor Islands.big fun on a budget.</p>			</p>    			<br><br>",<br /> 						Boston,1 Long Wharf,02109,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/placeholder.jpg,MA,,-71.05103,Boston's Best Cruise,http://www.artsboston.org/event/detail/52605/Bostons_Best_Cruise,$6.00 Adult $3.00 Senior (2) children under 11 free this is for the 90 min. loop ride (round trip)  Purchase tickets on board the ferry!!,,42.3599384,11/01/2009
Diablo Glass School,01/01/2037,"Come and enjoy wine and cheese along with a glass blowing demonstration by the skilled women, men and teenagers of Diablo Glass School.  Wine, cheese, crackers and thinly sliced meats will be served in our lounge. You will taste a delicious selection of unique wines.  Reservations are required as space is limited.</p>			</p>    			<br><br>",<br /> 						Boston,123 Terrace St.,02120,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/51655/wine_small_size_2_medium.jpg,MA,info@diabloglassschool.com,-71.0986,Wine Tastings at Diablo Glass School,http://www.artsboston.org/event/detail/51655/Wine_Tastings_at_Diablo_Glass_School,"$35 per person, event size limit of 60 people, 21 years of age and older please",,42.3279,10/05/2009
Borders Book Store - School Street,01/01/2037,"During the nineteenth century, Boston was the most important literary center in the United States and was home to many of America's greatest writers. Our literary tour highlights the homes and haunts of such great Victorians as Ralph Waldo Emerson, Nathaniel Hawthorne, Henry David Thoreau, Louisa May Alcott, Henry James and Henry Wadsworth Longfellow. Individually, they were writers and poets without peer. Collectively, they made Boston the epicenter of American Letters and earned it the nickname &quot;the Athens of America&quot;.  Come along to discover a modest brick building that went from being an apothecary's shop to the center of literary achievement in the USA. Learn about the Saturday Club and where they met.  Join your Boston By Foot guide for a walking tour of literary Boston in Victorian times.</p>			</p>    			<br><br>",<br /> 						Boston,10 School Street,,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/44805/lburg_square_medium.jpg,MA,,-71.0967195,Literary Landmarks Walking Tour,http://www.artsboston.org/event/detail/44805/Literary_Landmarks_Walking_Tour,"$12per person. Boston By Foot members are free, info on membership is available at: www.bostonbyfoot.org/join",10:00am,42.3127768,06/03/2009
Central Square Theater,03/13/2011,"Underground Railway Theater and Boston Playwrights&rsquo; Theatre bring Nobel Laureate Derek Walcott&rsquo;s powerful folk parable, Ti-Jean &amp; His Brothers (February 10 &ndash; March 13, 2011), to Cambridge.  A first time collaboration between the two companies, the production will be a celebration of Haitian art, music, and spirit.  A Caribbean family is in crisis &ndash; three brothers are pulled into a dangerous game with the Devil in this fanciful, dark, and ultimately hopeful story of battling despair through fierce humor and love.</p>			</p>    			<br><br>",<br /> 						Cambridge,450 Massachusetts Avenue,02139,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/440723995/ti-jean_medium.jpg,MA,,-71.100953,Ti-Jean & His Brothers,http://www.artsboston.org/event/detail/440723995/TiJean_His_Brothers_,"$40 for adults, $30 for seniors, $25 for students, and $20 student rush, when available","The regular schedule for all performances is Wednesdays and Thursdays at 7:30 PM, Fridays and Saturdays at 8 PM, with matinees on Sundays at 2 PM. There will be no Wednesday evening performance on February 16 or March 2.",42.363593,02/10/2011
Trinity Repertory Company,03/13/2011,"Fear stalks the people of Salem. Is it the work of the devil? Or has hysteria, malice, and one young woman's lust started a chain of events that will undo a whole community? Trinity boldly re-imagines this American classic.</p>			</p>    			<br><br>",<br /> 						Providence,201 Washington Street,02903,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/440824675/crucible-logo_medium.jpg,RI,,-71.4163147,The Crucible,http://www.artsboston.org/event/detail/440824675/The_Crucible,Tickets start at $12,Evening showtimes are 7:30PM Matinee showtimes are 2:00PM,41.8221136,02/04/2011
The Opera House,03/20/2011,"The world&rsquo;s most famous nanny will arrive in Boston. Combining the best of the original stories by P. L. Travers and the beloved Walt Disney film, the Tony&reg; Award winning MARY POPPINS is everything you&rsquo;d hope for in a Broadway musical&mdash;and more. Produced by Disney and Cameron Mackintosh, the show includes such wonderful songs as &quot;Chim Chim Cher-ee&quot;,&quot; A Spoonful of Sugar&quot;, &quot;Let&rsquo;s Go Fly a Kite&quot; and, of course, &quot;Supercalifragilisticexpialidocious&quot;. The NY Daily News hails MARY POPPINS as &ldquo;a roof-raising, toe-tapping, high-flying extravaganza!&rdquo; Let your imagination take flight at this perfectly magical musical!</p>			</p>    			<br><br>",<br /> 						Boston,539 Washington Street,02111,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/440780083/newest_mptitle-tagline4c_lock_medium.jpg,MA,,-71.0622782,Mary Poppins,http://www.artsboston.org/event/detail/440780083/Mary_Poppins,$28-$148,"Tues at 7:30pm, Wed at 7:30pm, Thurs at 7:30pm, Fri at 8pm, Sat at 2pm &amp; 8pm, Sun at 1pm &amp; 6:30pm  (3/17 at 1pm &amp; 7:30pm, 3/20 at 1pm only)",42.3537892,02/17/2011
