mail,address,startDate,venue,eventTitle,endDate,phone,moreInfo
,,06/21/2011,Pioneer Posse Grounds,Barrel Racing - Pioneer Posse Grounds,06/21/2011,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,06/24/2011,BRN4D Arena,Barrel Racing - BRN4D Arena,06/26/2011,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,07/05/2011,Pioneer Posse Grounds,Barrel Racing - Pioneer Posse Grounds,07/05/2011,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,07/19/2011,Pioneer Posse Grounds,Barrel Racing - Pioneer Posse Grounds,07/19/2011,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,07/22/2011,BRN4D Arena,Barrel Racing - BRN4D Arena,07/24/2011,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,08/02/2011,Pioneer Posse Grounds,Barrel Racing - Pioneer Posse Grounds,08/02/2011,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,08/12/2011,BRN4D Arena,Barrel Racing - BRN4D Arena,08/14/2011,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,08/16/2011,Pioneer Posse Grounds,Barrel Racing - Pioneer Posse Grounds,08/16/2011,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,08/19/2011,BRN4D Arena,Barrel Racing - BRN4D Arena,08/21/2011,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,08/30/2011,Pioneer Posse Grounds,Barrel Racing - Pioneer Posse Grounds,08/30/2011,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,09/02/2011,BRN4D Arena,Barrel Racing - BRN4D Arena,09/04/2011,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,09/16/2011,BRN4D Arena,Barrel Racing - BRN4D Arena,09/18/2011,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
office@dleforkranch.net,"2275 Eastside Hwy, Corvallis, OR  , CORVALLIS, MT 59828",02/24/2011,Diamond A Arena,Barrel Racing - Diamond A Arena,02/24/2011,406-642-3315&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
office@dleforkranch.net,"2275 Eastside Hwy, Corvallis, OR  , CORVALLIS, MT 59828",03/10/2011,Diamond A Arena,Barrel Racing - Diamond A Arena,03/10/2011,406-642-3315&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,01/07/2012,"Clackamas Co Fairgrounds, Ely Arena","Barrel Racing - Clackamas Co Fairgrounds, Ely Arena",01/07/2012,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,02/04/2012,"Clackamas Co Fairgrounds, Ely Arena","Barrel Racing - Clackamas Co Fairgrounds, Ely Arena",02/04/2012,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,03/03/2012,"Clackamas Co Fairgrounds, Ely Arena","Barrel Racing - Clackamas Co Fairgrounds, Ely Arena",03/03/2012,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,04/07/2012,"Clackamas Co Fairgrounds, Ely Arena","Barrel Racing - Clackamas Co Fairgrounds, Ely Arena",04/07/2012,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
office@dleforkranch.net,"2275 Eastside Hwy, Corvallis, OR  , CORVALLIS, MT 59828",03/24/2011,Diamond A Arena,Barrel Racing - Diamond A Arena,03/24/2011,406-642-3315&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
pbha@localaccess.com,"Vail loop Road, YELM, WA",03/05/2011,Stewarts Arena,Barrel Racing - Pacific Barrel Horse Assciaiton,03/06/2011,360-273-6446 or cell 360-789-4289&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
danapet@sbcglobal.net,"3200 Robertson Park Ave, LIVERMORE, CA",02/26/2011,Robertson Park Arena,Barrel Racing - Robertson Park Winter Award Series Race #2,02/26/2011,530-272-1083&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
sharra@run2win.net,"600 South CHurch St , IONE, CA 95640",03/05/2011,Howard Park Indoor Arena,Barrel Racing - Run2Win Winter Buckle Series,03/05/2011,530-520-4846&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
danapet@sbcglobal.net,"3200 Robertson Park Rd, LIVERMORE, CA",03/19/2011,Robertson Park Arena,Barrel Racing - Robertson Park Winter Award Series Race #3,03/19/2011,530-272-1083&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
pbha@localaccess.com,"ELMA, WA",04/30/2011,Grays Harbor Fairgrounds,Barrel Racing - Pacific Barrel Horse Association,05/01/2011,360-789-4289&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
danapet@sbcglobal.net,"3200 Robertson Park Rd, LIVERMORE, CA",04/23/2011,Robertson Park Arena,Barrel Racing - Robertson Park Arena,04/24/2011,530-272-1083&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
pbha@localaccess.com,"12648 175th Ave, ROCHESTER, WA",06/25/2011,Rock N Horse Arena,Barrel Racing - Pacific Barrel Horse Association,06/26/2011,360-789-4289&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
pbha@localaccess.com,"175th Ave, ROCHESTER, WA",07/16/2011,Rock N Horse Arena,Barrel Racing - Pacific Barrel Horse Association,07/17/2011,360-789-4289&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
pbha@localaccess.com,"ELMA, WA",10/15/2011,Grays Harbor Fairgrounds,Barrel Racing - Pacific Barrel Horse Association,10/16/2011,360-789-4289&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
leachiv@gmail.com,"Iinterstate 5 Exit 123, ROSEBURG, OR",02/26/2011,Douglas Co. Fairgrounds River Arena,Barrel Racing - Roseburg SOGO Double Headers,02/26/2011,541 673-0690    541 580-3683&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
leachiv@gmail.com,"Exit 123 off Interstate 5, ROSEBURG, OR",03/19/2011,Douglas Co. Fairgrounds River Arena,Barrel Racing - Roseburg SOGO Double Headers,03/19/2011,541 673-0690    541 580-3683&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,05/08/2011,Buckin Roll Ranch Arena,Barrel Racing - Buckin Roll Ranch Arena,05/08/2011,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,05/15/2011,Pioneer Posse Grounds,Barrel Racing - Pioneer Posse Grounds,05/15/2011,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,08/20/2011,Buckin Roll Ranch Arena,Barrel Racing - Buckin Roll Ranch Arena,08/21/2011,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
S11755@aol.com,"33 Road O NW, QUINCY, WA",03/19/2011,Lazy 6R Arena,Barrel Racing - Lazy 6R Arena,03/19/2011,(509) 965-4570  OR (509)764-1798&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
12basket@wildblue.net,"309 E Insert Rd , DEER PARK, WA 99006",03/27/2011,Diamond Pine Ranch,Barrel Racing - Diamond Pine Spring Saddle Series Race #1,03/27/2011,509-991-1566&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
12basket@wildblue.net,"309 E Insert Rd , DEER PARK, WA 99006",04/17/2011,Diamond Pine Ranch,Barrel Racing - Diamond Pine Spring Saddle Series Race #2,04/17/2011,509-991-1566&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
12basket@wildblue.net,"309 E Insert Rd , DEER PARK, WA 99006",05/08/2011,Diamond Pine Ranch,Barrel Racing - Diamond Pine Ranch,05/08/2011,509-991-1566&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
12basket@wildblue.net,"309 E Insert Rd , DEER PARK, WA 99006",05/22/2011,Diamond Pine Ranch,Barrel Racing - Diamond Pine Spring Saddle Series Race #5,05/22/2011,509-991-1566&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
12basket@wildblue.net,"309 E Insert Rd , DEER PARK, WA 99006",06/05/2011,Diamond Pine Ranch,Barrel Racing - Diamond Pine Ranch,06/05/2011,509-991-1566&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
12basket@wildblue.net,"309 E Insert Rd , DEER PARK, WA 99006",07/16/2011,Diamond Pine Ranch,Barrel Racing - Diamond Pine Summer Extravaganza - Outdoor Arena,07/17/2011,509-991-1566&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
pbha@localaccess.com,"175th Ave, ROCHESTER, WA",08/06/2011,Rock N Horse Arena,Barrel Racing - Pacific Barrel Horse Association,08/07/2011,360-789-4289&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
sharra@run2win.net,"600 South CHurch St , IONE, CA 95640",03/05/2011,Howard Park Indoor Arena,Barrel Racing - Run2Win Winter Buckle Series,03/05/2011,530-520-4846&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
lfastponies@oigp.net,"CENTRAL POINT, OR",03/13/2011,Jackson County Fairgrounds,Barrel Racing - SOBRA Winter Series,03/13/2011,541-761-6092&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
wolkau@gmail.com,"17037 S.W. Alfalfa Road  , POWELL BUTTE, OR 97753",03/20/2011,Rim Rock Riders Event Center,Barrel Racing - T3BT RIM ROCK RIDERS DOUBLE HEADER,03/20/2011,541-815-8334&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
wolkau@gmail.com,"17037 S.W. Alfalfa Road  , POWELL BUTTE, OR 97753",04/16/2011,Rim Rock Riders Event Center,Barrel Racing - T3BT RIM ROCK RIDERS DOUBLE HEADER,04/16/2011,541-815-8334&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
rodeorose@ados.net,"54444 Kalberer Rd.  , SCAPPOOSE, OR 97056",04/16/2011,Strobel's Arena,Barrel Racing - Strobel's Spring Series,04/17/2011,503-936-4304&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
rodeorose@ados.net,"54444 Kalberer Rd.  , SCAPPOOSE, OR 97056",05/07/2011,Strobel's Arena,Barrel Racing - Strobel's Spring Series,05/08/2011,503-936-4304&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
rodeorose@ados.net,"54444 Kalberer Rd.  , SCAPPOOSE, OR 97056",06/04/2011,Strobel's Arena,Barrel Racing - Strobel's Spring Series,06/05/2011,503-936-4304&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
rodeorose@ados.net,"54444 Kalberer Rd.  , SCAPPOOSE, OR 97056",07/30/2011,Strobel's Arena,Barrel Racing - Strobel's Summer/Fall Series,07/31/2011,503-936-4304&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
rodeorose@ados.net,"54444 Kalberer Rd.  , SCAPPOOSE, OR 97056",08/27/2011,Strobel's Arena,Barrel Racing - Strobel's Summer/Fall Series,08/28/2011,503-936-4304&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
rodeorose@ados.net,"54444 Kalberer Rd.  , SCAPPOOSE, OR 97056",10/22/2011,Strobel's Arena,Barrel Racing - Strobel's Summer/Fall Series,10/23/2011,503-936-4304&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
bearwash1@clearwire.net,"TRI-CITIES, WA",03/20/2011,TBA,Barrel Racing - TBA,03/20/2011,509-845-7445&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
kathleenshelton@yahoo.com,"694 NE 4th Avenue  , CANBY, OR 97013",05/15/2011,Clackamas County Fairgrounds,Barrel Racing - Clackamas County Fairgrounds,05/15/2011,503-539-5639&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
rodeorose@ados.net,"54444 Kalberer Rd  , SCAPPOOSE, OR 97056",10/01/2011,Strobel's Arena,Barrel Racing - Strobel's Summer/Fall Series,10/02/2011,503-936-4304&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
judyrowland@qwestoffice.net,"4066 Lucky Lane , LEWISTON, ID 83501",03/19/2011,Rockin Y Stables and Event Center,Barrel Racing - Rockin Y Stables and Event Center,03/19/2011,208-743-2921 / 208-790-0375&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
judyrowland@qwestoffice.net,"4600 Tammany Creek Road , LEWISTON, ID 83501",03/12/2011,Rockin Y Arena,Barrel Racing - Winter Saddle Series Rockin Y Arena,03/12/2011,208-790-0375 / 208-816-0141&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
bobomac@charter.net,"6600 Burden Blvd , PASCO, WA 99302",04/01/2011,TRAC,Barrel Racing - TRAC,04/03/2011,509-520-3756&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
office@dbleforkranch.net,"2275 Eastside Hwy, Corvallis, OR  , CORVALLIS, MT 59828",02/24/2011,Diamond A Arena,Barrel Racing - Diamond A Arena,02/24/2011,406-642-3315&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
mmytty@msn.com,"12521 Arena Drive  , LOLO, MT 59847",03/02/2011,Lolo Peak Arena,Barrel Racing - Lolo Peak Arena,03/02/2011,406-273-4763&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
office@dbleforkranch.net,"2275 Eastside Hwy, Corvallis, OR  , CORVALLIS, MT 59828",03/10/2011,Diamond A Arena,Barrel Racing - Diamond A Arena,03/10/2011,406-642-3315&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
mmytty@msn.com,"12521 Arena Drive  , LOLO, MT 59847",03/16/2011,Lolo Peak Arena,Barrel Racing - Lolo Peak Arena,03/16/2011,406-273-4763&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
office@dbleforkranch.net,"2275 Eastside Hwy, Corvallis, OR  , CORVALLIS, MT 59828",03/24/2011,Diamond A Arena,Barrel Racing - Diamond A Arena,03/24/2011,406-642-3315&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
mmytty@msn.com,"12521 Arena Drive  , LOLO, MT 59847",03/30/2011,Lolo Peak Arena,Barrel Racing - Lolo Peak Arena,03/30/2011,406-273-4763&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,03/06/2011,Clark Co Saddle Club,Barrel Racing - Clark Co Saddle Club,03/06/2011,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,03/13/2011,Appleatchee riders Indoor arena,Barrel Racing - Appleatchee riders Indoor arena,03/13/2011,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
pbha@localaccess.com,"Vail loop Road, YELM, WA",03/26/2011,Stewarts Arena,Barrel Racing - Pacific Barrel Horse Assciaiton,03/27/2011,360-273-6446 or cell 360-789-4289&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
masdr@my180.net,"S 9th Avenue &amp; Orchard St, WALLA WALLA, WA",04/08/2011,Walla Walla Fairgrounds,Barrel Racing - Barrel Daze,04/10/2011,509-522-1137 or 509-520-6302&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
&nbsp;,"1130 Circle Street , WENATCHEE, WA 98801",04/15/2011,Appleatchee Riders Outdoor/Indoor Arena,Barrel Racing - Appleatchee Riders Outdoor/Indoor Arena,04/17/2011,360-580-1168&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
bobomac@charter.net,"6600 Burden Blvd , PASCO, WA 99302",05/14/2011,TRAC,Barrel Racing - Best of Barrels Only Series,05/14/2011,509-520-3756&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
Joy@featherlandranch.com,"5297 So. Naches Rd  , NACHES, WA 98937",05/21/2011,Featherland Ranch,Barrel Racing - May Madness,05/22/2011,509-945-2201 or 509-966-0726&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
pbha@localaccess.com,"12648 175th Ave, ROCHESTER, WA",06/25/2011,Rock N Horse Arena,Barrel Racing - Pacific Barrel Horse Association,06/26/2011,360-789-4289&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
pbha@localaccess.com,"175th Ave, ROCHESTER, WA",09/03/2011,Rock N Horse Arena,Barrel Racing - Pacific Barrel Horse Association,09/04/2011,360-789-4289&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
suzbarnes@mac.com,"10300 S. Miller Rd, BUCKEYE, AZ",03/19/2011,South Buckeye Equestrian &amp; Event Center,"Barrel Racing - 2nd Annual $10,000 Pot O'Gold Super Side Pot",03/20/2011,602-790-1530&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
judyf@pocketinet.com,"Ninth &amp; Orchard, WALLA WALLA, WA",02/26/2011,Walla Walla Expo Building,Barrel Racing - Walla Walla Winter Barrel Racing Series,02/26/2011,509-520-3756 or 509-529-1869&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
Melissa.bieber@pmrmtg.com,"10505 NE 117th Ave  , VANCOUVER, WA 98662",02/26/2011,Clark County Saddle Club,Barrel Racing - Clark Co Barrel Racer's Winter Series 2011,02/26/2011,360-608-6132&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
BbarFarena@aol.com,"11109 Vail Rd, YELM, WA",02/27/2011,Stewart's Arena,Barrel Racing - B-F PRODUCTIONS,02/27/2011,360-981-8733 OR 360-894-5667&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
Viki - 360-520-0004&nbsp;  			boultinghouseb@yahoo.com,"1040 Gore Rd, SALKUM, WA",03/04/2011,Rocky Top Arena,Barrel Racing - District 08 Prime Race,03/04/2011,Kay - 360-636-0357,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
&nbsp;,"6409 Sandridge Rd  , LONG BEACH, WA 98631",03/05/2011,Red Barn Arena,Barrel Racing - Red Barn Arena,03/05/2011,360-642-2009&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
bobomac@charter.net,"6600 Burden Blvd, PASCO, WA",03/05/2011,TRAC,Barrel Racing - Best of Barrels Only series 2011,03/05/2011,509-520-3756&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
pbha@localaccess.com,"Vail loop Road, YELM, WA",03/05/2011,Stewarts Arena,Barrel Racing - Pacific Barrel Horse Assciaiton,03/06/2011,360-273-6446 or cell 360-789-4289&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
jsauve@wecon.com,"1130 S Circle Street  , WENATCHEE, WA 98801",03/06/2011,Appleatchee Riders Indoor Arena,Barrel Racing - Appleatchee Riders Double  Header,03/06/2011,509-669-2636&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
nancyb@ipns.com,"RIDGEFIELD, WA",03/11/2011,Clark Co Fairgrounds,Barrel Racing - Clark Co Fairgrounds,03/13/2011,503-656-8181&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
Jackiegudmundson@yahoo.com,"17009 May Creek Rd, GOLD BAR, WA",03/12/2011,Ler 'er Buck Corrals,Barrel Racing - Gudmundson's Good Times Events,03/12/2011,425-314-6600&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
j_meq@yahoo.com,"3953 Airway Dr , MOSES LAKE, WA 98837",03/12/2011,Grant County Fairgrounds Ardell Pavilion,Barrel Racing - CBBRC Spring Classic,03/13/2011,509-237-1790&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
BbarFarena@aol.com,"11109 Vail Rd, YELM, WA",03/19/2011,Stewart's Arena,Barrel Racing - B-F PRODUCTIONS,03/19/2011,360-981-8733 OR 360-894-5667&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
S11755@aol.com,"33 Road O NW, QUINCY, WA",03/19/2011,Lazy 6R Arena,Barrel Racing - Lazy 6R Arena,03/19/2011,(509) 965-4570  OR (509)764-1798&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
Melissa.bieber@pmrmtg.com,"10505 NE 117th Ave  , VANCOUVER, WA 98662",03/19/2011,Clark County Saddle Club,Barrel Racing - Clark Co Barrel Racer's Winter Series 2011,03/19/2011,360-608-6132&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
evergreenbarrelracingassociation@yahoo.com,"11109 Vail Rd Se .... , YELM, WA 98597",03/20/2011,Stewart's Arena,Barrel Racing - Evergreen Barrel Racing Association,03/20/2011,253 576 1905&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
rockytoparena@aol.com,"1040 Gore Rd  , SALKUM, WA 98582",03/20/2011,Rocky Top Arena,Barrel Racing - Rocky Top Arena,03/20/2011,360-520-0004&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
bearwash1@clearwire.net,"TRI-CITIES, WA",03/20/2011,TBA,Barrel Racing - TBA,03/20/2011,509-845-7445&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
bessfairbank@comcast.net,"1775 Front Stsh. , LYNDEN, WA 98264",03/25/2011,Northwest Washington Fairgrounds,Barrel Racing - Northwest Speed Events,03/27/2011,360-393-7453&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
judyf@pocketinet.com,"Ninth &amp; Orchard, WALLA WALLA, WA",03/26/2011,Walla Walla Expo Building,Barrel Racing - Walla Walla Winter Barrel Racing Series,03/26/2011,509-520-3756 or 509-529-1869&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
pbha@localaccess.com,"Vail loop Road, YELM, WA",03/26/2011,Stewarts Arena,Barrel Racing - Pacific Barrel Horse Assciaiton,03/27/2011,360-273-6446 or cell 360-789-4289&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
12basket@wildblue.net,"309 E Insert Rd , DEER PARK, WA 99006",03/27/2011,Diamond Pine Ranch,Barrel Racing - Diamond Pine Spring Saddle Series Race #1,03/27/2011,509-991-1566&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
&nbsp;,"6409 Sandridge Rd  , LONG BEACH, WA 98631",03/27/2011,Red Barn Arena,Barrel Racing - Red Barn Arena,03/27/2011,360-642-2009&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,03/27/2011,&nbsp;,Barrel Racing - &nbsp;,03/27/2011,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
bobomac@charter.net,"6600 Burden Blvd , PASCO, WA 99302",04/01/2011,TRAC,Barrel Racing - TRAC,04/03/2011,509-520-3756&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
masdr@my180.net,"S 9th Avenue &amp; Orchard St, WALLA WALLA, WA",04/08/2011,Walla Walla Fairgrounds,Barrel Racing - Barrel Daze,04/10/2011,509-522-1137 or 509-520-6302&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
&nbsp;,"6409 Sandridge Rd  , LONG BEACH, WA 98631",04/09/2011,Red Barn Arena,Barrel Racing - Red Barn Arena,04/09/2011,360-642-2009&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
&nbsp;,"1130 Circle Street , WENATCHEE, WA 98801",04/15/2011,Appleatchee Riders Outdoor/Indoor Arena,Barrel Racing - Appleatchee Riders Outdoor/Indoor Arena,04/17/2011,360-580-1168&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
12basket@wildblue.net,"309 E Insert Rd , DEER PARK, WA 99006",04/17/2011,Diamond Pine Ranch,Barrel Racing - Diamond Pine Spring Saddle Series Race #2,04/17/2011,509-991-1566&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
Viki - 360-520-0004&nbsp;  			boultinghouseb@yahoo.com,"1040 Gore Rd, SALKUM, WA",04/22/2011,Rocky Top Arena,Barrel Racing - District 08 Prime Race,04/22/2011,Kay - 360-636-0357,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
BbarFarena@aol.com,"11109 Vail Rd, YELM, WA",04/23/2011,Stewart's Arena,Barrel Racing - B-F PRODUCTIONS,04/23/2011,360-981-8733 OR 360-894-5667&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,04/23/2011,&nbsp;,Barrel Racing - &nbsp;,04/23/2011,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
frankmi@cwu.edu,"512 North Poplar Street , ELLENSBURG, WA 98926",04/24/2011,Ellensburg Rodeo Arena,Barrel Racing - CWU Rodeo Club Barrel/ Saddle Series,04/24/2011,509-989-5081&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
bcjfra@gmail.com,"38804 N. Hayes Rd., BENTON CITY, WA",04/30/2011,BCJFRA Arena,Barrel Racing - Benton Co Jr Fair &amp; Rodeo Association,05/01/2011,509-302-8384 or 509-539-5834&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
