title,website,ticketPhone,latitude,dates,moreInfoLink,city,address,description,venue,longitude,email,state,zipcode,image
In Good Company: Living With the Saints,http://www.fmcommuniversity.org,218-299-3438,46.8302026,04/02/2011-04/16/2011,http://fmarea.culturepulse.org/event/detail/440993683/In_Good_Company_Living_With_the_Saints,Fargo,1200 Harwood Drive,"This is a three-week course designed to apply the teaching and life experiences of Christian saints to contemporary life.    It will examine the lives of several historic and modern saints including Saint Jude, Ignatius of Loyola, Joan of Arc, and Th&eacute;r&egrave;se of Lisieux.  Additionally, several recent religious figures not yet canonized will be discussed, including the Trappist monk Thomas Merton and Mother Teresa of Calcutta.</p>			</p>    			<br><br>",Waterford,-96.7969781,communiversity@cord.edu,ND,58103,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/placeholder.png
"Ethnic Detectives in Fiction and Film: Charlie Chan, Joe Leaphorn and Jim Chee, and Zorro",http://www.fmcommuniversity.org,218-299-3438,,04/02/2011-04/16/2011,http://fmarea.culturepulse.org/event/detail/440993691/Ethnic_Detectives_in_Fiction_and_Film_Charlie_Chan_Joe_Leaphorn_and_Jim_Chee_and_Zorro,Fargo,5300 12th Street South,We'll examine the backgrounds of Chinese - American detective Charlie Chan and view one of his films starring Sidney Toler (1930s); the Navajo culture of Tony Hillerman's detectives Joe Leaphorn and Jim Chee and view A Thief of Time; and the Old California culture of Zorro and view one of his exciting films.</p>			</p>    			<br><br>,Riverview Place,,communiversity@cord.edu,ND,58104,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/placeholder.png
Butterfly Ball,http://www.fargoparks.com,241-8160,46.856102,04/08/2011-04/15/2011,http://fmarea.culturepulse.org/event/detail/441094123/Butterfly_Ball,Fargo,1635 42nd Street South,"A semi-formal event for girls ages 4-12 and their dad, uncle or grandfather.</p>			</p>    			<br><br>",Ramada Plaza Suites,-96.852518,,ND,58103,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/org/371/parks_logo_medium.jpg
Minnesota Crime Wave,,218-233-7594,46.8731451,04/14/2011,http://fmarea.culturepulse.org/event/detail/441152071/Minnesota_Crime_Wave,Moorhead,118 5th Street South,"Meet MN mystery authors William Kent Krueger, Ellen Hart, and Carl Brookins.  Learn their tips and tricks to writing mystery novels and about publishing their work.</p>			</p>    			<br><br>",Moorhead Library,-96.7718482,,MN,56560,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/event/441152071/larl_logo_medium.jpg
Percussion Ensemble Young Person's Concert,,218-299-4515,46.8621198,04/08/2011,http://fmarea.culturepulse.org/event/detail/440858921/Percussion_Ensemble_Young_Persons_Concert,Moorhead,12th Avenue and 7th Street South,At-a-<br>Glance     <ul>       <li>       Venue Info,Concordia Memorial Auditorium,-96.7694149,,MN,56562,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/org/387/concordia_222_medium.jpg
Fubuki Daiko-Performing Arts Series,,218-299-4366,46.8621198,04/09/2011,http://fmarea.culturepulse.org/event/detail/440858809/Fubuki_DaikoPerforming_Arts_Series,Moorhead,12th Avenue and 7th Street South,"Fubuki Daiko (Blizzard Drums) catapults Japanese Drumming into the 21st Century. Hints of jazz and funk fuse modern and ancient elements to create a truly unique experience that&rsquo;s part athleticism, part dance, and all rhythm. Fubuki Daiko&rsquo;s high-powered style and raw spirit of Japanese drumming is best appreciated in live performance. Their repertoire of hard-driving rhythms and subtle, reflective melodies transcends musical boundaries and appeals to people of all ages and backgrounds.</p>			</p>    			<br><br>",Concordia Memorial Auditorium,-96.7694149,,MN,56562,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/event/440858809/fubuki_posed_medium.jpg
Day of Percussion,,218-299-4515,46.8621198,04/09/2011,http://fmarea.culturepulse.org/event/detail/440858925/Day_of_Percussion_,Moorhead,12th Avenue and 7th Street South,At-a-<br>Glance     <ul>       <li>       Venue Info,Concordia Memorial Auditorium,-96.7694149,,MN,56562,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/org/387/concordia_222_medium.jpg
Percussion Ensemble Concert,,218-299-4515,46.8621198,04/09/2011,http://fmarea.culturepulse.org/event/detail/440858927/Percussion_Ensemble_Concert,Moorhead,12th Avenue and 7th Street South,At-a-<br>Glance     <ul>       <li>       Venue Info,Concordia Memorial Auditorium,-96.7694149,,MN,56562,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/event/440858927/conpurc_medium.jpg
Handbell Choir Concert,,218-299-4366,46.8646529,04/10/2011,http://fmarea.culturepulse.org/event/detail/440858929/Handbell_Choir_Concert,Moorhead,901 South 8th Street,At-a-<br>Glance     <ul>       <li>       Venue Info,Concordia Knutson Center Centrum,-96.770257,,MN,56562,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/org/387/concordia_222_medium.jpg
F-M Golden Notes New Horizons Band,,,46.8587,04/13/2011,http://fmarea.culturepulse.org/event/detail/440724405/FM_Golden_Notes_New_Horizons_Band,Moorhead,1405 7th Street South,"Polkas, waltzes, marches performed by the area's best!</p>			</p>    			<br><br>",Eventide Assisted Living Center,-96.76854,,MN,56560,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/event/440724405/nhb_jim_medium.jpg
Lorie Line and Her Fab Five,,218.299.4240,46.8621198,04/15/2011,http://fmarea.culturepulse.org/event/detail/441198391/Lorie_Line_and_Her_Fab_Five,Moorhead,12th Avenue and 7th Street South,Lorie Line and Her Fab Five - Live in Concert</p>			</p>    			<br><br>,Concordia Memorial Auditorium,-96.7694149,,MN,56562,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/event/441198391/_mg_5825_medium.jpg
Percussion Festival,http://www.thenightfire.org,701-799-3284,46.8833179,04/16/2011,http://fmarea.culturepulse.org/event/detail/441198537/Percussion_Festival,Fargo,124 North Terrace,Percussion Festival featuring perfomances by area percussion ensembles and drum lines as well as percussion clinics.  Featured Clinician: Dr. Kenyon Williams who will teach the basics of Samba Batucada and Samba Reggae.</p>			</p>    			<br><br>,Oak Grove,-96.7727428,,ND,58102,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/event/441198537/fmdrum_medium_medium.jpg
The Splendor of Russia,http://www.fmsymphony.org,218-233-8397,46.8963375,04/16/2011-04/17/2011,http://fmarea.culturepulse.org/event/detail/440843675/The_Splendor_of_Russia,12th Ave. N. & Bolley Drive<br />						Fargo,"Festival Concert Hall, NDSU, Reineke Fine Arts Cen","Experience the Splendor of Russia through the glorious sounds of orchestral music and the delicious flavors of fine cuisine!  The acclaimed Fargo-Moorhead Symphony Orchestra, conducted by Music Director Bernard Rubenstein will take you on a thrilling journey for this fifth and final concert of the Taste The World series.</p> <p>&nbsp;</p> <p>This concert promises to be a journey like no other with performances of Kabalevsky&rsquo;s Colas Breugnon Overture, and Rachmanininoff&rsquo;s Symphonic Dances.  Sergei Prokofiev&rsquo;s film music masterpiece, Alexander Nevsky will bring this season to a thunderous close with the breathtakingly dramatic tale of a Medieval Russian hero brought to life by a 150-voice chorus and mezzo soprano Holly Wrensch.</p> <p>&nbsp;</p>			</p>    			<br><br>",NDSU Festival Concert Hall,-96.8063616,,ND,58105,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/event/440843675/mw5_lg_medium.jpg
Oratorio,,218-299-4366,46.8621198,04/17/2011,http://fmarea.culturepulse.org/event/detail/440858945/Oratorio,Moorhead,12th Avenue and 7th Street South,At-a-<br>Glance     <ul>       <li>       Venue Info,Concordia Memorial Auditorium,-96.7694149,,MN,56562,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/org/387/concordia_222_medium.jpg
Symphonia Concert,,218-299-4366,46.8646529,04/19/2011,http://fmarea.culturepulse.org/event/detail/440858953/Symphonia_Concert,Moorhead,901 South 8th Street,At-a-<br>Glance     <ul>       <li>       Venue Info,Concordia Knutson Center Centrum,-96.770257,,MN,56562,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/org/387/concordia_222_medium.jpg
The 2010-2011 Cheryl Nelson Lossett Performing Arts Series,,218-477-2271,46.8673504,04/30/2011,http://fmarea.culturepulse.org/event/detail/440817414/The_20102011_Cheryl_Nelson_Lossett_Performing_Arts_Series,Moorhead,1104 7th Avenue South,"Where Angels Sing and Devils Fiddle  Four powerful, exciting and culturally diverse musical events.</p> <p>Roby Lakatos-He's called a &quot;devil's fiddler,&quot; born into the legendary family of gypsy violinists decended from Janor Bihari, &quot;King of Gypsy Violinists.&quot;&nbsp; He's coming from Budapest with his ensemble of four gypsy musicians to mesmerize us with scorching virtuosity and charm.</p> <p>Hansen Theatre-All performances are in MSUM's Roland Dille Center for the Performing Arts. Season subscriptions for two or more performances available now! Purchase online at www.mnstate.edu/perform, or call the MSUM Box Office at 218-477-2271 M-F from noon to 4 PM.</p>			</p>    			<br><br>",MSUM Hansen Theatre,-96.7619771,,MN,56560,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/event/440817414/robylakatosensemble_medium.jpg
Commencement Concert,,218-299-4366,46.8621198,04/30/2011,http://fmarea.culturepulse.org/event/detail/440858955/Commencement_Concert,Moorhead,12th Avenue and 7th Street South,At-a-<br>Glance     <ul>       <li>       Venue Info,Concordia Memorial Auditorium,-96.7694149,,MN,56562,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/org/387/concordia_222_medium.jpg
"The White Album, The Beatles Meet the Plains",http://www.plainsart.org,701.232.3821,46.876754,05/18/2010-04/17/2011,http://fmarea.culturepulse.org/event/detail/6503/The_White_Album_The_Beatles_Meet_the_Plains,Fargo,704 1st Avenue North,"How do music and visual art connect, intersect, or speak to each other? Explore these ideas in The White Album exhibition. This innovative exhibition offers fresh perspectives on the Museum&rsquo;s permanent collection by using the Beatle&rsquo;s 1968 release, popularly known as The White Album but technically called The Beatles, as an organizing template for the exhibition. The project is curated by Plains Art Museum Director Colleen Sheehy and a team of three students&mdash;Chris Gion, Kaylyn Gerenz, and Sarah Simon&mdash;with early contributions by Carin Jorgensen and Rebecca Seelig Donley.</p>			</p>    			<br><br>",Plains Art Museum,-96.79198,museum@plainsart.org,ND,58102,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/event/6503/starwallowing1_medium.jpg
"""EXPLORING NOW: 365 DAYS TO 50"" Art Exhibition",http://www.cmp365daysto50.wordpress.com,,,01/04/2011-04/30/2011,http://fmarea.culturepulse.org/event/detail/441087903/EXPLORING_NOW_365_DAYS_TO_50_Art_Exhibition,Fargo,69 Fourth Street North,"An interactive work-in-progress by Claudia M. Pratt that solicits ideas, shares inspirations and documents living in the moment through an art installation environment and daily photographs February 28, 2011 through February 2012. See the exhibit evolve weekly through April 30, 2011.</p>			</p>    			<br><br>",Green Market Kitchen,,,ND,58102,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/event/441087903/exploring_now_clock_medium.jpg
Photography by Faylin Myhre,,701-642-2811,46.2618276,04/01/2011-04/30/2011,http://fmarea.culturepulse.org/event/detail/441182687/Photography_by_Faylin_Myhre,Wahpeton,304 South 5th Street,Photography by Faylin Myhre will be featured at the Wahpeton Community Center during the month of April.</p>			</p>    			<br><br>,Wahpeton Community Center,-96.6069171,,ND,58075,"http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/event/441182687/faylin_myhre-april,_2011_medium.jpg"
Senior Art Exhibition,,218-299-4623,46.8646529,04/12/2011-05/01/2011,http://fmarea.culturepulse.org/event/detail/440858941/Senior_Art_Exhibition,Moorhead,901 8th Street South,Public Reception and awards (5:00 PM) in the gallery 4:30-6:00 PM Tuesday April 12</p>			</p>    			<br><br>,Concordia Cyrus Running Gallery,-96.770257,,MN,56562,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/org/387/concordia_222_medium.jpg
Keys to the Collection: Works from the Permanent Collection,,,46.876754,Ongoing,http://fmarea.culturepulse.org/event/detail/3063/Keys_to_the_Collection_Works_from_the_Permanent_Collection,Fargo,704 1st Avenue North,The art in this exhibition reflects the aesthetic interests of our various communities. Most of the art in the permanent collection was either donated by local collectors or acquired from local and regional artists. The exhibition was rotated in May to feature recent acquisitions while continuing to exhibit favorites and &ldquo;old friends.&rdquo;</p>			</p>    			<br><br>,Plains Art Museum,-96.79198,,ND,58102,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/event/3063/plains_exhib01_medium.jpg
International Harvester Historical Photographs,,,46.876754,Ongoing,http://fmarea.culturepulse.org/event/detail/3065/International_Harvester_Historical_Photographs,Fargo,704 1st Avenue North,"Photographs of the Museum building pre- and post-renovation present the transformation of a warehouse that manufactured farm equipment into a state-of-the-art, accredited art museum.</p>			</p>    			<br><br>",Plains Art Museum,-96.79198,,ND,58102,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/event/3065/plains_original_medium.jpg
The Frederick B. Scheel Photography Collection,http://www.plainsart.org,,46.876754,Ongoing,http://fmarea.culturepulse.org/event/detail/440813077/The_Frederick_B_Scheel_Photography_Collection,Fargo,704 1st Avenue North,"Frederick Benedict Scheel played a number of roles in addition to bring a leader in business. As a collector, he amassed one of the finest collections of photography in the country. As a photographer, he studied with luminaries like Ansel Adams and became a notable photographer in his own right. The Frederick B. Scheel Collection showcases a selection from 267 works by Scheel and others donated to Plains Art Museum by the Scheel family.</p>			</p>    			<br><br>",Plains Art Museum,-96.79198,,ND,58102,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/event/440813077/scheelfren_medium.jpg
What's the BIG DEAL?,http://www.plainsart.org,,46.876754,Ongoing,http://fmarea.culturepulse.org/event/detail/440869240/Whats_the_BIG_DEAL,Fargo,704 1st Avenue North,"Join the PlainsArt Museum for a ONCE-IN-A-LIFETIME EVENT!&nbsp;</p> <p>Celebrate the public unveiling of James Rosenquist's new work, THE NORTH DAKOTA MURAL, commissioned by Plains Art Museum as part of our &quot;There's a Little Artist in All of Us&quot; campaign.</p> <p>SEE this gigantic art work for the first time ever and on Thursday October 7, 2010, meet artist James Rosenquist, one of the key members of the Pop art movement and North Daktoa native. Enjoy free lunch and celebrate the mural as an official part of the Museum's permanent Collection and new attraction for the region.</p>			</p>    			<br><br>",Plains Art Museum,-96.79198,,ND,58102,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/org/108/plainsartbuilding_medium.jpg
"Ethnic Detectives in Fiction and Film: Charlie Chan, Joe Leaphorn and Jim Chee, and Zorro",http://www.fmcommuniversity.org,218-299-3438,46.8018379,04/02/2011-04/16/2011,http://fmarea.culturepulse.org/event/detail/440993691/Ethnic_Detectives_in_Fiction_and_Film_Charlie_Chan_Joe_Leaphorn_and_Jim_Chee_and_Zorro,Fargo,5300 12th Street South,We'll examine the backgrounds of Chinese - American detective Charlie Chan and view one of his films starring Sidney Toler (1930s); the Navajo culture of Tony Hillerman's detectives Joe Leaphorn and Jim Chee and view A Thief of Time; and the Old California culture of Zorro and view one of his exciting films.</p>			</p>    			<br><br>,Riverview Place,-96.80138,communiversity@cord.edu,ND,58104,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/placeholder.png
All Lippa Songs Masterclass with Andrew Lippa,,701-231-7834,46.8903867,04/16/2011,http://fmarea.culturepulse.org/event/detail/441090367/All_Lippa_Songs_Masterclass_with_Andrew_Lippa,Fargo,12th Avenue North and Albrecht Blvd,"Listen to award winning Broadway composer/lyricist Andrew Lippa as he works with area college students regarding vocal and acting techniques utilizing songs written by him.  This event is free and open to the public. <br> Andrew Lippa wrote the music and lyrics for the Broadway musical The Addams Family,  book by Marshall Brickman and Rick Elice (Jersey Boys), which opened in April of 2010 and stars Nathan Lane and Bebe Neuwirth. For his work on this show Mr. Lippa received a Tony nomination for best score and two Drama Desk nominations for best music and best lyrics. Mr. Lippa is proud to have been music director for Kristin Chenoweth since 1999 for many of her concerts.</p>			</p>    			<br><br>",NDSU Walsh Studio Theatre,-96.802062,,ND,58105,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/event/441090367/andrewlippa_medium.jpg
One Day Guided Tour of the Saint John's Bible @St. John's Abbey in Collegeville MN,,Lynn Catherine at 218-299-5511 Ext. 6739 to reserv,46.8770778,05/12/2011,http://fmarea.culturepulse.org/event/detail/441164023/One_Day_Guided_Tour_of_the_Saint_Johns_Bible_St_Johns_Abbey_in_Collegeville_MN,Moorhead,202 1st Avenue North,"The Historical &amp; Cultural Society of Clay County Announces One-Day Guided Tour to see Original Pages from The Saint John&rsquo;s Bible<br> <br> Join the Historical &amp; Cultural Society of Clay County at the Hjemkomst Center on Thursday, May 12 for a trip down to the Saint John&rsquo;s Abbey in Collegeville, Minn. to see original pages from The Saint John&rsquo;s Bible, enjoy a program on the Historical Books, tour the Abbey, and have lunch &ndash; all for only $50 per person.<br> <br> Tentative Itinerary:<br> 7:00 a.m. Depart Hjemkomst Center<br> 8:45 a.m. Coffee break in Alexandria, Minn.<br> 10:00 &ndash; 10:45 a.m. Presentation on the newest volume of The Saint John&rsquo;s Bible &ndash; Historical Books<br> 10:45 &ndash; 11:30 a.m. Viewing original pages in the Bible Gallery<br> 11:30 &ndash; 11:45 a.m. Walk to Abbey church<br> 11:45 a.m. &ndash; 12:15 p.m. Noon Prayer with the Monastic Community<br> 12:30 &ndash; 1:30 p.m. Lunch in a private dining room. Make-Your-Own-Sandwich Deli Buffet with homemade chicken dumpling soup<br> 1:30 &ndash; 2:30 p.m. Tour of the Abbey Church with a member of the monastic community<br> 2:30 &ndash; 3:00 p.m. Down time to revisit places or explore on own<br> 3:00 p.m. Depart for home<br> <br> The tour is hosted by local calligrapher, Anne Kaese, and is open to only HCSCC members through April 1 after which it will be opened to the public. Please call Lynn Catherine at 218-299-5511 Ext. 6739 to reserve your seat today!<br> <br> The Hjemkomst Center is located at 202 First Avenue North in Moorhead.</p>			</p>    			<br><br>",Hjemkomst Center,-96.7794831,,MN,56560,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/event/441164023/stjohnsbiblejpg_medium.jpg
Shakespeare in the Park Auditions,http://www.facebook.com/dlshakespeare,,46.8183276,05/12/2011-05/14/2011,http://fmarea.culturepulse.org/event/detail/441086755/Shakespeare_in_the_Park_Auditions,Detroit Lakes,826 Summit Avenue,"Audition dates: May 12,13,14 2011 <br> <br> Roles for 6 men, 6 women <br> <br> Rehearsals: Weeknights for 6 weeks starting immediately after auditions. <br> <br> Audition selections will be available in April of 2011. Please check back later or visit our fan page at www.facebook.com/dlshakespeare for details. <br> <br> <br> <br> Performs June 24, 25 26 and July 1,2,3 in the Detroit Lakes City Park.</p>			</p>    			<br><br>",Historic Holmes Theatre,-95.8496862,,MN,56501,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/placeholder.png
Gotta Dance Spring Show 2011,http://www.bonniehaneydance.com,218-236-9900,46.8712745,05/20/2011-05/21/2011,http://fmarea.culturepulse.org/event/detail/440842345/Gotta_Dance_Spring_Show_2011,Moorhead,2300 4th Avenue South,"Ages 4 years-teens and adults. Beginner, intermediate, and advanced dance levels.  A magical and diverse showcase of many different styles of dance. Opening the Spring Show with a Broadway Jazz dance, classical ballet of The Swans of Swan Lake, athletic, acrobatic Hip Hop dances, Riverdance style Irish dancing, show stopping tap dances, solo dances, and the famous acrobatic Can-Can dance.</p>			</p>    			<br><br>",Moorhead High School,-96.7423146,bonniehaneydance@gmail.com,MN,56560,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/placeholder.png
Summer Grind,http://www.fargoparks.com,,46.87027,05/15/2011-07/09/2011,http://fmarea.culturepulse.org/event/detail/441094563/Summer_Grind,Fargo,310 4th Street South,"Beginners, intermediate and advanced skaters demonstrate their skills during exhibitions.</p>			</p>    			<br><br>",Dike West,-96.783326,,ND,58103,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/org/371/parks_logo_medium.jpg
Bird Symbolism among Native Cultures,,218-233-7594,46.8731451,05/05/2011,http://fmarea.culturepulse.org/event/detail/441152121/Bird_Symbolism_among_Native_Cultures,Moorhead,118 5th Street South,Presentation featuring how birds are used as symbols in native cultures around the world.  Co-sponsored by MSUM</p>			</p>    			<br><br>,Moorhead Library,-96.7718482,,MN,56560,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/event/441152121/larl_logo_medium.jpg
"Susan Susanka, author of The Not So Big House",http://www.larl.org,218-233-7594,46.8651382,05/20/2011,http://fmarea.culturepulse.org/event/detail/441152125/Susan_Susanka_author_of_The_Not_So_Big_House,901 8th St. S.<br />						Moorhead,"Hvidsten Hall of Music, Concordia College","Learn to reduce your ecological footprint.  Join us for a presentation and Q&amp;A with Sarah Susanka - author and cultural visionary.  Ms. Susanka is leading a movement that is redefining America one &quot;not so big&quot; house at a time.  Book signing to follow.  Admission is free, but limited.  Pick up your tickets at the Moorhead Library</p>			</p>    			<br><br>",Concordia Christiansen Recital Hall,-96.7681478,,MN,56562,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/event/441152125/larl_logo_medium.jpg
Guardians of Ga'Hoole: Scratching the Surface,,218-233-7594,46.8731451,05/07/2011,http://fmarea.culturepulse.org/event/detail/441152123/Guardians_of_GaHoole_Scratching_the_Surface,Moorhead,118 5th Street South,Use scratchboards to create interpretations and images of birds.  Cosponsored by MSUM</p>			</p>    			<br><br>,Moorhead Library,-96.7718482,,MN,56560,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/event/441152123/larl_logo_medium.jpg
My Mother and Me featuring Melba Joyce and Carmen Bradford,,218-359-4JAZ,46.8663963,05/07/2011,http://fmarea.culturepulse.org/event/detail/440859547/My_Mother_and_Me_featuring_Melba_Joyce_and_Carmen_Bradford,Fargo,2525  9th Ave SW,"Celebrate Mother's Day with the Jazz Arts Big Band and vocalists Melba Joyce and Carmen Bradford. This mother-daughter duo will celebrate moms and daughters. Melba&rsquo;s long and impressive career has spanned three decades in the company of such artists as Louis Armstrong, Sarah Vaughn, Lionel Hampton, Tony Bennett, and so many others. Carmen&rsquo;s body of work reflects a vast depth of musical experience and technical brilliance.</p>			</p>    			<br><br>",The Venue at Playmakers,-96.8435758,jag@JazzArtsFM.com,ND,58103,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/org/217/jazz_logo_medium.jpg
Riverdance,,701-241-9100,46.9022578,05/15/2011,http://fmarea.culturepulse.org/event/detail/440858999/Riverdance,Fargo,1800 N University Drive,"Riverdance, the thunderous celebration of Irish music and dance that tapped onto the world stage thrilling millions around the globe, will play one farewell performance at Gate City Bank Theatre - FARGODOME. &ldquo;A family evening unlike anything else!&rdquo; raves The London Times. Discover why nothing in the world compares to the original international phenomenon!   Whether it&rsquo;s your first time or your fifth, you won&rsquo;t want to miss this farewell performance of Riverdance!</p>			</p>    			<br><br>",Fargodome,-96.7980617,,ND,58102,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/event/440858999/riverdance_medium.jpg
Cinderella Auditions,http://www.gooseberryparkplayers.org,2182993728,46.8646529,05/17/2011-05/19/2011,http://fmarea.culturepulse.org/event/detail/441177749/Cinderella_Auditions,Moorhead,901 8th Street South,"Calling all actors and actresses&hellip;. Join the Gooseberry Park Players this summer for a positively gleeful production of Cinderella, the World&rsquo;s Favorite Fairy Tale.  Imagine, Cinderella x4,  in an original pop musical featuring four Cinderella&rsquo;s from four different cultures with four princes and kings, four wicked stepmothers, eight crazy stepsisters and four full choruses all set to pop music and dance.  There are many great female and male roles and lots of tech opportunities.  Students ages 11-18 are invited to audition and there is no activity fee!</p>			</p>    			<br><br>",Concordia Frances Frazier Comstock Theatre,-96.770257,,MN,56562,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/org/345/gooseberry_photo_medium.jpg
Side by Side by Sondheim,http://www.fmct.org,701-235-6778,46.870961,05/19/2011-05/22/2011,http://fmarea.culturepulse.org/event/detail/440839830/Side_by_Side_by_Sondheim,Fargo,333 4th St. S,"The sophistication, wit, insight, heart and genius of Broadway's most innovative and influential artist is at the center of this tribute to composer-lyricist Stephen Sondheim. This dazzling array of some of Sondheim's best-known songs features numbers from landmark shows that revolutionized the musical theatre with their masterful craft and astounding creativity: Company, Follies, A Little Night Music, A Funny Thing Happened On The Way To The Forum, Anyone Can Whistle and Pacific Overtures, not to mention the classics written with musical theatre giants Leonard Bernstein (West Side Story), Jule Styne (Gypsy), and Richards Rodgers (Do I Hear A Waltz</p>			</p>    			<br><br>",Fargo-Moorhead Community Theatre,-96.786051,,ND,58103,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/org/118/fmct_logo_medium.jpg
NDSU Art Cinema Series presents VISUAL ACOUSTICS: THE MODERNISM OF JULIUS SHULMAN,http://www.ndsu.edu/finearts/visual_arts/art_cinema_series/index.html,,46.8797389,05/02/2011,http://fmarea.culturepulse.org/event/detail/440951007/NDSU_Art_Cinema_Series_presents_VISUAL_ACOUSTICS_THE_MODERNISM_OF_JULIUS_SHULMAN,P.O. Box 2190<br />						Fargo,314 Broadway,"Narrated by Dustin Hoffman, VISUAL ACOUSTICS celebrates the life and career of Julius Shulman, the world's greatest architectural photographer, whose images brought modern architecture to the American mainstream. Shulman captured the work of nearly every modern and progressive architect since the 1930s including Frank Lloyd Wright, Richard Neutra, John Lautner and Frank Gehry. His images epitomized the singular beauty of Southern California's modernist movement and brought its iconic structures to the attention of the general public. This unique film is both a testament to the evolution of modern architecture and a joyful portrait of the magnetic, whip-smart gentleman who chronicled it with his unforgettable images.</p>			</p>    			<br><br>",Fargo Theatre,-96.7877098,,ND,58108-2190,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/event/440951007/logo_outbox_centered-1_copy_medium.jpg
Lil' Fishermen's Derby,http://www.fargoparks.com,,46.8727101,06/06/2011,http://fmarea.culturepulse.org/event/detail/441094621/Lil_Fishermens_Derby,Fargo,100 2nd Street S,Participate in a fishing clinic and then put your skills to the test in the fishing derby for a chance to win prizes.</p>			</p>    			<br><br>,Dike East,-96.7812398,,ND,,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/org/371/parks_logo_medium.jpg
F-M Golden Notes New Horizons Band,,,46.8770778,06/08/2011,http://fmarea.culturepulse.org/event/detail/440791943/FM_Golden_Notes_New_Horizons_Band,Moorhead,202 1st Avenue North,"Polkas, waltzes, marches performed by F-M area seniors. Playing selected music to selected audiences..</p>			</p>    			<br><br>",Hjemkomst Center,-96.7794831,,MN,56560,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/org/311/nhbsign_medium.jpg
F-M Golden Notes New Horizons Band Ensemble,,701-478-8904,46.837286,06/09/2011,http://fmarea.culturepulse.org/event/detail/441183387/FM_Golden_Notes_New_Horizons_Band_Ensemble,Fargo,4255 30th Ave South,New Horizons Band Ensemble performing a variety of music for you listening pleasure</p>			</p>    			<br><br>,Bethany on 42nd St,-96.852875,jikinlaw@cableone.net,,58104,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/event/441183387/brassinst_medium.jpg
Trout Fest,http://www.fargoparks.com,,46.81476,06/13/2011,http://fmarea.culturepulse.org/event/detail/441094627/Trout_Fest,Fargo,4406 44th Ave South,"Learn about casting, fly tying, trout and more, plus compete in a derby to win prizes.</p>			</p>    			<br><br>",North Woodhaven Pont,-96.855669,,ND,,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/org/371/parks_logo_medium.jpg
