time,photo,description,venue,address,startDate,endDate,email,website,event,phone,moreInfo,cost
10:00am - 4:00pm,http://www.hawaiieventsonline.com/viewpic.php?id=12749,"Mission Houses Museum - A National Historic Landmark.<br /> The Mission Houses Museum connects the story of the American Protestant missionaries and their descendants to the history and culture of Hawai'i, in order to give present generations of residents and visitors a deeper understanding of, and appreciation for, Hawai'i's rich and complex history.<br /> <br /> Come and pay us a visit at the Mission Houses Museum. You will have the opportunity to visit 3 of Hawai'i's Historical Houses built between 1821 - 1841. Go on a guided tour through these historical houses with our knowledgeable and trained docents and listen to the stories of events that occured in Hawai'i in the 19th century.",Mission Houses Museum,"553 S. King Street,  Honolulu, HI 96813",06/09/2010,12/29/2012,kraquedan@missionhouses.org,http://www.missionhouses.org,Mission Houses Museum,(808) 531-0481,http://www.hawaiieventsonline.com/view.php?eventID=12749,HOUSE ...
4:00pm - 10:00pm,http://www.hawaiieventsonline.com/viewpic.php?id=15416,"Taiko Center of the Pacific offers year-round public classes in TAIKO (Japanese drumming) for all ages and all skill levels. A complete art form for the mind, body, and spirit. CULTURAL, ATHLETIC, MUSICAL and FUN.",Kapiolani Community College,"4303 Diamond Head Road, Honolulu, HI 96816",06/09/2010,12/29/2013,info@taikoarts.com,http://www.taikoarts.com,TAIKO CLASSES,(808) 737-7236,http://www.hawaiieventsonline.com/view.php?eventID=15416,Cost v...
10:00pm - 1:00am,http://www.hawaiieventsonline.com/viewpic.php?id=14055,"808-382-9495<br /> myspace.com/hawaii_usa<br /> <br /> Fan reviews:<br /> Joseph Martel, Editor <br /> Dancing in the Dark Magazine<br /> Arsenio The Band who was in full swing with four lady dancers dressed in yellow costumes gyrating to the tempo of the music. What a treat!<br /> <br /> <br /> More fabulous music with two female singers belting out familiar tunes that wowed the crowd.<br /> Even more fabulous music that hits the soul when Arsenio and band members sang.<br /> <br /> <br /> Then it was Hot Salsa time with a couple dancing some cool and flashy exhibition moves that excited the audience. Almost like watching Dancing With The Stars except it was fast and furious and a lot of continuous spinning for the lady dancer. Good showmanship and terrific dancing!<br /> <br /> <br /> Arsenio The Band closed the half hour show with one of his great renditions that brought thundering applauses from an appreciative audience. <br /> ______________________ <br /> *Live musical Bands, Still Photographer, Mobile DJ/ Karaoke DJ,                Pro Sounds Engineering, Emcee, Rentals, Hula, Salsa Dancers<br /> <br /> Experience Honolulu&rsquo;s most popular cover band, soloist &amp; cover musical bands. With musical experience spanning more than a decade, The band, continues to capture the hearts of many talent professional musicians and singers. With many years of experience performing live on stage, entertaining thousands of patrons at concerts, nightclubs, festivals, weddings, parties and etc&hellip;<br /> No other can surpass the charm and magnetism.  They have captured a wide audience through their high-energy stage performance, and a repertoire covering a wide variety of musical styles from JAZZ, R&amp;B and Contemporary &amp; more. They&rsquo;re secret? Undeniable love for music and the desire of delivering an exceptional performance to their audience.","Beeman's NightClub,","Pearl Harbor, HI",06/11/2010,07/23/2011,m.hawaii@att.net,http://www.myspace.com/hawaii_usa,Arsenio the band,(808) 382-9495,http://www.hawaiieventsonline.com/view.php?eventID=14055,Free
8:30pm - 11:30pm,http://www.hawaiieventsonline.com/viewpic.php?id=5588,"First Thursdays is the largest poetry slam in the world (with 600+ in attendance).  Each month, the event offers $100 in cash prizes to the winner, and features Hawaii's best performance poets, live musicians, MC's, and live painters.  In addition, featured DJ's offer up turntable bliss to keep the night flowing smoothly.  Open to all poets and performers.<br /> <br /> To get on our email list to find out who will be featuring at First Thursdays, email us at info@HawaiiSlam.com or call us at (808) 387-9664.",Fresh Cafe,"831 Queen Street (@ intersection with Cooke Street), HI",07/01/2010,12/04/2014,Info@HawaiiSlam.com,http://www.hawaiislam.com,First Thursdays: $100 Slam Poetry Competition and Open Mic,(808) 387-9664,http://www.hawaiieventsonline.com/view.php?eventID=5588,Admiss...
10:00am - 1:00pm,http://www.hawaiieventsonline.com/viewpic.php?id=15649,Satura Cakes Ward Center<br /> Every Saturday 10:0am - 1:00pm<br /> Casual games.  Free lessons.  All levels and Hikaru no Go fans welcome.  call 833-2540 or 398-6861,Satura Cakes,"Ward Center, HI",06/12/2010,12/27/2014,,,Go/Weiqi/Baduk (Asian Board Game),,http://www.hawaiieventsonline.com/view.php?eventID=15649,Free
10:00am - 4:00pm,http://www.hawaiieventsonline.com/viewpic.php?id=12749,"Mission Houses Museum - A National Historic Landmark.<br /> The Mission Houses Museum connects the story of the American Protestant missionaries and their descendants to the history and culture of Hawai'i, in order to give present generations of residents and visitors a deeper understanding of, and appreciation for, Hawai'i's rich and complex history.<br /> <br /> Come and pay us a visit at the Mission Houses Museum. You will have the opportunity to visit 3 of Hawai'i's Historical Houses built between 1821 - 1841. Go on a guided tour through these historical houses with our knowledgeable and trained docents and listen to the stories of events that occured in Hawai'i in the 19th century.",Mission Houses Museum,"553 S. King Street,  Honolulu, HI 96813",06/10/2010,12/29/2012,kraquedan@missionhouses.org,http://www.missionhouses.org,Mission Houses Museum,(808) 531-0481,http://www.hawaiieventsonline.com/view.php?eventID=12749,HOUSE ...
7:00pm - 8:00pm,http://www.hawaiieventsonline.com/viewpic.php?id=14277,"Led by Spirit, experience your Oneness with God through community affirmative prayer and guided meditation.  Experience the ritual of communion, burning bowl, Hawaiian-Native American blessing and candle lighting.  Healing treatments available by the Unity Healing Arts Center practitioners and individual prayer support provided by Unity Chaplains.",Unity Church of Hawaii (Diamond Head),"3608 Diamond Head Circle,  Honolulu, HI 96815",06/09/2010,12/25/2013,david@unityhawaii.org,http://unityhawaii.org,Unity Church of Hawaii Healing Service,(808) 735-4436,http://www.hawaiieventsonline.com/view.php?eventID=14277,Free
1:00pm - 2:30pm,http://www.hawaiieventsonline.com/viewpic.php?id=14278,Join a group of fellow learners to explore the wonders and teaching of A Course In Miracles (ACIM) books. This group meets every Sunday on an ongoing basis.,Unity Church of Hawaii (Diamond Head),"3608 Diamond Head Circle,  Honolulu, HI 96815",06/13/2010,12/29/2013,david@unityhawaii.org,http://unityhawaii.org,A Course In Miracles Sunday afternoon study group,(808) 735-4436,http://www.hawaiieventsonline.com/view.php?eventID=14278,Free
7:00pm - 8:30pm,http://www.hawaiieventsonline.com/viewpic.php?id=14279,Join a group of fellow learners to explore the wonders and teaching of A Course In Miracles (ACIM) books at this ongoing Tuesday night event.,Unity Church of Hawaii (Diamond Head),"3608 Diamond Head Circle,  Honolulu, HI 96815",06/15/2010,12/24/2013,david@unityhawaii.org,http://unityhawaii.org,A Course In Miracles Tuesday evening study group,(808) 735-4436,http://www.hawaiieventsonline.com/view.php?eventID=14279,Free
10:00pm - 1:00am,http://www.hawaiieventsonline.com/viewpic.php?id=14055,"808-382-9495<br /> myspace.com/hawaii_usa<br /> <br /> Fan reviews:<br /> Joseph Martel, Editor <br /> Dancing in the Dark Magazine<br /> Arsenio The Band who was in full swing with four lady dancers dressed in yellow costumes gyrating to the tempo of the music. What a treat!<br /> <br /> <br /> More fabulous music with two female singers belting out familiar tunes that wowed the crowd.<br /> Even more fabulous music that hits the soul when Arsenio and band members sang.<br /> <br /> <br /> Then it was Hot Salsa time with a couple dancing some cool and flashy exhibition moves that excited the audience. Almost like watching Dancing With The Stars except it was fast and furious and a lot of continuous spinning for the lady dancer. Good showmanship and terrific dancing!<br /> <br /> <br /> Arsenio The Band closed the half hour show with one of his great renditions that brought thundering applauses from an appreciative audience. <br /> ______________________ <br /> *Live musical Bands, Still Photographer, Mobile DJ/ Karaoke DJ,                Pro Sounds Engineering, Emcee, Rentals, Hula, Salsa Dancers<br /> <br /> Experience Honolulu&rsquo;s most popular cover band, soloist &amp; cover musical bands. With musical experience spanning more than a decade, The band, continues to capture the hearts of many talent professional musicians and singers. With many years of experience performing live on stage, entertaining thousands of patrons at concerts, nightclubs, festivals, weddings, parties and etc&hellip;<br /> No other can surpass the charm and magnetism.  They have captured a wide audience through their high-energy stage performance, and a repertoire covering a wide variety of musical styles from JAZZ, R&amp;B and Contemporary &amp; more. They&rsquo;re secret? Undeniable love for music and the desire of delivering an exceptional performance to their audience.","Beeman's NightClub,","Pearl Harbor, HI",06/25/2010,07/23/2011,m.hawaii@att.net,http://www.myspace.com/hawaii_usa,Arsenio the band,(808) 382-9495,http://www.hawaiieventsonline.com/view.php?eventID=14055,Free
3:00pm - 7:00pm,http://www.hawaiieventsonline.com/viewpic.php?id=16634,A variety of locally made products and locally grown fruits and vegetables.,one block ewa of Keeaumouku,"1391 Keeamouku St. Honolulu, HI 96814",06/25/2010,12/30/2011,dbhservices@live.com,,Hunter's Farmers Market,(808) 688-3425,http://www.hawaiieventsonline.com/view.php?eventID=16634,Free
10:00am - 2:00pm,http://www.hawaiieventsonline.com/viewpic.php?id=16633,A variety of locally made products and locally grown fruits and vegetables.,One block ewa of Keeaumouku St.,"1391 Kapiolani Blvd. Honolulu, HI 96814",07/01/2010,12/29/2011,dbhservices@live.com,,Hunter's Farmers Market,(808) 688-3425,http://www.hawaiieventsonline.com/view.php?eventID=16633,Free
6:30pm - 7:30pm,http://www.hawaiieventsonline.com/viewpic.php?id=13942,,Aloha Activity Center,"725 Kapiolani Blvd. C101, HI",06/26/2010,12/28/2013,hawaiieventsonline@wannahula.com,http://www.WannaHula.com,FUN Hula &amp; Tahitian Lessons,(808) 677-7341,http://www.hawaiieventsonline.com/view.php?eventID=13942,See ht...
9:30am - 4:00pm,http://www.hawaiieventsonline.com/viewpic.php?id=17572,The venue is located on the main lobby of the Outrigger-Wyndham Waikiki Hotel that is just one block from the famous Waikiki Beach.  This monthly &ldquo;Made in Hawaii&rdquo; venue is scheduled on Saturdays and features unique products that are not sold anywhere in the retail market.  With the &ldquo;Spirit of Aloha&rdquo; in mind the showcase includes a variety of items that are one-of-kind!,Mail Lobby of the Outrigger-Wyndham Waikiki Hotel,"227 Lewers Street in Waikiki, HI",06/26/2010,05/28/2011,MelaEvents@yahoo.com,http://www.ByMela.vpweb.com,It's the Spirit of Aloha at the Outrigger-Wyndham Waikiki,(808) 735-4510,http://www.hawaiieventsonline.com/view.php?eventID=17572,Free
10:00am - 1:00pm,http://www.hawaiieventsonline.com/viewpic.php?id=15649,Satura Cakes Ward Center<br /> Every Saturday 10:0am - 1:00pm<br /> Casual games.  Free lessons.  All levels and Hikaru no Go fans welcome.  call 833-2540 or 398-6861,Satura Cakes,"Ward Center, HI",06/26/2010,12/27/2014,,,Go/Weiqi/Baduk (Asian Board Game),,http://www.hawaiieventsonline.com/view.php?eventID=15649,Free
9:00pm - 11:00pm,http://www.hawaiieventsonline.com/viewpic.php?id=13701,John Valentine performing &amp; hosting open mic. in Haleiwa. Enjoy live music &amp; if you have talent bring your instrument &amp; do a couple of tunes yourself or sit in with John.,Breakers Hawaii,"Haleiwa, HI",07/01/2010,09/22/2011,,http://www.johnvalentine.biz,Breakers Restaurant &amp; Bar,,http://www.hawaiieventsonline.com/view.php?eventID=13701,Free
10:00am - 4:00pm,http://www.hawaiieventsonline.com/viewpic.php?id=12749,"Mission Houses Museum - A National Historic Landmark.<br /> The Mission Houses Museum connects the story of the American Protestant missionaries and their descendants to the history and culture of Hawai'i, in order to give present generations of residents and visitors a deeper understanding of, and appreciation for, Hawai'i's rich and complex history.<br /> <br /> Come and pay us a visit at the Mission Houses Museum. You will have the opportunity to visit 3 of Hawai'i's Historical Houses built between 1821 - 1841. Go on a guided tour through these historical houses with our knowledgeable and trained docents and listen to the stories of events that occured in Hawai'i in the 19th century.",Mission Houses Museum,"553 S. King Street,  Honolulu, HI 96813",06/26/2010,12/29/2012,kraquedan@missionhouses.org,http://www.missionhouses.org,Mission Houses Museum,(808) 531-0481,http://www.hawaiieventsonline.com/view.php?eventID=12749,HOUSE ...
9:00pm - 2:30am,http://www.hawaiieventsonline.com/viewpic.php?id=17362,"IRIE Wednesdays COLLEGE NIGHT 2.0 every Wednesday Night at SHOOTERS Nightclub.<br /> <br /> DJ Climaxx &amp; DJ XTC Spinning hip-hop, top 40, reggae 9PM-2:30AM. 18+ Welcome. Ladies FREE before 10PM Complements of The Promoter",Shooters Nightclub,"121 Banyan Drive,  Hilo HI 96720",06/30/2010,04/20/2011,rrphawaii@aol.com,http://www.rrentertainment.com,COLLEGE NIGHT 2.0,(808) 934-9889,http://www.hawaiieventsonline.com/view.php?eventID=17362,$7
10:00pm - 2:00am,http://www.hawaiieventsonline.com/viewpic.php?id=17363,"Fluid Ultra Lounge Friday Nights at Ohana Grill Hilo.<br /> <br /> DJ Climaxx &amp; DJ June spinning hip-hop, Top 40 &amp; Old School Mashups. Doors open at 10PM. 21+ Stylish Dress Code In Effect.",Ohana Grill,"64 keawe St,  Hilo HI 96720",06/25/2010,04/29/2011,info@rrentertainment.com,http://www.rrentertainment.com,FLUID ULTRA LOUNGE,(808) 934-9889,http://www.hawaiieventsonline.com/view.php?eventID=17363,$7
5:15pm - 6:15pm,http://www.hawaiieventsonline.com/viewpic.php?id=10928,"Aikido classes with The Aikido Ohana at the Higashi Hongwanji Mission of Hawai'i. The Aikido Ohana is a 501c3 non-profit organization dedicated to the practice of Aikido in a friendly and open environment since 1981. The Aikido Ohana is affiliated with the Aikikai Foundation - Aikido World Headquarters in Tokyo, Japan. Information: Chris Li, 221-8656 or www.aikidoohana.org",Higashi Hongwanji Mission of Hawai'i,"1685 Alaneo Street,  Honolulu HI 96817-2915",06/29/2010,12/30/2011,chrisli@bridge1.com,http://www.aikidoohana.org/,Beginner's Aikido classes with The Aikido Ohana,(808) 221-8656,http://www.hawaiieventsonline.com/view.php?eventID=10928,$20/mo...
4:00pm - 10:00pm,http://www.hawaiieventsonline.com/viewpic.php?id=13079,"Kenshikan Dojo: Budo (martial art) Classes<br /> <br /> Martial arts such as aikido, karate, kendo and more. Classes occur throughout the year. For more information, call the JCCH at (808) 945-7633, ext. 33 or email info@jcch.com.",Japanese Cultural Center of Hawai'i - Kenshikan Dojo,"2454 S. Beretania St.,  Honolulu, HI 96826",06/25/2010,11/29/2012,info@jcch.com,http://www.jcch.com,Martial Art Classes at the JCCH,(808) 945-7633,http://www.hawaiieventsonline.com/view.php?eventID=13079,Differ...
4:00pm - 10:00pm,http://www.hawaiieventsonline.com/viewpic.php?id=15416,"Taiko Center of the Pacific offers year-round public classes in TAIKO (Japanese drumming) for all ages and all skill levels. A complete art form for the mind, body, and spirit. CULTURAL, ATHLETIC, MUSICAL and FUN.",Kapiolani Community College,"4303 Diamond Head Road, Honolulu, HI 96816",06/25/2010,12/29/2013,info@taikoarts.com,http://www.taikoarts.com,TAIKO CLASSES,(808) 737-7236,http://www.hawaiieventsonline.com/view.php?eventID=15416,Cost v...
7:00pm - 8:00pm,http://www.hawaiieventsonline.com/viewpic.php?id=14277,"Led by Spirit, experience your Oneness with God through community affirmative prayer and guided meditation.  Experience the ritual of communion, burning bowl, Hawaiian-Native American blessing and candle lighting.  Healing treatments available by the Unity Healing Arts Center practitioners and individual prayer support provided by Unity Chaplains.",Unity Church of Hawaii (Diamond Head),"3608 Diamond Head Circle,  Honolulu, HI 96815",06/30/2010,12/25/2013,david@unityhawaii.org,http://unityhawaii.org,Unity Church of Hawaii Healing Service,(808) 735-4436,http://www.hawaiieventsonline.com/view.php?eventID=14277,Free
6:00pm - 8:30pm,http://www.hawaiieventsonline.com/viewpic.php?id=13968,"Ali Garcia Performs Music from Mexico, Central America, South America, and more. <br /> <br /> Mexico Restaurant was listed in the Honolulu Advertiser's 2007-2008 Best Restaurants Guide.<br /> <br /> http://the.honoluluadvertiser.com/specials/bestrestaurants07/restaurant?id=186",Mexico Restaurant,"1247 N. School Street,  Honolulu, HI 96817",07/01/2010,12/19/2013,aligarciamusic@aol.com,http://www.myspace.com/aligarciamusic,Acoustic Latin Music,(415) 418-4203,http://www.hawaiieventsonline.com/view.php?eventID=13968,Free
6:00pm - 8:30pm,http://www.hawaiieventsonline.com/viewpic.php?id=14394,<br />   <br />   <br />   <br />   <br />,Mexico Lindo  Restaurant,"600 Kailua Rd # 109  ,  (by Kailua Times Supermarket),  Kailua, HI 96734,  (808) 263-0055",06/27/2010,02/03/2013,aligarciamusic@aol.com,http://www.myspace.com/aligarciamusic,Live Latin Music- Mexico Lindo Kailua,(415) 418-4203,http://www.hawaiieventsonline.com/view.php?eventID=14394,Free
1:00pm - 2:30pm,http://www.hawaiieventsonline.com/viewpic.php?id=14278,Join a group of fellow learners to explore the wonders and teaching of A Course In Miracles (ACIM) books. This group meets every Sunday on an ongoing basis.,Unity Church of Hawaii (Diamond Head),"3608 Diamond Head Circle,  Honolulu, HI 96815",06/27/2010,12/29/2013,david@unityhawaii.org,http://unityhawaii.org,A Course In Miracles Sunday afternoon study group,(808) 735-4436,http://www.hawaiieventsonline.com/view.php?eventID=14278,Free
7:00pm - 8:30pm,http://www.hawaiieventsonline.com/viewpic.php?id=14279,Join a group of fellow learners to explore the wonders and teaching of A Course In Miracles (ACIM) books at this ongoing Tuesday night event.,Unity Church of Hawaii (Diamond Head),"3608 Diamond Head Circle,  Honolulu, HI 96815",06/29/2010,12/24/2013,david@unityhawaii.org,http://unityhawaii.org,A Course In Miracles Tuesday evening study group,(808) 735-4436,http://www.hawaiieventsonline.com/view.php?eventID=14279,Free
3:00pm - 7:00pm,http://www.hawaiieventsonline.com/viewpic.php?id=16634,A variety of locally made products and locally grown fruits and vegetables.,one block ewa of Keeaumouku,"1391 Keeamouku St. Honolulu, HI 96814",07/02/2010,12/30/2011,dbhservices@live.com,,Hunter's Farmers Market,(808) 688-3425,http://www.hawaiieventsonline.com/view.php?eventID=16634,Free
10:00am - 1:00pm,http://www.hawaiieventsonline.com/viewpic.php?id=15649,Satura Cakes Ward Center<br /> Every Saturday 10:0am - 1:00pm<br /> Casual games.  Free lessons.  All levels and Hikaru no Go fans welcome.  call 833-2540 or 398-6861,Satura Cakes,"Ward Center, HI",07/24/2010,12/27/2014,,,Go/Weiqi/Baduk (Asian Board Game),,http://www.hawaiieventsonline.com/view.php?eventID=15649,Free
4:00pm - 10:00pm,http://www.hawaiieventsonline.com/viewpic.php?id=13079,"Kenshikan Dojo: Budo (martial art) Classes<br /> <br /> Martial arts such as aikido, karate, kendo and more. Classes occur throughout the year. For more information, call the JCCH at (808) 945-7633, ext. 33 or email info@jcch.com.",Japanese Cultural Center of Hawai'i - Kenshikan Dojo,"2454 S. Beretania St.,  Honolulu, HI 96826",07/20/2010,11/29/2012,info@jcch.com,http://www.jcch.com,Martial Art Classes at the JCCH,(808) 945-7633,http://www.hawaiieventsonline.com/view.php?eventID=13079,Differ...
4:00pm - 10:00pm,http://www.hawaiieventsonline.com/viewpic.php?id=15416,"Taiko Center of the Pacific offers year-round public classes in TAIKO (Japanese drumming) for all ages and all skill levels. A complete art form for the mind, body, and spirit. CULTURAL, ATHLETIC, MUSICAL and FUN.",Kapiolani Community College,"4303 Diamond Head Road, Honolulu, HI 96816",07/21/2010,12/29/2013,info@taikoarts.com,http://www.taikoarts.com,TAIKO CLASSES,(808) 737-7236,http://www.hawaiieventsonline.com/view.php?eventID=15416,Cost v...
6:00pm - 8:30pm,http://www.hawaiieventsonline.com/viewpic.php?id=13968,"Ali Garcia Performs Music from Mexico, Central America, South America, and more. <br /> <br /> Mexico Restaurant was listed in the Honolulu Advertiser's 2007-2008 Best Restaurants Guide.<br /> <br /> http://the.honoluluadvertiser.com/specials/bestrestaurants07/restaurant?id=186",Mexico Restaurant,"1247 N. School Street,  Honolulu, HI 96817",07/22/2010,12/19/2013,aligarciamusic@aol.com,http://www.myspace.com/aligarciamusic,Acoustic Latin Music,(415) 418-4203,http://www.hawaiieventsonline.com/view.php?eventID=13968,Free
5:15pm - 6:15pm,http://www.hawaiieventsonline.com/viewpic.php?id=10928,"Aikido classes with The Aikido Ohana at the Higashi Hongwanji Mission of Hawai'i. The Aikido Ohana is a 501c3 non-profit organization dedicated to the practice of Aikido in a friendly and open environment since 1981. The Aikido Ohana is affiliated with the Aikikai Foundation - Aikido World Headquarters in Tokyo, Japan. Information: Chris Li, 221-8656 or www.aikidoohana.org",Higashi Hongwanji Mission of Hawai'i,"1685 Alaneo Street,  Honolulu HI 96817-2915",07/20/2010,12/30/2011,chrisli@bridge1.com,http://www.aikidoohana.org/,Beginner's Aikido classes with The Aikido Ohana,(808) 221-8656,http://www.hawaiieventsonline.com/view.php?eventID=10928,$20/mo...
6:00pm - 8:30pm,http://www.hawaiieventsonline.com/viewpic.php?id=14394,<br />   <br />   <br />   <br />   <br />,Mexico Lindo  Restaurant,"600 Kailua Rd # 109  ,  (by Kailua Times Supermarket),  Kailua, HI 96734,  (808) 263-0055",07/25/2010,02/03/2013,aligarciamusic@aol.com,http://www.myspace.com/aligarciamusic,Live Latin Music- Mexico Lindo Kailua,(415) 418-4203,http://www.hawaiieventsonline.com/view.php?eventID=14394,Free
10:00am - 4:00pm,http://www.hawaiieventsonline.com/viewpic.php?id=12749,"Mission Houses Museum - A National Historic Landmark.<br /> The Mission Houses Museum connects the story of the American Protestant missionaries and their descendants to the history and culture of Hawai'i, in order to give present generations of residents and visitors a deeper understanding of, and appreciation for, Hawai'i's rich and complex history.<br /> <br /> Come and pay us a visit at the Mission Houses Museum. You will have the opportunity to visit 3 of Hawai'i's Historical Houses built between 1821 - 1841. Go on a guided tour through these historical houses with our knowledgeable and trained docents and listen to the stories of events that occured in Hawai'i in the 19th century.",Mission Houses Museum,"553 S. King Street,  Honolulu, HI 96813",07/20/2010,12/29/2012,kraquedan@missionhouses.org,http://www.missionhouses.org,Mission Houses Museum,(808) 531-0481,http://www.hawaiieventsonline.com/view.php?eventID=12749,HOUSE ...
6:30pm - 7:30pm,http://www.hawaiieventsonline.com/viewpic.php?id=13942,,Aloha Activity Center,"725 Kapiolani Blvd. C101, HI",07/24/2010,12/28/2013,hawaiieventsonline@wannahula.com,http://www.WannaHula.com,FUN Hula &amp; Tahitian Lessons,(808) 677-7341,http://www.hawaiieventsonline.com/view.php?eventID=13942,See ht...
9:00pm - 11:00pm,http://www.hawaiieventsonline.com/viewpic.php?id=13701,John Valentine performing &amp; hosting open mic. in Haleiwa. Enjoy live music &amp; if you have talent bring your instrument &amp; do a couple of tunes yourself or sit in with John.,Breakers Hawaii,"Haleiwa, HI",07/22/2010,09/22/2011,,http://www.johnvalentine.biz,Breakers Restaurant &amp; Bar,,http://www.hawaiieventsonline.com/view.php?eventID=13701,Free
7:30pm - 11:00pm,http://www.hawaiieventsonline.com/viewpic.php?id=14533,"Hawaii Comedy Theater presents 2 Shows every Wednesday and Saturday night with Professional Comedians, check out our website www.HawaiiComedyTheater.com or sign up on Facebook.<br /> <br /> Text COMEDY to 59925 - for on going deals.<br /> <br /> PARKING - We have the best parking in Waikiki!!<br /> $2 validated for 6hrs.  <br /> <br /> COMEDY COMBO - See both &ldquo;Comedy Polynesia&ldquo; &amp; &ldquo;Sharkey's&ldquo; for $35 <br /> <br /> COMEDY POLYNESIA:<br /> Comedy Polynesia - Stand Up Comedy that hilariously captures the local and visitor experience of the islands.  Join hysterical island entertainers for an unforgettable evening of laughter...Produced by Chief Sielu Avea from Samoa, known iternationally as the &ldquo;Coconut Man,&rdquo;  Starring, &ldquo;Bo Namolokama Irvine&ldquo;, winner of NBC&rsquo;s Last Comic Standing 2008 Hawaii Showcase, featuring &ldquo;Kento&ldquo; the Asian Emperor of Comedy, and &ldquo;Michael Staats&ldquo;, Mr. Diamondhead.<br /> &bull;Wednesday &amp; Saturday Nights<br /> &bull;Doors at 7:30pm<br /> &bull;Showtime: 8:00pm<br /> &bull;Ticket Price - $25 General<br /> <br /> SHARKEY'S:<br /> As Hawaii&rsquo;s longest running comedy club, Sharkey's offers up the nation&rsquo;s top stand-up comedians and Hawaii&rsquo;s funniest comics. Real Stand-Up, not amateurs:)<br /> <br /> Wednesday &amp; Saturday Nights<br /> &bull;Doors at 9:15pm<br /> &bull;Show at 9:30pm<br /> &bull;Ticket Price - $15 General<br /> <br /> Hawaii Comedy Theater is located at the beautiful Sheraton Princess Kaiulani Hotel in Waikiki, 11th Floor of the Princess Tower.  Sheraton PK is located next to the International Marketplace, $2 validated parking for 6 hrs.<br /> <br /> &bull;Reservations and ticket sales online at www.HawaiiComedyTheater.com or<br /> (808)531-HAHA(4242)",Sheraton Princess Kaiulani Hotel - 11th Floor,"120 Kaiulani Avenue, Honolulu 96815,  11th Floor of the Princess Tower - Elevators located next to the front desk., HI",07/21/2010,12/29/2012,Questions@HawaiiComedyTheater.com,http://www.HawaiiComedyTheater.com,COMEDY,(808) 531-4242,http://www.hawaiieventsonline.com/view.php?eventID=14533,$25 &amp; ...
9:00pm - 2:30am,http://www.hawaiieventsonline.com/viewpic.php?id=17362,"IRIE Wednesdays COLLEGE NIGHT 2.0 every Wednesday Night at SHOOTERS Nightclub.<br /> <br /> DJ Climaxx &amp; DJ XTC Spinning hip-hop, top 40, reggae 9PM-2:30AM. 18+ Welcome. Ladies FREE before 10PM Complements of The Promoter",Shooters Nightclub,"121 Banyan Drive,  Hilo HI 96720",07/21/2010,04/20/2011,rrphawaii@aol.com,http://www.rrentertainment.com,COLLEGE NIGHT 2.0,(808) 934-9889,http://www.hawaiieventsonline.com/view.php?eventID=17362,$7
10:00pm - 2:00am,http://www.hawaiieventsonline.com/viewpic.php?id=17363,"Fluid Ultra Lounge Friday Nights at Ohana Grill Hilo.<br /> <br /> DJ Climaxx &amp; DJ June spinning hip-hop, Top 40 &amp; Old School Mashups. Doors open at 10PM. 21+ Stylish Dress Code In Effect.",Ohana Grill,"64 keawe St,  Hilo HI 96720",07/23/2010,04/29/2011,info@rrentertainment.com,http://www.rrentertainment.com,FLUID ULTRA LOUNGE,(808) 934-9889,http://www.hawaiieventsonline.com/view.php?eventID=17363,$7
7:00pm - 8:00pm,http://www.hawaiieventsonline.com/viewpic.php?id=14277,"Led by Spirit, experience your Oneness with God through community affirmative prayer and guided meditation.  Experience the ritual of communion, burning bowl, Hawaiian-Native American blessing and candle lighting.  Healing treatments available by the Unity Healing Arts Center practitioners and individual prayer support provided by Unity Chaplains.",Unity Church of Hawaii (Diamond Head),"3608 Diamond Head Circle,  Honolulu, HI 96815",07/21/2010,12/25/2013,david@unityhawaii.org,http://unityhawaii.org,Unity Church of Hawaii Healing Service,(808) 735-4436,http://www.hawaiieventsonline.com/view.php?eventID=14277,Free
3:00pm - 7:00pm,http://www.hawaiieventsonline.com/viewpic.php?id=16634,A variety of locally made products and locally grown fruits and vegetables.,one block ewa of Keeaumouku,"1391 Keeamouku St. Honolulu, HI 96814",07/23/2010,12/30/2011,dbhservices@live.com,,Hunter's Farmers Market,(808) 688-3425,http://www.hawaiieventsonline.com/view.php?eventID=16634,Free
10:00am - 2:00pm,http://www.hawaiieventsonline.com/viewpic.php?id=16633,A variety of locally made products and locally grown fruits and vegetables.,One block ewa of Keeaumouku St.,"1391 Kapiolani Blvd. Honolulu, HI 96814",07/22/2010,12/29/2011,dbhservices@live.com,,Hunter's Farmers Market,(808) 688-3425,http://www.hawaiieventsonline.com/view.php?eventID=16633,Free
