time,description,venue,address,startDate,endDate,photos,title,website,phone,moreInfoLink,cost
10am-9:30pm,"Join us on this special day for a Champagne Brunch with Live Jazz Music with The Jazz Poets and culinary delights, including the following:     Shrimp, Crab Legs, Mussels, and Oysters on Ice  Whole Poached Salmon, Pates &amp; Smoked Salmon, Live Action Sushi Station,  Carving Stations with Prime Rib, Roast Turkey, Ham and Leg of Lamb  Omelet Station, Crepe Station, Waffles, Eggs Benedict, and Breakfast Entrees (until 3pm)  Chocolate Fondue Fountains, Cascading Fresh Fruit and much more...    A Long Stem Rose and Chocolate Gift for Mom  (Tax and Gratuity not included)",Sierra Ballroom at Hilton Universal,"555 Universal Hollywood Drive Universal City, 91387",05/08/2011,,,CELEBRATE MOTHER'S DAY 2011,http://www.cafesierrahilton.com/index.php,818-509-2030,http://www.eyespyla.com/www/thebuzz.nsf/a4b7eb6edae3659388256f25006b8a05/3bb523d6a7cc127685257859007b28b8!OpenDocument,Adults: $49 Children (3-10); $24</font>
6pm - 12am,"London Manori designs visionary, cutting-edge luxury jewelry for both men and women, and is striving to be a competitive player in the jewelry industry by injecting unique style and design into the fashion market.    We will be at the Art Park on every second Thursday of each month from 6pm - midnight. London Manori caters to an array of customers, so everyone is encouraged to come out!    See you there.      The Citizen LA Downtown Art Park is designed to bring artists, vendors, performers and audience together for an evening of live entertainment and uninhibited shopping under the stars.    The Downtown Art Park is an independent event that operates during the Downtown Art Walk; a high-visibility event which draws an estimated crowd of 20,000+ each month.    This event is FREE to the public and takes place on the second Thursday of each month.",ART WALK,TBD,05/12/2011,,,LONDON MANORI AT DOWNTOWN ART PARK,http://www.londonmanori.com,888-880-1750,http://www.eyespyla.com/www/thebuzz.nsf/a4b7eb6edae3659388256f25006b8a05/27553bc74131a1c38525786f001b5572!OpenDocument,Free</font>
1 PM-6PM,"Spring is upon us in all its splendor, and what better way to spend a sunny afternoon than at the Silverlake Neighborhood Nursery School's Annual Spring Fair! If you haven't been to this lovely event, it really is fun for the whole family, and features great food, live music from the Alana Banana Band, the Squeegees, Ellen and Matt, and Clay Allen and the 5 &amp; Dime Novelty Orchestra. Also don&#8217;t miss the amazing Silent Auction featuring deals of a lifetime from businesses around the neighborhood, and crafts and games for the kids. It's a blast!     Saturday, May 14, 2011  1-6 PM   Neighborhood Nursery School of Silverlake  2700 Tesla Avenue  LA CA 90039  www.neighborhoodnurseryschool.org",Silverlake NNS,2700 Tesla Avenue Los Angeles 90039,05/14/2011,,,SILVERLAKE NNS SPRING FAIR,"http://Spring%20is%20upon%20us%20in%20all%20its%20splendor,%20and%20what%20better%20way%20to%20spend%20a%20sunny%20afternoon%20than%20at%20the%20Silverlake%20Neighborhood%20Nursery%20School's%20Annual%20Spring%20Fair!%20If%20you%20haven't%20been%20to%20this%20lovely%20event,%20it%20really%20is%20fun%20for%20the%20whole%20family,%20and%20features%20great%20food,%20live%20music%20from%20the%20Alana%20Banana%20Band,%20the%20Squeegees,%20Ellen%20and%20Matt,%20and%20Clay%20Allen%20and%20the%205%20&amp;%20Dime%20Novelty%20Orchestra.%20Also%20don%E2%80%99t%20miss%20the%20amazing%20Silent%20Auction%20featuring%20deals%20of%20a%20lifetime%20from%20businesses%20around%20the%20neighborhood,%20and%20crafts%20and%20games%20for%20the%20kids.%20It's%20a%20blast!%20Saturday,%20May%2014,%202011%201-6%20PM%20Neighborhood%20Nursery%20School%20of%20Silverlake%202700%20Tesla%20Avenue%20LA%20CA%2090039%20www.neighborhoodnurseryschool.org",3233501739,http://www.eyespyla.com/www/thebuzz.nsf/a4b7eb6edae3659388256f25006b8a05/ca047fd78e1b8bab8525787a005f7cc7!OpenDocument,"$10 adults, $5 kids 6-12, Kids under 6 Free!</font>"
1:00pm-4:00pm,"California Philharmonic  300 S. Baldwin Avenue Ste. 2160  Arcadia, CA 91007  626.300.8200  email: calphil.org    Music, Martinis and the Maestro  Time 1pm-4pm; doors open at 12:30    Enjoy an intimate afternoon with Cal Phil&#8217;s finest musicians and the Maestro at the ultra-chic Noor Sofia. Add fine wine, cocktails, gourmet cuisine and a pre-concert talk by the Maestro, and you&#8217;ve got LA&#8217;s newest, most vibrant entertainment combination!    Beethoven &amp; More:   violin, cello, piano, guitar  Beethoven: Archduke Trio  Pezzone and Poree: Original Compositions  Sunday May 15, 2011    Location:   Noor Sofia Ballroom and Dining Room  Paseo Colorado  260 East Colorado Blvd.   Pasadena, CA 91101  626.793.4518  Sofia Ballroom    The mission of the California Philharmonic is to bring excellent and professional performances of great music to the widest possible audience.     To achieve our mission, we work to provide access to performances; serve as a major cultural resource; achieve regional, national and international recognition for the California Philharmonic; provide free and low-cost educational outreach concerts and programs for all people; encourage community involvement in the organization beyond concert attendance, through volunteer participation, network groups and leadership role opportunities.      Individual tickets $30/$45 (sections A/B). Table of 6 or 10 available as well. Discounted rates with purchase of series (3 concerts)    Noor is Pasadena&#8217;s premier event space featuring two indoor ballrooms and two outdoor spaces. Situated in historic downtown Pasadena between the California Mediterranean architecture of Pasadena City Hall and overlooking the famed Colorado Boulevard, or Sofia ballroom provides exquisite space for up to 400 guests with spectacular city views and an art nouveau inspired interior design. The Ella Ballroom, with its art deco design, is reminiscent of old Hollywood, imparting an atmosphere of elegance for 200 guests. From intimate to extravagant, traditional to the unexpected, Noor is committed to designing a personalized wedding or special celebration that is uniquely yours.",Noor Sofia Ballroom and Dining,"260 E Colorado Blvd Pasadena, CA 91101",05/15/2011,,,"MUSIC, MARTINIS AND THE MAESTRO",http://calphil.org,(626) 300-8200,http://www.eyespyla.com/www/thebuzz.nsf/a4b7eb6edae3659388256f25006b8a05/4b765804b0dca5278525785000113c04!OpenDocument,Individual tickets $30/$45 (sections A/B). Table of 6 or 10 available as well. Discounted rates with purchase of series (3 concerts)</font>
11:00 am &#8211; 6:00 pm,"The Santa Clarita Valley&#8217;s Third Annual Jewish Food &amp; Cultural Festival (previously titled the Jewish Food Festival) will be on Sunday May 15, 2011 from 11:00 am &#8211; 6:00 pm.  Hosted by Temple Beth Ami and Congregation Beth Shalom, this is certain to be one of the many wonderful cultural events celebrated in our vibrant community this year.    College of the Canyons is the perfect venue for the 2011 Jewish Food &amp; Cultural Festival. Bordered by Rockwell Canyon and Valencia Boulevard, COC is just off the Valencia Boulevard exit on the 5 Freeway,  and is a well-known location throughout the Santa Clarita Valley.    The 2011 Jewish Food &amp; Cultural Festival is THE place to find great Jewish foods, shopping, live Jewish entertainment, and arts and crafts.  A variety of activities for both children and adults make this a wonderful day for the entire family.    Non-perishable food donations brought to the festival will benefit the Santa Clarita Valley Food Pantry and all monetary proceeds go toward supporting the Jewish Food &amp; Cultural Festivals of the future.",College of the Canyons,"26455 Rockwell Canyon Road, Santa Clarita,  91355",05/15/2011,,,SANTA CLARITA VALLEY&#8217;S THIRD ANNUAL JEWISH FOOD &amp; CULTURAL FESTIVAL,http://www.scvjewishfoodfestival.com/,</font>,http://www.eyespyla.com/www/thebuzz.nsf/a4b7eb6edae3659388256f25006b8a05/4dad813977cf3e7a85257850007ad974!OpenDocument,
4:00 pm - 6:00 pm,"The opening season of Le Salon de Musiques, an ensemble of Los Angeles' most renowned chamber music performers, continues its season of eight concerts with Schubert and Mozart, performed on the 5th floor of the Dorothy Chandler Pavilion on Sunday, May 15, 2011. The one-hour concert, which will feature Mozart&#8217;s Sonata in D Major K 448 for two pianos and Rachmaninoff&#8217;s Suite n.1 &#8220;Fantasy-Tableaux&#8221; Opus 5 for two pianos will be followed by a one-hour interactive discussion between the musicians and the audience where they will share ideas, concepts and impressions about the music performed, while enjoying French Champagne provided by Montesquieu and a gourmet buffet prepared by Patina.  Tickets are $65 (that includes the food and Champagne!) and can be purchased by going to Le Salon de Musique's website or calling (310) 498-0257.",Dorothy Chandler Pavilion,"135 North Grand Avenue Fifth Floor, Los Angeles, 90012",05/15/2011,,,&quot;LE SALON DE MUSIQUES&quot;,http://www.lesalondemusiques.com,310 498-0257,http://www.eyespyla.com/www/thebuzz.nsf/a4b7eb6edae3659388256f25006b8a05/b29f81cbd2ee0638852578620076a625!OpenDocument,$65.00</font>
"Friday 5-8pm, Saturday 2-8pm &amp; all other days upon Reservation only.","Be a part of the Future with Exclusive Barrel Tasting of Wine straight from the Barrel !    (To get an idea of what barrel tasting is like, search &quot;Barrel Tasting&quot; on YouTube!)    What you'll be enjoying:  6 Barrels of coming New Releases:    &gt; '07 Pinot Nior Russian River Valley    &gt; '07 Pinot Noir Russian River, Valley Old Cheery Block    &gt; '07 Zinfandel, Dry Creek Valley    &gt; '08 Super Tuscan Blend (Sangiovese, Cab Sauv, &amp; Petite Sirah)    &gt; '07 Cabernet Sauvignon, Sonoma County    &gt; '08 D'Amarone Blend, Old World Style    $20.00 per guest: Wine flight includes 6 barreled wines &amp;  4 previous vintage wines (Group Discounts available).    RESERVATIONS available for:  Friday 5 to 8pm  Saturday 11 to 8 pm  Sunday 11 to 6 pm  Monday to Thursday 3 to 6 pm      20% off any future releases purchased plus invitation to Pick up Party!  Wine in Barrels to be bottle late summer 2011    Wine Club Primo I &amp; VIP Members receive 99% off their tasting and 30% off any purchase of future releases.    Please call or email for a reservation:  Anabel@Dargenziowine.com  ray@dargenziowine.com    Estimated time of Barrel &amp; Wine Tasting Tour 1:00 to 1:30 minutes so that you may relax and enjoy!!",D'Argenzio Winery Enoteca (Burbank Wine Room,") 1204 West Burbank Blvd, Burbank, 91506",05/01/2011,05/16/2011,,BARREL TASTING AT D'ARGENZIO WINERY ENOTECA - BURBANK,http://www.facebook.com/profile.php?ref=profile&amp;id=678478841#!/event.php?eid=172768609441317,818-846-8466,http://www.eyespyla.com/www/thebuzz.nsf/a4b7eb6edae3659388256f25006b8a05/30f8b3b53524361885257878005bd3f1!OpenDocument,$20/person - Includes tasting from 6 wine barrels (shipped from Winery in Santa Rosa) and 4 currently released wines</font>
6:30pm - 8:00pm,"Join owner Jennifer McGarigle in learning floral design skills while making your own arrangement.  Meet some new friends, enjoy some light refreshments and go home with a new skill set and a beautiful arrangement.  This class focuses on the Peony, one of nature's most perfect and sought after flowers.  They've got a limited season so we're celebrating their beauty and allure.",Floral Art,"1338 Abbot Kinney Blvd., Venice, CA 90291",05/17/2011,,,FLORAL DESIGN CLASS - PEONY PERFECTION,http://floralartla.com,310-392-1633,http://www.eyespyla.com/www/thebuzz.nsf/a4b7eb6edae3659388256f25006b8a05/518aa762765d9f268525786f008375a6!OpenDocument,$150 per class</font>
3:00pm-4:00pm,Children learn how to prepare a healthy and delicious dish every week. A light meal and beverages are included in the class. Classes are taught using a combination of demonstration and hands-on methods. Classes are limited to 10 students. Children need to bring an apron and a plastic food storage container to each class. Instructor: Ecole de Cuisine  This is a 5 week session course/1 class a week  Ages 8-9  $50  $25 one time materials fee paid on first day of class,Glendale ARC,"201 E. Colorado St., Glendale, 91205",04/20/2011,05/18/2011,,ECOLE DE CUISINE KIDS COOKING CLASS-5 WEEK SESSION,http://www.ci.glendale.ca.us,818-548-3775 </font>,http://www.eyespyla.com/www/thebuzz.nsf/a4b7eb6edae3659388256f25006b8a05/ad5ba8b2dfe43a2d85257877007dbedc!OpenDocument,
4:00pm-5:00pm,Children learn how to prepare a healthy and delicious dish every week. A light meal and beverages are included in the class. Classes are taught using a combination of demonstration and hands-on methods. Classes are limited to 10 students. Children need to bring an apron and a plastic food storage container to each class. Instructor: Ecole de Cuisine  This is a 5 week session course/1 class a week  Ages 10-11  $50  $25 one time materials fee paid on first day of class,Glendale ARC,"201 E. Colorado St., Glendale, 91205",04/20/2011,05/18/2011,,ECOLE DE CUISINE KIDS COOKING CLASS-5 WEEK SESSION,http://http://www.ci.glendale.ca.us/,818-548-3775,http://www.eyespyla.com/www/thebuzz.nsf/a4b7eb6edae3659388256f25006b8a05/cdd80abff378a80f85257877007e46b2!OpenDocument,$75</font>
8 p.m. (Sat: 2 p.m. / 8 p.m.; Sunday 2 p.m. / 7 p.m.),"KISS ME, KATE  Reprise Theatre Company  May 10 - 22, 2011 &#8211; Get Your Tickets Now!    Don&#8217;t miss one of the most raucous, rowdy and enduring romances of all time, Cole Porter&#8217;s KISS ME, KATE.  An on-stage &#8220;Taming of the Shrew&#8221; and a backstage &#8220;Peyton Place,&#8221; this enduring love story was the first ever winner of the Tony Award® for Best Musical. One hit song after another: Wunderbar, So In Love, Why Can&#8217;t You Behave, Too Darn Hot, From This Moment On &#8211; will all have you wanting to Brush Up Your Shakespeare.    Music and lyrics by Cole Porter  Book by Samuel and Bella Spewack  Directed by Michael Michetti  Get tickets and more information at Reprise.org     May 10 - 22, 2011  Reprise Theatre Company  Freud Playhouse at UCLA  Box office phone number: 310.825.2101    Ticket URL:  http://www.ticketmaster.com/Kiss-Me-Kate-tickets/artist/845060?list_view=1&amp;tm_link=Artist_SwitchTo_List&amp;brand=reprisela       RU$H CLUB! :  Between the ages of 16 and 25? Love musical theatre? Want to save money? Then you&#8217;re in the right place! Reprise&#8217;s RUSH CLUB gives you the chance to get tickets to any performance for $25. Want to Join? Visit reprise.org/rushclub today!   http://www.reprise.org/pages/get-tickects/rush-club.html         FRIDAY NIGHT OUT! Friday, May 13th, 2011 &#8211; Sponsored by Frontiers Magazine &amp; Barefoot Wine &amp; Bubbly.  A featured event for the gay &amp; lesbian community offering a complimentary post-show wine &amp; cheese mixer with the cast.   http://www.reprise.org/pages/get-tickects/friday-night-out.html",Freud Playhouse at UCLA,245 Charles E. Young Drive East,05/10/2011,05/22/2011,,"REPRISE THEATRE COMPANY'S KISS ME, KATE",http://www.reprise.org,310.825.2101</font>,http://www.eyespyla.com/www/thebuzz.nsf/a4b7eb6edae3659388256f25006b8a05/c68c6b377fc031768525786c000258ec!OpenDocument,
8 p.m.,"Barbara Cook in Concert  Reprise Theatre Company  Monday, May 16, 2011  Freud Playhouse at UCLA  $95 - $195    Don&#8217;t miss Barbara Cook in this one-night-engagement! She has delighted audiences around the world for more than 50 years her with her silvery soprano, purity of tone, and warm presence. Considered &#8220;Broadway&#8217;s favorite ingenue&#8221; during the heyday of the Broadway musical, Miss Cook then launched a second career as a concert and recording artist soaring from one professional peak to another. A Tony, Grammy, Drama Desk, New York Drama Critics Circle Award winner, and member of the Theatre Hall of Fame, Ms. Cook will surely dazzle in this very special Reprise event.    &#8220;She has earned the right to be called legendary&#8221;  - The Associated Press      Mon., May 16, 2011   Freud Playhouse at UCLA  $95 - $195  One Night Only!  For more information visit Reprise.org  Box office phone number: 310.825.2101     http://www.reprise.org/shows/barbara-cook-in-concert",Freud Playhouse at UCLA,245 Charles E. Young Drive East,05/10/2011,05/22/2011,,BARBARA COOK IN CONCERT,http://www.reprise.org/shows/barbara-cook-in-concert,310.825.2101</font>,http://www.eyespyla.com/www/thebuzz.nsf/a4b7eb6edae3659388256f25006b8a05/a197143790c1de668525787100765f33!OpenDocument,
,"50 Years of Greek Food Festivals: 50 Years of Fun! Come to Orange County&#8217;s Golden Anniversary Greek Festival, the 2011 OC Greek Fest, where experiencing the sights, sounds, and tastes of Greece awaits as St. John the Baptist Greek Orthodox Church in Anaheim marks 50 years in the OC celebrating the best of Greek food, music, dancing and culture. Authentic Greek foods and homemade Greek pastries; traditional Greek dancing and Greek music; an outdoor marketplace and expansive &#8221;Zorba&#8217;s Kidz Zone&#8221; with carnival rides &amp; games and other children&#8217;s activities&#8212;plus more!&#8212;are all ready for your visit to Greece right here in Anaheim. Visit our website for additional information and free admission passes. Check us out on Facebook, too!    Dates:  Friday, May 20, 3:00 pm &#8211; 10:00 pm  Saturday, May 21, 12 Noon &#8211; 10:00 pm  Sunday, May 22, 12 Noon &#8211; 10:00 pm    Location:  405 N. Dale Ave., Anaheim  (714) 827-0182    Admission:  $3.00 Regular Admission  Children Under 12 Free  Free to all Military, Police, and Fire Personnel (with ID)  Seniors Admitted Free    Free Parking and Free Shuttle (to and from OC Greek Fest) at Buena Park Mall&#8212;south of La Palma Ave., between Dale and Stanton&#8212;Shuttle Stop now near Sears.",,"405 N. Dale Ave., Anaheim, 92801",05/20/2011,05/22/2011,,2011 OC GREEK FEST,http://www.ocgreekfest.com,(714) 827-0182,http://www.eyespyla.com/www/thebuzz.nsf/a4b7eb6edae3659388256f25006b8a05/bf35a621342ebe638525782c0070f048!OpenDocument,"$3.00 Regular Admission; Children Under 12 Free; Free to all Military, Police, and Fire Personnel (with ID); Seniors Admitted Free</font>"
10:00 am-6:30 pm,"Strawberry pizza anyone? A delicious destination for family fun, the 28th Annual CALIFORNIA STRAWBERRY FESTIVAL gets underway May 21 and 22, 2011 at Strawberry Meadows of College Park in Oxnard from 10:00a.m. - 6:30p.m.  Among the nation&#8217;s top outdoor events, the Festival serves up a menu of delectable strawberry delights and amazing foods from 40+ booths, along with concerts on two stages, Strawberryland For Kids with free rides and attractions, gooey contests, 200+ Fine Arts &amp; Crafts booths, the Strawberry Promenade with cooking demonstrations, the Green Scene, and more. Every berry bite is even sweeter with proceeds (now totaling $3.5 million) benefiting 20+ local non-profit organizations. Dig in!   ",Strawberry Meadows of College Park,"3250 South Rose Avenue, Oxnard, Ca 93033",05/21/2011,05/22/2011,,2011 CALIFORNIA STRAWBERRY FESTIVAL,http://www.strawberry-fest.org,888-288-9242,http://www.eyespyla.com/www/thebuzz.nsf/a4b7eb6edae3659388256f25006b8a05/89fdad418f64fc2d85257870006a982c!OpenDocument,"Adults: $12; seniors 62+, active military and dependents with ID card: $8; Youths (5-12): $5, Free for kids 4 and under</font>"
1PM-6PM,"The 6th Annual Happy House Poker Tournament and BBQ!  Hosted by Nancy Cartwright at her Home  Saturday, May 28, 2011 &#8211; 1:00PM &#8211; 6:00PM    Nancy Cartwright, the iconic voice of Bart Simpson and Honorary Mayor of the North Valley, is hosting the 6th Annual Happy House Poker Tournament and BBQ at her Northridge home.  All proceeds will go towards Happy House, a 501(c)3 non-profit corporation, and the Happy House Good Choices Program.  While adults play Texas Hold Em&#8217; with friends and attending celebrities like Camryn Manheim, among others, there will be lots of games for the kids, so bring the family. Poker players must be 21 or over. Prizes will be awarded to the top players.     $60 is the buy-in to play poker, eat, drink and enjoy the festivities with $10 for re-buys; $15 is admission to attend the party and take advantage of the barbecue specialties and refreshments. Children under 12 can come for FREE!    Players arrive at 12:00PM. Poker pro Kenna James will be hosting a poker boot camp, and poker will begin at 1:00PM promptly.     For information and/or to reserve seats or attend the BBQ: (818) 882-7483 or visit www.HappyHouse.org. Address of event to be provided with reservations.",Nancy Cartwright's home,"Northridge, CA 91324",05/28/2011,,,NANCY CARTWRIGHT'S 6TH ANNUAL HAPPY HOUSE POKER TOURNAMENT,,(818) 882-7483,http://www.eyespyla.com/www/thebuzz.nsf/a4b7eb6edae3659388256f25006b8a05/9e093fd518340ef8852578570063713b!OpenDocument,$15 for admission or $60 for poker and party</font>
2:00-6:00 pm,"Sip, nosh, and mingle at Hollywood&#8217;s Historic Raleigh Studios June 11 and 12, where 150-plus wine, spirits, and beer folks will come together to celebrate the 6th Annual LAWineFest, benefitting Make-A-Wish Foundation of Greater Los Angeles. Dubbed &#8220;LA&#8217;s largest educational wine festival,&#8221; LAWineFest 2011 will feature the Robert Mondavi Discover Wine Tour, an interactive experience educating guests about wine and entertaining.     TICKETS: $69 per day; $99 couples or weekend pass.   Purchase tickets at www.LAWineFest.com.    Special Programs: Special classes on wine and cheese pairing, international wines, and bourbon, scotch and sake appreciation will be offered both days; tickets available separately at LAWineFest.com or by calling (818) 429-6770.      Parking: Street parking (metered on Saturday) and paid parking available at Paramount Studios lots on Bronson and Van Ness. Metro accessible via Red Line; exit Vermont/Santa Monica and walk two blocks south, three blocks west.     About LAWineFest  LAWineFest was founded in 2005 by renowned wine educator, columnist and Sommelier for the Escoffier Association of Southern California, Dr. Joel M. Fisher. LAWineFest is the largest wine tasting event in Los Angeles, with the dual mission of bringing wine education and enjoyment to Angelenos and supporting local charitable organizations. For further information, please visit LAWineFest.com or contact the Director of Marketing at pr@lawinefest.com     About Robert Mondavi Discover Wine Tour  Let us bring the wine country experience to you, with the fifth annual Robert Mondavi Discover Wine Tour 2011. Featuring wines from the Woodbridge by Robert Mondavi, Robert Mondavi Private Selection, and Robert Mondavi Winery Napa Valley portfolios, the tour provides an interactive experience educating guests about wine and food. The Discover Wine Tour is for learning, experiencing, tasting - and above all, enjoying. After all - isn't that what wine - and life - is all about?       About Make-A-Wish Foundation of Greater Los Angeles  The Make-A-Wish Foundation of Greater Los Angeles grants the wishes of children with life-threatening medical conditions to enrich the human experience with hope, strength and joy. Since its founding in 1983, they have brightened the lives of more than 7,200 children.",Raleigh Studios,"5300 Melrose Avenue Los Angeles, CA 90038",06/11/2011,,,LAWINEFEST 2011,http://www.localwineevents.com/events/detail/359666/la-winefest-2011-6th-annual-june-11-12-the-1-wine-event-in-la,,http://www.eyespyla.com/www/thebuzz.nsf/a4b7eb6edae3659388256f25006b8a05/f925e9bbb617a2b4852578690067f843!OpenDocument,$69 per day; $99 couples or weekend pass</font>
6:30-11:00pm,"Join the revelry and discover the fascinating secrets of&#8230; Aquarium After Dark  A Fundraiser Benefiting Education, Conservation, and Animal Care Programs.        The Aquarium&#8217;s 12th Annual Ocean Conservation Awards Gala returns as an upscale evening of wonderment and exploration prepared to ignite your senses.     * Mingle amongst penguins&#8230; feed sharks&#8230; interact with an octopus&#8230; touch a moon jelly    * Paint with renowned environmental artist Wyland    * Join us as we honor the Molina Family and Molina Healthcare, Inc. with the prestigious Ocean Conservation Award    * Stroll through our transformed galleries and participate in unique hands-on activities    * Submerse yourself in a luminous dive show featuring floating art    * Enjoy gourmet food stations and open bars    * Late night live music, dancing under the blue whale, and much more!      Business Casual Attire  Complimentary Valet Parking",Aquarium of the Pacific,"100 Aquarium Way, Long Beach, 90802",06/11/2011,,,AQUARIUM AFTER DARK FUNDRAISER,http://www.aquariumofpacific.org/aquariumafterdark,(562) 437-FISH (3474),http://www.eyespyla.com/www/thebuzz.nsf/a4b7eb6edae3659388256f25006b8a05/4a23a96e0c252a2685257872006f5700!OpenDocument,$250</font>
12:00-6:00 pm,"Sip, nosh, and mingle at Hollywood&#8217;s Historic Raleigh Studios June 11 and 12, where 150-plus wine, spirits, and beer folks will come together to celebrate the 6th Annual LAWineFest, benefitting Make-A-Wish Foundation of Greater Los Angeles. Dubbed &#8220;LA&#8217;s largest educational wine festival,&#8221; LAWineFest 2011 will feature the Robert Mondavi Discover Wine Tour, an interactive experience educating guests about wine and entertaining.     TICKETS: $69 per day; $99 couples or weekend pass.   Purchase tickets at www.LAWineFest.com.    Special Programs: Special classes on wine and cheese pairing, international wines, and bourbon, scotch and sake appreciation will be offered both days; tickets available separately at LAWineFest.com or by calling (818) 429-6770.     Parking: Street parking (metered on Saturday) and paid parking available at Paramount Studios lots on Bronson and Van Ness. Metro accessible via Red Line; exit Vermont/Santa Monica and walk two blocks south, three blocks west.    About LAWineFest  LAWineFest was founded in 2005 by renowned wine educator, columnist and Sommelier for the Escoffier Association of Southern California, Dr. Joel M. Fisher. LAWineFest is the largest wine tasting event in Los Angeles, with the dual mission of bringing wine education and enjoyment to Angelenos and supporting local charitable organizations. For further information, please visit LAWineFest.com or contact the Director of Marketing at pr@lawinefest.com     About Robert Mondavi Discover Wine Tour  Let us bring the wine country experience to you, with the fifth annual Robert Mondavi Discover Wine Tour 2011. Featuring wines from the Woodbridge by Robert Mondavi, Robert Mondavi Private Selection, and Robert Mondavi Winery Napa Valley portfolios, the tour provides an interactive experience educating guests about wine and food. The Discover Wine Tour is for learning, experiencing, tasting - and above all, enjoying. After all - isn't that what wine - and life - is all about?      About Make-A-Wish Foundation of Greater Los Angeles  The Make-A-Wish Foundation of Greater Los Angeles grants the wishes of children with life-threatening medical conditions to enrich the human experience with hope, strength and joy. Since its founding in 1983, they have brightened the lives of more than 7,200 children.",Raleigh Studios,"5300 Melrose Avenue Los Angeles, CA 90038",06/12/2011,,,LAWINEFEST 2011,http://www.localwineevents.com/events/detail/359666/la-winefest-2011-6th-annual-june-11-12-the-1-wine-event-in-la,,http://www.eyespyla.com/www/thebuzz.nsf/a4b7eb6edae3659388256f25006b8a05/6a0a1acd13923048852578690068689c!OpenDocument,$69 per day; $99 couples or weekend pass.</font>
10-6pm,"PYO GALLERY, LA, is pleased to present a solo exhibition by California based artist Ji Oh; THERE, and NOW. Ji Oh&#8217;s sculptures and painting operate on the periphery of subjective mark-making and free-association,to explore poetic and surrealist expression. This exhibition surveys a period that spans over fifteen years of creative inquiry, visually connecting the &quot;there and then&quot; to &quot;here and now.&#8221; Her surrealist inspired works hang in bold contrast to larger metaphysical structures, serving as a chronicle of her exploratory style and a conscious search for beauty. Ji Oh&#8217;s mastery of color and texture are infused with a variety of paint mediums to produce fields of unexpected rhythmic delight. Her surface concerns include the organic versus mechanical, form versus space, and the mysterious relationship between the object and the image. Ji explained, &#8220;My work combines delicately placed bits of fabric, paint chips, and manipulated photo imagery to create transformed pieces of deep complexity.&#8221; Amongst the wide selection of materials and techniques presented, a methodical focus on the aesthetic is the defining signature of her work. Oh&#8216;s creative process involves using recognizable and philosophical elements to spark accidental outcomes  both in appearance and in meaning.",PYO GALLERY LA,1100 S. HOPE STREET SUITE 105 LOS ANGELES CA 90015,05/07/2011,06/18/2011,,"THERE, AND NOW",http://WWW.PYOGALLERYLA.COM,213.405.1488,http://www.eyespyla.com/www/thebuzz.nsf/a4b7eb6edae3659388256f25006b8a05/a82b6ab036b288b3852578700072cc0e!OpenDocument,Free</font>
12.00pm - 5.00pm,"Join with noted vegan cooks and speakers to learn how to make vegan cheese, raw foods, decadent desserts, and more, while learning how to incorporate compassion into your life, every time you sit down for breakfast, lunch, and dinner! Enjoy cooking demonstrations and special guest presentations and samples every hour on the hour! Be prepared to have your taste buds, and the rest of you, inspired with the knowledge, tools, and resources you need to go vegan. Sanctuary tour and tastings included, along with a book sale of dozens of vegan cookbooks. Registration deadline is June 13th - $50 per person.",Animal Acres,"5200 Escondido Canyon Road, Acton, 93510",06/18/2011,,,COMPASSIONATE COOKING,http://www.animalacres.org,661-269-5404 x302,http://www.eyespyla.com/www/thebuzz.nsf/a4b7eb6edae3659388256f25006b8a05/374e1d2dfc54369385257841000648c8!OpenDocument,$50</font>
11am-6pm,"Artspace Warehouse announces opening of new show BASEL junction LA, Saturday, April 16 at 5:00pm - 8:00pm.  New show.  New artists. New artworks.  Now presenting museum-quality artworks affordable and accessible for everyone.      On Saturday, April 16 at 5pm, during Miracle Mile Artwalk, an event known for its spectacular art, free admissions to LACMA and access to the cutting-edge art galleries in the area, Artspace Warehouse opens the new show 'BASEL junction LA' in with an artist reception. Swiss and Los Angeles-based artists, extremely diverse in their works genre and seriously established in the art world, will be present. Among them are artists Lucinda Luvaas,  Daniel Maltzman, Marco Pittori and Judy Zimbert &#8211; all newly exhibiting with Artspace Warehouse.  The big opening includes a special guided tour of the artworks by curator Claudia Deutsch and the artists at 5:30pm.  The event announces itself to be a fantastic opportunity to meet some of the most talented contemporary artists whose passionate paintings makes them worth collecting.      Featuring artists: Marco Pittori (Basel) and Los Angeles-based Daniel Maltzman and Judy Zimbert, as well as new works by Ashleigh Sumner, Lucinda Luvaas and others.",Artspace Warehouse,"7354 Beverly Boulevard, Los Angeles, CA 90036",04/16/2011,06/19/2011,,BASEL JUNCTION LA,http://www.artspacewarehouse.com,323 936-7020,http://www.eyespyla.com/www/thebuzz.nsf/a4b7eb6edae3659388256f25006b8a05/2767b5b013e7f8198525786b00757e4a!OpenDocument,free</font>
