description,address,startDate,image,longitude,title,moreInfoLink,latitude
<p>photography by Jonathan Torgovnik</p>,Southeast Museum of Photography,09/4/2010,,-81.0228,&quot;Rwanda/Intended Consequences&quot;,http://theguide.orlandosentinel.com/daytona-beach/art/museum/rwanda-intended-consequences-southeast-museum-of-photography-daytona-beach-museum-exhibit,29.2108
<p>Opening reception with the artist</p>,Roho Art & Coffee,08/26/2010,,-81.3789,&quot;Ryan Neri: Absence&quot;,http://theguide.orlandosentinel.com/downtown-orlando/art/gallery/ryan-neri-absence-roho-art-and-coffee-orlando-gallery-exhibit,28.5414
<p>with exhibits and music at participating venues</p>,Downtown Sanford,08/27/2010,,-81.2253,Sanford Art Walk,http://theguide.orlandosentinel.com/na/art/gallery/sanford-art-walk-downtown-sanford-gallery-exhibit,28.7873
<p>Gateway Center for the Arts group photography exhibit</p>,University Club,08/26/2010,,-81.3392,&quot;Saturated Sunshine&quot;,http://theguide.orlandosentinel.com/winter-park/art/gallery/saturated-sunshine-university-club-winter-park-gallery-exhibit,28.6
,Bank of America,08/17/2010,,-81.38,Sculpture by Kurt Merkel,http://theguide.orlandosentinel.com/downtown-orlando/art/gallery/sculpture-by-kurt-merkel-bank-of-america-orlando-gallery-exhibit,28.547
<p>works by Mollie Doctrow</p>,Museum of Florida Art,08/17/2010,,-81.3042,&quot;Seasonal Crossings&quot;,http://theguide.orlandosentinel.com/na/art/museum/seasonal-crossings-museum-of-florida-art-deland-museum-exhibit,29.0377
,Morse Museum of American Art,08/17/2010,,-81.3392,&quot;Selected Works of Louis Comfort Tiffany&quot;,http://theguide.orlandosentinel.com/winter-park/art/museum/selected-works-of-louis-comfort-tiffany-morse-museum-of-american-art-museum-exhibit,28.6
,Museum of Arts and Sciences,08/17/2010,,-81.0382,&quot;Spruce Creek and the St. Johns River: Silverprint Photography of Lee Dunkel&quot;,http://theguide.orlandosentinel.com/na/art/museum/spruce-creek-and-the-st-johns-river-museum-of-arts-and-sciences-daytona-beach-museum-exhibit,29.1964
,Museum of Arts and Sciences,08/17/2010,,-81.0382,&quot;Stories of Community: Self-Taught Art From the Hill Collection&quot;,http://theguide.orlandosentinel.com/na/art/museum/stories-of-community-self-taught-art-from-museum-of-arts-and-sciences-daytona-beach-museum-exhibit,29.1964
"<p>The Story of Harness Racing by Currier &amp; Ives, from the Harness  Racing Museum &amp; Hall of Fame in Goshen, N.Y., features rare original  Currier &amp; Ives lithographs, gear, and posters that tell the history  of a mid-19th century American pastime that became a national sport.  The lithographs in this exhibition depict great trotting horses, bucolic  mid-19th century scenes, and comedic adventures that convey a  picturesque view of Americana prior to the development of photography.  Examine racing equipment, equine care tools, driver colors or uniforms,  and other memorabilia up-close in the hands-on tack trunk. The History  Center will complement the exhibition with a display of items from the  Ben White Raceway that reflects the rich history of the horseracing  industry in Central Florida. Included in general admission.</p>",Orange County Regional History Center,08/27/2010,,-81.3792,The Story of Harness Racing by Currier &amp; Ives,http://theguide.orlandosentinel.com/downtown-orlando/art/museum/the-story-of-harness-racing-by-orange-county-regional-history-center-orlando-museum-exhibit,28.5383
Storytime with Rocio is for children up to 6 years old.,Citrus Ridge County Library,08/17/2010,,-81.7185,Storytime with Rocio,http://theguide.orlandosentinel.com/clermont/family-kids/family/storytime-with-rocio-literature-event,28.5012
,Ruth Funk Center for Textile Arts,08/17/2010,,-80.6239,&quot;Styling the Modern: Fine Art Meets Fashion&quot;,http://theguide.orlandosentinel.com/na/art/museum/styling-the-modern-fine-art-meets-fashion-ruth-funk-center-for-textile-arts-melbourne-museum-exhibit,28.064
"<p>As part of Summer Saturday Nights, most of the Zoo animals are out on  exhibit until dusk. However, some animals will be off exhibit. The free  flight aviary and the butterfly exhibit will be closed as well as Paws  On play area. Each night the Zoo provides musical entertainment from 6  to 8:30 p.m. Other available activities for patrons include a chance to  go kayaking, ride the train, feed giraffe, and enjoy a special animal  encounter at 7 p.m. Patrons will not be able to bring food and drink  into the Zoo starting at 5 p.m.</p>",Brevard Zoo,08/21/2010,,-80.6081,Summer Saturday Nights,http://theguide.orlandosentinel.com/melbourne/art/zoo/summer-saturday-nights-brevard-zoo-melbourne-zoo-event,28.0836
,Brick City Center for the Arts,08/17/2010,,-82.1376,&quot;Summer Sizzle: Places I Have Been&quot;,http://theguide.orlandosentinel.com/north-florida/art/gallery/summer-sizzle-places-i-have-been-brick-city-center-for-the-arts-ocala-gallery-exhibit,29.1863
"Participants can view sun spots, solar flares and prominences in hydrogen alpha and white light.  Sky watchers will assist and teach attendees the correct and safe way to observe the sun and planets.",Orlando Science Center,09/4/2010,,-81.3677,Sun Watch,http://theguide.orlandosentinel.com/orlando/art/science/sun-watch-gallery-exhibit,28.5714
An art program for ages 6 and up.,Mount Dora Center for the Arts,08/21/2010,,-81.6441,Super Saturday,http://theguide.orlandosentinel.com/mount-dora/art/art/super-saturday-gallery-exhibit,28.8007
,Arts on Douglas,09/4/2010,,-80.9208,&quot;Surface Tension: The Art of Encaustic Painting&quot;,http://theguide.orlandosentinel.com/orlando-market/art/gallery/surface-tension-the-art-of-encaustic-painting-arts-on-douglas-new-smyrna-beach-gallery-exhibit,29.0233
<p><span>10 weeks of summer camp.&nbsp; </span>$10 deposit to reserve space in camp Field Trips and Aquatic Center weekly.</p>,Kissimmee Middle School,08/17/2010,,-81.4366,Teen Extreme,http://theguide.orlandosentinel.com/na/camp/camp-type/teen-extreme-camp,28.3129
<p>works by Toelle Hovan</p>,Art Affair Gallery,09/9/2010,,-81.266,&quot;Toelle it Up&quot;,http://theguide.orlandosentinel.com/lake-monroe/art/gallery/toelle-it-up-art-affair-gallery-sanford-gallery-exhibit,28.8117
,Fifth Avenue Art Gallery,08/17/2010,,-80.6275,&quot;Treasures of Brevard&quot;,http://theguide.orlandosentinel.com/satellite-beach/art/gallery/treasures-of-brevard-fifth-avenue-art-gallery-melbourne-gallery-exhibit,28.1307
<p>Camp for students entering grade 6 - 10. Registration forms available at  our website.</p>  <p>&nbsp;</p>  <p><span>Extended Day available from 2:00pm - 5:30pm for an additional cost</span></p>,Orlando Repertory Theatre,,,-81.3655,Twilight (B),http://theguide.orlandosentinel.com/orlando/camp/arts/twilight-b-orlando-repertory-theatre-camp,28.5704
"<p>Hosted by Irina Wolfe. Crowd tends to be quieter than most, but that might be a good thing. The coffee's first-rate and the room is small, meaning it's at least a captive audience.</p>",Austins Coffee,08/18/2010,,-81.3613,Wednesday Open Words,http://theguide.orlandosentinel.com/winter-park/art/literature-poetry/wednesday-open-words-literature-event,28.5931
"<p>As one of America`s Splendor Seekers, Otto C.Lightner ""Collector of Collections"" left behind an  outstanding legacy in the form of a rare glimpse into the Gilded Age through art objects and artifacts with international flair relating to science and industry of the late 19th century.  This exhibition explores and highlights some of his most exciting and historic purchases and includes: a rare Regency terrestrial globe; swan and Sphinx-decorated Egyptian revival furniture; oversized Oriental and European porcelains; Tiffany, Galle` and Brilliant-cut glass; animalistitic and portrait bronzes, selections from his treasury of silver and a variety of wall decorations, clocks and other richly ornamented objets d`art.</p>",Museum of Arts and Sciences,09/3/2010,,-81.0382,"&quot;The Weird and Wonderful: Unique Decorative Arts From the Lightner Museum, St. Augustine&quot;",http://theguide.orlandosentinel.com/orlando-market/art/museum/the-weird-and-wonderful-unique-decorative-museum-of-arts-and-sciences-daytona-beach-museum-exhibit,29.1964
"<p>Installation art on the theme of trasportation from the likes of Derek Larson, Andrew White, Pat Greene and others.</p>",CityArts Factory,08/19/2010,,-81.3789,&quot;What Moves You?&quot;,http://theguide.orlandosentinel.com/downtown-orlando/art/gallery/what-moves-you-cityarts-factory-orlando-gallery-exhibit,28.5414
,Creative Spirit Gallery,09/10/2010,,-81.3272,&quot;Wild and Free&quot;,http://theguide.orlandosentinel.com/orlando-market/art/gallery/wild-and-free-creative-spirit-gallery-orlando-gallery-exhibit,28.5524
,Tavares City Hall,08/17/2010,,-81.7269,"&quot;Wild Art, Wild Artists&quot;",http://theguide.orlandosentinel.com/orlando-market/art/gallery/wild-art-wild-artists-tavares-city-hall-tavares-gallery-exhibit,28.8022
,Maitland Art Center,08/17/2010,,-81.3674,&quot;William Vincent Kirkpatrick: American Impressionist&quot;,http://theguide.orlandosentinel.com/na/art/museum/william-vincent-kirkpatrick-american-impressionist-maitland-art-center-maitland-museum-exhibit,28.626
<p>Local art showcase with two featured artists each week.</p>,Orlando Tastings,08/21/2010,,-81.3757,Wine &amp; Art Saturday Nights,http://theguide.orlandosentinel.com/downtown-orlando/art/gallery/wine-and-art-saturday-nights-orlando-tastings-orlando-gallery-exhibit,28.5417
"<p>See installations by Jean Banas/Kathy O'Meara, Grace Leal, Martha Lent, Beau Wild, Frances Gardner, Raina Benoit created over the first week of this exhibit, providing a glimpse into the creative process.</p>",Florida Museum for Women Artists,08/17/2010,,-81.3038,&quot;Witness to Creativity&quot;,http://theguide.orlandosentinel.com/na/art/installations/witness-to-creativity-florida-museum-for-women-artists-deland-gallery-exhibit,29.0282
<p>works from the collection of Cici and Hyatt Brown</p>,Florida Museum for Women Artists,09/4/2010,,-81.3038,&quot;Women Paint Florida 1880-1960&quot;,http://theguide.orlandosentinel.com/na/art/museum/women-paint-florida-1880-1960-florida-museum-for-women-artists-deland-museum-exhibit,29.0282
Women's Caucus for Art will demonstrate their craft in the cafe.,Borders Books & Music,09/11/2010,,-81.3651,Women's Caucus for Art,http://theguide.orlandosentinel.com/winter-park/art/art/womens-caucus-for-art-gallery-exhibit,28.603
"<p>Ever seen a dog smile, admire the seemingly-simplistic artistry of a photograph of dogs at play or of dog behavior that is close to human?  For these fun and fascinating facts of life, come to our latest exhibit.  Contemporary portraits of dogs of all sizes, shapes and breeds celebrated through paintings  by such craftsmen and artists as George Rodrigue, Ron Burns, Will Rafuse, William Wegman and others.  These pieces will enliven the Museum's Entry Court in this family friendly exhibit.</p>",Museum of Arts and Sciences,09/3/2010,,-81.0382,&quot;Woof! Art of the Dog&quot;,http://theguide.orlandosentinel.com/orlando-market/art/museum/woof-art-of-the-dog-museum-of-arts-and-sciences-daytona-beach-museum-exhibit,29.1964
,Fredlund Gallery,08/17/2010,,-81.3498,Works by Henry Peter,http://theguide.orlandosentinel.com/rollins/art/gallery/works-by-henry-peter-fredlund-gallery-winter-park-gallery-exhibit,28.5962
,Art Gallery at the Villa,08/17/2010,,-81.3392,"Works by Larry Moore, Stacy Barter, Kevin McNamara and others",http://theguide.orlandosentinel.com/winter-park/art/gallery/works-by-larry-moore-stacy-barter-kevin-mcnamara-and-the-villa-fine-art-gallery-exhibit,28.6
,University Club,08/17/2010,,-81.3514,Works by Linda Amundsen,http://theguide.orlandosentinel.com/orlando-market/art/gallery/works-by-linda-amundsen-university-club-winter-park-gallery-exhibit,28.6046
,Harris House,09/4/2010,,-80.9205,Works by Megan Mitchell,http://theguide.orlandosentinel.com/orlando-market/art/gallery/works-by-megan-mitchell-harris-house-new-smyrna-beach-gallery-exhibit,29.0238
,Appleton Museum of Art,09/4/2010,,-82.0768,Works by the Ocala Art Group,http://theguide.orlandosentinel.com/north-florida/art/gallery/works-by-the-ocala-art-group-appleton-museum-of-art-ocala-gallery-exhibit,29.2046
,Harris House,08/17/2010,,-80.9205,&quot;Young Masters&quot;,http://theguide.orlandosentinel.com/na/art/gallery/young-masters-harris-house-new-smyrna-beach-gallery-exhibit,29.0238
<p>mixed media works inspired by the author</p>,Zora Neale Hurston National Museum of Fine Arts,08/17/2010,,-81.3826,&quot;Zora Neale Hurston: The Legacy of Inspired Reality&quot;,http://theguide.orlandosentinel.com/eatonville/art/museum/zora-neale-hurston-the-legacy-of-zora-neale-hurston-national-museum-of-fine-arts-museum-exhibit,28.6183
