phone,title,webSite,city,startDate,description,venue,state,endDate
573-238-1174,Divided Loyalties: Civil War Documents from the MO State Archives&nbsp,http://www.bcmnh.org,Marble Hill,03/10/2011,"The Bollinger County Museum of Natural History is pleased to announce that we will be the first in Southeast Missouri to host the Missouri State Archives traveling exhibit Divided Loyalties, Civil War Documents from the Missouri State Archives. The Exhibit examines the upheaval and uncertainty that existed in Missouri during the Civil War era. Drawing on more than nine million pages of Civil War-related documents and court cases, the exhibit goes beyond the stories of battles and military strategy to consider the social conflict that existed in the state for the two decades that followed the Kansas Border Wars of the mid- 1850s. The exhibit will open March 10, 2011 and will close May 30, 2011.",Bollinger County Museum of Natural History,Missouri,05/30/2011
,"NCMC 2011  Annual Conference Engaged On All Fronts:New Challenges, New Skills &nbsp",http://www.ncmuseums.org/ncmc/conference/index.html,Raleigh,03/20/2011,"The 2011 annual conference will focus on new skills and new strategies for making museums successful in today?s challenging environment. The conference is going to be an action packed two day event centered in downtown Greensboro, North Carolina. There will be tours, workshops, and quite a variety of sessions!",North Carolina Museums Council,North Carolina,03/21/2011
914-632-8226,White Plains Museum Gallery Solo Show of Art by David Tobey&nbsp,http://www.davidtobey.com,White Plains,03/30/2011,"The White Plains Museum Gallery in White Plains, NY will host a one-man exhibition of paintings and sculpture by artist, teacher and Westchester Philharmonic Orchestra violinist David Tobey at the gallery, 100 Martine Avenue from March 30 through June 15th, 2011.   A reception for the show, at which Tobey will be performing on violin with keyboard artist Kirk Ehrenreich, will be held at the gallery on Wednesday evening, March 30 from 6 to 8 p.m. The public is cordially invited to view Tobey's art at the reception party and to enjoy the live music, refreshments and interesting conversation with artists, musicians, educators and others at the event. Admission is free.   A reception on Wednesday, March 30th from 6 to 8 p.m. at the White Plains Museum Gallery will open a two-and-a-half month long exhibition of art by painter, sculptor, professional violinist &amp; teacher David Tobey. The exhibition will run through June 15th at the Museum Gallery located on the second floor of the White Plains Library at 100 Martine Avenue. There will be refreshments and live music at the opening and all are cordially invited to attend.",White Plains Museum Gallery,New York,06/15/2011
908-527-0400,"Stitches in Time: Three Centuries of Hemlines, Necklines and Everything in Between&nbsp",http://www.kean.edu/libertyhall,Union,03/08/2011,The exhibit features over 40 pieces of clothing and accessories from the vast fashion collection of the Liberty Hall Museum. The fashions on display range from 18th century shoes and fans to 20th century Christian Dior cocktails dresses.,Liberty Hall Museum,New Jersey,06/30/2011
860-486-1705,Views and Re-Views: Soviet Political Posters and Cartoons&nbsp,http://www.thebenton.org,Storrs,03/10/2011,,William Benton Museum of Art,Connecticut,03/20/2011
860-486-1705,Project 35: A Video Celebration of the 35th Anniversary of Independent Curators International&nbsp,http://www.thebenton.org,Storrs,03/10/2011,,William Benton Museum of Art,Connecticut,12/18/2011
860-486-1705,Photo Identities: Images from the Benton Collections&nbsp,http://www.thebenton.org,Storrs,03/26/2011,,William Benton Museum of Art,Connecticut,05/08/2011
860-486-1705,The 2011 Master of Fine Arts Exhibition&nbsp,http://www.thebenton.org,Storrs,04/09/2011,,William Benton Museum of Art,Connecticut,05/08/2011
202-782-2673,"An Afternoon of Poetry with Kim Roberts, author of 'Animal Magnetism'&nbsp",http://www.nmhm.washingtondc.museum,Washington,,"Join the National Museum of Health and Medicine and poet/author Kim Roberts in celebration of National Poetry Month. Roberts will read from her new book of poetry,'Animal Magnetism,' which features three poems about the Museum's collections. After the reading, James Curley, Historical Collections Specialist, will provide a special glimpse of the Museum?s collections. A book signing will follow the program. Copies of 'Animal Magnetism' will be available for purchase.",,District of Columbia,
731-427-7897,Journey Stories from the Smithsonian,http://http://bigblackcreekhistorical.com,Mercer,03/15/2011,"We have a exhibt from the Smithsonian thru April 3, 2011 in the Pennington Building in Mercer. It is the'Journey Story.' Open Friday-Saturday 10:00 AM to 5:00 PM and Sunday 2:00 to 5:00 PM or by appointment 731-427-7897",Big Black Creek Historical Association,Tennessee,04/03/2011
361-358-8615,"Tenth Annual Adult Watercolor Workshop Entitled: ""Paper for Painting"" with Arthur Turner&nbsp",http://www.moodygallery.com/Artists/Turner/Turner_main.html,Beeville,,"The Museum is privileged to offer their tenth annual free adult watercolor workshop by renowned artist and Glassell School of Art instructor Arthur Turner.   Mr. Turner received his B.A. from North Texas State University, Denton, Texas and his M.F.A. from Cranbrook Academy of Art, Bloomfield Hills, Michigan.    Mr. Turner has won numerous awards for his outstanding works.",,Texas,
702-455-7955,Pueblo Indian Art: Ongoing Traditions&nbsp,http://www.clarkcountynv.gov/Depts/parks/Pages/clark-county-museum.aspx,Henderson,03/19/2011,"Experience 150 years of Pueblo Indian culture through a new exhibit at the Clark County Museum titled, 'Pueblo Indian Art: Ongoing Traditions' beginning March 19 through June 3. Jewelry, pottery, baskets, textiles and artifacts of the Pueblo people will be on display at the museum at 1830 S. Boulder Highway in Henderson, as part of the museum's celebration of Native American art throughout March.   'The Pueblo people of the American Southwest have been producing functional art for themselves and as trade for centuries,'Dawna Jolliff, Curator of Exhibits for the museum said. 'By utilizing native plants, rocks, minerals and clay, artists produced beautiful objects for everyday use and special occasions. Examples of these ongoing traditions, both historic and contemporary, include katsina dolls, fetishes, clothing, baskets, pottery and jewelry from Hopi, Zuni, and Rio Grande Pueblo artists. There is also a special 'hands' area that allows visitors to have creative fun based on the exhibit. Well-known artists will also drop by the museum throughout the month to demonstrate their skills.",Clark County Museum,Nevada,06/03/2011
386-873-2976,First Ovation Exhibition -Dorothy Gillespie&nbsp,http://www.floridamuseumforwomenartists.org/special-events/upcoming-events/,DeLand,03/10/2011,"Dorothy Gillespie’s illustrious career in art spans over 50 years during which time she has created and exhibited her art work nationally and internationally. At 90, splitting her time between her Orlando and NYC studios, Gillespie’s career continues at a dizzying pace. Gillespie’s colorful paintings, collages, murals and sculptures have vividly transform the Museum.",Florida Museum for Women Artists,Florida,05/01/2011
702-455-7955,Model Screening for Photo Odyssey: photographers shoot&nbsp,http://www.clarkcountynv.gov/Depts/parks/Pages/clark-county-museum.aspx,Henderson,,"The Guild is looking for volunteer female and male models of all ages, as well as hair, make-up, and wardrobe stylists interested in expanding their portfolios. Please e-mail Alexis Ledsinger alexis@christopherrogersinc.com, if you are interested in participating, by March 25, 2011. There will be a model screening on Sunday, April 3 at Casey's Camera on Tropicana, near Spenser.",,Nevada,
573-238-1174,Friday Night At The Museum--Flint Knapping&nbsp,http://www.bcmnh.org,Marble Hill,,"On Friday, March 25, 2011, the Bollinger County Museum of Natural History will host Arrowhead Fred Bollinger. Fred will be presenting a program on flint knapping as part of the Museum's Friday Night at the Museum event. The Museum will open its doors at 6PM and close at 8PM. The programs will start at 6:30PM and will run for approximately one hour.  Some refreshments served. For more information call 573-238-1174 or email bcmnh@sbcglobal.net",,Missouri,
706-594-0874,"2011 Easter Egg Hunt April 17th, 2011 at 2:00pm",,LaGrange,,"2011 Easter Egg Hunt April 17th, 2011 at 2:00pm-4:00pm. Admission is two books or $5 to benefit several reading programs located in LaGrange, GA.",,Georgia,
386-873-2976,The Art of Dorothy Gillespie – Lecture by Dr. Kyra Belan&nbsp,http://www.floridamuseumforwomenartists.org/special-events/upcoming-events/,DeLand,,"Dr. Kyra Belan will discuss Dorothy Gillespie’s extensive body of work created during fifty years of her life as a New York and Florida artist. She will also highlight her anecdotal conversations with Gillespie, whom she has known for over twenty years. Belan co-authored Dorothy Gillespie, a book published by Radford Press in 1998. She is also an author of other books, including The Virgin in Art, published by Barnes and Noble in 2007, and has had over eighty solo exhibitions and installations nationwide and in Florida. Belan graduated from Arizona State University with a B.F.A., and from Florida State University with an M.F.A.; her Ed. D. is from Florida International University.",,Florida,
,Major Surrenders of the American Civil War&nbsp,http://www.nchistoricsites.org/bennett/,Durham,04/16/2011,"5 Major surrenders ended the most tragic war in American history. Join historians as they share the accounts, statistics, and personal stories of the final months of the American Civil War. Living history programs, authors and book signings will also be part of this weekend commemorative event.",Bennett Place State Historic Site,North Carolina,04/17/2011
231-724-3100,LECTURE ON SLAVERY-PROF. JON McDONALD - Part 1&nbsp,http://www.visitmuskegon.org/african_american_museum.htm,Muskegon Heights,,EDUCATION COMMIITTEE PROGRAM HELD AT MUSEUM,,Michigan,
231-724-3100,LECTURE ON SLAVERY-PROF. JON McDONALD - Part 2&nbsp,http://www.visitmuskegon.org/african_american_museum.htm,Muskegon Heights,,EDUCATION COMMIITTEE PROGRAM HELD AT MUSEUM,,Michigan,
252-638-8558,2011 Spring Historic Homes & Gardens Tour&nbsp,http://newbernhistorical.org/homes-garden-tour/,New Bern,04/08/2011,"On April 8 and 9, homeowners will open their doors so the public can visit some of the most beautiful and interesting homes in New Bern’s historic district. The 2011 Spring Historic Homes & Gardens Tour will provide a behind-the-scenes look at 13 homes and gardens that are important to our town’s past and present. Patrons will tour the living quarters of these homes, learning about the original architecture, renovations, and furnishings. In addition to the homes and gardens, many downtown houses of worship will be open for tours, with some offering musical performances",Attmore-Oliver House Museum,North Carolina,04/09/2011
731-427-7897,Journey Stories from the Smithsonian,http://http://bigblackcreekhistorical.com,Mercer,03/15/2011,"We have a exhibt from the Smithsonian thru April 3, 2011 in the Pennington Building in Mercer. It is the'Journey Story.' Open Friday-Saturday 10:00 AM to 5:00 PM and Sunday 2:00 to 5:00 PM or by appointment 731-427-7897",Big Black Creek Historical,Tennessee,04/03/2011
540-822-5148,Ribbon Cutting Ceremony,,Harpers Ferry,,You have to be there!  Please join us for this once in a lifetime Ceremony!,,West Virginia,
,Candlelight Champagne Supper with Benjamin Franklin&nbsp,http://www.flemingcastle.com,Flemington,,"The Samuel Fleming House Museum and Garden at 5 Bonnell Street, Flemington, NJ will host a Fund Raiser on April 8th at Teaberry’s Restaurant in Flemington.  The guest of honor at the Candlelight Champagne Supper will be Benjamin Franklin, one of our Country’s wisest and wittiest men.  Jack Sherry, as Franklin, will entertain guests with tales of his remarkable life as well as his place in history.  Guests will have an opportunity to speak with Dr. Franklin, a most enjoyable experience. Very few men have been as quoted as Franklin.  His proverbs from Poor Richard’s Almanac such as “He that lieth down with dogs, shall rise up with fleas,” are still well known. History records one of his best known replies at the signing of the Declaration of Independence: “We must indeed all hang together, or most assuredly, we shall hang separately.”",,New Jersey,
702-455-0104,"Photo Odyssey: Vintage cars , houses, and vintage costumes for photographers to shoot&nbsp",http://www.clarkcountynv.gov/Depts/parks/Pages/clark-county-museum.aspx,Henderson,,"On Saturday, April 30, the Clark County Museum Guild will host a photography day at the Clark County Museum. From 10 a.m. - 3:00 p.m., pre-registered photographers will be able to photograph professionally styled models and vintage cars, located in and around the historic homes and outdoor exhibits of the museum grounds. Eight locations at the Museum, suggestive of various eras, have been selected. Planned scenarios include a 1960's wedding at the Wedding Chapel, a 1930's Brenda Starr reporter by the Train Depot complete with Model A Ford, a ""Magnesium Maggie"" mom and daughter team in the Victory Garden behind the Townsite House, a Gibson Girl hanging laundry on the line behind the Beckley House, a modern wedding in the Gazebo, a Steampunk ""Nell and Snidely Whiplash"" couple by the Union Pacific switcher engine, a Rockabilly Couple with a vintage motorcycle by the 1960's Spartenette camper, and a Honeymoon Bride at the 1930's Motor Court. Mark Hall-Patton, Museum Administrator and guest expert of ?Pawn Stars? fame, will be on hand to sign his book, Asphalt Memories. Copies are available through the museum store, and all sales benefit the museum. Additionally, from 3-4 p.m., participants will be invited to network in a Meet and Greet, under the Gazebo.",,Nevada,
,Annual Maple Fest&nbsp,http://www.ischuavalleyhistoricalsociety.org/UpcomingEvents.html,Franklinville,,"This is a two-day event April 30th and Sunday, May 1st.    Franklinville will hold its Annual Maple Fest.  The Historical Society will be involved, selling Cuba cheese curds, sharp cheese, candy, mystery books, baked goods and ""old treasures"".  Please support us at this fund-raising event.  You will find us at the elementary school building ""under the clock"".",,New York,
513-753-1909,President Grant's Birthday Celebration,,Pt Pleasant,,"Annual Birthday celebration in memory of President Ulysses S. Grant; A Historical Birthday Celebration at the birthplace of our Favorite son Ulysses S. Grant will be held at Pt Pleasant, Ohio. This event will make the whole family happy, a wonderful learning experience for the history buff, a soulful melody for the music lover, with the music of the Civil War era, the foodie will relish the period food offered and the shopper will love the craft and artists offerings from their booths. &lt;br /&gt;    Maureen Kennedy, President of the Irish-American Theatrical Company will have a moving reading of Civil War letters from the front.Our esteemed local historian Leslie Huggard will speak on the Simpson's Irish heritage (Grant's maternal family connection).   General's Grant and Lee reernactors on horseback on the grounds to add realism, a treat for the kid in all of us. Opening the event at 10:30AM with the VFW Color Guard raising of the flag.Local Scouts will honor President Grant at the flag. Keynote address, Music programs and lectures will be next to the birthplace in the Grant Memorial Church. Rain or Shine we will have cake and celebrate",,"Ohio, Ohio",
432-685-4770,Spring 2011 Student Art Show&nbsp,http://www.midland.edu/mccormick/,Midland,04/28/2011,Spring 2011 Student Art Show,McCormick Gallery,Texas,05/06/2011
540-822-5148,The 8th Virginia will be reenacting for the boyscout camporee,,Harpers Ferry,04/29/2011,April 29th -May 1st re-enactors will be at the Harper's Ferry KOA for demonstrations . Come camping and learn about life during the 1800's. The 8th Virginia Company K will be reenacting for the boyscout camporee.,Living Civil War History Museum,West Virginia,05/01/2011
303-504-9223,"2011 Museum Store Association Retail Conference and Expo in Chicago/Rosemont, IL&nbsp",http://www.museumstoreassociaiton.org,Denver,04/30/2011,"The Museum Store Association is an international organization dedicated to bringing the cultural community together from all over the world.  We’ve been hard at work to plan a conference that helps you take charge of your career, your store’s direction and your role in your institution. Also shop the expo for access to over 300 expert suppliers for show specials, custom goods and new ideas. By attending the 2011 MSA Retail Conference &amp;amp;amp; Expo, you’ll get professional tools, exciting products and develop the personal confidence and contacts to help you define your future.",Museum Store Association,Colorado,05/02/2011
508-230-3789,April Vacation Week&nbsp,http://www.childrensmuseumineaston.org,Easton,04/16/2011,Spring is in full bloom at The Children’s Museum in Easton and we will be celebrating our 20th birthday all week April 16-23!,Children's Museum in Easton,Massachusetts,04/23/2011
231-724-3100,SLAVERY IN MAKING AMERICA -PART  I&nbsp,http://www.visitmuskegon.org/african_american_museum.htm,Muskegon Heights,,EDUCATION COMMIITTEE PROGRAM HELD AT MUSEUM,,Michigan,
573-238-1174,"Friday Night At The Museum ""From Where The Sun Now Stands In The Sky""&nbsp",http://www.bcmnh.org,Marble Hill,,"On Friday, April 15, take a fascinating look into the Native American past, present, and future with Chief Paul WhiteEagle. Paul's talk this month will be ""From Where The Sun Now Stands In The Sky"": A Study of Native American Culture. The museum will be open from 6-8PM. Chief Paul WhiteEagle's presentation will start at 6:30PM and last approximately one hour.",,Missouri,
573-238-1174,Easter At The Museum&nbsp,http://www.bcmnh.org,Marble Hill,,"On Saturday, April 16, hop on down to the Bollinger County Museum. Esther Bunny will be at the museum from 5:00-6:00PM to visit with the young or not so young. Enjoy Easter crafts, treats, and more. Come out for an afternoon of fun. Museum open special hours: Noon-6:00PM. Call 573-238-1174 or email bcmnh@sbcglobal.net for questions or more information. Check our Facebook page for updates.",,Missouri,
231-724-3100,Ramifacations of Slavery on Race Relations Today&nbsp,http://www.visitmuskegon.org/african_american_museum.htm,Muskegon Heights,,A lecture given by Prof. Jon McDonald of Kendall School   of Art and Design. He painted our present exhibit entitled 'SLAVERYS' CHILL'. 12 4'x6' paintings documenting the history of slavery.,,Michigan,
,Speaker of Interest&nbsp,http://www.ischuavalleyhistoricalsociety.org/UpcomingEvents.html,Franklinville,,Mr. Kellogg will be discussing his life and career as an engineer on the railroad.,,New York,
888-222-9749,The Green Museum Online Conference&nbsp,http://greenmuseumconference.com/program/,Houston,,"Please join us live online for a 1/2 day virtual conference: ""The Green Museum."" This highly interactive, collaborative event takes place on April 27, 2011 from 12:00 Noon to 5:00pm EDT.  The fast-paced program is designed to provide everything you need to know about ""greening"" your museum in under 5 hours. Need to step away? You won't miss a moment of the conference because each session will be recorded and available to you for at least 6 months after the event.  This unique event is produced by LearningTimes and sponsored by the American Association of Museums (AAM) and the American Association for State and Local History (AASLH).",,Texas,
,Innovation is Child's Play: 2011 Association of Children's Museums Conference,http://www.childrensmuseums.org,Houston,05/19/2011,"In the online communities, social networks, and Web 2.0 and 3.0 that currently dominate our 21st Century society, children live beyond their geographic boarders. No longer is the routine accepted; everything is customized, including education. The digital services now literally at our fingertips are our children's power tools, utilized through play, free-choice learning, and exploration to build abilities and share talents. They exist in a worldwide community that no longer embraces knowledge or skill sets as an end game, but as tools to solve problems and meet needs by innovating new products and services.",Association of Children's Museums,Texas,05/21/2011
,Innovation is Child's Play: 2011 Association of Children's Museums Conference,http://www.childrensmuseums.org,Houston,05/19/2011,"In the online communities, social networks, and Web 2.0 and 3.0 that currently dominate our 21st Century society, children live beyond their geographic boarders. No longer is the routine accepted; everything is customized, including education. The digital services now literally at our fingertips are our children's power tools, utilized through play, free-choice learning, and exploration to build abilities and share talents. They exist in a worldwide community that no longer embraces knowledge or skill sets as an end game, but as tools to solve problems and meet needs by innovating new products and services.",Association of Children's Museums,Texas,05/21/2011
262-642-2642,Founders Day Weekend&nbsp,http://etahs.org,East Troy,05/21/2011,Celebrating 175 Years since founding.,East Troy Area Historical Society,Wisconsin,05/22/2011
510-670-7270,Gateway to the Salt Marsh Exhibit: History of the Interpretive Center&nbsp,http://www.haywardrec.org/hayshore.html,Hayward,05/21/2011,Celebrate our 25th Anniversary by visiting the Hayward Shoreline Interpretive Center and viewing our newly installed exhibit highlighting the contributions and accomplishments of the Interpretive Center over the past 25 years.,Hayward Shoreline Interpretive Center,California,07/31/2011
202-782-2673,Museum Science Cafe featuring author Holly Tucker &nbsp,http://www.nmhm.washingtondc.museum,Washington,,"Join the National Museum of Health and Medicine and catch a gory glimpse of the dawn of our scientific age as author Holly Tucker discusses her new book, “Blood Work: A Tale of Medicine and Murder in the Scientific Revolution.” It tells the true story of one of the world's first blood transfusions, beginning on a cold day in 1667 when renegade physician Jean-Baptiste Denis transfused calf’s blood into one of Paris’s most notorious madmen. In doing so, Denis angered not only the elite scientists who had hoped to perform the first animal-to-human blood transfusions themselves, but also a host of powerful conservatives who believed that the doctor was toying with forces of nature that he did not understand. Just days after the experiment, the madman was dead, and Denis was framed for murder.   All are welcome to join this discussion about another era’s medical controversies, with hopes of shedding light on more contemporary ones.",,District of Columbia,
202-782-2673,Museum Science Cafe featuring author Holly Tucker &nbsp,http://www.nmhm.washingtondc.museum,Washington,,"Join the National Museum of Health and Medicine and catch a gory glimpse of the dawn of our scientific age as author Holly Tucker discusses her new book, “Blood Work: A Tale of Medicine and Murder in the Scientific Revolution.” It tells the true story of one of the world's first blood transfusions, beginning on a cold day in 1667 when renegade physician Jean-Baptiste Denis transfused calf’s blood into one of Paris’s most notorious madmen. In doing so, Denis angered not only the elite scientists who had hoped to perform the first animal-to-human blood transfusions themselves, but also a host of powerful conservatives who believed that the doctor was toying with forces of nature that he did not understand. Just days after the experiment, the madman was dead, and Denis was framed for murder.   All are welcome to join this discussion about another era’s medical controversies, with hopes of shedding light on more contemporary ones.",,District of Columbia,
231-724-3100,SLAVERY IN MAKING AMERICA -PART  2&nbsp,http://www.visitmuskegon.org/african_american_museum.htm,Muskegon Heights,,EDUCATION COMMIITTEE PROGRAM HELD AT MUSEUM,,Michigan,
231-724-3100,SLAVERY IN MAKING AMERICA -PART  2&nbsp,http://www.visitmuskegon.org/african_american_museum.htm,Muskegon Heights,,EDUCATION COMMIITTEE PROGRAM HELD AT MUSEUM,,Michigan,
202-289-1818,'The Museum of the Future&quot; is the theme for the 105th AAM Annual Meeting&nbsp,http://www.aam-us.org/am/am09.cfm,Houston,05/22/2011,"As the museum field’s premier professional development opportunity in 2011, the AAM Annual Meeting &amp; MuseumExpo™ will showcase the best thinking from both practitioners and visionaries on the major issues confronting us and the communities we serve. The world moves faster than ever, and museums must not only keep pace but forge ahead. What better place to chart our future? The fourth largest city in the U.S., Houston is an urban center that defies expectations. It is home to 18 Fortune 500 companies, the world’s largest medical complex, over 40 colleges and universities, and 500 cultural, visual, and performing arts organizations, many devoted to multicultural arts. More than 80 different languages are spoken here. There is no longer any racial or ethnic majority, and the Hispanic population is one of the largest in the nation. Thirty-seven percent of the population is under the age of 24. Houston is the ideal testing ground to investigate our future. You can play an integral part in creating that future. Join more than 5,000 museum professionals for three and a half days of creativity, connections and renewal.",American Association of Museums,Texas,05/25/2011
202-289-1818,'The Museum of the Future&quot; is the theme for the 105th AAM Annual Meeting&nbsp,http://www.aam-us.org/am/am09.cfm,Houston,05/22/2011,"As the museum field’s premier professional development opportunity in 2011, the AAM Annual Meeting &amp; MuseumExpo™ will showcase the best thinking from both practitioners and visionaries on the major issues confronting us and the communities we serve. The world moves faster than ever, and museums must not only keep pace but forge ahead. What better place to chart our future? The fourth largest city in the U.S., Houston is an urban center that defies expectations. It is home to 18 Fortune 500 companies, the world’s largest medical complex, over 40 colleges and universities, and 500 cultural, visual, and performing arts organizations, many devoted to multicultural arts. More than 80 different languages are spoken here. There is no longer any racial or ethnic majority, and the Hispanic population is one of the largest in the nation. Thirty-seven percent of the population is under the age of 24. Houston is the ideal testing ground to investigate our future. You can play an integral part in creating that future. Join more than 5,000 museum professionals for three and a half days of creativity, connections and renewal.",American Association of Museums,Texas,05/25/2011
773-764-4078,Next House Tour May 1 &nbsp,http://www.rpwrhs.org,Chicago,,"ease join the Rogers Park/West Ridge Historical Society for our annual house tour on Sunday, May 1, 2011. In this year's tour, we are featuring the neighborhood of our new home on Morse Avenue. In addition to several homes nearby, we will be featuring the United Church of Rogers Park, the former Congregation B'nai Zion, the mile of murals, and the Glenwood Art District. The self-guided tour will begin at the Society's new offices at 1447 W. Morse Ave.",,Illinois,
573-238-1174,Mississippi River Valley Scenic Drive&nbsp,http://www.bcmnh.org,Marble Hill,04/30/2011,"Come by to see what's new at the museum. Get a chance to see the Divided Loyalties: Civil War Documents From the Missouri State Archives, Dee the Columbian Mammoth Skull replica from the largest mounted mammoth in North America along with Dima a 7-8 month mummified baby Wooly Mammoth replica. Be sure to catch Stan the T-Rex Skull replica while he is still visiting and get a sneak peak at the new bug collection. See a 3ft. long Sea Scorpion replica from the Silurian Period and a giant millipede replica, Arthropleura armata, the largest known land invertebrate of all time. Watch out for the Giant cockroach replicas, and the Giant Dragonfly replica, all from the Carboniferous period when creatures grew extra large.",Bollinger County Museum of Natural History,Missouri,05/01/2011
919-833-3431,Joel Lane Museum House and Macaroni Kid present a Macaroni Meet Up “Pathways to the Past”&nbsp,http://joellane@bellsouth.net,Raleigh,,"The Joel Lane Museum House and Macaroni Kid present are proud to announce A Macaroni Meet Up “Pathways to the Past” on Saturday, April 30, 2011 from 1-4 pm in the gardens of the Joel Lane Museum House at 160 South Saint Mary’s Street, Raleigh NC 27603. Admission will be $2 plus 2 cans of food per person.  The food will be given to the Inter-Faith Food Shuttle to feed the hungry. The event will take place rain or shine.",,North Carolina,
919-833-3431,Joel Lane Museum House and Macaroni Kid present a Macaroni Meet Up “Pathways to the Past”&nbsp,http://www.northraleigh.macaronikid.com,Raleigh,,"The Joel Lane Museum House and Macaroni Kid present are proud to announce A Macaroni Meet Up “Pathways to the Past” on Saturday, April 30, 2011 from 1-4 pm in the gardens of the Joel Lane Museum House at 160 South Saint Mary’s Street, Raleigh NC 27603. Admission will be $2 plus 2 cans of food per person. The food will be given to the Inter-Faith Food Shuttle to feed the hungry. The event will take place rain or shine.",,North Carolina,
,Mother's Day: Free Admission for Mothers&nbsp,http://www.thehistorycenter.org,Orlando,,Mother's Day: Free Admission for Mothers,,Florida,
,Bones and Bodies: How Skeletons Unlock the Past&nbsp,http://www.thehistorycenter.org,Orlando,,Dr. Rachel Wentz examines how ancient skeletons reveal much about how past populations lived and died.,,Florida,
,"Hope Against All Odds: Fanny Aizenberg, Holocaust Survivor&nbsp",http://www.thehistorycenter.org,Orlando,,Survivor Fanny Aizenberg recalls her role in the Belgian Resistance movement and her deportation to the concentration camp at Auschwitz.,,Florida,
888-987-2461,The Texas State Railroad is hosting its annual Memorial Day Armed Forces Event&nbsp,http://www.TexasStateRR.com,Palestine,05/27/2011,"Memorial Day Armed Forces Event will be held at the Texas State Railroad Palestine Depot on May 27-29, 2011 celebrating our Armed Forces! There will be a 1940’s USO Show Dinner & Dance, historic military transport one-way train ride, WWII Mock Battle Train ride to “German Village of Rheinhausen” and living history exhibits, Huey helicopter rides and activities. Tickets start at only $20. Ask about our PATTON PACKAGE for $35.00 that includes USO Show and Battle Train Ticket.",Texas State Railroad Palestine Depot,Texas,05/29/2011
888-987-2461,The Texas State Railroad is hosting its annual Memorial Day Armed Forces Event &nbsp,http://www.TexasStateRR.com,Rusk,05/27/2011,"Memorial Day Armed Forces Event will be held at the Texas State Railroad Palestine Depot on May 27-29, 2011 celebrating our Armed Forces! There will be a 1940’s USO Show Dinner & Dance, historic military transport one-way train ride, WWII Mock Battle Train ride to “German Village of Rheinhausen” and living history exhibits, Huey helicopter rides and activities. Tickets start at only $20. Ask about our PATTON PACKAGE for $35.00 that includes USO Show and Battle Train Ticket.",Texas State Railroad Rusk Depot,Texas,05/29/2011
361-358-8615,"Father's Day ""All about Dad"" Books   &nbsp",http://www.moodygallery.com/Artists/Turner/Turner_main.html,Beeville,,Ages: 7 & up   Please call the Beeville Art Museum at 358-8615 to sign,,Texas,
516-572-4111,Showing of Breaking Through the Clouds; the First Women's National Air Derby&nbsp,http://www.cradleofaviation.org,Garden City,,Breaking Through The Clouds provides nearly two hours of captivating viewing with original footage from the women who flew in the 1929 air derby and from the race itself.,,New York,
406-728-0447,Exhibition Opening and Artists’ Reception: Music by Salsa Loca & beer garden by Flathead Lake Brewing Co. of Missoula &nbsp,http://http://www.missoulaartmuseum.org/index.php/ID/619ab33cb0a462195bd000837fe954f8/fuseaction/participate.detail.htm,Missoula,,"Persistence in Clay: Contemporary Ceramics in Montana:   While many regions of the country are known for their mastery of other mediums, in Montana, the ceramic arts are the touchstone of art and culture. This exhibition serves as a snap shot of the world class activity that is happening today in the state. The exhibition coincides with the Archie Bray Foundation’s 60th birthday and is intended to celebrate not only this milestone birthday, but the long-lived strength of the clay medium in the state of Montana. The professional artists in this exhibit are a selection of the many clay artists who are currently recognized leaders in their communities. Though working in Montana, many of these artists rarely exhibit within the state relying instead on commercial support and attention from galleries and collectors outside the region. Drawing these artists together celebrates the local connection to the communities they call home and provides an educational platform to affirm their creative contributions. It should be noted that this select group of artists is not exclusive, for this exhibition could easily be tripled in size with ceramic artists who are equally vital and competent. This profound fact speaks to the strength of the clay medium in the state and the legacy of the pioneers who laid the groundwork for the generations of clay artists to come.",,Montana,
,Retro Game Night Special Edition: College Night&nbsp,http://www.thehistorycenter.org,Orlando,,"Come dressed in your school’s logo and play your favorite classic board and video games throughout the museum, along with human Giant Tower Tumble and human Pick-up Sticks.",,Florida,
406-728-0447,Artists’ Gallery Talk: Julia Galloway and Beth Lo &nbsp,http://http://www.missoulaartmuseum.org/index.php/ID/619ab33cb0a462195bd000837fe954f8/fuseaction/participate.detail.htm,Missoula,,"Persistence in Clay: Contemporary Ceramics in Montana:   While many regions of the country are known for their mastery of other mediums, in Montana, the ceramic arts are the touchstone of art and culture. This exhibition serves as a snap shot of the world class activity that is happening today in the state. The exhibition coincides with the Archie Bray Foundation’s 60th birthday and is intended to celebrate not only this milestone birthday, but the long-lived strength of the clay medium in the state of Montana. The professional artists in this exhibit are a selection of the many clay artists who are currently recognized leaders in their communities. Though working in Montana, many of these artists rarely exhibit within the state relying instead on commercial support and attention from galleries and collectors outside the region. Drawing these artists together celebrates the local connection to the communities they call home and provides an educational platform to affirm their creative contributions. It should be noted that this select group of artists is not exclusive, for this exhibition could easily be tripled in size with ceramic artists who are equally vital and competent. This profound fact speaks to the strength of the clay medium in the state and the legacy of the pioneers who laid the groundwork for the generations of clay artists to come.",,Montana,
