title,endHour,moreInfoLink,eventDate,venue,description,fullAddress,startHour
Damian Jr Gong Marley,,http://events.myspace.com/Event/7211950/Damian-Marley,04/11/2011,Paradiso,,Amsterdam&nbsp;Noord-Holl&nbsp;1017,
The Marshall Tucker Band,10:00 PM,http://events.myspace.com/Event/7276288/Marshall-Tucker-Band,05/15/2011,Frank Brown Park,Age Requirement: 0+,"Panama City Beach, Panama City Beach&nbsp;FL&nbsp;32405",8:00 PM
The Outlaws,10:00 PM,http://events.myspace.com/Event/7286958/Colony-Theater,05/06/2011,Colony Theater,Age Requirement: 18+,"500 Bayside Avenue, Rockaway Point&nbsp;NY&nbsp;11697",8:00 PM
The Outlaws,11:30 PM,http://events.myspace.com/Event/6814915/National-Building-Museum-Private,05/07/2011,National Building Museum (Private),Age Requirement: 0+,"401 F Street NW, Washington&nbsp;DC&nbsp;20001",10:00 PM
The Outlaws,10:00 PM,http://events.myspace.com/Event/7286662/Rams-Head-On-Stage-,05/08/2011,Rams Head On Stage,Age Requirement: 21+,"33 West Street, Annapolis&nbsp;MD&nbsp;21401",8:00 PM
The Outlaws,10:00 PM,http://events.myspace.com/Event/7288654/Panama-City-Beach-Gulf-Coast-Jam-2011,05/15/2011,Panama City Beach Gulf Coast Jam 2011,Age Requirement: 0+,"Frank Brown Park 16200 Panama City Beach, Panama City Beach&nbsp;FL&nbsp;32405",4:00 PM
Roger Waters,,http://events.myspace.com/Event/5305286/Roger-Waters,03/25/2011,Palacio de Deportes,,&nbsp;&nbsp,
Roger Waters,,http://events.myspace.com/Event/5305287/Roger-Waters,03/29/2011,Palau Sant Jordi,,"Passeig Olímpic, 5, Barcelona&nbsp;&nbsp;08038",
Roger Waters,,http://events.myspace.com/Event/4876484/Roger-Waters,04/02/2011,Mediolanum Forum,,"Via Giuseppe Di Vittorio, 6, Rozzano&nbsp;Lombardia&nbsp;20089",
Roger Waters,,http://events.myspace.com/Event/4876485/Roger-Waters,04/03/2011,Mediolanum Forum,,"Via Giuseppe Di Vittorio, 6, Rozzano&nbsp;Lombardia&nbsp;20089",
Roger Waters,,http://events.myspace.com/Event/5276865/Roger-Waters,04/04/2011,Mediolanum Forum,,"Via Giuseppe Di Vittorio, 6, Rozzano&nbsp;Lombardia&nbsp;20089",
Roger Waters,,http://events.myspace.com/Event/5514924/Roger-Waters,04/05/2011,Mediolanum Forum,,"Via Giuseppe Di Vittorio, 6, Rozzano&nbsp;Lombardia&nbsp;20089",
Roger Waters,,http://events.myspace.com/Event/5058938/Roger-Waters,04/09/2011,Gelredome,,Arnhem&nbsp;Gelderland&nbsp;6841,
Roger Waters,,http://events.myspace.com/Event/5453141/Roger-Waters,04/15/2011,O2 Arena,,Praha&nbsp;Hlavní měs&nbsp;190,
Roger Waters,,http://events.myspace.com/Event/5928540/Roger-Waters,04/23/2011,Актовый Зал,,город Москва&nbsp;Московская&nbsp,
Roger Waters,,http://events.myspace.com/Event/5130229/Roger-Waters,04/25/2011,Ледовый Дворец,,Saint Petersburg&nbsp;Sankt-Pete&nbsp,
Roger Waters,,http://events.myspace.com/Event/7120318/Roger-Waters,04/27/2011,Hartwall Areena,,"Areenankuja, Helsínquia&nbsp;Southern F&nbsp;00240",
Roger Waters,,http://events.myspace.com/Event/7036198/Roger-Waters,05/05/2011,Globe Arenas Annexet,,"Globentorget 2, Stockholm&nbsp;&nbsp",
Roger Waters,,http://events.myspace.com/Event/4876486/Roger-Waters,05/14/2011,O2 arena,,"London Rd, Liverpool&nbsp;Liverpool&nbsp;L3 8",
Roger Waters,,http://events.myspace.com/Event/4876487/Roger-Waters,05/15/2011,O2 arena,,"London Rd, Liverpool&nbsp;Liverpool&nbsp;L3 8",
Roger Waters,,http://events.myspace.com/Event/4876048/Roger-Waters,05/28/2011,Sportpaleis,,Antwerp&nbsp;Flemish Re&nbsp,
Roger Waters,,http://events.myspace.com/Event/4876358/Roger-Waters,06/04/2011,SAP Arena,,Mannheim&nbsp;Baden-Würt&nbsp;68163,
Roger Waters,,http://events.myspace.com/Event/4876047/Roger-Waters,06/07/2011,Hallenstadion-Oerlikon,,"Wallisellenstrasse 45, Zürich&nbsp;Zurich&nbsp;8050",
Roger Waters,,http://events.myspace.com/Event/6414775/Roger-Waters,06/11/2011,Color Line Arena,,Hamburg&nbsp;Hamburg&nbsp;22525,
Roger Waters,,http://events.myspace.com/Event/7148779/Roger-Waters,06/13/2011,MCH Herning,,"Vardevej 1, Herning&nbsp;Midtjyllan&nbsp;7400",
Roger Waters,,http://events.myspace.com/Event/4876360/Roger-Waters,06/16/2011,O2 World,,Berlin&nbsp;Berlin&nbsp;13187,
Roger Waters,,http://events.myspace.com/Event/7211901/Roger-Waters,06/24/2011,Hallenstadion-Oerlikon,,"Wallisellenstrasse 45, Zürich&nbsp;Zurich&nbsp;8050",
Alesana,11:00 PM,http://events.myspace.com/Event/6531485/Soundwave-2011,03/07/2011,Soundwave 2011 - Steel Blue Oval,Age Requirement: 0+,"Corner Guilford Road & West Road, Bassendean Perth&nbsp;WA&nbsp",12:00 PM
We The Kings,11:00 PM,http://events.myspace.com/Event/7293402/We-The-Kings,02/26/2011,Soundwave Festival,Age Requirement: 0+,"-, Brisbane&nbsp;-&nbsp;",8:00 PM
We The Kings,11:00 PM,http://events.myspace.com/Event/7293446/We-The-Kings,02/27/2011,Soundwave Festival,Age Requirement: 0+,"-, Sydney&nbsp;-&nbsp;",8:00 PM
We The Kings,11:00 PM,http://events.myspace.com/Event/7293474/We-The-Kings,03/04/2011,Soundwave Festival,Age Requirement: 0+,"-, Melbourne&nbsp;-&nbsp;",8:00 PM
We The Kings,11:00 PM,http://events.myspace.com/Event/7293503/We-The-Kings,03/05/2011,Soundwave Festival,Age Requirement: 0+,"-, Adelaide&nbsp;-&nbsp;",8:00 PM
We The Kings,11:00 PM,http://events.myspace.com/Event/7293536/We-The-Kings,03/07/2011,Soundwave Festival,Age Requirement: 0+,"-, Perth&nbsp;-&nbsp;",8:00 PM
Carolyn Wonderland,,http://events.myspace.com/Event/3939508/Live-Shows,05/06/2011,Please Scroll Down for Accurate Concert Dates!,Age Requirement: 0+,"600 West 6th St., Austin&nbsp;TX&nbsp;78746",
Los Lonely Boys,,http://events.myspace.com/Event/7277770/McCain-Auditorium,04/08/2011,McCain Auditorium,All Ages.  Doors 7pm.,"207 McCain Auditorium, Manhattan&nbsp;KS&nbsp;66506",
Jonny Lang,10:00 PM,http://events.myspace.com/Event/4716484/Jonny-Lang,02/24/2011,Sunset Center,On Sale 7/9/2010          	                	      	          	      	<br><br>  					    						Age Requirement: 0+,"San Carlos St & 9th Ave, Carmel-by-the-Sea&nbsp;CA&nbsp;93921",8:00 PM
Jonny Lang,10:00 PM,http://events.myspace.com/Event/4716487/Jonny-Lang,02/26/2011,Cache Creek Casino Resort,Age Requirement: 0+,"Hwy 16, Brooks&nbsp;CA&nbsp;95606",8:00 PM
Jonny Lang,9:00 PM,http://events.myspace.com/Event/4716480/Jonny-Lang,02/27/2011,Laxson Auditorium,Age Requirement: 0+,"W 1st St, Chico&nbsp;CA&nbsp;95928",7:00 PM
Jonny Lang,11:30 PM,http://events.myspace.com/Event/7202895/Jonny-Lang,04/07/2011,The Fillmore,Age Requirement: 0+,"820 Hamilton St, Charlotte&nbsp;NC&nbsp;28206",7:00 PM
Jonny Lang,11:00 PM,http://events.myspace.com/Event/7202843/Jonny-Lang,04/09/2011,Vinoy Park,Tampa Bay Blues Festival          	                	      	          	      	<br><br>  					    						Age Requirement: 0+,"7th Avenue St, St.Petersburg&nbsp;Florida&nbsp;33701",12:00 PM
Jonny Lang,10:30 PM,http://events.myspace.com/Event/7202795/Jonny-Lang,04/23/2011,Alys Robinson Stephens PAC,Reschedule from August 2010          	                	      	          	      	<br><br>  					    						Age Requirement: 0+,"1200 10th Ave. S., Birmingham&nbsp;Alabama&nbsp;35294",7:00 PM
Jonny Lang,11:30 PM,http://events.myspace.com/Event/4716489/Jonny-Lang,09/17/2011,Harvest Jazz & Blues Festival,Harvest Jazz & Blues Festival          	                	      	          	      	<br><br>  					    						Age Requirement: 0+,"81 Regent St, Fredericton&nbsp;NB&nbsp;E3B6y8",10:00 PM
Dondria,10:00 PM,http://events.myspace.com/Event/6473872/Youre-the-one-Concert,04/01/2011,TBAAL,Age Requirement: 0+,"., Dallas&nbsp;TX&nbsp;",6:00 PM
Social Distortion,11:30 PM,http://events.myspace.com/Event/7161468/Social-Distortion,02/26/2011,Soundwave Festival - RNA Showgrounds,This show is ALL AGES. Tickets are ON SALE NOW and are available on-line through:<br><br>http://premier.ticketek.com.au/<br><br>Click the link below for a complete line-up and all other Soundwave Festival information.<br><br>http://soundwavefestival.oztix.com.au/Default.aspx          	                	      	          	      	<br><br>  					    						Age Requirement: 0+,"600 Gregory Tce, Brisbane&nbsp;Queensland&nbsp;4006",12:00 PM
Social Distortion,11:30 PM,http://events.myspace.com/Event/7161553/Social-Distortion,02/27/2011,Soundwave Festival - Eastern Creek Raceway,This show is ALL AGES. Tickets are ON SALE NOW and are available on-line through:<br><br>http://premier.ticketek.com.au/<br><br>Click the link below for a complete line-up and all other Soundwave Festival information.<br><br>http://soundwavefestival.oztix.com.au/Default.aspx          	                	      	          	      	<br><br>  					    						Age Requirement: 0+,"Brabham Drive/Ferrers Road, Sydney&nbsp;New South&nbsp;2677",12:00 PM
Social Distortion,11:30 PM,http://events.myspace.com/Event/7161682/Social-Distortion,03/04/2011,Soundwave Festival - Melbourne Showgrounds,This show is ALL AGES. Tickets are ON SALE NOW and are available on-line through:<br><br>http://premier.ticketek.com.au/<br><br>Click the link below for a complete line-up and all other Soundwave Festival information.<br><br>http://soundwavefestival.oztix.com.au/Default.aspx          	                	      	          	      	<br><br>  					    						Age Requirement: 0+,"Epsom Road, Melbourne&nbsp;Victoria&nbsp;3032",12:00 PM
Social Distortion,11:30 PM,http://events.myspace.com/Event/7161769/Social-Distortion,03/05/2011,Soundwave Festival - Bonython Park,This show is ALL AGES. Tickets are ON SALE NOW and are available on-line through:<br><br>http://premier.ticketek.com.au/<br><br>Click the link below for a complete line-up and all other Soundwave Festival information.<br><br>http://soundwavefestival.oztix.com.au/Default.aspx          	                	      	          	      	<br><br>  					    						Age Requirement: 0+,"Port Road, Adelaide&nbsp;South Aust&nbsp",12:00 PM
Social Distortion,11:30 PM,http://events.myspace.com/Event/7162234/Social-Distortion,03/07/2011,Soundwave Festival - Steel Blue Oval,This show is ALL AGES. Tickets are ON SALE NOW and are available on-line through:<br><br>http://premier.ticketek.com.au/<br><br>Click the link below for a complete line-up and all other Soundwave Festival information.<br><br>http://soundwavefestival.oztix.com.au/Default.aspx          	                	      	          	      	<br><br>  					    						Age Requirement: 0+,"Corner of Guildford Road & West Road, Perth&nbsp;Western Au&nbsp;6101",12:00 PM
The Two Man Gentlemen Band,10:00 PM,http://events.myspace.com/Event/6481880/Updated-Schedule,12/31/2011,Updated Schedule at TheTwoGentlemen.com!,Age Requirement: 0+,"., .&nbsp;.&nbsp;",6:00 PM
Lady Gaga,11:30 PM,http://events.myspace.com/Event/7341091/The-Monster-Ball-at-Foro-Sol,05/06/2011,Foro Sol,Age Requirement: 0+,"Calle Viaducto Río de la Piedad, Mexico City&nbsp;DF&nbsp;",7:00 PM
Maroon 5,11:30 PM,http://events.myspace.com/Event/7379852/Grand-Canal-Theatre,02/24/2011,Grand Canal Theatre,Age Requirement: 0+,"Grand Canal Square, Dublin&nbsp;&nbsp",7:00 PM
Maroon 5,11:30 PM,http://events.myspace.com/Event/7379971/Rockhal-Box,02/26/2011,Rockhal Box,Age Requirement: 0+,"Rockhal Box, Luxembourg&nbsp;&nbsp",7:00 PM
Maroon 5,11:30 PM,http://events.myspace.com/Event/7390908/Heineken-Music-Hall,02/28/2011,Heineken Music Hall,Age Requirement: 0+,"Amsterdam Zuid-Oost, Amsterdam&nbsp;&nbsp;Heineken Music Hal",7:00 PM
Maroon 5,11:30 PM,http://events.myspace.com/Event/7380152/Casino-de-Paris,03/02/2011,Casino de Paris,Age Requirement: 0+,"Casino de Paris, Paris&nbsp;&nbsp;Casino de Pari",7:00 PM
Maroon 5,11:30 PM,http://events.myspace.com/Event/7380271/Volkshaus,03/04/2011,Volkshaus,Age Requirement: 0+,"Volkshaus, Zurich&nbsp;&nbsp;Volkshau",6:30 PM
Maroon 5,11:30 PM,http://events.myspace.com/Event/7380342/Gasometer,03/07/2011,Gasometer,Age Requirement: 0+,"Gasometer, Vienna&nbsp;&nbsp;Gasomete",7:00 PM
Maroon 5,11:30 PM,http://events.myspace.com/Event/7380379/Alactraz,03/09/2011,Alactraz,Age Requirement: 0+,"Alactraz, Milan&nbsp;Alactraz&nbsp;Alactra",7:00 PM
Maroon 5,11:30 PM,http://events.myspace.com/Event/7380461/Store-Vega,03/14/2011,Store Vega,Age Requirement: 0+,"Store Vega, Copenhagen&nbsp;&nbsp",7:00 PM
Maroon 5,11:30 PM,http://events.myspace.com/Event/7380516/Kulttuuritalo-House-of-Culture,03/16/2011,Kulttuuritalo (House of Culture),Age Requirement: 0+,"Kulttuuritalo (House of Culture), Helsinki&nbsp;&nbsp",7:00 PM
Reckless Kelly,10:00 PM,http://events.myspace.com/Event/7268209/Reckless-Kelly,03/11/2011,Luckenbach Texas,Age Requirement: 0+,"412 Luckenbach Town Loop, Fredericksburg&nbsp;Texas&nbsp;78624",9:00 PM
BlackHawk,11:00 PM,http://events.myspace.com/Event/6796381/Osceola-Heritage-Park,02/25/2011,Osceola Heritage Park,Age Requirement: 0+,"1875 Silver Spur Lane, Kissimmee&nbsp;FL&nbsp;34744",7:00 PM
BlackHawk,10:00 PM,http://events.myspace.com/Event/7288792/Spirit-Lake-Casino--Resort,05/14/2011,Spirit Lake Casino & Resort,Age Requirement: 0+,"7889 Highway 57, Saint Michael&nbsp;ND&nbsp;58370",6:00 PM
BLACKBERRY SMOKE,4:00 PM,http://events.myspace.com/Event/6216434/Blackberry-Smoke-Show,04/30/2011,Old Glory Harley Davidson,Age Requirement: 0+,"11800 Laurel Bowie Rd, Laurel&nbsp;Md&nbsp;20757",2:00 PM
Maroon 5,,http://events.myspace.com/Event/7405739/Rockhal-Box,02/26/2011,Rockhal,,Luxembourg&nbsp;Luxembourg&nbsp,
Maroon 5,,http://events.myspace.com/Event/7405899/Heineken-Music-Hall,02/28/2011,Heineken Music Hall,,Amsterdam&nbsp;North Holl&nbsp;1101,
Maroon 5,,http://events.myspace.com/Event/7405740/Casino-de-Paris,03/02/2011,CASINO DE PARIS,,"16 Rue de Clichy, Paris&nbsp;Ile-de-Fra&nbsp;75009",
Maroon 5,,http://events.myspace.com/Event/7405741/Volkshaus,03/04/2011,Volkshaus,,"Volkshaus, Stauffacherstrasse 60, Zürich&nbsp;&nbsp;8004",
Maroon 5,,http://events.myspace.com/Event/7405742/Gasometer,03/07/2011,Gasometer,,&nbsp;&nbsp,
Maroon 5,,http://events.myspace.com/Event/7405743/Alcatraz,03/09/2011,Alcatraz,,Milan&nbsp;Lombardy&nbsp,
We The Kings,10:00 PM,http://events.myspace.com/Event/7293536/We-The-Kings,03/07/2011,Soundwave Festival,Age Requirement: 0+,"-, Perth&nbsp;-&nbsp;",7:00 PM
The Black Keys,11:30 PM,http://events.myspace.com/Event/7399428/The-Black-Keys,03/16/2011,L'Olympic,on sale 9/15          	                	      	          	      	<br><br>  					    						Age Requirement: 0+,"30 Place Jean Macé, Nantes&nbsp;France&nbsp;44100",7:30 PM
The Black Keys,11:30 PM,http://events.myspace.com/Event/7399979/The-Black-Keys,03/24/2011,Rote Fabrik - Aktionshalle,on sale 9/15          	                	      	          	      	<br><br>  					    						Age Requirement: 0+,"Seestrasse 395, Zürich&nbsp;&nbsp;Züric",7:00 PM
The Black Keys,11:30 PM,http://events.myspace.com/Event/7400221/The-Black-Keys,03/25/2011,L'Aeronef,Age Requirement: 0+,"59000 Lille, France, Lille&nbsp;France&nbsp;59000",7:00 PM
SCAR SYMMETRY,10:00 AM,http://events.myspace.com/Event/7016105/Dantes-Highlight,10/16/2010,Dante's Highlight,SCAR SYMMETRY (SWE)<br>BLOOD RED HOURGLASS (FIN)<br>HYPOTHESIS (FIN)          	                	      	          	      	<br><br>  					    						Age Requirement: 0+,"., .&nbsp;&nbsp",9:00 AM
Michael Bolton,11:00 PM,http://events.myspace.com/Event/7381883/Kentucky-Center-Louisville-KY,03/13/2011,Kentucky Center,Age Requirement: 0+,"tba, Louisville&nbsp;KY&nbsp;tb",7:00 PM
Michael Bolton,11:00 PM,http://events.myspace.com/Event/7381833/Kent-State-University-New-Philadelphia-OH,03/17/2011,Kent State University,Age Requirement: 0+,"tba, New Philadelphia&nbsp;OH&nbsp;tb",7:00 PM
Rush Of Fools,,http://events.myspace.com/Event/3374841/Rush-Of-Fools,02/25/2011,Long Hollow Baptist Church - Leadership Rocks,,"3031 Long Hollow Road, Hendersonville&nbsp;Tennessee &nbsp;37075",
Rush Of Fools,9:00 PM,http://events.myspace.com/Event/7006093/Rush-Of-Fools,02/26/2011,Long Hollow Baptist Church- Leadership Rocks,Age Requirement: 0+,"3031 Long Hollow Road, Hendersonville&nbsp;TN&nbsp;37075",7:00 PM
Rush Of Fools,,http://events.myspace.com/Event/5363143/Student-Leadership-Conference,03/04/2011,First Baptist Church,Age Requirement: 0+,"940 Main Street, Glendale&nbsp;AL&nbsp;35071",
Rush Of Fools,6:30 PM,http://events.myspace.com/Event/5857581/Rush-Of-Fools,04/02/2011,Regional Workforce Development Center,"For more info, call: 757-242-4131          	                	      	          	      	<br><br>  					    						Age Requirement: 0+","100 North College Drive, Franklin&nbsp;VA&nbsp;23851",5:00 PM
Rush Of Fools,9:00 PM,http://events.myspace.com/Event/7101042/Rush-Of-Fools,04/09/2011,Steele Creek Presbyterian Church,Age Requirement: 0+,"7407 Steele Creek Road, Charlotte&nbsp;NC&nbsp;28217",7:00 PM
Rush Of Fools,10:00 PM,http://events.myspace.com/Event/1978636/Rush-Of-Fools,05/20/2011,Sav-A-Life - &quot;Life Matters&quot; Banquet & Benefit Concert,Age Requirement: 0+,"13 East 13th, Anniston&nbsp;Alabama&nbsp;36201",8:00 PM
Rush Of Fools,,http://events.myspace.com/Event/1899997/Rush-Of-Fools,06/13/2011,Ridgecrest Conference Center - Fuge Camp,,"1 Ridgecrest Drive, Ridgecrest&nbsp;North Carolina&nbsp;28770",
Rush Of Fools,,http://events.myspace.com/Event/1900025/Rush-Of-Fools,06/14/2011,Ridgecrest Conference Center - Fuge Camp,,"1 Ridgecrest Drive, Ridgecrest&nbsp;North Carolina&nbsp;28770",
Rush Of Fools,,http://events.myspace.com/Event/1900048/Rush-Of-Fools,06/15/2011,Ridgecrest Conference Center - Fuge Camp,,"1 Ridgecrest Drive, Ridgecrest&nbsp;North Carolina&nbsp;28770",
Rush Of Fools,,http://events.myspace.com/Event/1900061/Rush-Of-Fools,06/16/2011,Ridgecrest Conference Center - Fuge Camp,,"1 Ridgecrest Drive, Ridgecrest&nbsp;North Carolina&nbsp;28770",
Rush Of Fools,,http://events.myspace.com/Event/1900072/Rush-Of-Fools,06/17/2011,Ridgecrest Conference Center - Fuge Camp,,"1 Ridgecrest Drive, Ridgecrest&nbsp;North Carolina&nbsp;28770",
Rush Of Fools,,http://events.myspace.com/Event/1900087/Rush-Of-Fools,06/18/2011,Ridgecrest Conference Center - Fuge Camp,,"1 Ridgecrest Drive, Ridgecrest&nbsp;North Carolina&nbsp;28770",
Rush Of Fools,,http://events.myspace.com/Event/1901043/Rush-Of-Fools,06/20/2011,Ridgecrest Conference Center - Fuge Camp,,"1 Ridgecrest Drive, Ridgecrest&nbsp;North Carolina&nbsp;28770",
Rush Of Fools,,http://events.myspace.com/Event/1901714/Rush-Of-Fools,06/21/2011,Ridgecrest Conference Center - Fuge Camp,,"1 Ridgecrest Drive, Ridgecrest&nbsp;North Carolina&nbsp;28770",
Rush Of Fools,,http://events.myspace.com/Event/1901730/Rush-Of-Fools,06/22/2011,Ridgecrest Conference Center - Fuge Camp,,"1 Ridgecrest Drive, Ridgecrest&nbsp;North Carolina&nbsp;28770",
Rush Of Fools,,http://events.myspace.com/Event/1901751/Rush-Of-Fools,06/23/2011,Ridgecrest Conference Center - Fuge Camp,,"1 Ridgecrest Drive, Ridgecrest&nbsp;North Carolina&nbsp;28770",
Rush Of Fools,,http://events.myspace.com/Event/1901770/Rush-Of-Fools,06/24/2011,Ridgecrest Conference Center - Fuge Camp,,"1 Ridgecrest Drive, Ridgecrest&nbsp;North Carolina&nbsp;28770",
Rush Of Fools,,http://events.myspace.com/Event/1901780/Rush-Of-Fools,06/25/2011,Ridgecrest Conference Center - Fuge Camp,,"1 Ridgecrest Drive, Ridgecrest&nbsp;North Carolina&nbsp;28770",
Rush Of Fools,,http://events.myspace.com/Event/1901795/Rush-Of-Fools,07/04/2011,Ridgecrest Conference Center - Fuge Camp,,"1 Ridgecrest Drive, Ridgecrest&nbsp;North Carolina&nbsp;28770",
Rush Of Fools,,http://events.myspace.com/Event/1901805/Rush-Of-Fools,07/05/2011,Ridgecrest Conference Center - Fuge Camp,,"1 Ridgecrest Drive, Ridgecrest&nbsp;North Carolina&nbsp;28770",
Rush Of Fools,,http://events.myspace.com/Event/1901829/Rush-Of-Fools,07/06/2011,Ridgecrest Conference Center - Fuge Camp,,"1 Ridgecrest Drive, Ridgecrest&nbsp;North Carolina&nbsp;28770",
Rush Of Fools,,http://events.myspace.com/Event/1901867/Rush-Of-Fools,07/07/2011,Ridgecrest Conference Center - Fuge Camp,,"1 Ridgecrest Drive, Ridgecrest&nbsp;North Carolina&nbsp;28770",
Rush Of Fools,,http://events.myspace.com/Event/1901843/Rush-Of-Fools,07/08/2011,Ridgecrest Conference Center - Fuge Camp,,"1 Ridgecrest Drive, Ridgecrest&nbsp;North Carolina&nbsp;28770",
Rush Of Fools,,http://events.myspace.com/Event/1935592/Rush-Of-Fools,07/11/2011,Cedarville College - Student Life Camp 2011,,"251 N Main St, Cedarville&nbsp;Ohio &nbsp;45314",
Rush Of Fools,,http://events.myspace.com/Event/1935610/Rush-Of-Fools,07/12/2011,Cedarville College - Student Life Camp 2011,,"251 N Main St, Cedarville&nbsp;Ohio &nbsp;45314",
Rush Of Fools,,http://events.myspace.com/Event/1935658/Rush-Of-Fools,07/13/2011,Cedarville College - Student Life Camp 2011,,"251 N Main St, Cedarville&nbsp;Ohio &nbsp;45314",
Rush Of Fools,,http://events.myspace.com/Event/1935644/Rush-Of-Fools,07/14/2011,Cedarville College - Student Life Camp 2011,,"251 N Main St, Cedarville&nbsp;Ohio &nbsp;45314",
Rush Of Fools,,http://events.myspace.com/Event/1935675/Rush-Of-Fools,07/15/2011,Cedarville College - Student Life Camp 2011,,"251 N Main St, Cedarville&nbsp;Ohio &nbsp;45314",
Rush Of Fools,,http://events.myspace.com/Event/1935704/Rush-Of-Fools,07/18/2011,Liberty University - Student Life Camp 2011,,"1971 University Blvd, Lynchburg&nbsp;Virginia &nbsp;24502",
Rush Of Fools,,http://events.myspace.com/Event/1935691/Rush-Of-Fools,07/19/2011,Liberty University - Student Life Camp 2011,,"1971 University Blvd, Lynchburg&nbsp;Virginia &nbsp;24502",
Rush Of Fools,,http://events.myspace.com/Event/1935744/Rush-Of-Fools,07/20/2011,Liberty University - Student Life Camp 2011,,"1971 University Blvd, Lynchburg&nbsp;Virginia &nbsp;24502",
Rush Of Fools,,http://events.myspace.com/Event/1935769/Rush-Of-Fools,07/21/2011,Liberty University - Student Life Camp 2011,,"1971 University Blvd, Lynchburg&nbsp;Virginia &nbsp;24502",
Rush Of Fools,,http://events.myspace.com/Event/1935799/Rush-Of-Fools,07/22/2011,Liberty University - Student Life Camp 2011,,"1971 University Blvd, Lynchburg&nbsp;Virginia &nbsp;24502",
Rush Of Fools,,http://events.myspace.com/Event/6388165/Senecaville-OH--Youth-Evangelism-Conference,07/25/2011,Seneca Lake Baptist Assembly,"For concert info, call: 614-827-1746          	                	      	          	      	<br><br>  					    						Age Requirement: 0+","55819 Skyline Drive, Senecaville&nbsp;OH&nbsp;43780",
Trans-Siberian Orchestra,,http://events.myspace.com/Event/5382247/TransSiberian-Orchestra,03/17/2011,Zenith,,"die Kulturhalle, München&nbsp;Bayern&nbsp;80939",
Trans-Siberian Orchestra,,http://events.myspace.com/Event/5382248/TransSiberian-Orchestra,03/19/2011,Schleyer-Halle,,Stuttgart&nbsp;Baden-Würt&nbsp,
Trans-Siberian Orchestra,,http://events.myspace.com/Event/5586756/TransSiberian-Orchestra,03/22/2011,Tempodrom,,Berlin&nbsp;Berlin&nbsp;10963,
Trans-Siberian Orchestra,,http://events.myspace.com/Event/5382249/TransSiberian-Orchestra,03/23/2011,Congress Centrum Hamburg,,"Saal 1, Dammtordamm, Hamburg&nbsp;Hamburg&nbsp;20354",
Trans-Siberian Orchestra,,http://events.myspace.com/Event/5382250/TransSiberian-Orchestra,03/24/2011,Philipshalle Düsseldorf,,Düsseldorf&nbsp;North Rhin&nbsp,
Trans-Siberian Orchestra,,http://events.myspace.com/Event/5912164/TransSiberian-Orchestra,03/26/2011,Heineken Music Hall,,Amsterdam&nbsp;North Holl&nbsp;1101,
Billy Vera,11:00 PM,http://events.myspace.com/Event/7046894/Arcadia-Blues-Club,03/12/2011,Arcadia Blues Club,Dancing too!!          	                	      	          	      	<br><br>  					    						Age Requirement: 0+,"16 East Hunington Drive, Arcadia&nbsp;CA&nbsp;91006",9:00 PM
ATTIKA 7,,http://events.myspace.com/Event/6946677/Fandom-Music--Film-Festival,06/09/2011,Alexis Park Resort,Age Requirement: 0+,"375 E. Harmon Ave., Las Vegas&nbsp;NV&nbsp;89109",
KATAKLYSM,,http://events.myspace.com/Event/7398309/Kataklysm,05/06/2011,Slaughter Camp Open Air Festival,Age Requirement: 0+,"n/a, Johannesburg&nbsp;&nbsp",
KATAKLYSM,,http://events.myspace.com/Event/7398345/Kataklysm,05/13/2011,Slaughter Camp Open Air Festival,Age Requirement: 0+,"n/a, Cape Town&nbsp;&nbsp",
Nada Rasta,10:00 PM,http://events.myspace.com/Event/6458041/StPattys-Day-Party,03/17/2011,The Crooked Kilt,Age Requirement: 21+,"1122 Pine Street, Paso Robles&nbsp;CA&nbsp;93447",7:00 PM
Nada Rasta,11:30 PM,http://events.myspace.com/Event/6508421/Toy-land-6th-Annual-Bash-invite-only,04/02/2011,Toy land 6th Annual Bash (invite only!),Age Requirement: 0+,"NA, slo&nbsp;CA&nbsp;93401",5:00 PM
Knights Of The Abyss (New album out now!),,http://events.myspace.com/Event/6100020/California-Blood-Tour-w-Cattle-Decapitation-Devourment-Burning-The-Masses-and-Son-Of-Aurelius,,,,,6:00 PM
Social Distortion,10:30 PM,http://events.myspace.com/Event/7162234/Social-Distortion,03/07/2011,Soundwave Festival - Steel Blue Oval,This show is ALL AGES. Tickets are ON SALE NOW and are available on-line through:<br><br>http://premier.ticketek.com.au/<br><br>Click the link below for a complete line-up and all other Soundwave Festival information.<br><br>http://soundwavefestival.oztix.com.au/Default.aspx          	                	      	          	      	<br><br>  					    						Age Requirement: 0+,"Corner of Guildford Road & West Road, Perth&nbsp;Western Au&nbsp;6101",11:00 AM
Cosmic Gate,2:00 AM,http://events.myspace.com/Event/6328036/Tour-Schedule,01/01/2020,All Upcoming Shows,"For all upcoming gigs with Cosmic Gate, please check the tour dates section on the official website: www.cosmic-gate.de          	                	      	          	      	<br><br>  					    						Age Requirement: 0+","Website:, www.cosmic-gate.de&nbsp;www&nbsp;Tourdate",11:55 PM
Jaci Velasquez,9:30 PM,http://events.myspace.com/Event/5970041/Jaci-Velasquez-in-Concert,06/25/2012,Palau Sant Jordi,Age Requirement: 0+,"Passeig Olímpic, 5, Barcelona&nbsp;&nbsp;08038",8:00 PM
