hours,phone,dates,url,pictures,moreinfo,fulladdress,name,venue,description,email,endDate
5:30pm  - 8:45pm,808-742-2121,03/22/2011,http://princekuhio.wetpaint.com,,http://www.gohawaii.com/kauai/events/internal/1261145,"2253 Poipu Rd., Koloa, HI&nbsp;&nbsp;96756",PRINCE KUHIO CELEBRATION - A ROYAL DINNER AND FASHION CONTEST,Plantation Gardens,"<p>In celebration of Prince Kuhio, a special Hawaiian dinner including lau lau with fish, pork, beef, kalo and luau leaf plus rice, poi, jicama and tomato salad finished up with sweet potato lumpia with ice cream will be prepared at this popular and historic restaurant.&nbsp; A ""special"" cocktail will also be offered for the evening as well as their extraordinary dinner selections. A roving Hawaiian duo will be on hand from 6 to 8 PM to entertain you with classic Hawaiian music. Guests are invited to wear their finest Hawaiian clothing. Fashion show and judging will be conducted with a ""secret"" panel of judges throughout the evening.</p>",,
3:00pm,808-822-3148,03/13/2011,,,http://www.gohawaii.com/kauai/events/internal/081910662,"3-1901 Kaumualii Hwy, Lihue, HI&nbsp;&nbsp;96766",KAUAI CONCERT ASSOCIATION 2010-2011 SEASON - JOYCE YANG,Kauai Community College,<p>Joyce Yang &ndash; a gifted young pianist who became the Silver Medalist of the 12th Van Cliburn<br>International Competition. Kauai Community College &ndash; 3:00 P.M. Tickets $25.00 Adult $10.00<br>Student.</p>,,
7:30pm,808-532-8700,03/14/2011,http://www.honoluluacademy.org,,http://www.gohawaii.com/oahu/events/internal/21011112,"Doris Duke Theater, 900 S Beretania St, Honolulu, HI&nbsp;&nbsp;96814","CHAMBER MUSIC HAWAII, THE HONOLULU BRASS QUINTET",Honolulu Academy of Arts,"<p>Doris Duke Theater, 7:30 p.m., $25 - A lively evening of stirring brass sets featuring Ingolf Dahl&rsquo;s Music for Brass Instruments, and Eric Ewazen&rsquo;s A Philharmonic Fanfare.</p>",,
9:00am  - 4:00pm,808-329-9555,03/26/2011,http://www.daughtersofhawaii.org,,http://www.gohawaii.com/big-island/events/internal/02101190,"75-5718 Alii Drive, Kailua-Kona, HI&nbsp;&nbsp;96740",DAY AT HULIHEE,Hulihee Palace,"<p>This annual spring fundraiser, on the oceanfront grounds of the historic Hulihee Palace in Kailua Village in Kona, features arts and crafts, ono (tasty) food, Hawaiian music, hula and culture and prize drawings for locally created artwork.&nbsp; Free.&nbsp;&nbsp;</p>",,
9:00am  - 3:00pm,808-240-6369,03/26/2011,http://princekuhio.wetpaint.com,,http://www.gohawaii.com/kauai/events/internal/021611146,"1571 Poipu Rd., Koloa, HI&nbsp;&nbsp;96756",PRINCE KUHIO CELEBRATION - CULTURAL DEMONSTRATIONS &amp; CRAFT FAIR,Grand Hyatt Kauai Resort and Spa,"<p>As part of the Prince Kuhio Celebration join us for numerous activities, Hawaiian cultural demonstrations and entertainment throughout the day. Presentations and lectures are given by some of Hawaii's most prestigious weavers, carvers, feather arts, healing arts, lei makers, nose flute carvers and kapa-makers. At 9:00 AM see a performance by the Taiko Drummers, Tsunami Taiko. From 10:00 to 3:00 PM take part in a series of hands-on demonstrations and lectures about Hawaii's unique cultural customs, healing practices, arts and crafts.</p>",stella.burgess@hyatt.com,
4:00pm,,03/20/2011,http://www.huliheepalace.org,,http://www.gohawaii.com/big-island/events/internal/21711130,"75-5718 Alii Dr., Kailua Kona, HI&nbsp;&nbsp;96740",HULIHEE PALACE CONCERT,Hulihee Palace,<p>A monthly concert at this historic Kona landmark honoring Princess Ruth Leelikolani with vocal music by the Merrie Monarchs and the first 2011 performance of the Hulihee Palace Band.&nbsp; Free.</p>,,
10:45am,808-532-8700,03/06/2011,http://www.honoluluacademy.org,,http://www.gohawaii.com/oahu/events/internal/21011113,"Doris Duke Theater, 900 S Beretania St, Honolulu, HI&nbsp;&nbsp;96814",PHOTOGRAPHER JOYCE TENNESON LECTURE: BALACE AND BEAUTY,Honolulu Academy of Arts,"<p>Tenneson&rsquo;s work has been shown in exhibitions worldwide and is part of numerous private and museum collections. Her photographs and portraits appear frequently on the covers of such publications as Time, Life, Newsweek, Premiere, Esquire and The New York Times Magazine. Readers of American Photo Magazine recently voted Tenneson as one of the ten most influential women in the history of photography.<br> <br>Wednesday, March 16 at 10:45am<br>general admission $7, members $5</p>",,
4:00pm,808-532-8700,03/16/2011,http://www.honoluluacademy.org,,http://www.gohawaii.com/oahu/events/internal/21011114,"Doris Duke Theater, 900 S Beretania St, Honolulu, HI&nbsp;&nbsp;96814",FROM BABYLON TO BATHS LECTURE,Honolulu Academy of Arts,"<p>Dr. Jonathan M. Bloom examines the history of tile decoration in the Islamic lands, beginning with pre-Islamic antecedents and continuing to modern times, when mathematicians and artists were exploring the theoretical bases and aesthetic possibilities of Islamic geometric designs. Jonathan M. Bloom shares the Professorship of Islamic and Asian Art at Boston College and the Chair of Islamic Art at Virginia Commonwealth University with his wife, scholar Sheila Blair. His most recent book is Arts of the City Victorious: the Art and Architecture of the Fatimids in North Africa and Egypt (2007). Together with his wife, Bloom edited the Grove Encyclopedia of Islamic Art and Architecture (2009) and Rivers of Paradise: Water in Islamic Art and Culture (2009), and served as consultants to the documentary Islam: Empire of Faith, which aired on PBS.<br> <br>Wednesday, March 16 at 4pm<br>general admission $5, members $3, students free with ID</p>",,
10:00am  - 11:00am,808-240-6369,03/21/2011,http://princekuhio.wetpaint.com,,http://www.gohawaii.com/kauai/events/internal/021611140,"2249 Poipu Road, Koloa, HI&nbsp;&nbsp;96756","PRINCE KUHIO - ""TALK STORY"" - AREA HISTORY, FLORA AND FAUNA",Marriott's Waiohai Beach Club,"<p>Join Troy Lazaro and the Waiohai mea hookipa (employees) as they share flora and fauna and the rich history of Kaukahoku. Listen and learn as they tell the stories under the Kamani treee of the area's history, culture and of the Kihaouna Heiau (sacred temple/area). Open to the public. For information call 742-4400.</p>",stella.burgess@hyatt.com,
3:00pm,808-532-8700,03/27/2011,,,http://www.gohawaii.com/oahu/events/internal/21011115,"Doris Duke Theater, 900 S Beretania St, Honolulu, HI&nbsp;&nbsp;96814",HONOLULU SYMPHONY MUSICIANS PRESENT A CHAMBER MUSIC CONCERT WITH PIANIST HELEN HUANG,Honolulu Academy of Arts,"<p>Honolulu Symphony Musicians present<br>A Chamber Music Concert with Pianist Helen Huang<br> <br>Schubert&rsquo;s Trout Quintet and other favorites are featured in this afternoon of stellar ensemble players. Internationally acclaimed pianist Helen Huang, who won the New York Philharmonic's Young People's Competition at age 16, returns once again to perform with some of our best local musicians. Joining her are soprano Kristin Stone; Ignace &ldquo;Iggy&rdquo; Jang, violin; Ethan Pernela, viola; Joanna Morrison-Pernela, cello; Geoffrey Stone, bass; and Norman F. Foster, clarinet. They present Brahms' Clarinet Trio and three Schubert works&mdash;The Shepherd on the Rock, the well-known song Die Forelle (The Trout), and his popular quintet dubbed &ldquo;The Trout&rdquo; after the song that inspired the theme and variations movement. Huang appears with top orchestras around the world, but her love of fine chamber music continues to lead her back to the Doris Duke Theatre. This is her third concert here in support of the Honolulu Symphony Musicians.<br> <br>Sunday, March 27 at 3:00pm<br>$38 General public; $32 Members; $26 Seniors/military,<br>Students Free (with ID)</p>",,
6:00pm  - 9:00pm,808-245-2733,03/07/2011,http://www.gardenislandarts.org,,http://www.gohawaii.com/kauai/events/internal/1215101210,"4331 Kauai Beach, Lihue, HI&nbsp;&nbsp;96766",E KANIKAPILA KAKOU,Kauai Beach Resort,"<p>All concerts held at the Kauai Beach Resort in Lihue, 6 to 9 p.m. Admission.<br>Monday, March 7 - Kupaoa (Lihau &amp; Kellen Paik) + 3 hula dancers<br>Monday, March 14 &ndash; Kehaulani Kekua, Halau Palaihiwa O Kaipuwai (HULA)<br>Monday, March 21 &ndash; Jeff Peterson and Chino Montero<br>Monday, March 28 &ndash; Doric Yaris,&nbsp; Halau Hula O Haliileo (HULA)</p>",giac@hawaiilink.net,03/28/2011
7:30pm,808-532-8700,03/28/2011,http://www.honoluluacademy.org,,http://www.gohawaii.com/oahu/events/internal/21011116,"Doris Duke Theater, 900 S Beretania St, Honolulu, HI&nbsp;&nbsp;96814",KAMAKURA HAWAII PRESENTS JAZZ ON A MONDAY NIGHT,Honolulu Academy of Arts,"<p>We&rsquo;re happy to have him back. Relaxed and modest, Takashima plays like a man who enjoys what he&rsquo;s doing. Joining him are Maui resident Shiro Mori on piano (he&rsquo;ll also join Hiroshi on some guitar duets) amd Honolulu Jazz Quartet bassist John Kolivas. Newly minted and ready to swing, this night will be solid and sweet.<br> <br>March 28 at 7:30pm<br>general admission $30, members $25</p>",,
10:00am  - 11:30am,,03/12/2011,,,http://www.gohawaii.com/big-island/events/internal/21611127,"82-6188 Mamalahoa Highway, Captain Cook, HI&nbsp;&nbsp;96704",AMY GREENWELL ETHNOBOTANICAL GARDEN TOUR,Amy Greenwell Ethnobotanical Garden,"<p>This tour gives an understanding of the role plants played and still play in the Hawaiian culture.&nbsp; More than 200 species of plants that grew in the traditional farms and native forests of Kona, including endemic, indigenous and Polynesian introduced plants. Free.</p>",,
,808-922-0811,03/17/2011,http://www.hawaiisalsafestival.com,,http://www.gohawaii.com/oahu/events/internal/2021177,"2500 Kuhio Ave, Honolulu, HI&nbsp;&nbsp;96815",5TH ANNUAL HAWAII SALSA FESTIVAL,Hilton Waikiki Beach,"<p>Featuring world class performances by international and local stars! Slammin' pre-party in Waikiki, meet the locals, beginners salsa bootcamp, costume party, performances and more.</p>",,03/20/2011
4:00pm  - 8:00pm,808-240-6369,03/23/2011,,,http://www.gohawaii.com/kauai/events/internal/021611141,"2829 Ala Kalaikaumaka, Koloa, HI&nbsp;&nbsp;96756",PRINCE KUHIO CELEBRATION,Kukuiula Village,"<p>As part of the Prince Kuhio Celebration come enjoy an afternoon of tasting some of our wonderful home-made ""Sweet Treats"" in our outdoor center courtyard...malasadas. almond cookies, banana lumpia. okinawan sweet potato lumpia, and homemade ice cream sandwiches made with sugar cookies. Learn how to make leis, weave lauhala and enjoy live Hawaiian music. Sunset brings the blowing of the conch shell, ancient Hawaiian chants and dance.</p>",stella.burgess@hyatt.com,
4:00pm  - 8:30pm,808-240-6456,03/24/2011,http://princekuhio.wetpaint.com,,http://www.gohawaii.com/kauai/events/internal/021611143,"1571 Poipu Rd., Koloa, HI&nbsp;&nbsp;96756",PRINCE KUHIO CELEBRATION - LUAU,Grand Hyatt Kauai Resort and Spa,"<p>As part of the Prince Kuhio Celebration, please join us for the Grand Hyatt Kauai Luau. For this occasion and with respect to our alii (Hawaiian royalty), the luau will open with special Hawaiian chants, song and dance. Hawaiian and local foods will be served and you will be entertained with an evening of Polynesian culture.</p>",stella.burgess@hyatt.com,
10:00am  - 1:00pm,,03/03/2011,http://www.konahistorical.org,,http://www.gohawaii.com/big-island/events/internal/21611126,"1-6551 Mamalahoa Hwy., Kealakekua, HI&nbsp;&nbsp;96750",PORTUGUESE STONE OVEN BREAD BAKING,Kona Historical Society,"<p>Take part in this historical re-creation &ndash; making and then baking traditional sweet bread in a wood-fired oven called a forno, the type used by Portuguese immigrants who came to Hawaiʽi in the 1800&rsquo;s.&nbsp;&nbsp; A tasty and hands on experience!&nbsp; Thursdays. Free.&nbsp;</p>",,03/31/2011
10:30am  - 12:00pm,,03/03/2011,http://www.konahistorical.org,,http://www.gohawaii.com/big-island/events/internal/21611125,"81-6551 Mamalahoa Hwy, Kealakekua, HI&nbsp;&nbsp;96750",KONA STORIES,Kona Historical Society,"<p>Trained storytellers and special guests bring Kona&rsquo;s interesting history to life in these lively weekly sessions. Includes narratives of the coffee belt, cowboy and ranch life, good gossip, ghost stories as well as retellings from diaries and letters of residents of old Kona.&nbsp; Thursdays.&nbsp; Free.</p>",,03/31/2011
11:00am,,03/02/2011,http://www.hilopalace.com,,http://www.gohawaii.com/big-island/events/internal/21611124,"38 Haili St., Hilo, HI&nbsp;&nbsp;96720",HAWAIIANA LIVE,Palace Theater,"<p>A unique 45-minute cultural tourism program onstage. Experience Hawaiian history, traditions and culture through storytelling, film, music, oli and hula.&nbsp; Topics change weekly as the program revolves around the Hawaiian lunar calendar. Newly restored pipe organ featured.&nbsp; Palace Theater in Hilo. Wednesdays.</p>",,03/30/2011
2:30pm  - 6:30pm,331-3033,03/12/2011,,,http://www.gohawaii.com/big-island/events/internal/71510403,"75-5660 Palani Rd, Kailua Kona, HI&nbsp;&nbsp;96740",KONA BREWERS FESTIVAL,King Kamehameha Kona Beach Hotel,"<p>This annual festival promotes craft brewing in Hawaii and promotes recycling. Expect about 60 craft beers from Hawaii and the U.S. Mainland, plus gourmet food. Also special Brewer's Dinner, Golf Tourney and Run for the Hops. Held under swaying palm trees at the King Kamehameha's Kona Beach Hotel. 2:30-6:30 p.m. Fee.</p>",,
7:00am  - 12:00pm,,02/25/2010,http://www.waikikicommunitycenter.org,,http://www.gohawaii.com/oahu/events/15390,"Honolulu, HI&nbsp;&nbsp;96815",WAIKIKI FARMER'S MARKET,310 Paoakalani Avenue,"<p>When vacationing or living in Waikiki, shop every Tuesday and Friday at Waikiki Community Center's Farmer's Market from 7:00 a.m. to 12:00 p.m. Meet and mingle with visitors and residents of the Waikiki community and enjoy the wonderful flavors of the islands. Tropic Fish Company has fresh locally grown fruits and vegetables, island poke and other island delectables. Ruby's Organic Pastries features freshly baked items, Fruit Preserves and Spices of the Pacific. Da Spot serves hot, off-the-grill BBQ plate lunches with choices of various Mediterranean dishes and their special dessert, baklava. Waikiki Community Center (WCC) located in the heart of Waikiki (310 Paoakalani Avenue) offers innovative programs for children, families and senior adults and has been serving the community for the past 32 years. For further information call (808) 923-1802 or visit our website at www.waikikicommunitycenter.org</p>",jeff@waikikicommunitycenter.org,12/20/2020
,242-7469,03/06/2011,,,http://www.gohawaii.com/maui/events/internal/061710265,"One Cameron Way, Kahului, HI&nbsp;&nbsp;96732",ART MAUI 2011,Maui Arts &amp; Cultural Center,"<p>The Art Maui organization returns<br>to the gallery to showcase Maui&rsquo;s<br>growing community of artists. A<br>range of work including drawing,<br>painting, sculpture and mixed<br>media will be shown in this<br>popular juried show.</p>",,04/02/2011
,808-532-8700,03/10/2011,http://www.honoluluacademy.org,,http://www.gohawaii.com/oahu/events/internal/112111288,"900 S Beretania St, Honolulu, HI&nbsp;&nbsp;96814",A RARE PAIR OF IMPERIAL KOREAN SCREENS FROM THE HONOLULU ACADEMY OF ARTS PERMANENT COLLECTION,Honolulu Academy of Arts,"<p>On opening day, one of the Academy&rsquo;s galleries was called the &ldquo;Korean Room,&rdquo; and may have been the earliest gallery dedicated to Korean art in the United States. Among the Academy&rsquo;s most important early Korean art acquisitions was a monumental pair of imperial Korean screens depicting cranes and other auspicious symbols of longevity. Due to their fragile condition, the museum was unable to place these screens on public display for several decades.</p> <p>Thanks to a grant from the National Research Institute of Cultural Heritage (NRICH), a Korean government agency, these screens were conserved in 2006, after which they were displayed in Seoul&rsquo;s National Museum of Korea as the focus of a special exhibition. The Academy unveiled the freshened screens in 2009 and will once again display them in 2011, to coincide with the annual conference of the Association of Asian Studies, the country&rsquo;s leading scholarly organization dedicated to Asia, in Honolulu. In addition, on view will be Korean ceramics that were also conserved with an NRICH grant.</p>",,07/03/2011
10:00am  - 4:30pm,808-532-8741,03/30/2011,http://www.honoluluacademy.org,,http://www.gohawaii.com/oahu/events/internal/1191123,"1111 Victoria St, Honolulu, HI&nbsp;&nbsp;96814",A GOLDEN CELEBRATION OF IKEBANA,Academy Art Center,<p>Featuring arrangements by Kika Shibata and the modern and traditional ikebana styles of over 40 floral artists and youth arrangers.<br> <br>Admission is free.<br> <br>Open to the public.</p>,,04/02/2011
10:00am  - 4:00pm,,03/12/2011,http://www.huinoeau.com,,http://www.gohawaii.com/maui/events/internal/021611157,"2841 Baldwin Avenue, Makawao, HI&nbsp;&nbsp;96768",DARRELL ORWIG :WALTZING WITH TIME AND PLACE; A RETROSPECTIVE,Hui No&rsquo;eau Visual Arts Center,"<p>Hui Noeau is proud to present a retrospective by artist Darrell Orwig, one of Maui's distinguished artists. For almost four decades Darrell has shared his enthusiasm for life in his paintings. This retrospective will give the community an opportunity to see the scope of Darrell's work and his unique perspective on life.</p>",marcyl@huinoeau.com,04/22/2011
9:00am  - 5:00pm,808-967-7565,01/08/2011,http://www.volcanoartcenter.org,,http://www.gohawaii.com/big-island/events/internal/1215101182,"Hawaii Volcano National Park, HNP, HI&nbsp;&nbsp;96718",LIVING ENDEMIC BIRDS OF HAWAII,"Volcano Art Center, Gallery","<p>This exhibit of original watercolor paintings by Marian Berger depicts 37 species of birds found only in Hawaii, many of which are endangered.&nbsp;&nbsp;&nbsp; Each bird is painted life-size in the style of John James Audubon's 9 a.m. &ndash; 5 p.m.daily. Volcano Art Center Gallery in Hawaii Volcanoes National Park. Free; park entrance fees.</p>",,03/06/2011
,808-245-6931,01/20/2011,http://www.kauaimuseum.org,,http://www.gohawaii.com/kauai/events/internal/112111315,"4428 Rice St., Lihue, HI&nbsp;&nbsp;96766",AN EXHIBITION OF WATERCOLOR,Kauai Museum,"<p>This exhibit will be displayed from January 20, 2011 to March 17, 2011 in the Museum's Main Gallery.<br> <br>The Exhibit features Watercolor paintings by Art Professor of Kauai Community College Waihang Lai; Alvin Uchida; Valeri Miller; Sonoko Kinoshita; Beverly Newbury; Sharon Sakamoto; Emma Rogers; Sharon Paik; and Vanna Wu. Hours: Monday to Saturday 10 a.m. to 5 p.m. General admission: $10.</p>",,03/17/2011
9:00am  - 4:00pm,,01/08/2011,http://www.artonthezoofence.com,http://www.gohawaii.com/images/public/events/8291/8291_default.jpg,http://www.gohawaii.com/oahu/events/8291,"2740 Monsarrat Avenue, Honolulu, HI&nbsp;&nbsp;96815",ART ON THE ZOO FENCE,"In Waikiki on the Honolulu Zoo fence, Monsarrat Avenue, across the street from Kapiolani Bandstand","<p>Every Sat &amp; Sun: for over 50 years Art On The Zoo Fence has been one of Hawaii&rsquo;s lasting treasures, enriching the public's experience by providing the opportunity to freely view and enjoy artwork and to meet Hawaii's artists in person. At Art On The Zoo Fence, artists personally present their wide variety of art styles and subjects in original works and prints; primarily oils, acrylics, watercolors and photography. Artists participating in Art On The Zoo Fence also comprise and contribute to a non profit group called Zoo Fence Artists, which contributes annually to various organizations to promote arts education for children. Every Saturday and Sunday year round, from 9 a.m. to 4 p.m., Art On The Zoo Fence artists present their artwork for viewing and sale in Waikiki along the Honolulu Zoo fence on Monsarrat Avenue, across from the bandstand at Kapiolani Park. We are within view of the Pacific Ocean, in the shade of lovely Banyan trees and within walking distance of Waikiki hotels. Visit us in beautiful Waikiki and discover the richness of Hawaii through the eyes of a variety of artists. The artists will personally introduce you to their work in the splendor of this outdoor tropical setting. Featured painting of artists on the zoo fence courtesy Poor Lydia. Visit our website: http://www.artonthezoofence.com</p>",ArtistPoorLydia@yahoo.com,12/31/2011
,808-969-7400,03/20/2011,,,http://www.gohawaii.com/big-island/events/internal/071510404,"Hilo, HI&nbsp;&nbsp;96720",BIG ISLAND INTERNATIONAL MARATHON,Hilo Bay,"<p>In this annual marathon and 10.8 mile and 3.1 mile fun runs, participants run the coast of old Hawaii along the Pacific Ocean, through tropical rainforests, past rushing waterfalls and along black lave beaches to finish at the historic Hilo Bay front. A flat, cool and fun course in the beautiful Hilo area. www.hilomarathon.org</p>",,
,961-3633,03/21/2011,,,http://www.gohawaii.com/big-island/events/internal/71510405,"323 Manono St., Hilo, HI&nbsp;&nbsp;96720",HAILI MEN'S INVITATIONAL VOLLEYBALL TOURNAMENT,Hilo Civic Auditorium,"<p>Now more than a half-century old, this popular sporting event features novice to nationally ranked AA players from around the United States. The five-day tourney is held at the Hilo Civic Auditorium and other locations around Hilo. A great reason to visit Hilo if you are into volleyball.</p>",,03/26/2011
9:00am  - 12:00pm,,03/20/2011,http://www.volcanoartcenter.org,,http://www.gohawaii.com/big-island/events/internal/21711131,"19-4074 Old Volcano Rd., Volcano Village, HI&nbsp;&nbsp;96785",NIAULANI FOREST WORK DAY,Volcano Arts Center Niaulani Campus,"<p>Enjoy the open air while volunteering to help restore the beauty and diversity of the native, old-growth rainforest at Volcano Art Center's Niaulani Campus in Volcano Village.&nbsp; An opportunity to help the forest and connect with nature plus learn about the rich mixture of flora and fauna on this site. Free.</p>",,
