website,allDates,moreinfo,location,contact,description,price,venue,name,image
,04/06/2011,http://www.zipscene.com/events/view/2747231-houston-astros-at-cincinnati-reds-wed-4-6-2011-cincinnati,"100 Main St., Cincinnati, OH 45233",513-765-7000,,,Great American Ballpark,Houston Astros at Cincinnati Reds  Wed 4/6/2011,http://static1.zipscene.com//data/business_md/BUS_00038800_0_kGIi06OD.jpg
,"02/10/2011 11:00AM, 02/17/2011 11:00AM, 02/24/2011 11:00AM, 03/03/2011 11:00AM, 03/10/2011 11:00AM",http://www.zipscene.com/events/view/2848670-karaoke-and-big-ass-beers-montgomery,"9390 Montgomery Rd., Montgomery, OH 45242",513-793-7882,We have the market cornered on fun   Thursday nights!!! Jimmy gets the karaoke going at 10pm with no cover   charge! Plus we have 22oz domestic bottles for just $3 all night long!!!,,Village Tavern,Karaoke and Big Ass Beers,http://static3.zipscene.com//data/business_md/BUS_00000505_0_YR375tRQ.jpg
,04/08/2011,http://www.zipscene.com/events/view/2652275-indiana-pacers-vs-atlanta-hawks-indianapolis,"125 S. Pennsylvania St., Indianapolis, IN 46204",317-917-2755,,,Conseco Fieldhouse,Indiana Pacers vs. Atlanta Hawks,http://static0.zipscene.com//data/business_md/BUS_00026697_0_tT3fNIGv.jpg
,04/09/2011,http://www.zipscene.com/events/view/2843669-george-strait-reba-mcentire-amp-lee-ann-womack-louisville-concerts,"1 Arena Plaza, Louisville, KY 40202",502-690-9000,,,KFC Yum! Center,"George Strait, Reba McEntire & Lee Ann Womack",http://static0.zipscene.com//data/business_md/BUS_00050392_0_KMkeXNU2.jpg
,04/07/2011,http://www.zipscene.com/events/view/2745779-houston-astros-at-cincinnati-reds-thu-4-7-2011-cincinnati,"100 Main St., Cincinnati, OH 45233",513-765-7000,,,Great American Ballpark,Houston Astros at Cincinnati Reds  Thu 4/7/2011,http://static1.zipscene.com//data/business_md/BUS_00038800_0_kGIi06OD.jpg
,"03/15/2011 7:00PM, 04/10/2011 7:00PM",http://www.zipscene.com/events/view/2649385-indiana-pacers-vs-new-york-knicks-indianapolis,"125 S. Pennsylvania St., Indianapolis, IN 46204",317-917-2755,,,Conseco Fieldhouse,Indiana Pacers vs. New York Knicks,http://static0.zipscene.com//data/business_md/BUS_00026697_0_tT3fNIGv.jpg
,04/23/2011,http://www.zipscene.com/events/view/2752165-jeff-foxworthy-amp-bill-engvall-louisville-concerts,"937 Phillips Lane, Louisville, KY 40209",502-367-5000,,,Broadbent Arena / Kentucky Exposition Center,Jeff Foxworthy & Bill Engvall,http://static3.zipscene.com//data/business_md/BUS_00042060_0_UueY0y0R.jpg
,04/23/2011,http://www.zipscene.com/events/view/2857239-jeff-foxworthy-amp-bill-engvall-louisville-concerts,"1 Arena Plaza, Louisville, KY 40202",502-690-9000,,,KFC Yum! Center,Jeff Foxworthy & Bill Engvall,http://static0.zipscene.com//data/business_md/BUS_00050392_0_KMkeXNU2.jpg
,04/15/2011,http://www.zipscene.com/events/view/2745735-pittsburgh-pirates-at-cincinnati-reds-fri-4-15-2011-cincinnati,"100 Main St., Cincinnati, OH 45233",513-765-7000,,,Great American Ballpark,Pittsburgh Pirates at Cincinnati Reds  Fri 4/15/2011,http://static1.zipscene.com//data/business_md/BUS_00038800_0_kGIi06OD.jpg
,"04/15/2011 7:10PM, 04/16/2011 1:10PM, 04/18/2011 7:10PM, 05/18/2011 7:10PM, 04/17/2011 1:10PM",http://www.zipscene.com/events/view/2824929-cincinnati-reds-vs-pittsburgh-pirates-cincinnati,"100 Main St., Cincinnati, OH 45233",513-765-7000,,,Great American Ballpark,Cincinnati Reds vs. Pittsburgh Pirates,http://static1.zipscene.com//data/business_md/BUS_00038800_0_kGIi06OD.jpg
,04/16/2011,http://www.zipscene.com/events/view/2745181-pittsburgh-pirates-at-cincinnati-reds-sat-4-16-2011-cincinnati,"100 Main St., Cincinnati, OH 45233",513-765-7000,,,Great American Ballpark,Pittsburgh Pirates at Cincinnati Reds  Sat 4/16/2011,http://static1.zipscene.com//data/business_md/BUS_00038800_0_kGIi06OD.jpg
,04/17/2011,http://www.zipscene.com/events/view/2746265-pittsburgh-pirates-at-cincinnati-reds-sun-4-17-2011-cincinnati,"100 Main St., Cincinnati, OH 45233",513-765-7000,,,Great American Ballpark,Pittsburgh Pirates at Cincinnati Reds  Sun 4/17/2011,http://static1.zipscene.com//data/business_md/BUS_00038800_0_kGIi06OD.jpg
,04/18/2011,http://www.zipscene.com/events/view/2746793-pittsburgh-pirates-at-cincinnati-reds-mon-4-18-2011-cincinnati,"100 Main St., Cincinnati, OH 45233",513-765-7000,,,Great American Ballpark,Pittsburgh Pirates at Cincinnati Reds  Mon 4/18/2011,http://static1.zipscene.com//data/business_md/BUS_00038800_0_kGIi06OD.jpg
,04/19/2011,http://www.zipscene.com/events/view/2746687-arizona-diamondbacks-at-cincinnati-reds-tue-4-19-2011-cincinnati-sports,"100 Main St., Cincinnati, OH 45233",513-765-7000,,,Great American Ballpark,Arizona Diamondbacks at Cincinnati Reds  Tue 4/19/2011,http://static1.zipscene.com//data/business_md/BUS_00038800_0_kGIi06OD.jpg
,"04/20/2011 7:10PM, 04/21/2011 12:35PM, 04/19/2011 7:10PM",http://www.zipscene.com/events/view/2825901-cincinnati-reds-vs-arizona-diamondbacks-cincinnati-sports,"100 Main St., Cincinnati, OH 45233",513-765-7000,,,Great American Ballpark,Cincinnati Reds vs. Arizona Diamondbacks,http://static1.zipscene.com//data/business_md/BUS_00038800_0_kGIi06OD.jpg
,04/20/2011,http://www.zipscene.com/events/view/2746369-arizona-diamondbacks-at-cincinnati-reds-wed-4-20-2011-cincinnati,"100 Main St., Cincinnati, OH 45233",513-765-7000,,,Great American Ballpark,Arizona Diamondbacks at Cincinnati Reds  Wed 4/20/2011,http://static1.zipscene.com//data/business_md/BUS_00038800_0_kGIi06OD.jpg
,04/21/2011,http://www.zipscene.com/events/view/2747391-arizona-diamondbacks-at-cincinnati-reds-thu-4-21-2011-cincinnati-sports,"100 Main St., Cincinnati, OH 45233",513-765-7000,,,Great American Ballpark,Arizona Diamondbacks at Cincinnati Reds  Thu 4/21/2011,http://static1.zipscene.com//data/business_md/BUS_00038800_0_kGIi06OD.jpg
,04/29/2011,http://www.zipscene.com/events/view/2745629-florida-marlins-at-cincinnati-reds-fri-4-29-2011-cincinnati-sports,"100 Main St., Cincinnati, OH 45233",513-765-7000,,,Great American Ballpark,Florida Marlins at Cincinnati Reds  Fri 4/29/2011,http://static1.zipscene.com//data/business_md/BUS_00038800_0_kGIi06OD.jpg
,"04/29/2011 7:10PM, 04/30/2011 7:10PM, 05/01/2011 4:10PM",http://www.zipscene.com/events/view/2825367-cincinnati-reds-vs-florida-marlins-cincinnati-sports,"100 Main St., Cincinnati, OH 45233",513-765-7000,,,Great American Ballpark,Cincinnati Reds vs. Florida Marlins,http://static1.zipscene.com//data/business_md/BUS_00038800_0_kGIi06OD.jpg
,"04/30/2011 2:00PM, 04/30/2011 5:30PM, 05/01/2011 4:30PM, 04/30/2011 10:30AM, 05/01/2011 1:00PM",http://www.zipscene.com/events/view/2837471-sesame-street-live-elmo-s-green-thumb-highland-heights,"Northern Kentucky University, Highland Heights, KY 41099",859-442-2652,,,The Bank of Kentucky Center,Sesame Street Live: Elmo's Green Thumb,http://static2.zipscene.com//data/business_md/BUS_00027094_0_Fes4HFp2.jpg
,04/30/2011,http://www.zipscene.com/events/view/2747347-florida-marlins-at-cincinnati-reds-sat-4-30-2011-cincinnati,"100 Main St., Cincinnati, OH 45233",513-765-7000,,,Great American Ballpark,Florida Marlins at Cincinnati Reds  Sat 4/30/2011,http://static1.zipscene.com//data/business_md/BUS_00038800_0_kGIi06OD.jpg
http://www.circletail.org/events/dinnerartwine.pdf,03/12/2011,http://www.zipscene.com/events/view/2874445-circle-tail-dinner-art-amp-wine-for-canines-loveland,"10681 Loveland-Madeira Rd, Loveland, OH 45140",,"Join us for Wines of the World wine tasting, Art Exhibit with several featured artists, Dinner Buffet with open beer & wine bar, Silent Auction, Raffle Prizes, & Door Prizes. Circle Tail, Inc. provides service & hearing dogs to people with disabilities at no charge to the individual. Proceeds benefit our programs. Visit www.circletail.org for info & sponsorship opportunities. Reservations required by February 28 - make your reservation online at www.circletail.org or by mail.",45.0,Receptions Loveland,"Circle Tail Dinner, Art, & Wine for Canines",http://static2.zipscene.com//data/event_data/event_lg/BUS_0_EVENT_2874445_9yWH8BVM_lg.jpg
,03/10/2011,http://www.zipscene.com/events/view/2874381-ryan-bingham-amp-the-dead-horses-indianapolis-concerts,"2131 E. 71st St., Indianapolis, IN 46220",317-254-8971,,,Birdys,Ryan Bingham & The Dead Horses,http://static3.zipscene.com//data/business_md/BUS_00003952_0_KL7HAdTN.jpg
,03/02/2011,http://www.zipscene.com/events/view/2871485-idina-menzel-indianapolis-concerts,"45 Monument Circle., Indianapolis, IN 46204",317-639-4300,,,Hilbert Circle Theater,Idina Menzel,http://static1.zipscene.com//data/business_md/BUS_00001470_0.jpg
,03/10/2011,http://www.zipscene.com/events/view/2872867-ron-white-bloomington-concerts,"1211 East 7th Street, Bloomington, IN 47405",812-855-1103,,,Indiana University Auditorium,Ron White,http://static1.zipscene.com//data/business_md/BUS_00045400_0_ITZT5jSu.jpg
,03/11/2011,http://www.zipscene.com/events/view/2880861-red-state-screening-kevin-smith-q-amp-a-indianapolis,"4602 Sunset Ave, Indianapolis, IN 46208",317-940-9697,,,Clowes Memorial Hall,Red State: Screening + Kevin Smith Q&A,http://static2.zipscene.com//data/business_md/BUS_00001387_0.jpg
,03/25/2011,http://www.zipscene.com/events/view/2865935-easton-corbin-indianapolis-concerts,"111 N. Lynhurst Drive, Indianapolis, IN 46224",317-486-1569,,,8 Seconds Saloon,Easton Corbin,http://static1.zipscene.com//data/business_md/BUS_00001258_0_ZupIZMKA.jpg
,03/25/2011,http://www.zipscene.com/events/view/2866489-jeanne-robertson-indianapolis,"502 North New Jersey Street, Indianapolis, IN 46204",317-231-0000,,,Murat Theatre,Jeanne Robertson,http://static1.zipscene.com//data/business_md/BUS_00001577_0_M1Bcoz49.jpg
,03/27/2011,http://www.zipscene.com/events/view/2885041-toubab-krewe-indianapolis-concerts,"216 North Walnut, Indianapolis, IN 47401",812-336-3984,,,Bluebird Nightclub,Toubab Krewe,http://static2.zipscene.com/build/web/images/consumer_v4/misc/photos/default_no_community_image-1261054447.jpg
http://tropicalstormsound.com/wp-content/uploads/2009/10/SHAMBLES_WEBSITE_FLYER-231x300.jpg,"02/08/2011 9:00PM, 02/22/2011 9:00PM, 03/08/2011 9:00PM, 03/01/2011 9:00PM, 02/15/2011 9:00PM",http://www.zipscene.com/events/view/2272638-chicago-reggae-dancehall-tuesdays-chicago,"Upstairs, Chicago, IL 60622",,"Chicagos best weekly reggae party, a new capital of chicagoland and midwest reggae, dancehall and soca music, started by DJ Andju and friends    Formerly known as JunBar and renamed Shambles in August of 2009, this trendy Wickerpark club in Chicago sends reggae vibrations across the globe, supplying its diverse reggae followers with the most current reggae and dancehall mixes.         With Tropical Pirate Punch drinks at $2, this is quite the recession buster that keeps you in Jamaica every Tuesday!         Text keyword: REGGAE SHAMBLES to 88202 to RSVP",0.0,DJ Andju - Tropical Storm Sound,Chicago Reggae Dancehall Tuesdays,http://static2.zipscene.com//data/event_data/event_lg/BUS_4563_EVENT_2272526_1QUE5Doy_lg.jpg
,"03/05/2011 6:50PM, 03/06/2011 2:00PM",http://www.zipscene.com/events/view/2741167-pbr-professional-bull-riders-chicago,"1901 W. Madison St., Chicago, IL 60612",312-455-4500,,,United Center,PBR - Professional Bull Riders,http://static3.zipscene.com//data/business_md/BUS_00031170_0_7UIKjVUK.jpg
,03/10/2011,http://www.zipscene.com/events/view/2866331-the-pretty-reckless-chicago-concerts,"2100 W. Belmont, Chicago, IL 60618",773-281-4444,,,Beat Kitchen,The Pretty Reckless,http://static0.zipscene.com//data/business_md/BUS_00000166_0.jpg
,"03/05/2011 7:05PM, 03/01/2011 7:05PM, 04/08/2011 7:05PM",http://www.zipscene.com/events/view/2699637-peoria-rivermen-vs-chicago-wolves-peoria-sports,"201 SW Jefferson Ave., Peoria, IL 61602",309-673-8900,,,Peoria Civic Center,Peoria Rivermen vs. Chicago Wolves,http://static3.zipscene.com//data/business_md/BUS_00042752_0_OOdE7TU6.jpg
,"02/27/2011 7:00PM, 03/02/2011 7:00PM",http://www.zipscene.com/events/view/2880595-cage-the-elephant-chicago,"3145 N. Sheffield, Chicago, IL 60657",773-472-0449,,,Vic Theatre,Cage The Elephant,http://static0.zipscene.com//data/business_md/BUS_00000339_0_fP12EscG.jpg
,"03/03/2011 6:30PM, 03/03/2011 3:00PM",http://www.zipscene.com/events/view/2872381-barney-live-in-concert-birthday-bash-bloomington-concerts,"101 S. Madison Street, Bloomington, IL 61701",309-434-2679,,,U.S. Cellular Coliseum,Barney Live In Concert: Birthday Bash!,http://static1.zipscene.com//data/business_md/BUS_00042756_0_kGhsod2h.jpg
,"03/04/2011 7:05PM, 02/16/2011 7:05PM",http://www.zipscene.com/events/view/2798885-bloomington-prairie-thunder-vs-fort-wayne-komets-bloomington-sports,"101 S. Madison Street, Bloomington, IL 61701",309-434-2679,,,U.S. Cellular Coliseum,Bloomington Prairie Thunder vs. Fort Wayne Komets,http://static1.zipscene.com//data/business_md/BUS_00042756_0_kGhsod2h.jpg
,03/04/2011,http://www.zipscene.com/events/view/2880141-iron-and-wine-chicago-concerts,"4750 N. Broadway St, Chicago, IL 60640",773-275-6800,,,Riviera Theatre - IL,Iron And Wine,http://static2.zipscene.com//data/business_md/BUS_00000456_0_Ix09MZuE.jpg
,03/05/2011,http://www.zipscene.com/events/view/2870353-bruce-in-the-usa-chicago-concerts,"329 N. Dearborn St., Chicago, IL 60610",312-923-2000,,,House of Blues,Bruce In The Usa,http://static3.zipscene.com//data/business_md/BUS_00000243_0_C0fRai3X.jpg
,"03/18/2011 7:30PM, 03/06/2011 3:05PM",http://www.zipscene.com/events/view/2857645-bloomington-prairie-thunder-vs-quad-city-mallards-bloomington,"101 S. Madison Street, Bloomington, IL 61701",309-434-2679,,,U.S. Cellular Coliseum,Bloomington Prairie Thunder vs. Quad City Mallards,http://static1.zipscene.com//data/business_md/BUS_00042756_0_kGhsod2h.jpg
,"03/07/2011 7:30PM, 03/08/2011 7:30PM, 03/09/2011 7:30PM",http://www.zipscene.com/events/view/2864683-janet-jackson-chicago,"175 N. State Street, Chicago, IL 60601",312-462-6300,,,The Chicago Theatre,Janet Jackson,http://static1.zipscene.com//data/business_md/BUS_00000414_0_Wk8gbpC4.jpg
,03/08/2011,http://www.zipscene.com/events/view/2699091-peoria-rivermen-vs-grand-rapids-griffins-peoria,"201 SW Jefferson Ave., Peoria, IL 61602",309-673-8900,,,Peoria Civic Center,Peoria Rivermen vs. Grand Rapids Griffins,http://static3.zipscene.com//data/business_md/BUS_00042752_0_OOdE7TU6.jpg
,03/12/2011,http://www.zipscene.com/events/view/2872565-trevor-hall-evanston-concerts,"1245 Chicago Avenue, Evanston, IL 60202",847-492-8860,,,Evanston SPACE,Trevor Hall,http://static1.zipscene.com//data/business_md/BUS_00042725_0_PMfEkAvP.jpg
,03/12/2011,http://www.zipscene.com/events/view/2866723-orchestral-manoeuvers-in-the-dark-chicago-concerts,"322 W Armitage, Chicago, IL 60614",773-929-1322,,,Park West,Orchestral Manoeuvers in the Dark,http://static2.zipscene.com//data/business_md/BUS_00000288_0_XsUDg2Bd.jpg
,03/12/2011,http://www.zipscene.com/events/view/2865693-sarah-mclachlan-chicago-concerts,"175 N. State Street, Chicago, IL 60601",312-462-6300,,,The Chicago Theatre,Sarah McLachlan,http://static1.zipscene.com//data/business_md/BUS_00000414_0_Wk8gbpC4.jpg
,03/15/2011,http://www.zipscene.com/events/view/2872125-good-charlotte-chicago-concerts,"329 N. Dearborn St., Chicago, IL 60610",312-923-2000,,,House of Blues,Good Charlotte,http://static3.zipscene.com//data/business_md/BUS_00000243_0_C0fRai3X.jpg
,03/15/2011,http://www.zipscene.com/events/view/2702635-peoria-rivermen-vs-oklahoma-city-barons-peoria,"201 SW Jefferson Ave., Peoria, IL 61602",309-673-8900,,,Peoria Civic Center,Peoria Rivermen vs. Oklahoma City Barons,http://static3.zipscene.com//data/business_md/BUS_00042752_0_OOdE7TU6.jpg
,03/17/2011,http://www.zipscene.com/events/view/2870221-the-dirty-heads-chicago-concerts,"329 N. Dearborn St., Chicago, IL 60610",312-923-2000,,,House of Blues,The Dirty Heads,http://static3.zipscene.com//data/business_md/BUS_00000243_0_C0fRai3X.jpg
,03/17/2011,http://www.zipscene.com/events/view/2880343-natalia-zuckerman-evanston-concerts,"1245 Chicago Avenue, Evanston, IL 60202",847-492-8860,,,Evanston SPACE,Natalia Zuckerman,http://static1.zipscene.com//data/business_md/BUS_00042725_0_PMfEkAvP.jpg
,"03/19/2011 7:00PM, 03/20/2011 3:00PM",http://www.zipscene.com/events/view/2734919-oklahoma-city-barons-at-chicago-wolves-rosemont,"6920 Mannheim Rd, Rosemont, IL 60018",847-635-6601,,,Allstate Arena,Oklahoma City Barons at Chicago Wolves,http://static3.zipscene.com//data/business_md/BUS_00000448_0_LAaORNJ1.jpg
,03/19/2011,http://www.zipscene.com/events/view/2874227-walter-trout-chicago-concerts,"329 N. Dearborn St., Chicago, IL 60610",312-923-2000,,,House of Blues,Walter Trout,http://static3.zipscene.com//data/business_md/BUS_00000243_0_C0fRai3X.jpg
,03/20/2011,http://www.zipscene.com/events/view/2873055-the-trash-can-sinatras-evanston-concerts,"1245 Chicago Avenue, Evanston, IL 60202",847-492-8860,,,Evanston SPACE,The Trash Can Sinatras,http://static1.zipscene.com//data/business_md/BUS_00042725_0_PMfEkAvP.jpg
,"03/26/2011 7:00PM, 03/27/2011 7:00PM",http://www.zipscene.com/events/view/2722057-godspeed-you-black-emperor-chicago,"3730 North Clark St., Chicago, IL 60613",773-549-0203,,,Metro,Godspeed You Black Emperor,http://static1.zipscene.com//data/business_md/BUS_00000272_0.gif
,"02/23/2011 7:00PM, 03/27/2011 3:00PM, 04/10/2011 3:00PM",http://www.zipscene.com/events/view/2735413-rockford-icehogs-at-chicago-wolves-rosemont-sports,"6920 Mannheim Rd, Rosemont, IL 60018",847-635-6601,,,Allstate Arena,Rockford IceHogs at Chicago Wolves,http://static3.zipscene.com//data/business_md/BUS_00000448_0_LAaORNJ1.jpg
,03/28/2011,http://www.zipscene.com/events/view/2884681-stone-sour-bloomington-concerts,"101 S. Madison Street, Bloomington, IL 61701",309-434-2679,,,U.S. Cellular Coliseum,Stone Sour,http://static1.zipscene.com//data/business_md/BUS_00042756_0_kGhsod2h.jpg
,03/28/2011,http://www.zipscene.com/events/view/2879685-wwe-rosemont-sports,"6920 Mannheim Rd, Rosemont, IL 60018",847-635-6601,,,Allstate Arena,WWE,http://static3.zipscene.com//data/business_md/BUS_00000448_0_LAaORNJ1.jpg
,03/30/2011,http://www.zipscene.com/events/view/2881101-henry-rollins-evanston-concerts,"1245 Chicago Avenue, Evanston, IL 60202",847-492-8860,,,Evanston SPACE,Henry Rollins,http://static1.zipscene.com//data/business_md/BUS_00042725_0_PMfEkAvP.jpg
,03/31/2011,http://www.zipscene.com/events/view/2879521-devotchka-chicago-concerts,"329 N. Dearborn St., Chicago, IL 60610",312-923-2000,,,House of Blues,Devotchka,http://static3.zipscene.com//data/business_md/BUS_00000243_0_C0fRai3X.jpg
,"02/13/2011 6:30PM, 02/19/2011 8:30PM, 03/09/2011 1:30PM, 03/03/2011 1:30PM, 03/03/2011 8:00PM",http://www.zipscene.com/events/view/2630617-monty-python-s-spamalot-chicago,"175 E. Chestnut St., Chicago, IL 60611",312-642-2000,,,Drury Lane Theatre,Monty Python's Spamalot,http://static3.zipscene.com//data/business_md/BUS_00007922_0_6p72sEDK.jpg
,"04/21/2011 8:00PM, 03/19/2011 8:00PM, 03/31/2011 8:00PM, 03/03/2011 8:00PM, 03/05/2011 8:00PM",http://www.zipscene.com/events/view/2856105-late-nite-catechism-chicago,"1641 North Halsted Street, Chicago, IL 60614",312-988-9000,,,Royal George Theatre Center,Late Nite Catechism,http://static0.zipscene.com//data/business_md/BUS_00000413_0.gif
,"03/04/2011 7:00PM, 03/05/2011 7:00PM",http://www.zipscene.com/events/view/2807373-girl-talk-the-band-chicago,"2135 N. Milwaukee Ave, Chicago, IL 60647",773-486-6672,,,Congress Theater,Girl Talk - The Band,http://static3.zipscene.com//data/business_md/BUS_00000454_0_6QZLxknH.jpg
,"03/12/2011 5:00PM, 02/12/2011 5:00PM, 02/19/2011 5:00PM, 03/05/2011 5:00PM, 03/19/2011 5:00PM",http://www.zipscene.com/events/view/2854781-saints-and-sinners-chicago,"1641 North Halsted Street, Chicago, IL 60614",312-988-9000,,,Royal George Theatre Center,Saints And Sinners,http://static0.zipscene.com//data/business_md/BUS_00000413_0.gif
,"03/04/2011 5:45PM, 05/06/2011 5:45PM, 06/10/2011 5:45PM",http://www.zipscene.com/events/view/2643305-dozin-with-the-dinos-family-overnight-chicago,"1400 S. Lake Shore Dr, Chicago, IL 60605",312-922-9410,,,The Field Museum,Dozin' With The Dinos - Family Overnight,http://static3.zipscene.com//data/business_md/BUS_00000420_0.jpg
,"03/03/2011 2:00PM, 03/04/2011 11:30AM, 03/04/2011 6:00PM, 03/05/2011 5:00PM, 03/06/2011 3:30PM",http://www.zipscene.com/events/view/2885279-big-ten-womens-basketball-tournament-indianapolis,"125 S. Pennsylvania St., Indianapolis, IN 46204",317-917-2755,,,Conseco Fieldhouse,Big Ten Womens Basketball Tournament,http://static0.zipscene.com//data/business_md/BUS_00026697_0_tT3fNIGv.jpg
,03/03/2011,http://www.zipscene.com/events/view/2865789-ultimate-fighting-championship-louisville-sports,"1 Arena Plaza, Louisville, KY 40202",502-690-9000,,,KFC Yum! Center,Ultimate Fighting Championship,http://static0.zipscene.com//data/business_md/BUS_00050392_0_KMkeXNU2.jpg
,03/04/2011,http://www.zipscene.com/events/view/2865731-corey-smith-cincinnati-concerts,"2621 Vine St., Cincinnati, OH 45219",513-281-8400,,,Bogart's,Corey Smith,http://static0.zipscene.com//data/business_md/BUS_00000055_0_7xny0JLp.jpg
,"03/05/2011 11:00AM, 03/06/2011 1:00PM, 03/04/2011 7:00PM, 03/05/2011 7:00PM",http://www.zipscene.com/events/view/2843535-madagascar-live-louisville,"625 S. 4th St., Louisville, KY 40202",502-583-4555,,,Louisville Palace,Madagascar Live!,http://static2.zipscene.com//data/business_md/BUS_00026809_0_kKKESH79.jpg
,03/13/2011,http://www.zipscene.com/events/view/2864317-sarah-mclachlan-louisville-concerts,"625 S. 4th St., Louisville, KY 40202",502-583-4555,,,Louisville Palace,Sarah McLachlan,http://static2.zipscene.com//data/business_md/BUS_00026809_0_kKKESH79.jpg
,03/04/2011,http://www.zipscene.com/events/view/2870515-taproot-louisville-concerts,"644 Baxter Ave., Louisville, KY 40204",502-589-4957,,,Phoenix Hill Tavern,Taproot,http://static1.zipscene.com//data/business_md/BUS_00004199_0_1.jpg
,"03/03/2011 2:00PM, 03/04/2011 11:30AM, 03/04/2011 6:00PM, 03/05/2011 5:00PM, 03/06/2011 3:30PM",http://www.zipscene.com/events/view/2885279-big-ten-womens-basketball-tournament-indianapolis-sports,"125 S. Pennsylvania St., Indianapolis, IN 46204",317-917-2755,,,Conseco Fieldhouse,Big Ten Womens Basketball Tournament,http://static0.zipscene.com//data/business_md/BUS_00026697_0_tT3fNIGv.jpg
,"03/24/2011 3:00PM, 03/25/2011 7:30PM, 03/26/2011 10:30AM, 03/24/2011 7:30PM, 03/25/2011 3:00PM",http://www.zipscene.com/events/view/2885071-aladdin-shrine-circus-columbus,"717 E. 17th Ave, Columbus, OH 43211",888-646-3976,,,Celeste Center,Aladdin Shrine Circus,http://static2.zipscene.com//data/business_md/BUS_00026831_0_SD8qQT3O.jpg
,03/28/2011,http://www.zipscene.com/events/view/2884977-tiesto-columbus,"405 Neil Ave., Columbus, OH 43215",614-461-5483,,,Lifestyle Communities Pavilion,Tiesto,http://static1.zipscene.com//data/business_md/BUS_00026808_0_ii4NwkLq.jpg
,"02/22/2011 11:00AM, 02/08/2011 11:00AM, 02/15/2011 11:00AM, 03/01/2011 11:00AM, 03/08/2011 11:00AM",http://www.zipscene.com/events/view/2851380-dilla-tuesdays-covington,"313 Greenup St., Covington, KY 41011",859-261-6777,"Enjoy from a wide variety of quesedillas or build your own, all for half price! Valid for dine in only.<br />",,Keystone Bar & Grill,'Dilla Tuesdays,http://static0.zipscene.com//data/event_data/event_md/BUS_4458_EVENT_2851366_6g63x6wp_md.jpg
,"02/08/2011 11:00AM, 02/15/2011 11:00AM, 02/22/2011 11:00AM, 03/01/2011 11:00AM, 03/08/2011 11:00AM",http://www.zipscene.com/events/view/2848556-tipsy-trivia-montgomery,"9390 Montgomery Rd., Montgomery, OH 45242",513-793-7882,"Whether  you are feeling smart, or in need of a cheap buzz, or both.... We have   the answer. Trivia starts at 7pm with cash prizes. Plus we have $3 well   drinks and $3 import beers!!!",,Village Tavern,Tipsy Trivia,http://static3.zipscene.com//data/business_md/BUS_00000505_0_YR375tRQ.jpg
,"03/03/2011 11:00AM, 03/10/2011 11:00AM, 02/10/2011 11:00AM, 02/17/2011 11:00AM, 02/24/2011 11:00AM",http://www.zipscene.com/events/view/2848660-karaoke-and-big-ass-beers-montgomery,"9390 Montgomery Rd., Montgomery, OH 45242",513-793-7882,We have the market cornered on fun   Thursday nights!!! Jimmy gets the karaoke going at 10pm with no cover   charge! Plus we have 22oz domestic bottles for just $3 all night long!!!,,Village Tavern,Karaoke and Big Ass Beers,http://static3.zipscene.com//data/business_md/BUS_00000505_0_YR375tRQ.jpg
,"02/11/2011 11:00AM, 02/18/2011 11:00AM, 02/25/2011 11:00AM, 03/04/2011 11:00AM, 03/11/2011 11:00AM",http://www.zipscene.com/events/view/2848764-dj-tweety-with-no-cover-charge-montgomery,"9390 Montgomery Rd., Montgomery, OH 45242",513-793-7882,"The weekend is finally here!!! So get up  to the VT for the best time around! We have XXXtreme happy hour from   3-8:45pm! Then put the women and children to bed, when DJ Tweety starts   spinning @ 10pm! The Tavern will be jumpin!!!",,Village Tavern,DJ Tweety with no cover charge,http://static3.zipscene.com//data/business_md/BUS_00000505_0_YR375tRQ.jpg
,"02/26/2011 7:00PM, 02/12/2011 7:00PM, 02/19/2011 7:00PM, 03/05/2011 7:00PM, 03/12/2011 7:00PM",http://www.zipscene.com/events/view/2848867-doors-open-7pm-johnny-b-montgomery,"9390 Montgomery Rd., Montgomery, OH 45242",513-793-7882,Merry Christmas! We open at 7pm!!! Bring  all of that Christmas cash and make it rain!!! DJ Johnny B starts @   10pm!!! No cover charge!!!,,Village Tavern,Doors open @ 7pm Johnny B,http://static3.zipscene.com//data/business_md/BUS_00000505_0_YR375tRQ.jpg
,"02/12/2011 7:00PM, 02/19/2011 7:00PM, 02/26/2011 7:00PM, 03/05/2011 7:00PM, 03/12/2011 7:00PM",http://www.zipscene.com/events/view/2849794-saturday-nights-cincinnati,"1108 St. Gregory St., Cincinnati, OH 45202",513-651-2253,"Everyweek  we have to DJs spinning and an awesome band rocking out the house! No   Cover until 10:30pm! 10 bartenders slinging drinks for you and 100's of   your close friends! Bring everyone out to see what we have in store for   you! 2 amazing patios, kitchen is open til 10pm. See you there!",,Longworth's,Saturday Nights!,http://static3.zipscene.com//data/business_md/cca3df52debcd3c0d584a35fb3bfcf3d_3.jpg
