sTicketPhone,sSynopsis,close,sMoreInfo,sTheaterAddress,showName,more,theater,opens,sTicketPrice
603-436-2400,"Although it has been almost 40 years since the anthem Bridge Over Troubled Water was recorded, singer/songwriter Art Garfunkel's image and signature vocal remain among the most instantly recognizable in popular music. His ""beautiful countertenor,"" as Neil Strauss described his voice in The New York Times, is clear and resonant, surely one of the finest instruments in all of popular music, and a time-honored friend to a world of listeners.",,http://www.themusichall.org/calendar/event_detail.asp?eventID=893,"28 Chestnut Street, Portsmouth, NH 03801",Intimately Yours: Art Garfunkel,http://www.theatermania.com/new-hampshire/shows/intimately-yours-art-garfunkel_169358/,The Music Hall,,$65.00 - $75.00
603-436-2400,"The acclaimed Grammy Award winning trumpeter with the golden sound, Chris Botti makes a triumphant return to The Music Hall stage after his sold out show two years ago. A veteran of both the contemporary jazz world and the mainstream pop studio scene, Botti is ranked as one of the world's top selling instrumentalists with ten solo albums and has earned both critical acclaim and mainstream appreciation for his singular combination of lush atmospheres and thoughtful improvisations.",,http://www.themusichall.org/calendar/event_detail.asp?eventID=931,"28 Chestnut Street, Portsmouth, NH 03801",Intimately Yours: Chris Botti,http://www.theatermania.com/new-hampshire/shows/intimately-yours-chris-botti_169353/,The Music Hall,,$50.00 - $65.00
603-436-2400,"Soul/folk/rock/sophisticated pop diva, Joan Armatrading brings her West Indies/Brit sensibility, distinctive vocals and consummate musicianship to her critically acclaimed career. Her hits have included &quot;Love and Affection&quot; &quot;Down To Zero&quot; while her last foray into the studio resulted in a Grammy nominated blues album, she's touring behind her 20th -  and more pop oriented- album, This Charming Life.    Opening Act: Jamie McLean",,http://www.themusichall.org/calendar/event_detail.asp?eventID=944,"28 Chestnut Street, Portsmouth, NH 03801",Intimately Yours: Joan Armatrading,http://www.theatermania.com/new-hampshire/shows/intimately-yours-joan-armatrading_169323/,The Music Hall,,$45.00 - $57.00
603-436-2400,"Grammy Award winning blues guitarist/singer from Fargo, North Dakota, Jonny Lang makes his Music Hall debut touring behind his latest CD, Live at the Ryman, an electrifying live performance taped at the historic Ryman Auditorium in Nashville, Tennessee (former home of the Grand Ole Opry). With the voice of an ancient bluesman, and extraordinary guitar playing, this 29-year old is a once-in-a-generation blues talent.    Opening Act: Sharon Little.",,http://www.themusichall.org/calendar/event_detail.asp?eventID=945,"28 Chestnut Street, Portsmouth, NH 03801",Intimately Yours: Jonny Lang,http://www.theatermania.com/new-hampshire/shows/intimately-yours-jonny-lang_169325/,The Music Hall,,$49.00 - $62.00
603-436-2400,"Intimately Yours: Juan de Marcos and the Afro-Cuban All Stars come to The Music Hall. Led by the legendary Buena Vista Social Club member Juan de Marcos Gonz&aacute;lez, the All Stars blend all the heritage of Cuban music in order to &quot;create a sound for the future.&quot; For more than a decade, the group has made an extraordinary contribution to raising the profile of Cuban music throughout the world. The All Stars are particularly known for resurrecting the career of several forgotten legends, and also for giving the record-buying population of the world an appetite for Cuban music.",,http://www.themusichall.org/calendar/event_detail.asp?eventID=928,"28 Chestnut Street, Portsmouth, NH 03801",Intimately Yours: Juan de Marcos and the Afro-Cuban All Stars,http://www.theatermania.com/new-hampshire/shows/intimately-yours-juan-de-marcos-and-the-afrocuban-all-stars_169321/,The Music Hall,,$28.00 - $39.00
603-837-9322,"Get out your go-go boots for the 10th Weathervane Alumni Show, It's a Mod, Mod World, with swinging pop music from the decade that gave birth to the Weathervane - the music of Bacharach, Mancini, Tom Jones, Petula Clark, the Tijuana Brass. &quot;I Saw a Little Prayer&quot;, &quot;It's Not Unusual&quot;. &quot;Up, Up and Away&quot;. &quot;Close to You&quot; and more.",,http://weathervanetheatre.org/wordpress/?page_id=27,"Route 3, Whitfield, New Hampshire 03598","It's a Mod, Mod World",http://www.theatermania.com/new-hampshire/shows/its-a-mod-mod-world_169729/,Weathervane Theatre,,$25.00 - $30.00
603-437-5100,"Formed in 2003, Ivan Neville's Dumpstaphunk was initially put together by keyboardist Ivan Neville on a whim in order to perform a solo gig at the New Orleans Jazz and Heritage Festival. Ivan called in cousin Ian Neville (guitar), the double-bass bottom of both Nick Daniels and Tony Hall, and drummer Raymond Webber to round out the show. Named after a song Ivan had recently written, Dumpstaphunk's informal performance became that of immediate legend. The project has since grown from chance side-project into what is now widely considered to be New Orleans' most popular musical export. The band was recently voted 2007's &quot;New Orleans Best Funk Band&quot; by both Offbeat Magazine and Gambit Weekly, and performs at some of the nation's largest music festivals such as Bonnaroo, Voodoo Fest, 10,000 Lakes, and High Sierra.",,http://tickets.tupelohall.com/,"2 Young Road, Londonderry, NH 03053",Ivan Neville's Dumpstaphunk,http://www.theatermania.com/new-hampshire/shows/ivan-nevilles-dumpstaphunk_170089/,Tupelo Music Hall,,$27.00
,"With a background in dance and mime, Jackson Gillman: A Family Cabaret is a compelling physical storyteller with a heart of gold! Good for all ages, this show takes a fun look at daily rituals, from wake-up to bedtime, from all perspectives.",,http://themiddlenh.org/Upcoming Events.html,"316 Central Street, Franklin, NH 03235",Jackson Gillman: A Family Cabaret,http://www.theatermania.com/new-hampshire/shows/jackson-gillman-a-family-cabaret_169276/,Middle New Hampshire Arts & Entertainment Center,,$8.00 - $10.00
207-799-7337,"Conjoined twins Daisy and Violet Hilton started off as a circus act, then became famous stage performers in the 1930s.  This moving musical, based on a true story, is complemented by a wonderful, rich score.","May 29, 2011",http://www.portlandplayers.org,"420 Cottage Road, South Portland, ME 04106",Side Show,http://www.theatermania.com/maine/shows/side-show_169749/,Portland Players,"May 13, 2011",Adults: $20.00;&nbsp;Seniors: $18.00;&nbsp;Students (w/ID): $15.00
603-225-1111,"Join nine-time Grammy Award winner Wynton Marsalis and the famed Jazz at Lincoln Center Orchestra (JLCO) for a very special night in celebration of the Capitol Center's 15th Anniversary. Marsalis, a living legend, is a passionate advocate for the arts, human rights and democracy. In concert, he and the 15-piece JLCO offer a window on some of history's most influential jazz artists as well as the finest musicians playing today. Program to be announced from the stage.    Schedule of events is as follows:    5 p.m. - Cocktails, Festive Strolling Dinner. The Capitol Center's premier caterers pull out all the stops for a movable feast with dinner stations located throughout the Capitol Center complex.  7:10 p.m. - Recognition Ceremony in The Chubb Theatre.  8 p.m. - Performance by JLCO with Wynton Marsalis  10 p.m. (approx.) - Dessert Reception with live local music in The Governor's Hall.    Tickets to the Dinner and Dessert Reception are sold separately. The Dinner and Dessert Reception is $90 and a ticket for the Dessert Reception only is $20.",,http://ccanh.com/ShowDetails/61/540,"44 South Main St., Concord, NH 03301",Jazz at Lincoln Center Orchestra with Wynton Marsalis,http://www.theatermania.com/new-hampshire/shows/jazz-at-lincoln-center-orchestra-with-wynton-marsalis_169218/,Capitol Center for the Arts,,$25.00 - $110.00
603-225-1111,"From the creators of The Peking Acrobats comes Jigu Thunder Drums of China, a colossal entertainment experience featuring world-renown drummers, percussionists and musicians. The exhilarating artistry of Jigu is deeply rooted in the folk origins of the Shanxi Province, and is masterfully blended with many modern musical elements and a special-effects light show that will dazzle your senses",,http://ccanh.com/ShowDetails/61/542,"44 South Main St., Concord, NH 03301",Jigu Thunder Drums of China,http://www.theatermania.com/new-hampshire/shows/jigu-thunder-drums-of-china_169220/,Capitol Center for the Arts,,$20.00 - $34.50
,"From his regular Red Sox pre-game appearances to hosting NESN's Fan Attic, Jimmy Dunn is a stand-up kind of guy with the Sox appeal you've been searching for. Whether sharing a jail cell with Matt Damon in ""Stuck on You"" or appearing on Comedy Central and Jimmy Kimmel Live, his high-profile humor is sure to hit one out of the park!",,http://themiddlenh.org/Upcoming Events.html,"316 Central Street, Franklin, NH 03235",Jimmy Dunn,http://www.theatermania.com/new-hampshire/shows/jimmy-dunn_169319/,Middle New Hampshire Arts & Entertainment Center,,$19.80 - $22.00
603-869-3422,"With a career that spans over three decades, John Hammond is one of handful of white blues musicians who was on the scene at the beginning of the first blues renaissance of the mid-'60s. That revival, brought on by renewed interest in folk music around the U.S., brought about career boosts for many of the great classic blues players, including Mississippi John Hurt, Rev. Gary Davis, and Skip James. Some critics have described Hammond as a white Robert Johnson, and Hammond does justice to classic blues by combining powerful guitar and harmonica playing with expressive vocals and a dignified stage presence. Within the first decade of his career as a performer, Hammond began crafting a niche for himself that is completely his own: the solo guitar man, harmonica slung in a rack around his neck, reinterpreting classic blues songs from the 1930s, '40s, and '50s. He remains one of the world's premier acoustic blues artists. A tireless performer, he continues to tour world-wide on an annual basis.",,http://www.bethlehemcolonial.org/live_detail.php?live=j_hammond,"2050 Main St, Bethlehem, New Hampshire 03574",John Hammond,http://www.theatermania.com/new-hampshire/shows/john-hammond_169846/,The Colonial Theatre (Bethlehem),,$20.00 - $35.00
603-437-5100,"For Johnny A., the guitar has held a lifelong fascination, her six strings exerting a powerful influence and addictive beauty since the first time he held them. He is widely regarded as one of America's finest contemporary guitarists. Gibson thinks so - their Custom Shop designed a Signature Edition guitar per his specific requests which, when it was marketed in 2003, placed him in an exclusive club that included legends like BB King, Wes Montgomery, Chet Atkins, Joe Perry, Pat Martino and Les Paul himself.",,http://tickets.tupelohall.com/,"2 Young Road, Londonderry, NH 03053",Johnny A.,http://www.theatermania.com/new-hampshire/shows/johnny-a_170094/,Tupelo Music Hall,,$28.00
207-774-0465,"A deeply evocative story about the abiding love between two families - one black, one white - that spans four generations of South Africans. This ""tour de force"" for one actress brings twenty four very different characters to vibrant life on stage, revealing not just the complexities of the world they share - their dreams, struggles, laughter, and losses - but their shared humanity.","May 22, 2011",http://www.portlandstage.org,"25 Forest Avenue, Portland, ME 04101",The Syringa Tree,http://www.theatermania.com/maine/shows/the-syringa-tree_169731/,Portland Stage Company,"May 3, 2011",$13.00 - $36.00
603-869-3422,"Jonatha Brooke's musical career began in the late 80's with fellow songwriter Jennifer Kimball while at college. The pair later formed the band ""The Story"", and after writing their debut album ""Grace in Gravity"" the pair became signed to the label Elektra Records in the early 90's. The music at this point was predominantly Folk fused with Pop, but when Jonatha and Jennifer went their separate ways in 1994, Brooke started writing more commercially styled songs. She released a steady stream of albums throughout the 90's (Plumb, 10 Cent Wings, Steady Pull). Jonatha has also become well known in the music she contributed to, and played in the Disney film ""Return to Never Land"". In the film she covered the song ""Second star to the right"" and contributed to the song ""Ill Try"".",,http://www.bethlehemcolonial.org/live_detail.php?live=j_brooke,"2050 Main St, Bethlehem, New Hampshire 03574",Jonatha Brooke,http://www.theatermania.com/new-hampshire/shows/jonatha-brooke_169854/,The Colonial Theatre (Bethlehem),,$20.00 - $35.00
207-933-9999,"Scout, Boo Radley and Atticus Finch are just some of the characters who inhabit one of the most beloved and influential stories of all time. To celebrate the 50th anniversary of the Pulitzer-prize winning novel, Penobscot Theatre is thrilled to continue our exploration of American Masterpieces with this stirring theatrical adaptation. A tender portrait of small town life in the South of the 1930's brimming with powerful lessons of tolerance, justice and quiet heroism.","April 17, 2011",http://www.penobscottheatre.org,"131 Main Street, Bangor, ME 04401",To Kill a Mockingbird,http://www.theatermania.com/maine/shows/to-kill-a-mockingbird_169789/,Penobscot Theatre Company,"March 30, 2011",$15.00 - $30.00
603-448-0400,"First grade is a whole new world for Junie B. Jones, with a new teacher, a new classroom, and lots of new problems! Although she has changed - she now sports sneakers instead of mary janes, wears purple glasses and will soon question the whole tooth fairy business - Junie B. is just as hilarious as she was in kindergarten! Based on Barbara Park's best selling books Junie B., First Grader (at Last!); Junie B., Boss of Lunch; and Junie B., One-Man Band, this Theatreworks USA's musical is filled with antics from everyone's favorite irrepressible 6-year-old with the rather unusual speaking style.",,http://www.lebanonoperahouse.org/event.php?id=775,"51 North Park Street, Lebanon, New Hampshire 03766",Junie B. Jones,http://www.theatermania.com/new-hampshire/shows/junie-b-jones_169257/,Lebanon Opera House,,$10.00 Adults;&nbsp;$5.00 Children and School Groups
,"Native New Hampshire blue-collar comedian Juston McKinney has performed on Comedy Central and the Tonight Show and appeared regularly at NYC's Comic Strip and The Improv in L.A. Catch him at The Middle before his TV special ""A Middle-Class Hole"" runs on Comedy Central this summer.",,http://themiddlenh.org/Upcoming Events.html,"316 Central Street, Franklin, NH 03235",Juston McKinney,http://www.theatermania.com/new-hampshire/shows/juston-mckinney_169272/,Middle New Hampshire Arts & Entertainment Center,,$19.80 - $22.00
603 668-5588,"Juston McKinney has appeared numerous times on &quot;The Tonight Show w/ Jay Leno&quot; and on Comedy Central including his own half-hour &quot;Presents&quot; special. In January 2010 he will be making his first appearance on the new &quot;Tonight Show with Conan O'Brien&quot;. His one-hour Comedy Central special &quot;Middle-Class hole&quot;, was released this past year.",,http://www.palacetheatre.org/event-calendar.aspx?event=343&dt=10/23/2010&category=ALL,"80 Hanover St., Manchester, NH 03101",Juston Mckinney,http://www.theatermania.com/new-hampshire/shows/juston-mckinney_169469/,Palace Theatre,,$24.50
603-437-5100,"In 2006, after several years of fronting the critically acclaimed Colorado-based band, Newcomers Home, Katie Herzig moved to Nashville to strike it solo. Before leaving Colorado, she single-handedly recorded and produced Weightless, a tour-de-force of innovative sonics and songwriting. Since then, Katie's song &quot;Heaven's My Home&quot; received a 2007 Grammy nomination and she has steadily become a fixture in Nashville's up-and-coming indie music scene. Her songs have been featured on NPR, KCRW's Morning Becomes Eclectic, Frito Lay and Honda commercials and many television shows including several episodes of television's highest rated drama, Grey's Anatomy. Katie has toured with the Ten Out Of Tenn tour, Hotel Caf&eacute; Tour, PASTE Magazine songwriter tour and has supported national acts such as The Fray, Brandi Carlile, Shawn Colvin, Aqualung and others. In 2008, Katie was featured in Billboard Magazine's &quot;Now Hear This&quot; as well as one of PASTE Magazine's 25 &quot;Best of What's Next&quot; artists. She continues to out-do herself with each new musical endeavor.    Larkin Poe opens.",,http://tickets.tupelohall.com/,"2 Young Road, Londonderry, NH 03053",Katie Herzig,http://www.theatermania.com/new-hampshire/shows/katie-herzig_170265/,Tupelo Music Hall,,$20.00
603-448-0400,"It sounds so simple, just a quick trip to the Laundromat with Daddy, Trixie, and her beloved Knuffle Bunny. But, before you know it things go horribly, hilariously wrong. Chock full of adventure, song and gigantic dancing laundry, Knuffle Bunny: A Cautionary Musical tells a tale of firsts: a stuffed animal's first trip in the laundry, a little girl's first words, and a Daddy's first time dealing with his child going ""boneless.""    Based on his beloved Caldecott Honor-winning picture book, six-time Emmy Award winner Mo Willems lovingly celebrates the heart and heartache that can only come from a family visit to the local Laundromat.",,http://www.lebanonoperahouse.org/event.php?id=773,"51 North Park Street, Lebanon, New Hampshire 03766",Knuffle Bunny: A Cautionary Musical,http://www.theatermania.com/new-hampshire/shows/knuffle-bunny-a-cautionary-musical_169255/,Lebanon Opera House,,$10.00 Adults;&nbsp;$5.00 Children and School Groups
603 668-5588,"Boston comedy legend Lenny Clarke is currently featured in the Dennis Leary FX show ""Rescue Me"" and will be in the new ABC comedy ""Life on Mars"" deputing this fall. Don't miss this rare New Hampshire performance by one of the original comics from Boston!    With special guest.",,http://www.palacetheatre.org/event-calendar.aspx?event=245&dt=9/18/2010&category=ALL,"80 Hanover St., Manchester, NH 03101",Lenny Clarke,http://www.theatermania.com/new-hampshire/shows/lenny-clarke_169467/,Palace Theatre,,$29.50
603-526-6710,"The New London Barn Playhouse presents Let Down Your Hair, Rapunzel, bringing the classic fairy tale to life.",,http://www.nlbarn.org/childrenstheatre.html,"84 Main Street, New London, NH 03257","Let Down Your Hair, Rapunzel",http://www.theatermania.com/new-hampshire/shows/let-down-your-hair-rapunzel_169373/,The New London Barn Playhouse,,$10.00;&nbsp;Children's price varies based on number of children attending
603-225-1111,A little girl in a red cape strays from the path on the way to bring goodies to her grandmother when she encounters a big bad wolf and other creatures of the forest in this classic fairy tale.    Please note this performance has floor seating with some chairs for adults.,,http://ccanh.com/ShowDetails/31/570,"44 South Main St., Concord, New Hampshire 03301",Little Red Riding Hood,http://www.theatermania.com/new-hampshire/shows/little-red-riding-hood_169004/,Governors Hall,,$6.00
812-323-3020,"Our mission is to present to audiences of the City of Bloomington and surrounding areas excellent quality orchestral, solo, and/or ensemble vocal and instrumental performances in various styles of light classical and popular music that will entertain, educate, and enrich the lives of the listeners.",,http://www.buskirkchumley.org/index.php?view=details&id=167%3Abloomington-pops-christmas-show&option=com_eventlist&Itemid=4,"114 East Kirkwood Ave, Bloomington, Indiana 47408",Bloomington POPS Christmas Show,http://www.theatermania.com/indiana/shows/bloomington-pops-christmas-show_170071/,Buskirk-Chumley Theater,,
603-526-6710,The New London Barn Playhouse presents Little Red Riding Hood.,,http://www.nlbarn.org/childrenstheatre.html,"84 Main Street, New London, NH 03257",Little Red Riding Hood,http://www.theatermania.com/new-hampshire/shows/little-red-riding-hood_169374/,The New London Barn Playhouse,,$10.00;&nbsp;Children's price varies based on number of children attending
603-225-1111,A little girl in a red cape strays from the path on the way to bring goodies to her grandmother when she encounters a big bad wolf and other creatures of the forest in this classic fairy tale.    Please note this performance has floor seating with some chairs for adults.,,http://ccanh.com/ShowDetails/31/570,"44 South Main St., Concord, New Hampshire 03301",Little Red Riding Hood,http://www.theatermania.com/new-hampshire/shows/little-red-riding-hood_169004/,Governors Hall,,$6.00
603-437-5100,"Living Colour is an American funk metal band from New York City, formed in 1983. Stylistically, the band's music is a creative fusion influenced by free jazz, and hip hop. Their lyrics range from the personal to the political, in some of the latter cases attacking Eurocentrism and racism in America. The band were prominent members of the Black Rock Coalition during the late 1980s and early 1990s (a movement which also featured Fishbone, and 24-7 Spyz).",,http://tickets.tupelohall.com/,"2 Young Road, Londonderry, NH 03053",Living Color,http://www.theatermania.com/new-hampshire/shows/living-color_170268/,Tupelo Music Hall,,$45.00 - $50.00
603-436-2400,"After smashing 2008/09 box office records across the country Mama's Night Out is back with an electric night of stand up comedy and audience participation! Featuring a Southern Belle, Sassy Brit and Brassy New Yorker, each a Star from Nick at Nite's Search for the Funniest Mom in America, this trio - Karen Morgan, Nancy Witter & Sherry Davey - deliver rollicking sketches &quot;by mothers for everyone.&quot; Each Mama takes the stage to perform her own family oriented, clean, stand-up routine. For the grand finale the three comediennes come together for an old-fashioned joke-off complete with snare drum and rim shots that will have you convinced that Mamas know best!",,http://www.themusichall.org/calendar/event_detail.asp?eventID=973,"28 Chestnut Street, Portsmouth, NH 03801",Mama's Night Out,http://www.theatermania.com/new-hampshire/shows/mamas-night-out_169356/,The Music Hall,,$20.00 - $29.00
812-323-3020,"Greg Nettleton Fiddles presents an evening of music with Pinecastle recording artists The Dixie Bee-Liners, and Indiana's own the Not too Bad Bluegrass Band. Roots music lovers will not want to miss this show! The Bluegrass chart topping Dixie Bee-Liners Brandi Hart, Buddy Woodward, Rachel Renee Johnson, Casey Henry, and Sav Sankaren are all accomplished musicians who have performed and taught at venues around the world. Their dynamic improvisational styles add jaw dropping grit, humor, and emotion to their live performances. Also, sharing the stage on what promises to be a special night, the Not Too Bad Bluegrass Band. Many of their members have performed with superstars such as Alison Krauss and Vince Gill, and have put their stamp on stages across the area.",,http://www.buskirkchumley.org/index.php?view=details&id=192%3Adixie-beeliners&option=com_eventlist&Itemid=4,"114 East Kirkwood Ave, Bloomington, Indiana 47408",Dixie Bee Liners w/ the Not Too Bad Bluegrass Band,http://www.theatermania.com/indiana/shows/dixie-bee-liners-w-the-not-too-bad-bluegrass-band_170048/,Buskirk-Chumley Theater,,
603-433-4472,"This timeless and beloved classic is based on Cervantes' ""Don Quixote."" It tells the poignant story of a dying old man, whose impossible dream takes over his mind. It's songs, ""All the Same,"" ""Dulcinea,"""" I'm Only Thinking of Him,"" and, of course, ""The Impossible Dream,"" will linger in your thoughts and in your soul long after you've seen the show. His dream is the dream of Everyman and, whether you are seeing this classic of modern American musical theater again, or for the very first time, you will discover anew why Man of La Mancha, as re-imagined for the Rep's uniquely intimate space, speaks for everyone in every time and place.","May 15, 2011",http://www.seacoastrep.org/stage/09_season.php,"125 Bow Street, Portsmouth, NH 03801",Man of La Mancha,http://www.theatermania.com/new-hampshire/shows/man-of-la-mancha_169627/,Seacoast Repertory Theatre,"April 22, 2011",$15.00 - $42.00
812-323-3020,"Fresh celebrates the farmers, thinkers and business people across America who are re-inventing our food system. Each has witnessed the rapid transformation of our agriculture into an industrial model, and confronted the consequences: food contamination, environmental pollution, depletion of natural resources, and morbid obesity. Forging healthier, sustainable alternatives, they offer a practical vision for a future of our food and our planet.",,http://www.buskirkchumley.org/index.php?option=com_eventlist&view=details&id=190:fresh-the-movie&Itemid=4,"114 East Kirkwood Ave, Bloomington, Indiana 47408","Fresh, the Movie",http://www.theatermania.com/indiana/shows/fresh-the-movie_169809/,Buskirk-Chumley Theater,,$5.00 General Public;&nbsp;$3.00 Bloomingfoods Members
603-448-0400,"""Let's go see a poetry show."" is a sentence rarely proclaimed and usually responded to with cringes and excuses. The Mayhem Poets are on a mission to change that. Having been dubbed ""an amazing ride"" by the New York Times, this mind boggling performance has been described as ""The Simpsons meets Malcolm X at a Notorious B.I.G. concert"". These theater-trained, comedically-gifted, lyrical virtuosos seamlessly blend raw elements of hip hop, theatre, improv and standup comedy to tell gut wrenching truths that leave students forever changed.",,http://www.lebanonoperahouse.org/event.php?id=770,"51 North Park Street, Lebanon, New Hampshire 03766",Mayhem Poets,http://www.theatermania.com/new-hampshire/shows/mayhem-poets_169251/,Lebanon Opera House,,$10.00 Adults;&nbsp;$5.00 Children and School Groups
603-436-2400,"Long suffering comic Juston McKinney is back in New England and does he have the holiday show for you! Featuring top young comics from both coasts and the effervescent Gaudy Baubles, (a band on the lam from Las Vegas), the hilarious holiday extravaganza A Merry Funny New England Christmas is sure to bring some funky fun to the season of joy, with a down-home Yankee sensibility colliding head on with a glittery showbiz Xmas! What would St. Nick do but saddle up the reindeer and head to The Music Hall.    Recommended for ages 14+",,http://www.themusichall.org/calendar/event_detail.asp?eventID=983,"28 Chestnut Street, Portsmouth, NH 03801",A Merry Funny New England Christmas,http://www.theatermania.com/new-hampshire/shows/a-merry-funny-new-england-christmas_169370/,The Music Hall,,$28.00 - $40.00
812-323-3020,Ingredients is a journey that reveals the people behind the movement to bring good food back to the table and health back to our communities.,,http://www.buskirkchumley.org/index.php?option=com_eventlist&view=details&id=188:ingredients&Itemid=4,"114 East Kirkwood Ave, Bloomington, Indiana 47408",Ingredients,http://www.theatermania.com/indiana/shows/ingredients_169811/,Buskirk-Chumley Theater,,$5.00 General Public;&nbsp;$3.00 Bloomingfoods Members
603-436-2400,"Bring your own score and ring in the holidays with friends and family at the Seacoast's largest Messiah Sing!, pulling together best-loved area choruses and conductors. Guest soloist and string accompaniment further enhance this Music Hall tradition! A beloved part of the holiday musical scene.",,http://www.themusichall.org/calendar/event_detail.asp?eventID=984,"28 Chestnut Street, Portsmouth, NH 03801",Messiah Sing!,http://www.theatermania.com/new-hampshire/shows/messiah-sing_169371/,The Music Hall,,$14.00
603-366-7377,"Winnipesaukee Playhouse presents More Today Than Yesterday, an evening of cabaret remembering the 70's music that took into the pop and soul era. With Lynda D'Amour.",,http://www.winniplayhouse.com/Performances_Now_Playing.html,"Endicott St E & Lucerne Ave, Laconia, NH 03246",More Today Than Yesterday,http://www.theatermania.com/new-hampshire/shows/more-today-than-yesterday_169825/,Winnipesaukee Playhouse,,$18.00 Adults;&nbsp;$16.00 Seniors/Students
603-448-0400,"Theatreworks' exciting musical, The Mystery of King Tut, tells two exciting stories: that of Tutankhamen, the &quot;boy king&quot; who ruled Eqypt in the 14th century B.C., and Howard Carter, the archeologist who discovered Tut's tomb in 1922. After ten years of searching, Carter finally succeeds in making one of the greatest finds in archeological history. As he attempts to unravel the mysteries of the tomb's hieroglyphs and artifacts, the suspenseful tale of Tut's own struggles against politics and betrayal emerges. Although Carter's success is bittersweet, as he struggles against rumors of &quot;King Tut's curse&quot; and governmental opposition, he perseveres to keep his dream, and the legacy of King Tut, alive.",,http://www.lebanonoperahouse.org/event.php?id=772,"51 North Park Street, Lebanon, New Hampshire 03766",The Mystery of King Tut,http://www.theatermania.com/new-hampshire/shows/the-mystery-of-king-tut_169254/,Lebanon Opera House,,$10.00 Adults;&nbsp;$5.00 Children and School Groups
603-668-5588,"Hailed by the Los Angeles Times as &quot;a ball of fire, performing jigs and reels with unstoppable, foot-tapping energy and ballads with irresistible, keening passion,&quot; Natalie MacMaster comes to the Palace Theatre! Renowned for her energetic and rhythmically intense performances, Cape Breton fiddler Natalie MacMaster is one of the most versatile and exciting young musicians on both the Folk and Celtic music scenes today. It's a signature sound that has resonated with world audiences through 10 albums, multiple gold sales figures and 27 years; numerous Juno and East Coast Music Awards; two honorary degrees (from Niagara University, NY, and Trent University) and an honorary doctorate (St. Thomas University); the Order Of Canada - and a reputation as one of Canada's most captivating performers.    Please note: $49.50 seats include a meet and greet after the show and the best seats.",,http://www.palacetheatre.org/event-calendar.aspx?event=352&dt=12/9/2010&category=ALL,"80 Hanover St., Manchester, NH 03101",Natalie McMaster,http://www.theatermania.com/new-hampshire/shows/natalie-mcmaster_169477/,Palace Theatre,,$29.50 - $49.50
812-323-3020,"The Indiana University African American Arts Institute is an exciting and unique performing arts program that focuses on the rich and varied traditions of African American heritage. Our mission is to promote and preserve African American culture through performance, education, creative activity, research, and outreach. We serve our mission through the activities of three ensembles that are also academic courses - African American Choral Ensemble, African American Dance Company, and IU Soul Revue.",,http://www.buskirkchumley.org/index.php?view=details&id=178%3Apotpourri-of-the-arts&option=com_eventlist&Itemid=4,"114 East Kirkwood Ave, Bloomington, Indiana 47408",Potpourri of the Arts,http://www.theatermania.com/indiana/shows/potpourri-of-the-arts_170060/,Buskirk-Chumley Theater,,
603-433-4472,"Orphans follows the plight of two orphaned brothers living hand to mouth in Philadelphia. One supports them both by thieving on a daily basis. This tentative existence is interrupted by Harold, a middle-aged man whose sudden appearance propels the three men into a journey of self-discovery that irrevocably changes the status quo.","February 27, 2011",http://www.seacoastrep.org/stage/09_season.php,"125 Bow Street, Portsmouth, NH 03801",Orphans,http://www.theatermania.com/new-hampshire/shows/orphans_169625/,Seacoast Repertory Theatre,"February 4, 2011",$15.00 - $42.00
603 352-2033,"Phil Vassar's unbounded energy and limitless talent have proven him, again and again, as one of Nashville's most prolific and versatile stars. His resume boasts six #1 hits for country artists including Alan Jackson, Tim McGraw, Jo Dee Messina, and Collin Raye, and three more as an artist in his own right. He's been named the ASCAP Songwriter of the Year twice and has taken top honors from the Academy of Country Music, Billboard and MusicRow. Now releasing his sixth album, Traveling Circus, Vassar approaches his uniquely piano-based, rhythm and blues-infused, infectiously buoyant brand of country music from the back-to-basics school of thought.",,http://www.thecolonial.org/CalendarOfEvents.htm,"95 Main Street, Keene, NH 03431",Phil Vassar,http://www.theatermania.com/new-hampshire/shows/phil-vassar_169241/,The Colonial Theatre (Keene),,$34.75 - $46.75
812-323-3020,A screening of the popular cult-classic film. A newly engaged couple (Susan Sarandon and Barry Bostwick) have a breakdown in an isolated area and must pay a call to the bizarre residence of Dr. Frank-N-Furter (Tim Curry).,,http://www.buskirkchumley.org/index.php?view=details&id=176%3Arocky-horror-picture-show-film-screening&option=com_eventlist&Itemid=4,"114 East Kirkwood Ave, Bloomington, Indiana 47408",Rocky Horror Picture Show- Film Screening,http://www.theatermania.com/indiana/shows/rocky-horror-picture-show-film-screening_169834/,Buskirk-Chumley Theater,,
