fullAddress,venue,description,email,image,ticketPhone,title,website,dates,moreInfoLink
"4711 California Ave SW, Seattle, WA, 98116",ArtsWest Playhouse,"In Shipwrecked! An Entertainment, three performers enact a dazzling adventure tale using the simple magic of the theater. In tones somewhere between storybook narrator and sideshow barker, a middle-aged charmer named Louis de Rougemont unfolds a tale of sailing to a South Seas paradise to dive for pearls, evade monsters of the deep, and survive for decades among the natives. Two other actors not only play all the remaining roles, from a crusty sea captain to a trusty dog, they also create a world of live sound effects that bring the globe-spanning story to life. Written by the Pulitzer Prize winning author of Collected Stories and Dinner with Friends, this raucous fantasy challenges audiences to think about the delicate dance between truth and fiction - are the lives we lead enough to make a mark on the world, and in the grand scheme of things, does that matter? Recommended for ages 9 and older. <br>""Shipwrecked! is a literate romp!"" ""“ Los Angeles Times <br>			</p>    			<br><br>",boxoffice@artswest.org,,206-938-0339,Shipwrecked! An Entertainment,https://www.choicesecure01.net/mainapp/eventschedule.aspx?clientID=artswest,04/27/2011-05/21/2011,http://www.seattleperforms.com/event/detail/5517/Shipwrecked_An_Entertainment
"419 Washington Street, Port Townsend, WA, 98368",Key City Playhouse,"Friday Feb 11 &ndash; Sunday Feb 27<br> <br> The 15th Annual Playwrights&rsquo; Festival &mdash; Weeklong events featuring workshop productions and readings of new works by local and regional playwrights with special guest playwright Lee Blessing. <br> <br> <br> <br> More info at keycitypublictheatre.org.<br> <br> <br> <br> Specific Festival Events:<br> <br> <br> <br> Friday and Saturday evenings; Sunday matinees:  Productions of award-winning one-act plays &ldquo;The Glass Kingdom&rdquo; by Judith Glass Collins, &ldquo;Ransom&rdquo; by Richard Weston, and &ldquo;How My Big 5-0 Turned Toxic&rdquo; by Deborah Daline.<br> <br> <br> <br> Playwriting workshops with Lee Blessing -- Saturday, Feb 12 -- 10:00 a.m. to 1:00 p.m. Pope Marine Building, Water and Madison Streets, Port Townsend. More info and registration at keycitypublictheatre.org, or call 360.379.0195.<br> <br> <br> <br> Advanced intensive playwriting workshop with playwright Lee Blessing. 2:00 p.m. to 5:00 p.m.  Fee changed.  Advanced registration required by calling 360.379.0195. <br> <br> <br> <br> Week of Feb 13 &ndash; 19 only:  Workshop production of &ldquo;Antarktikos&rdquo; by Andrea Stolowitz. Three performances: Sun Feb 13 at 7:00 p.m.; Wed Feb 16 at 7:00 p.m.; and Sat Feb 19 at 2:30 p.m. <br> <br> <br> <br> Tuesday evenings:  Staged readings of the award-winning one-act plays &ldquo;Stalling Tactics&rdquo; by Jerry Chawes, &ldquo;Quiet&rdquo; by David H Schroeder, and &ldquo;Dreamtime&rdquo; by Art Reitsch.<br> <br> <br> <br> Thursday evenings:  Workshop production of the musical &ldquo;The Future of LOVE&rdquo; by Linda Dowdell and Sara Wordsworth. Two performances: Thursdays Feb 17 &amp; 24 at 7:00 p.m. <br> <br> <br> <br> Week of Feb 20 &ndash; 26 only:  Workshop production of &ldquo;The Martyrdom of Washington Booth&rdquo; by Jeni Mahoney. Three performances: Sun Feb 20 at 7:00 p.m.; Wed Feb 23 at 7:00 p.m.; and Sat Feb 26 at 2:30 p.m.</p>			</p>    			<br><br>",,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/441088867/festival_title_--_color_medium.jpg,360-379-0195,The 15th Annual Playwrights’ Festival,http://www.keycitypublictheatre.org,02/11/2011-02/27/2011,http://www.seattleperforms.com/event/detail/441088867/The_15th_Annual_Playwrights_Festival
,,"&quot;Sneak Peak&quot; tour of the Oregon Shakespeare Festival in Ashland, OR, May 31-June 2, 2011.  Includes round trip air fare from Seattle, WA, transport to hotel with two nights accommodations at the Plaza Inn and Suites at Ashland Springs, tickets to 3 shows, a backstage tour, play prologue, and discussion with cast member.  Also includes two lunches and two dinners.  Reasonably priced at $865 per person.  Discounted rates available for students and seniors.<br> <br> Please contact David Bestock for more details or to register.<br> (206) 273-7548<br> david@earsinc.com</p>			</p>    			<br><br>",david@earsinc.com,http://www.seattleperforms.com/sites/seattleperforms.com/images/org/220154225/logo-high-res_medium.jpg,(206) 273-7548,Ashland Oregon Shakespeare Festival Tour!,,05/31/2011-06/02/2011,http://www.seattleperforms.com/event/detail/441091413/Ashland_Oregon_Shakespeare_Festival_Tour
,,"Mel Edison is a well paid executive of a high-end Manhattan firm which has suddenly hit the skids and he gets the ax. Compounded by the air-pollution and with the walls of the apartment paper-thin, allowing him a constant earfull of his neighbors private lives things can't seem to get any worse...Mel does the only thing left for him to do: he has a nervous breakdown and it's the best thing that ever happened to him...</p>			</p>    			<br><br>",,,206-203-4168,The Prisoner of Second Avenue by Neil Simon,http://www.woodinvillerep.org/,02/11/2011-02/26/2011,http://www.seattleperforms.com/event/detail/441091099/The_Prisoner_of_Second_Avenue_by_Neil_Simon
"419 Washington Street, Port Townsend, WA, 98368",Key City Playhouse,"Fri April 22 &ndash; Sun May 15<br> (Preview Thu April 21 @ 7:00 p.m.)<br> <br> Key City Public Theatre presents &ldquo;The Soup is Served&rdquo; (&ldquo;La Zuffa &egrave; Servita&rdquo;) by Germano Rubbi based on the &ldquo;Commedia dell'arte&rdquo; classic by Carlo Goldoni. <br> <br> Count Anselmo is none too bright, so his obsession with valuable antiquities makes him easy pickings for enterprising con artists.  Is everybody but the Count in on the scam?  In the slapstick world of Commedia dell&rsquo;Arte  -- of course they are!  <br> <br> Based on Carlo Goldoni&rsquo;s eighteenth century masterpiece &ldquo;The Antique Dealer's Family,&rdquo; this comic tour de force was developed for the stage by Italian director &amp; actor Germano Rubbi.<br> <br> Performances April 22 - May 15 at Key City Playhouse, 419 Washington St., Port Townsend. <br> <br> For more info, call 360-385-7396 or visit www.keycitypublictheatre.org.</p>			</p>    			<br><br>",,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/441088979/soup_served_title_--_color_medium.jpg,360-379-0195,“The Soup is Served” (“La Zuffa è Servita”) by Germano Rubbi based on Carlo Goldoni,http://www.keycitypublictheatre.org.,04/21/2011-05/15/2011,http://www.seattleperforms.com/event/detail/441088979/The_Soup_is_Served_La_Zuffa_Servita_by_Germano_Rubbi_based_on_Carlo_Goldoni
"NE 45th St. and 17th Ave. NE, Seattle, WA, 98105",Penthouse Theatre,"By Steve Martin<br>Directed by Andrew McGinn<br><br>Einstein, Picasso... Steve Martin? Great minds think alike, or do they? Twenty-somethings Albert Einstein and Pablo Picasso meet at a bar in Paris, 1904. Playwright Steve Martin, draws on his famous sense of funny for comic revelations high and low. Picasso and Einstein along with a colorful bunch of Parisians struggle to define sex, art, and human perception in anticipation of the breakthrough that marks the beginning of a new era. Conversation flows with hilarious results until an unlikely latecomer (with killer hip action) appears with a message from the future...<br><br>No late seating for School of Drama events.			</p>    			<br><br>",ticket@u.washington.edu,http://www.seattleperforms.com/sites/seattleperforms.com/images/org/182/universityofwashington_medium.jpg,206-543-4880,Picasso at the Lapin Agile,http://www.meany.org/tickets/default.aspx?prod=4294,05/15/2011-05/29/2011,http://www.seattleperforms.com/event/detail/440916719/Picasso_at_the_Lapin_Agile
"4248 S. 288th St., Auburn, WA, 98001",Thomas Jefferson High School's Little Theatre,"High stakes gamblers roll into town, and they&rsquo;re all depending on Nathan Detroit to snag a secret spot for their floating crap game. Trouble is, he ain't got the dough. Add in a sassy Salvation Army missionary, a handsome High Roller, the quirky Miss Adelaide, who&rsquo;s desperate to marry Nathan, the nosy Police Chief, and the lively lyrics and music of Frank Loesser, and you've got a sure thing that will entertain and delight!</p>			</p>    			<br><br>",,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/441091405/guysanddollsicon21_medium.jpg,,Guys and Dolls,http://www.rosebudctc.org,08/05/2011-08/14/2011,http://www.seattleperforms.com/event/detail/441091405/Guys_and_Dolls
"1932 Second Avenue, Seattle, WA, 98101",Moore Theater,"&ldquo;The Devil has rarely been given his due more perceptively and eruditely!&rdquo;<br> -THE NEW YORK TIMES<br> <br> &ldquo;Wickedly Witty&hellip;One Hell of a Good Show!&rdquo;<br> -THE WALL STREET JOURNAL<br> <br> Chicago, IL - THE SCREWTAPE LETTERS, the provocative and wickedly witty theatrical adaptation of the C.S. Lewis novel about spiritual warfare from a demon&rsquo;s point of view, will be presented at the Moore Theatre, 1932 Second Avenue, Seattle, Washington, in a limited engagement on Saturday, February 26 at 4 p.m. and 8 p.m.  <br> <br> This engagement at the Moore Theatre follows its hit nine month run at the Westside Theatre in New York where THE SCREWTAPE LETTERS played over 300 performances!  Prior to that, THE SCREWTAPE LETTERS was a sold out hit in Chicago and Washington D. C.<br> <br> Associated Press calls the production &ldquo;Devilishly funny!&rdquo; The Chicago Sun-Times hails THE SCREWTAPE LETTERS as &ldquo;Smart, sizzling entertainment!&rdquo; and National Review describes it is &ldquo;Pure genius&hellip;an outstanding piece of work!&rdquo; <br> <br> THE SCREWTAPE LETTERS runs 90 minutes without intermission. In this topsy turvy morally inverted universe set in an eerily stylish office in hell, God is called the &ldquo;Enemy&rdquo; and the devil is referred to as &ldquo;Our Father below.&rdquo;  <br> <br> The play follows His Abysmal Sublimity Screwtape, Satan&rsquo;s top psychiatrist, played by award winning actor Max McLean, and his creature-demon secretary Toadpipe, as they train an apprentice demon, Wormwood, on the fine art of seducing an unsuspecting human &ldquo;patient&rdquo; down the &ldquo;soft, gentle path to hell.&rdquo;<br> <br> Along with The Chronicles of Narnia (including The Lion, The Witch and The Wardrobe), The Great Divorce and Mere Christianity, THE SCREWTAPE LETTERS is still one of Lewis&rsquo; most popular and influential works.  The book's piercing insight into human nature and the lucid and humorous way Lewis makes his readers squirm in self recognition made it an immediate success.  When first published in 1942 it brought worldwide fame to this little-known Oxford don including the cover of Time Magazine. <br> <br> Lewis dedicated it to his close friend J. R. R. Tolkien who had expressed to Lewis that delving too deeply into the craft of evil would have consequences.  Lewis admitted as much when he wrote &ldquo;Though I had never written anything more easily, I never wrote with less enjoyment . . . though it was easy to twist one&rsquo;s mind into the diabolical attitude, it was not fun, or not for long. The work into which I had to project myself while I spoke through Screwtape was all dust, grit, thirst, and itch. Every trace of beauty, freshness, and geniality had to be excluded.&rdquo;<br> <br> Produced by New York City based Fellowship for the Performing Arts. Max McLean serves as Artistic Director.  Executive Producer and General Manager is Ken Denison of Aruba Productions. Scenic Design is by Cameron Anderson, Costumes by Michael Bevins, Lighting Design by Jesse Klug, and Original Music and Sound Design by John Gromada.<br> The performance schedule for THE SCREWTAPE LETTERS is Saturday, February 26 at 4 p.m. and 8 p.m.  Tickets range from $29 - $89.  Student tickets are available for $25 each; limit two per customer, at the Box Office.  Valid ID must be presented.  All ticket prices are subject to facility fees.  To purchase tickets or for more information, visit The Moore Theatre box office on the corner of Second Avenue and Virginia Street, on the west side of the theatre (day of show only); for advance tickets visit the Paramount Theatre box office (located on the corner of 9th &amp; Pine downtown) open Mondays through Fridays from 10 a.m. to 6 p.m.; call 877-STG-4TIX (877-784-4849) or visit www.tickets.com, www.stgpresents.org or www.ScrewtapeonStage.com.  For groups of 10 or more call 866.476.8707.</p>			</p>    			<br><br>",,,877-784-4849,The Screwtape Letters,http://www.screwtapeonstage.com/seattle,02/26/2011,http://www.seattleperforms.com/event/detail/441091371/The_Screwtape_Letters
"4711 California Ave SW, Seattle, WA, 98116",ArtsWest Playhouse,"Jesse is nine. Jesse can't focus. Mama helps. Dad ignores. The teacher scolds, the neighbors gossip, the psychiatrists prescribe, the audience laughs, but""¦NO ONE LISTENS. Welcome to Lisa Loomer's (The Waiting Room) darkly comic Distracted, a story about a multi-tasking mom taking on the culture of Attention Deficit Hyperactivity Disorder. Her quixotic husband is in denial, leaving her to take on accepted science and mythic homeopathy all by herself. Fast paced, disarmingly funny, and direct from a wildly successful run on Broadway, this is a riveting gaze at parenting, childhood, and looking for fast answers in the age of Ritalin. Adult language and themes. Recommended for ages 14 and older. <br>""****A chronically entertaining comedy!"" ""“ New York Daily News <br>""Focus, people! Distracted is superb!"" ""“ Associated Press			</p>    			<br><br>",boxoffice@artswest.org,,206-938-0339,Distracted,https://www.choicesecure01.net/mainapp/eventschedule.aspx?clientID=artswest,03/09/2011-04/02/2011,http://www.seattleperforms.com/event/detail/5516/Distracted
"4001 University Way Northeast, Seattle, WA, 98105",Meany Studio Theatre,"By Mary Zimmerman<br> Directed by Julie Beckman<br> <br> Remember the dark side of fairy tales? Combined in fragments, lesser-known European fairy tales take us on a journey fraught with primeval fears and desires. A frightened little girl pleads with her callous parents not to leave her at home with the neighbor next door. &quot;He's got a tail!&quot; she exclaims. This &ldquo;Ogre&rdquo; and storyteller becomes her guide and ours, distracting us with tales marvelous and cruel, pausing only to pose the question &ldquo;Will you marry me?&rdquo; With striking imagery and a contemporary, comic edge, stories flow together to create a vivid fantasy world inspiring fear, wonder, and at last a strange catharsis.<br> <br> No late seating for School of Drama events.</p>			</p>    			<br><br>",ticket@u.washington.edu,http://www.seattleperforms.com/sites/seattleperforms.com/images/org/182/universityofwashington_medium.jpg,206-543-4880,The Secret in the Wings,http://www.meany.org/tickets/production.aspx?performanceNumber=4279,04/17/2011-05/01/2011,http://www.seattleperforms.com/event/detail/440916711/The_Secret_in_the_Wings
"7312 W. Green Lake Dr. N., Seattle, WA, 98103",Bathhouse Theater,"SPT&rsquo;s season wraps up May 20th-June 12th with the a fresh look at George Bernard Shaw&rsquo;s charming and delightful classic, Arms and the Man. Here is the master of wit and social comedy at his most entertaining and romantic. As heroism and militarism are laid bare against the foibles of middle-class pretensions, love and romance run amok.<br> <br> Featuring Gordon Carpenter, Ryan Childers, Mark Fullerton, Julie Jamieson, Brenda Joyner, Anne Kennedy, and Frank Lawler<br> <br> Directed by Shana Bestock<br> <br> The show runs approximately 1hour 45 minutes with no intermission. <br> <br> Appropriate for all ages</p>			</p>    			<br><br>",boxoffice@seattlepublictheater.org,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/441089539/eventpic-arms_medium.jpg,206-524-1300,Arms and the Man,http://www.seattlepublictheater.org,05/19/2011-06/12/2011,http://www.seattleperforms.com/event/detail/441089539/Arms_and_the_Man
"419 Washington Street, Port Townsend, WA, 98368",Key City Playhouse,"Friday, June 24 &mdash; Sunday, July 17<br> <br> (Previews on Tue Jun 21 and Thu Jun 23)<br> <br> Key City Public Theatre presents &ldquo;The Garden of Monsters&rdquo; by Mara Lathrop, a World Premiere directed by Denise Winter.<br> <br> In the waning days of WWII, a Jewish GI encounters a Holocaust survivor and the last shred of hope in all the world.  In the year 2045, a theatre director rehearses a play about the liberation of Dachau and forgets how to hope when she learns she has a fatal disease.<br> In present-day London, a writer's stories about the Holocaust are hijacked by a couple of clowns on a secret mission to heal the world.  As the stories and lives intertwine, hope itself travels a perilous journey.<br> Performances June 24 - July 17 at Key City Playhouse, 419 Washington St., Port Townsend. <br> For more info, call 360-385-7396 or visit keycitypublictheatre.org.</p>			</p>    			<br><br>",,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/441088987/garden_title_--_color_medium.jpg,360-379-0195,"World Premiere: ""The Garden of Monsters"" by Mara Lathrop",http://www.keycitypublictheatre.org,06/21/2011-07/17/2011,http://www.seattleperforms.com/event/detail/441088987/World_Premiere_The_Garden_of_Monsters_by_Mara_Lathrop
,,"Friday, August 5 &mdash; Sunday, August 21<br> <br> Key City Public Theatre presents &ldquo;Macbeth&rdquo; its annual Shakespeare in the Park production, directed by Charlie Bethel.<br> <br> Outdoor performances Fri, Sat &amp; Sun at 6:00 p.m. from Aug 5 to 21 at Chetzemoka Park, Jackson &amp; Blaine streets, Port Townsend.<br> <br> Political intrigue!  Lust for power!!  Murder and mayhem!!!  Macbeth is the King&rsquo;s most trusted general until the prophecies of three witches and the ruthless ambitions of his own wife turn him to the dark side.  In their quest for glory, Macbeth and his Lady risk everything &ndash; including their own sanity.<br> Join us in August as we transform Chetzemoka Park into the battleground between good and evil in Shakespeare&rsquo;s timeless and enduring story about a truly monstrous man.<br> Seating begins at 5:30 p.m. Bring your own blankets or lawn chairs and dress warmly. Concessions are available.<br> <br> For more info, call 360-385-7396 or visit keycitypublictheatre.org.</p>			</p>    			<br><br>",,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/441089001/macbeth_title_--_color_medium.jpg,360-379-0195,Shakespeare in the Park: Macbeth,http://www.keycitypublictheatre.org,08/05/2011-08/21/2011,http://www.seattleperforms.com/event/detail/441089001/Shakespeare_in_the_Park_Macbeth
"419 Washington Street, Port Townsend, WA, 98368",Key City Playhouse,"Friday, October 7 &mdash; Sunday, October 30<br> Key City Public Theatre presents &ldquo;Dracula&rdquo; adapted from Bram Stoker by Sy Kahn, directed by Amanda Steurer.<br> Performances October 7 - 30 at Key City Playhouse, 419 Washington St., Port Townsend.<br> Bram Stoker&rsquo;s Dracula is one of the great thrillers of all time. <br> In this adaptation by the late Sy Kahn, you&rsquo;ll be transported back to Victorian England on a non-stop ride of desire, obsession and unspeakable horror.<br> Maidens will swoon and grown men will grow weak in the knees when they cannot escape from the Count&rsquo;s glistening fangs.<br> <br> Curtains Thu 7:00 p.m.; Fri &amp; Sat 8:00 p.m; Sun 2:30 p.m.<br> For more info, call 360-385-7396 or visit keycitypublictheatre.org.</p>			</p>    			<br><br>",,http://www.seattleperforms.com/sites/seattleperforms.com/images/org/400/keycitypublictheatre_medium.jpg,360-379-0195,"""Dracula"" by Sy Kahn based on the Bram Stoker",http://www.keycitypublictheatre.org,10/06/2011-10/30/2011,http://www.seattleperforms.com/event/detail/441089035/Dracula_by_Sy_Kahn_based_on_the_Bram_Stoker
"200 Madison Ave N, Bainbridge Island, WA, 98110",Bainbridge Performing Arts,"Imagination Station - Exploring Musical Theatre is a six-week class for Pre-K/K held at BPA. Instructors Gabe Carbajal and D&rsquo;Arcy Clements lead this imaginative theatre adventure class for ages 3 1/2 &ndash; 5. Classes meet January 21 &ndash; February 25, Fridays at 10:30 &ndash; 11:30 a.m. and/or 12:30 &ndash; 1:30 p.m. Tuition is $95. Two classes are offered each Friday, and students may register for one or the other or both at 206.842.1163.</p>			</p>    			<br><br>",,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/441063849/centerad_imagstation_winter_468x150_medium.jpg,206-842-1163,Imagination Station - Exploring Musical Theatre,http://www.bainbridgeperformingarts.org/Education/ImaginationStationWinter2011.html,01/21/2011-02/25/2011,http://www.seattleperforms.com/event/detail/441063849/Imagination_Station_Exploring_Musical_Theatre
"200 Madison Ave N, Bainbridge Island, WA, 98110",Bainbridge Performing Arts,"Doctor Dolittle, a class for 1st &ndash; 4th grade students, is held at BPA and includes a final day performance on March 1. Gabe Carbajal and D&rsquo;Arcy Clements lead this enchanting production class, which is sure to please all animal lovers and adventurous dreamers. Classes meet January 11 &ndash; March 1, Tuesdays &amp; Thursdays @ 4:00 &ndash; 5:45 p.m. Tuition is $245, and participants are encouraged to register at 206.842.1163.</p>			</p>    			<br><br>",,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/441063853/centerad_drdolittle_468x150_medium.jpg,206-842-1163,Doctor Dolittle - 1st - 4th Grade,http://www.bainbridgeperformingarts.org/Education/DoctorDoLittle.html,01/11/2011-03/01/2011,http://www.seattleperforms.com/event/detail/441063853/Doctor_Dolittle_1st_4th_Grade
"12099 124th Ave NE, Kirkland, WA, 98034",Laughs Comedy Spot,"March 4th and 5th, Laughs Comedy Spot in Kirkland, WA welcomes the hilarious Myq Kaplan.  Myq made his network television debut on &ldquo;The Tonight Show with Conan O&rsquo;Brien&rdquo; and has since gone on to appear on &ldquo;The Late, Late Show with Craig Ferguson&rdquo; and in his own half-hour special &ldquo;Comedy Central Presents: Myq Kaplan&rdquo;.  Most recently, he was a Top 5 finalist on the 2010 season of Last Comic Standing.  He has also appeared on Comedy Central&rsquo;s &ldquo;Live at Gotham,&rdquo; at the New Faces show of the 2009 Just For Laughs Festival in Montreal, and was voted 2008&rsquo;s Best Local Comedian in the Boston Phoenix.  In 2009 Myq won the NY&rsquo;s Funniest Standup Competition.<br> <br> A Jewy-ish atheistic vegan who spells the name &ldquo;Mike&rdquo; weird (sorry or you&rsquo;re welcome), Myq enjoys words, social justice, Netflix, and comic books.  Also non-comic books, ping-pong, and being great with women. And grammar and run-on sentence fragments. And of course, entertaining his demographic, which is anyone who might know the word &ldquo;demographic.&rdquo;<br> <br> The Comedians magazine calls him &ldquo;a comedy machine, in the best possible way. The way that some machines vend soda or prevent other machines from killing future revolutionaries &ndash; that&rsquo;s how Myq Kaplan does comedy: relentlessly, methodically, unblinkingly.&rdquo;</p>			</p>    			<br><br>",,,425-823-6306,Last Comic Standing finalist Myq Kaplan,http://www.laughscomedy.com,03/04/2011-03/05/2011,http://www.seattleperforms.com/event/detail/441103303/Last_Comic_Standing_finalist_Myq_Kaplan
"608 19th Ave E, Seattle, WA, 98112",The Little Theatre,"A World Premiere!<br> Written by Michael Mitnick<br> Directed by Elise Hunt<br> <br> Millions of viewers tune in every day to &ldquo;@ Home with Babs Gillespie&trade;&rdquo; on the ShopMore Network&trade;. Babs is One Rare Bird&trade;. With a heart of 14k gold and dangly jewelry, Babs jingle- jangles like the gem that she is. But Babs is turning 50 tomorrow and finds herself&hellip;facing extinction? A tragic run-in with an online dating site and a Magi-Peel Vegi Peeler&trade; reveals that all may not be as it seems. Will our favorite On-The-Air Personality&trade; survive this mid-life crisis or will she get dumped into the clearance bin? Michael Mitnick&rsquo;s deliriously dark comedy asks us: what do you have to sell to achieve love, happiness, and a little Sparkle&trade;?</p>			</p>    			<br><br>",,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/441085641/wet[babs]poster_v2_72dpi_medium.jpg,,Babs the Dodo,http://www.washingtonensemble.org/current-season/babs-the-dodo,02/03/2011-03/14/2011,http://www.seattleperforms.com/event/detail/441085641/Babs_the_Dodo
"5510 University Way NE, Seattle, WA, 98105",Wing-It Productions,"Jet City Improv is Seattle's best comedy now in its 19th year. It is fast-paced, audience-interactive, all-ages improvisational comedy. We were voted the &quot;Best Improv in Seattle&quot; by the King 5's Best in the Northwest, as well as the &quot;Best Place to go in you are Underage.&quot; Come see what The Stranger calls &quot;fantastic improv theater.&quot;</p>			</p>    			<br><br>",info@jetcityimprov.com,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/441083861/billy120_medium.jpg,206 352-8291,Jet City Improv,http://www.jetcityimprov.com,01/07/2011-12/30/2011,http://www.seattleperforms.com/event/detail/441083861/Jet_City_Improv
"1428 Post Alley, Seattle, WA, 98101",Market Theater,"HAPPY 25TH ANNIVERSARY THEATRESPORTS!! Even the judges wouldn't boo you!</p> <p>Seattle Theatresports is the most professional improv show the Northwest has to offer. Theatersports is comedy, improv, theater, and sports all rolled into one! Teams of improvisers create scenes based entirely on audience suggestions and are scored by a panel of judges.</p> <p>Seattle Theatresports is also Seattle's longest running show, having turned 25 years old this June!</p>			</p>    			<br><br>",info@unexpectedproductions.org,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/869/ts100_medium.gif,,TheatreSports,http://www.unexpectedproductions.org/Theatresports,08/03/2007-12/31/2011,http://www.seattleperforms.com/event/detail/869/TheatreSports
"216 Union St, Seattle, WA, 98101",The Triple Door,"Direct from New York City! BURLESQUE TO BROADWAY starring Quinn Lemley with Stacey Harris and Natalie Loftin Bell sizzle with an intoxicating 10-piece big band celebrating the icons of Burlesque to Broadway. Directed by Tony Award Winner, Joe Hardy, it&rsquo;s hot! Hot! HOT! with the music, jokes and costumes of Burlesque to Broadway! &nbsp;It&rsquo;s all about the tease! And they aim to please! From Gypsy Rose Lee, Sally Rand, Fanny Brice to Cher, you will enter the world of Minsky&rsquo;s Burlesque Theatre, The Ziegfeld Follies, Broadway to classic television in this fast paced theatrical concert.<br> <br> Complete with sequins, feathers and fans these Broadway Hotties take you on a ride thru the music of Burlesque to Broadway&hellip; and beyond. Don't miss your chance to bump and grind with Quinn and her girls. Experience the incomparable Quinn Lemley The Village Voice calls, &quot;Drop dead gorgeous with crystalline intonation&quot;. Sirius Satellite raves, &quot;Lemley is Hot Hot Hot!&quot; and The Naples Daily News graciously states, &ldquo;Quinn Lemley nails it. Hard!&rdquo; BURLESQUE TO BROADWAY is a tour de force. &nbsp;Grab your guy or gal and join us as, Quinn and her girls dance up a storm, fill the house with vaudeville humor, and sing one show stopping hit after another from Burlesque, Broadway and Beyond!<br> <br> 7pm &amp; 10pm shows &nbsp;- 3 nights only!&nbsp;</p>			</p>    			<br><br>",,,206-838-4333,Burlesque to Broadway,"http://Direct from New York City! BURLESQUE TO BROADWAY starring Quinn Lemley with Stacey Harris and Natalie Loftin Bell sizzle with an intoxicating 10-piece big band celebrating the icons of Burlesque to Broadway. Directed by Tony Award Winner, Joe Hardy",02/23/2011-02/25/2011,http://www.seattleperforms.com/event/detail/441086645/Burlesque_to_Broadway
"11100 Northeast 6th Street, Bellevue, WA, 98004",Meydenbauer Theatre,"See your favorite story book character come to life. Based on the book by Jane O'Conner, with illustrations by Robin Preiss Glasser, this original ballet for children is sure to delight. Ms. Glasser will be at the Meydenbauer performances only to autograph books. You'll also see the tale of Peter and The Wolf. This delightful ballet introduces the art of dance and music to children of all ages.			</p>    			<br><br>",info@evergreencityballet.org,http://www.seattleperforms.com/sites/seattleperforms.com/images/org/220153341/ecblogonew_medium.jpg,1-800-899-9260,Special Family Program: Fancy Nancy & Peter and The Wolf,http://www.evergreencityballet.org,02/26/2011-02/27/2011,http://www.seattleperforms.com/event/detail/441085447/Special_Family_Program_Fancy_Nancy_Peter_and_The_Wolf
"2230 Lind Avenue SW, Renton, WA, 98057",Evergreen City Balllet Black Box Theatre,"See your favorite story book character come to life. Based on the book series by Jane O'Conner, with illustrations by Robin Preiss Glasser, this original ballet for children is sure to delight. You'll also see the tale of Peter and The Wolf. This delightful ballet introduces the art of dance and music to children of all ages.</p>			</p>    			<br><br>",info@evergreencityballet.org,http://www.seattleperforms.com/sites/seattleperforms.com/images/org/220153341/ecblogonew_medium.jpg,1-800-899-9260,Special Family Program:  Fancy Nancy & Peter and The Wolf,http://www.evergreencityballet.org,03/12/2011-03/13/2011,http://www.seattleperforms.com/event/detail/441085473/Special_Family_Program_Fancy_Nancy_Peter_and_The_Wolf
"2230 Lind Avenue SW, Renton, WA, 98057",Evergreen City Ballet Black Box Theatre,"Following last year's sold out performances, ,we've added another opportunity for you to see amazing new dance works by leading Northwest choreographers.</p>			</p>    			<br><br>",info@evergreencityballet.org,http://www.seattleperforms.com/sites/seattleperforms.com/images/org/220153341/ecblogonew_medium.jpg,1-800-899-9260,Northwest Works,http://www.evergreencityballet.org,06/11/2011-06/12/2011,http://www.seattleperforms.com/event/detail/441085577/Northwest_Works
,,"By Mike Kenny<br> <br> based on the Story by Hans Christian Andersen<br> <br> <br> Available for Libraries, Community Theatres and Schools throughout the Northwest<br> <br> <br> April 28 through June 3, 2011.<br> <br> Based on the enchanting fairytale by Hans Christian Anderson, The Snow Queen tells the story of Kai and Gerda, the best of friends, until Kai falls under the spell of an evil wizard and becomes the slave of the imperious Snow Queen. It is up to Gerda to take a long journey into the frozen heart of winter, to find and save her friend. The Snow Queen is both a thrilling adventure and a fable about the healing power of love.<br> <br> <br> Family Friendly			</p>    			<br><br>",boxoffice@cwu.edu,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/440957675/snow_medium.jpg,509-963-1774,The Snow Queen - NW Tour,http://www.cwu.edu/~theatre/tix/,04/28/2011-06/03/2011,http://www.seattleperforms.com/event/detail/440957675/The_Snow_Queen_NW_Tour
