startDate,city,address,venue,description,longitude,zipcode,state,title,website,latitude,moreinfo
,,,,Seeking help for all areas of feral cat spay/neuter clinics. Veterinarians and vet techs a plus.,,,,Homeless Cat Management Team,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23208
,,,,To work with individuals and caregivers.,,,,Horizons Hospice,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23243
,,,,To work with individuals and caregivers.,,,,Horizons Hospice,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23243
,,,,"Seeking dog-walkers and -trainers, cat-cuddlers, foster homes, event tables, more. North Side.",,,,Humane Society,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23209
,,,,"Seeking dog-walkers and -trainers, cat-cuddlers, foster homes, event tables, more. North Side.",,,,Humane Society,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23209
,,,,Office and administrative help needed.,,,,Hunger Services Urban League of Pittsburgh,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23210
,,,,Office and administrative help needed.,,,,Hunger Services Urban League of Pittsburgh,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23210
Today,Pittsburgh,117 Sandusky Street,Andy Warhol Museum,Long-term exhibition of Warhol's film & video work.,-80.00236,15212.0,PA,"I Just Want to Watch: Warhol's Film, Video and Television",http://www.warhol.org,40.44841,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:76472
Today,Pittsburgh,117 Sandusky Street,Andy Warhol Museum,Long-term exhibition of Warhol's film & video work.,-80.00236,15212.0,PA,"I Just Want to Watch: Warhol's Film, Video and Television",http://www.warhol.org,40.44841,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:76472
,Greensburg,208 S. Pennsylvania Ave.,DV8 Espresso Bar & Gallery,"Submit your film, 10 minutes or less. Screenings held on the second Thursday of every month.",-79.54491,15601.0,PA,Independent Film Night,http://www.myspace.com/dv8espressobarandgallery,40.30111,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:84765
,Greensburg,208 S. Pennsylvania Ave.,DV8 Espresso Bar & Gallery,"Submit your film, 10 minutes or less. Screenings held on the second Thursday of every month.",-79.54491,15601.0,PA,Independent Film Night,http://www.myspace.com/dv8espressobarandgallery,40.30111,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:84765
Ongoing.,,,,"Seeking compassionate volunteers to assist older adults by providing rides to doctor appointments, help with grocery shopping, friendly visiting, and more!",,,,Interfaith Volunteer Caregivers,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:41941
Ongoing.,,,,"Seeking compassionate volunteers to assist older adults by providing rides to doctor appointments, help with grocery shopping, friendly visiting, and more!",,,,Interfaith Volunteer Caregivers,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:41941
,Pittsburgh,1441 Woods Run Ave.,Younger's,Comedy open stage hosted by Tonnochi:B.,-80.03493,15212.0,PA,Jokee Oakee,,40.47508,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:86252
,Pittsburgh,1441 Woods Run Ave.,Younger's,Comedy open stage hosted by Tonnochi:B.,-80.03493,15212.0,PA,Jokee Oakee,,40.47508,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:86252
,,,,To work on upcoming productions and events.,,,,Junction Dance Theatre,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23212
,,,,To work on upcoming productions and events.,,,,Junction Dance Theatre,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23212
,Chalk Hill,,Kentuck Knob,,-79.51117,15431.0,PA,Kentuck Knob,http://www.kentuckknob.com,39.87448,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23657
,Chalk Hill,,Kentuck Knob,,-79.51117,15431.0,PA,Kentuck Knob,http://www.kentuckknob.com,39.87448,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23657
,,,,To work with hospice patients and families.,,,,Landmark Hospice,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23213
,,,,To work with hospice patients and families.,,,,Landmark Hospice,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23213
Today,Homestead,105 E. Eighth Ave.,Artspace 105,"Work by Chris McGinnis, Aaron Miller & Daniel Kuhn. Opening reception Jan 8, 7-10 p.m.",-79.91208,15120.0,PA,Manufacturing Identity,http://www.steelvalleyarts.org/,40.4061,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:89225
Today,Homestead,105 E. Eighth Ave.,Artspace 105,"Work by Chris McGinnis, Aaron Miller & Daniel Kuhn. Opening reception Jan 8, 7-10 p.m.",-79.91208,15120.0,PA,Manufacturing Identity,http://www.steelvalleyarts.org/,40.4061,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:89225
,Butler,322 N. McKean St.,Maridon Museum,"Collection includes jade and ivory statues from China and Japan, as well as Meissen porcelain.",-79.89356,16001.0,PA,Maridon Museum,http://www.maridon.org,40.86407,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23494
,Butler,322 N. McKean St.,Maridon Museum,"Collection includes jade and ivory statues from China and Japan, as well as Meissen porcelain.",-79.89356,16001.0,PA,Maridon Museum,http://www.maridon.org,40.86407,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23494
Today,Pittsburgh,719 Liberty Avenue,Benedum Center,"Presented by The Pittsburgh Cultural Trust, Pittsburgh Symphony & Broadway Across America.",-79.99922,15222.0,PA,Mary Poppins,http://www.pgharts.org,40.44261,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:89144
Today,Pittsburgh,719 Liberty Avenue,Benedum Center,"Presented by The Pittsburgh Cultural Trust, Pittsburgh Symphony & Broadway Across America.",-79.99922,15222.0,PA,Mary Poppins,http://www.pgharts.org,40.44261,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:89144
Ongoing.,,,,Ongoing auditions for actors ages 18+ for murder mystery shows performed in the Pittsburgh area.,,,,McCaffery Mysteries,www.eatdrinkmurder.org,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:81697
Ongoing.,,,,Ongoing auditions for actors ages 18+ for murder mystery shows performed in the Pittsburgh area.,,,,McCaffery Mysteries,www.eatdrinkmurder.org,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:81697
,Monroeville,1 McGinley Road,McGinley House & McCully Log House,"Historic homes open for tours, lectures and more.",-79.74425,15146.0,PA,McGinley House & McCully Log House,http://www.monroevillehistorical.org/,40.42365,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23495
,Monroeville,1 McGinley Road,McGinley House & McCully Log House,"Historic homes open for tours, lectures and more.",-79.74425,15146.0,PA,McGinley House & McCully Log House,http://www.monroevillehistorical.org/,40.42365,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23495
,Pittsburgh,1212 Smallman Street,Senator John Heinz History Center,Mario Lemieux's Personal Trophy Collection.,-79.99289,15222.0,PA,Memories of Mario,http://www.heinzhistorycenter.org,40.44648,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:89331
,Pittsburgh,1212 Smallman Street,Senator John Heinz History Center,Mario Lemieux's Personal Trophy Collection.,-79.99289,15222.0,PA,Memories of Mario,http://www.heinzhistorycenter.org,40.44648,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:89331
Ongoing.,,,,Seeking adult mentors for youth.,,,,Mentoring Partnership of SWPA,www.MentoringPittsburgh.org,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:45313
Ongoing.,,,,Seeking adult mentors for youth.,,,,Mentoring Partnership of SWPA,www.MentoringPittsburgh.org,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:45313
Through Jan. 26.,,,,Marilyn G Rabb Foundation seeking teaching artists for winter/spring semester of program empowering children through the arts. Resume/cover letter/references to: meredith@mgrf.org,,,,Murals: Violence Prevention through the Arts,www.mgrf.org/Careers/ApplyMGRF.aspx?jobid=TA,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:89211
Through Jan. 26.,,,,Marilyn G Rabb Foundation seeking teaching artists for winter/spring semester of program empowering children through the arts. Resume/cover letter/references to: meredith@mgrf.org,,,,Murals: Violence Prevention through the Arts,www.mgrf.org/Careers/ApplyMGRF.aspx?jobid=TA,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:89211
,Pittsburgh,Allegheny Commons West,National Aviary,"Home to more than 600 birds from over 200 species. With classes, lectures, demos and more.",-80.00249,15212.0,PA,National Aviary,http://www.aviary.org,40.45124,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23497
,Pittsburgh,Allegheny Commons West,National Aviary,"Home to more than 600 birds from over 200 species. With classes, lectures, demos and more.",-80.00249,15212.0,PA,National Aviary,http://www.aviary.org,40.45124,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23497
,Pittsburgh,4200 5th Avenue,Nationality Rooms,26 rooms helping to tell the story of Pittsburgh's immigrant past. University of Pittsburgh.,-79.95927,15213.0,PA,Nationality Rooms,http://www.pitt.edu/~natrooms,40.44147,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23498
,Pittsburgh,4200 5th Avenue,Nationality Rooms,26 rooms helping to tell the story of Pittsburgh's immigrant past. University of Pittsburgh.,-79.95927,15213.0,PA,Nationality Rooms,http://www.pitt.edu/~natrooms,40.44147,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23498
,,,,Educational program for low-income students. Garfield.,,,,The Neighborhood Academy,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23240
,,,,Educational program for low-income students. Garfield.,,,,The Neighborhood Academy,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23240
Today,Pittsburgh,4400 Forbes Avenue,Carnegie Museum of Art,,-79.94926,15213.0,PA,"Neopolitan Presepio, Annual Holiday Trees",http://www.cmoa.org,40.44413,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:88300
Today,Pittsburgh,4400 Forbes Avenue,Carnegie Museum of Art,,-79.94926,15213.0,PA,"Neopolitan Presepio, Annual Holiday Trees",http://www.cmoa.org,40.44413,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:88300
,Pittsburgh,Allegheny Square East,New Hazlett Theater,Seeking volunteer ushers.,-80.00456,15212.0,PA,New Hazlett Theater,http://www.newhazletttheater.org,40.45251,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:76060
,Pittsburgh,Allegheny Square East,New Hazlett Theater,Seeking volunteer ushers.,-80.00456,15212.0,PA,New Hazlett Theater,http://www.newhazletttheater.org,40.45251,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:76060
,,,,Ushering and concessions for upcoming theatrical productions.,,,,New Place Collaborations,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23215
,,,,Ushering and concessions for upcoming theatrical productions.,,,,New Place Collaborations,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23215
Ongoing.,,,,"Literary magazine supported by The Women and Girls Foundation. Taking submissions of creative writing, visual art, photographs, and essays from women and girls of all ages. www.new-slang.org",,,,New Slang Literary Magazine for Women and Girls in Pittsburgh,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:87440
Ongoing.,,,,"Literary magazine supported by The Women and Girls Foundation. Taking submissions of creative writing, visual art, photographs, and essays from women and girls of all ages. www.new-slang.org",,,,New Slang Literary Magazine for Women and Girls in Pittsburgh,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:87440
,,,,"Help families in hardship and crisis, nonmedical support for frail seniors.",,,,North Hills Community Outreach,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23216
,,,,"Help families in hardship and crisis, nonmedical support for frail seniors.",,,,North Hills Community Outreach,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23216
Ongoing.,,,,Make a difference in the lives of area kids through our dynamic tutoring program for kids K-12. No experience necessary; instructional support provided.,,,,North Hills Youth Ministry Counseling Center,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:59027
Ongoing.,,,,Make a difference in the lives of area kids through our dynamic tutoring program for kids K-12. No experience necessary; instructional support provided.,,,,North Hills Youth Ministry Counseling Center,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:59027
,,,,To work with terminally ill patients.,,,,Odyssey HealthCare,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23218
,,,,To work with terminally ill patients.,,,,Odyssey HealthCare,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23218
,Scott,330 Old Washington Pike,Old St. Luke's,"Pioneer church features 1823 pipe organ, Revolutionary War graves.",-80.09027,15106.0,PA,Old St. Luke's,http://www.oldsaintlukes.org,40.38441,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23500
,Scott,330 Old Washington Pike,Old St. Luke's,"Pioneer church features 1823 pipe organ, Revolutionary War graves.",-80.09027,15106.0,PA,Old St. Luke's,http://www.oldsaintlukes.org,40.38441,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23500
,Pittsburgh,500 Sampsonia Way,Mattress Factory,"Works by Turrell, Lutz, Kusama, Anastasi, Highstein, Wexler & Woodrow.",-80.0124,15212.0,PA,Ongoing Installations,http://www.mattress.org,40.45679,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23838
,Pittsburgh,500 Sampsonia Way,Mattress Factory,"Works by Turrell, Lutz, Kusama, Anastasi, Highstein, Wexler & Woodrow.",-80.0124,15212.0,PA,Ongoing Installations,http://www.mattress.org,40.45679,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23838
,,,,"Front and back of house, techies and more in all areas of theater production.",,,,Open Stage Theatre,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23219
,,,,"Front and back of house, techies and more in all areas of theater production.",,,,Open Stage Theatre,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23219
Ongoing.,,,,Quirky online literary magazine seeking submissions.,,,,OpheliaStreet.com,www.opheliastreet.com,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:55246
Ongoing.,,,,Quirky online literary magazine seeking submissions.,,,,OpheliaStreet.com,www.opheliastreet.com,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:55246
Today,Pittsburgh,4400 Forbes Avenue,Carnegie Museum of Art,"The museums contemporary art collection presented thematically, examining how art reflects the bizarre & unusual aspects of life.",-79.94926,15213.0,PA,Ordinary Madness,http://www.cmoa.org,40.44413,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:86195
Today,Pittsburgh,4400 Forbes Avenue,Carnegie Museum of Art,"The museums contemporary art collection presented thematically, examining how art reflects the bizarre & unusual aspects of life.",-79.94926,15213.0,PA,Ordinary Madness,http://www.cmoa.org,40.44413,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:86195
,,,,"Outdoor-related events & instruction including Nordic skiing, kayaking, camping, hiking and more.",,,,Outside Adventures,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23327
,,,,"Outdoor-related events & instruction including Nordic skiing, kayaking, camping, hiking and more.",,,,Outside Adventures,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23327
Today,West Homestead,449 West 8th Ave.,Bulgarian-Macedonian National Education and Cultural Center,Recent paintings by Georgi Petrov.,-79.91753,15120.0,PA,Password Love,http://www.bmnecc.org,40.40175,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:87739
Today,West Homestead,449 West 8th Ave.,Bulgarian-Macedonian National Education and Cultural Center,Recent paintings by Georgi Petrov.,-79.91753,15120.0,PA,Password Love,http://www.bmnecc.org,40.40175,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:87739
,Pittsburgh,117 Sandusky Street,Andy Warhol Museum,Artwork and artifacts by the famed Pop Artist.,-80.00236,15212.0,PA,Permanent collection,http://www.warhol.org,40.44841,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23119
,Pittsburgh,117 Sandusky Street,Andy Warhol Museum,Artwork and artifacts by the famed Pop Artist.,-80.00236,15212.0,PA,Permanent collection,http://www.warhol.org,40.44841,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23119
,Pittsburgh,7227 Reynolds Street,Frick Art &#38; Historical Center,,-79.90251,15208.0,PA,Permanent collection of European Art,http://www.frickart.org,40.44634,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:22730
,Pittsburgh,7227 Reynolds Street,Frick Art &#38; Historical Center,,-79.90251,15208.0,PA,Permanent collection of European Art,http://www.frickart.org,40.44634,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:22730
,Washington,1 Museum Road,Pennsylvania Trolley Museum,"Includes displays, walking tours, gift shop, picnic area and Trolley Theatre.",-80.25532,15301.0,PA,Trolley rides and exhibits,http://www.pa-trolley.org,40.20801,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23502
,Washington,1 Museum Road,Pennsylvania Trolley Museum,"Includes displays, walking tours, gift shop, picnic area and Trolley Theatre.",-80.25532,15301.0,PA,Trolley rides and exhibits,http://www.pa-trolley.org,40.20801,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23502
Ongoing.,,,,"Westmoreland  County no-kill shelter with many puppy mill rescues seeking foster homes and volunteers for all aspects of shelter operation: dog walking, cat cuddling, fund raising, etc. Yukon, PA.",,,,Pet Adoption League,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:40975
Ongoing.,,,,"Westmoreland  County no-kill shelter with many puppy mill rescues seeking foster homes and volunteers for all aspects of shelter operation: dog walking, cat cuddling, fund raising, etc. Yukon, PA.",,,,Pet Adoption League,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:40975
,Pittsburgh,1 Schenley Park,Phipps Conservatory &#38; Botanical Garden,,-79.68921,15213.0,PA,Phipps Conservatory & Botanical Garden,http://www.phipps.conservatory.org,40.67918,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23503
,Pittsburgh,1 Schenley Park,Phipps Conservatory &#38; Botanical Garden,,-79.68921,15213.0,PA,Phipps Conservatory & Botanical Garden,http://www.phipps.conservatory.org,40.67918,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23503
,Pittsburgh,4300 Butler St.,Picturesque Photography & Gifts,,-79.96011,15201.0,PA,Photography by Brenda Knoll,http://www.picturesquephotographygifts.com,40.47061,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23857
,Pittsburgh,4300 Butler St.,Picturesque Photography & Gifts,,-79.96011,15201.0,PA,Photography by Brenda Knoll,http://www.picturesquephotographygifts.com,40.47061,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23857
,,,,"Daytime medical advocates, hotline work, special events and/or speakers bureau. South Side.",,,,Pittsburgh Action Against Rape,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23221
,,,,"Daytime medical advocates, hotline work, special events and/or speakers bureau. South Side.",,,,Pittsburgh Action Against Rape,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23221
,,,,"For special events, mailings, community education, client services and more. East Liberty.",,,,Pittsburgh AIDS Task Force,www.patf.org,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23223
,,,,"For special events, mailings, community education, client services and more. East Liberty.",,,,Pittsburgh AIDS Task Force,www.patf.org,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23223
,,,,Opportunities with community-service organizations throughout the area. All ages. Downtown.,,,,Pittsburgh Cares,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23224
,,,,Opportunities with community-service organizations throughout the area. All ages. Downtown.,,,,Pittsburgh Cares,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23224
,,,,"Wightman School Community Building, Squirrel Hill.",,,,Pittsburgh Chess Club,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23364
,,,,"Wightman School Community Building, Squirrel Hill.",,,,Pittsburgh Chess Club,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23364
,,,,Board positions open and volunteer staff needed.,,,,Pittsburgh Gay & Lesbian Film Festival,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23225
,,,,Board positions open and volunteer staff needed.,,,,Pittsburgh Gay & Lesbian Film Festival,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23225
,,,,"Mostly-off-road running, hiking and socializing. www.pgh-h3.com",,,,Pittsburgh Hash House Harriers,www.pgh-h3.com,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23328
,,,,"Mostly-off-road running, hiking and socializing. www.pgh-h3.com",,,,Pittsburgh Hash House Harriers,www.pgh-h3.com,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23328
,,,,Training docents for children and adult tours.,,,,Pittsburgh History & Landmarks Foundation,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23226
,,,,Training docents for children and adult tours.,,,,Pittsburgh History & Landmarks Foundation,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23226
,,,,"Media-literacy education, radio/TV production, writing/research, Web site development.",,,,Pittsburgh Independent Media Center,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23222
,,,,"Media-literacy education, radio/TV production, writing/research, Web site development.",,,,Pittsburgh Independent Media Center,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23222
,,,,Volunteers needed for Oct-March city-wide Family Series shows as well as May Children's Festival.,,,,Pittsburgh International Children's Theater,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23227
,,,,Volunteers needed for Oct-March city-wide Family Series shows as well as May Children's Festival.,,,,Pittsburgh International Children's Theater,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23227
,,,,"Help with outreach at concerts, clubs and fairs.",,,,Pittsburgh League of Young Voters,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23354
,,,,"Help with outreach at concerts, clubs and fairs.",,,,Pittsburgh League of Young Voters,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23354
,,,,"Seeking new players, no experience necessary.",,,,Pittsburgh Men's & Women's Rugby Football Clubs,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23329
,,,,"Seeking new players, no experience necessary.",,,,Pittsburgh Men's & Women's Rugby Football Clubs,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23329
,,,,"Docent-led tour of various parks. Historical, conditioning and nature hikes.",,,,Pittsburgh Parks Conservancy,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23330
,,,,"Docent-led tour of various parks. Historical, conditioning and nature hikes.",,,,Pittsburgh Parks Conservancy,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23330
,,,,"To work tables and seminars, make bird toys, fundraising and more.",,,,Pittsburgh Parrot Rescue,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23228
,,,,"To work tables and seminars, make bird toys, fundraising and more.",,,,Pittsburgh Parrot Rescue,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23228
,,,,Year-round activities.,,,,Pittsburgh Ski Club,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23331
,,,,Year-round activities.,,,,Pittsburgh Ski Club,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23331
Today,Pittsburgh,420 Boulevard of the Allies,Art Institute of Pittsburgh,,-79.9994,15219.0,PA,Pittsburgh Society of Artists Annual Members Exhibition,http://www.artinstitutes.edu/pittsburgh,40.4375,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:88458
Today,Pittsburgh,420 Boulevard of the Allies,Art Institute of Pittsburgh,,-79.9994,15219.0,PA,Pittsburgh Society of Artists Annual Members Exhibition,http://www.artinstitutes.edu/pittsburgh,40.4375,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:88458
,,,,"Adult intramural leagues: volleyball, bowling, softball, tennis, basketball and more.",,,,Pittsburgh Sports League,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23332
,,,,"Adult intramural leagues: volleyball, bowling, softball, tennis, basketball and more.",,,,Pittsburgh Sports League,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23332
Mondays-Saturdays.,,,,"Toys and playspace, especially for preschoolers. East End.",,,,Pittsburgh Toy Lending Library,ptll.pointparkjournalism.com/,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23340
Mondays-Saturdays.,,,,"Toys and playspace, especially for preschoolers. East End.",,,,Pittsburgh Toy Lending Library,ptll.pointparkjournalism.com/,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23340
,Pittsburgh,One Wild Place,Pittsburgh Zoo & PPG Aquarium,"Home to 4,000 animals, including many endangered species.",-79.92051,15206.0,PA,Pittsburgh Zoo & PPG Aquarium,http://www.pittsburghzoo.org,40.48352,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23504
,Pittsburgh,One Wild Place,Pittsburgh Zoo & PPG Aquarium,"Home to 4,000 animals, including many endangered species.",-79.92051,15206.0,PA,Pittsburgh Zoo & PPG Aquarium,http://www.pittsburghzoo.org,40.48352,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23504
Ongoing.,,,,Looking for new artists to submit artwork.,,,,Planet Art Gallery,www.planetartgallery.com,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:41087
Ongoing.,,,,Looking for new artists to submit artwork.,,,,Planet Art Gallery,www.planetartgallery.com,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:41087
,,,,For a wide variety of projects.,,,,Planned Parenthood of Western Pennsylvania,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23230
,,,,For a wide variety of projects.,,,,Planned Parenthood of Western Pennsylvania,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23230
,,,,Help women recovering from alcohol and other drug addictions. Swissvale.,,,,POWER,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23232
,,,,Help women recovering from alcohol and other drug addictions. Swissvale.,,,,POWER,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23232
,Pittsburgh,1330 Bingham St.,Gypsy Cafe,,-79.98474,15203.0,PA,Psychic Salon,,40.42947,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:82442
,Pittsburgh,1330 Bingham St.,Gypsy Cafe,,-79.98474,15203.0,PA,Psychic Salon,,40.42947,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:82442
Today,Pittsburgh,,James Gallery,"Paper: burned, sliced, disguised, reclaimed, reconfigured. Group show.",-80.03343,15220.0,PA,Pulp Friction,http://www.jamesgallery.net,40.4414,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:88436
Today,Pittsburgh,,James Gallery,"Paper: burned, sliced, disguised, reclaimed, reconfigured. Group show.",-80.03343,15220.0,PA,Pulp Friction,http://www.jamesgallery.net,40.4414,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:88436
Today,Pittsburgh,500 Sampsonia Way,Mattress Factory,,-80.0124,15212.0,PA,Queloides: Race and Racism in Cuban Contemporary Art,http://www.mattress.org,40.45679,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:89483
Today,Pittsburgh,500 Sampsonia Way,Mattress Factory,,-80.0124,15212.0,PA,Queloides: Race and Racism in Cuban Contemporary Art,http://www.mattress.org,40.45679,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:89483
