city,description,date,venue,state,title,webSite,moreInfoLink
Arlington,donation to Walk for Lupus suggested   </TD>,03/17/2011,Bailey' s Pub and Grille (Ballston Common Mall),VA,Cluck Lupus qualifier,http://www.facebook.com/BaileysBallston,http://eatfeats.com/query.php?_table=contests&id=6738
Las Vegas,,03/17/2011,Hash House a Go Go,NV,Corned Beef Eating Contest,http://www.hashhouseagogo.com/,http://eatfeats.com/query.php?_table=contests&id=6528
Chicago,,03/17/2011,NYC Bagel Deli,IL,Corned Beef Eating Contest,http://www.nycbd.com/,http://eatfeats.com/query.php?_table=contests&id=6632
Las Vegas,,03/17/2011,The Auld Dubliner at Lake Las Vegas,NV,Corned Beef Taco Eating Contest,http://www.aulddubliner.com/LLV/index.html,http://eatfeats.com/query.php?_table=contests&id=6784
Katy,$10 entry fee  </TD>,03/17/2011,Vida Loca Mexican Bar and Grill,TX,Crawfish Eating Contest,http://www.vidalocakaty.com/,http://eatfeats.com/query.php?_table=contests&id=6636
Old Town,,03/17/2011,Acme Pizza & Wing Co.,ME,Hot Wing Eating Contest,http://www.iloveacmepizza.com/,http://eatfeats.com/query.php?_table=contests&id=6733
Watertown,"contests to be held at three locations, $5 entry fee   </TD>",03/17/2011,Cowboy Country Stores,SD,Hot Wing Eating Contest,http://www.facebook.com/pages/Cowboy-Country-Stores/133602260029191,http://eatfeats.com/query.php?_table=contests&id=6635
Glendale,,03/17/2011,McFadden's Restaurant and Saloon,AZ,Lucky Charms Eating Competition,http://www.mcfaddensglendale.com/,http://eatfeats.com/query.php?_table=contests&id=6766
New Orleans,,03/17/2011,Finn McCool's,LA,Potato Eating Contest,http://www.facebook.com/micasabreck/posts/10150121188676602,http://eatfeats.com/query.php?_table=contests&id=6777
Fredricksburg,,03/17/2011,The Green Turtle,VA,Slider Eating Contest,http://www.facebook.com/thegreeneturtlefredericksburgva,http://eatfeats.com/query.php?_table=contests&id=6664
Powell,,03/16/2011,Filling Station,OR,Lucky Charms Eating Contest,http://www.facebook.com/thefillingstationpowell,http://eatfeats.com/query.php?_table=contests&id=6615
Milford,,03/16/2011,Quaker Steak & Lube,OH,Wing Eating Contest,http://www.quakersteakandlube.com/Milford_OH/,http://eatfeats.com/query.php?_table=contests&id=6731
Fishkill,,03/16/2011,The Keltic House,NY,Wing Eating Contest,http://www.facebook.com/TheKelticHouseFishkillNY,http://eatfeats.com/query.php?_table=contests&id=6697
Delevan,,07/04/2011,Market Street Sandwiches,WI,Hot Dog Eating Contest,http://www.facebook.com/pages/Market-Street-Sandwiches/364614221139,http://eatfeats.com/query.php?_table=contests&id=6972
Brooklyn,,07/04/2011,"Surf & Stillwell, Coney Island",NY,Nathan's Famous Hot Dog Eating Contest,http://coneyisland.com,http://eatfeats.com/query.php?_table=contests&id=7000
San Antonio,"qualify for finals by winning restaurant qualifier, qualifiers start April 23   </TD>",07/02/2011,Las Palapas,TX,Okie Burrito Eating Finals,http://mylaspalapas.com/,http://eatfeats.com/query.php?_table=contests&id=6887
Wilmington,,07/01/2011,Blue Rocks game,DE,Johnnieâs Hot Dog Eating Contest,http://bluerocks.com,http://eatfeats.com/query.php?_table=contests&id=6940
Fishkill,,06/25/2011,SplashDown Park,NY,Nathan's Famous Hot Dog Eating Contest qualifier,http://www.splashdownbeach.com/,http://eatfeats.com/query.php?_table=contests&id=7001
Charlotte,,06/18/2011,Concord Mills,NC,Nathan's Famous Hot Dog Eating Contest qualifier,http://concordmills.com,http://eatfeats.com/query.php?_table=contests&id=7003
Calgary,,06/18/2011,Nathan's Famous,AB,Nathan's Famous Hot Dog Eating Contest qualifier,,http://eatfeats.com/query.php?_table=contests&id=7013
Hawthorne,,06/12/2011,Nathan's Famous,CA,Nathan's Famous Hot Dog Eating Contest qualifier,http://www.yelp.com/biz/nathans-famous-hot-dogs-hawthorne,http://eatfeats.com/query.php?_table=contests&id=7012
Newport,$10 entry fee  </TD>,06/11/2011,Newport Celtic Festival & Highland Games,OR,Haggis Bowl,http://ncfhg.com/,http://eatfeats.com/query.php?_table=contests&id=6808
Tempe,,06/11/2011,Arizona Mills,AZ,Nathan's Famous Hot Dog Eating Contest qualifier,http://arizonamills.com,http://eatfeats.com/query.php?_table=contests&id=7004
Costa Mesa,,06/11/2011,The Orange County BBQ Festival,CA,Rib Eating Contest,http://quenforkids.com/,http://eatfeats.com/query.php?_table=contests&id=6912
Sugar Creek,,06/10/2011,Slavic Fest,MO,Kielbasa Eating Contest,http://www.slavicfest.com/,http://eatfeats.com/query.php?_table=contests&id=6975
Chicago,,06/10/2011,Chicago Ribfest,IL,Rib Eating Contest,http://www.ribfest-chicago.com/,http://eatfeats.com/query.php?_table=contests&id=6480
Pittsburgh,,06/08/2011,YWCA,PA,Nathan's Famous Hot Dog Eating Contest qualifier,http://www.ywcapgh.org/,http://eatfeats.com/query.php?_table=contests&id=7011
Queens,,06/04/2011,Madoff Meadows (NY Mets ballpark),NY,Nathan's Famous Hot Dog Eating Contest qualifier,http://newyork.mets.mlb.com/nym/ballpark/index.jsp,http://eatfeats.com/query.php?_table=contests&id=7002
Cleveland,,06/02/2011,Tower City Mall,OH,Nathan's Famous Hot Dog Eating Contest qualifier,http://www.towercitycenter.com/,http://eatfeats.com/query.php?_table=contests&id=7010
Wildwood,submit video to be considered for a contest slot   </TD>,05/28/2011,Morey's Piers,NJ,Curley's Fry Eating Contest,http://www.moreyspiers.com/,http://eatfeats.com/query.php?_table=contests&id=6952
Centreville,,05/28/2011,Hooters,VA,Hog-Wild Food Eating Finals,http://defconproductions.com/,http://eatfeats.com/query.php?_table=contests&id=6929
Charlotte,,05/28/2011,Memorial Day Mayhem,NC,Hot Wing Eating Contest,http://www.kossmotorsports.com/kmsdriftevents.html,http://eatfeats.com/query.php?_table=contests&id=6802
Atlantic City,,05/28/2011,Trump Plaza,NJ,Nathan's Famous Hot Dog Eating Contest qualifier,http://trumpplaza.com,http://eatfeats.com/query.php?_table=contests&id=7005
Charlotte,,05/28/2011,Memorial Day Mayhem,NC,Pizza Eating Contest,http://www.kossmotorsports.com/kmsdriftevents.html,http://eatfeats.com/query.php?_table=contests&id=6801
San Diego,,05/22/2011,Sicilian Festival,CA,Pasta Eating Contest,http://www.sicilianfestival.org/,http://eatfeats.com/query.php?_table=contests&id=6995
Foxborough (Boston),,05/21/2011,Showcase Cinema Patriot Place,MA,Nathan's Famous Hot Dog Eating Contest qualifier,http://patriot-place.com,http://eatfeats.com/query.php?_table=contests&id=7007
South Amboy,,05/21/2011,Memorial Day Parade,NJ,Pizza Eating Contest,,http://eatfeats.com/query.php?_table=contests&id=6789
Baltimore,,05/21/2011,Preakness Stakes,MD,The Great Preakness Pony Pig-Out,http://www.preakness.com/,http://eatfeats.com/query.php?_table=contests&id=7021
Allentown,,05/21/2011,Dorney Park,PA,World CheeseSteak Eating Championship,http://www.dorneypark.com/,http://eatfeats.com/query.php?_table=contests&id=7020
Beijing,,05/18/2011,Le Mall,C,Nathan's Famous Hot Dog Eating Contest qualifier,http://www.le-mall.com.cn/,http://eatfeats.com/query.php?_table=contests&id=7009
Fort Lauderdale,,05/15/2011,Gilbert's 17th Street Grill,FL,Beat the Beast,http://www.gilberts17thstgrill.com/,http://eatfeats.com/query.php?_table=contests&id=6956
Houston,date originally May 14  </TD>,05/15/2011,Festival of Greece,TX,Niko Niko's World Gyro Eating Championship,http://festivalofgreece.com,http://eatfeats.com/query.php?_table=contests&id=7019
Fort Lauderdale,$20 entry fee  </TD>,05/15/2011,Gilbert's 17th Street Grill,FL,Slider Sunday - Beat the Beast,http://www.gilberts17thstgrill.com/,http://eatfeats.com/query.php?_table=contests&id=6981
Worcester,,05/14/2011,The Dogfather,WA,Hot Dog Eating Contest,http://www.facebook.com/worcesterhotdog,http://eatfeats.com/query.php?_table=contests&id=6851
Newnan,,05/14/2011,Bruster's,GA,Nathan's Famous Hot Dog Eating Contest qualifier,http://www.brusters.com/localstores/index.asp?storenum=16,http://eatfeats.com/query.php?_table=contests&id=7006
Diboll,,05/14/2011,Diboli Tamale Fest,TX,Tamale Eating Contest,http://www.cityofdiboll.com/,http://eatfeats.com/query.php?_table=contests&id=6799
Baldwinsville,,05/14/2011,Wild Carp Week,NY,Wild Carp Week World Salt Potato Eating Championship,http://carpweek.com/,http://eatfeats.com/query.php?_table=contests&id=7018
East Petersburg,qualify by eating Big Whoop in under 10 minutes   </TD>,05/10/2011,Burkharts' Bakery,PA,Can You Whoop the Big Whoop,http://www.facebook.com/burkhartsbakery,http://eatfeats.com/query.php?_table=contests&id=6879
Auburn,"contest runs April 1 to May 8, fastest time to eat 9 inch doughnut will receive $50, random finisher will receive $250   </TD>",05/08/2011,Legendary Doughnuts,WA,Doughnut Eating Challenge,http://www.legendarydoughnuts.com/,http://eatfeats.com/query.php?_table=contests&id=6859
Breaux Bridge,,05/07/2011,Breaux Bridge Crawfish Festival,LA,Crawfish eating contest,http://bbcrawfest.com,http://eatfeats.com/query.php?_table=contests&id=6999
Huntsville,"2 qualifiers held April 3 & 17, first prize will be at least $250   </TD>",05/07/2011,WhistleStop Weekend,AL,Dreamland Rib Eating Finals,http://www.thewhistlestopfestival.com/,http://eatfeats.com/query.php?_table=contests&id=6918
Iowa Park,,05/07/2011,ParkFest,TX,Hot Dog Eating Contest,http://www.facebook.com/pages/ParkFest/191988227500551,http://eatfeats.com/query.php?_table=contests&id=7032
Boonville,,05/07/2011,Isle of Capri Casino,MO,Isle Boonville World Boneless Buffalo Wing Eating Championship,http://boonville.isleofcapricasinos.com/,http://eatfeats.com/query.php?_table=contests&id=7017
Delhi,men's & women's divisions  </TD>,05/07/2011,The Shire Pub & Restaurant,NY,Jalapeno Eating Contest,http://www.theshiredelhi.com/,http://eatfeats.com/query.php?_table=contests&id=6957
Honolulu,$100 bonus if record of 8:32 broken  </TD>,05/07/2011,Storto's,HI,Sub Eating Contest,http://www.stortos.com/,http://eatfeats.com/query.php?_table=contests&id=6824
Abbeville,,05/07/2011,Abbeville Spring Festival,SC,Wing Eating Contest,http://www.abbevillespringfestival.com/,http://eatfeats.com/query.php?_table=contests&id=6907
Miami,$20 entry fee  </TD>,05/01/2011,Pincho Factory,FL,Battle of the Beast,http://www.pinchofactory.com/,http://eatfeats.com/query.php?_table=contests&id=6955
San Antonio,,05/01/2011,Historic Market Square,TX,La CosteÃ±a JalapeÃ±o Eating Challenge,,http://eatfeats.com/query.php?_table=contests&id=7016
Weirs Beach,,05/01/2011,Crazy Gringo,NH,Pepper Eating Contest,http://www.facebook.com/pages/Crazy-Gringo/66947377003,http://eatfeats.com/query.php?_table=contests&id=7027
Abingdon,,05/01/2011,Luna Pizza,VA,Pizza Eating Contest,http://www.facebook.com/pages/LUNA-PIZZA-Authentic-Pizzeria/247470840588,http://eatfeats.com/query.php?_table=contests&id=6973
Inlet,,05/01/2011,Screamen Eagle,NY,Pizza Eating Contest,http://screameneaglepizza.com/,http://eatfeats.com/query.php?_table=contests&id=6967
Sycamore,,05/01/2011,Taxco Restaurant,IL,Quezadillas Eating Contest,http://www.facebook.com/TaxcoCincodeMayo,http://eatfeats.com/query.php?_table=contests&id=6867
Providence,qualify by eating 6 wings before April 16   </TD>,04/30/2011,Rick's Roadhouse,RI,Bad to the Bone Challenge,http://ricksroadhouseri.com/,http://eatfeats.com/query.php?_table=contests&id=6991
Arnold,,04/30/2011,Oasis Church,MO,Pancake Eating Contest,http://www.oasispancake.com/,http://eatfeats.com/query.php?_table=contests&id=6996
Flora,,04/30/2011,Pizza Pit,IL,Pizza Eating Contest,http://florapizzapit.com/,http://eatfeats.com/query.php?_table=contests&id=6885
Winchester,,04/29/2011,Miller Lite Stag Luncheon,VA,Wing Eating Contest,http://www.thebloom.com/events/stag-luncheon.html,http://eatfeats.com/query.php?_table=contests&id=7040
Paris,$5 entry fee  </TD>,04/27/2011,World's Biggest Fish Fry,TN,Hushpuppy Eating Contest,http://www.worldsbiggestfishfry.com/,http://eatfeats.com/query.php?_table=contests&id=6807
Lake Park,$20 entry fee  </TD>,04/27/2011,Pirate's Well,FL,Wing Eating Contest,http://pirateswell.com/,http://eatfeats.com/query.php?_table=contests&id=7034
Evansville,,04/24/2011,Spudz N Stuff,IN,King of the Spud Eating Contest Finals,http://www.facebook.com/spudznstuff,http://eatfeats.com/query.php?_table=contests&id=6849
Biloxi,,04/23/2011,MS Coast Coliseum Crawfish Festival,MS,Crawfish Eating Contest,http://www.mscoastcoliseum.com/event_crawfishfest.html,http://eatfeats.com/query.php?_table=contests&id=6998
Waterloo,,04/23/2011,Isle Casino Waterloo,IA,Cupcake Eating Contest,http://www.theislewaterloo.com/,http://eatfeats.com/query.php?_table=contests&id=6153
Bradenton,,04/23/2011,Mixon Farms,FL,Easter Chocolate Eating Contest,http://www.facebook.com/mixonfarms,http://eatfeats.com/query.php?_table=contests&id=7039
Maple Creek,$10 entry fee  </TD>,04/23/2011,The Rockin Horse Bar,SK,Hot Wing Eating Contest,http://thehorse.ca/,http://eatfeats.com/query.php?_table=contests&id=6994
Boca Raton,,04/23/2011,Talia's Tuscan Table,FL,Italian Sandwich Eating Competition,http://www.taliastable.com/,http://eatfeats.com/query.php?_table=contests&id=6911
Las Vegas,,04/23/2011,NYNY Hotel and Casino,NV,Nathan's Famous Hot Dog Eating Contest qualifier,http://nynyhotelcasino.com,http://eatfeats.com/query.php?_table=contests&id=7008
Jeffersonville,,04/21/2011,Ann's by the River,IN,Fried Chicken Eating Contest,http://www.annsbytheriver.com/,http://eatfeats.com/query.php?_table=contests&id=6941
Chantilly,,04/21/2011,Hooters,VA,Hog-Wild Food Eating Qualifier,,http://eatfeats.com/query.php?_table=contests&id=6928
Tofino,,04/20/2011,Sugar Shack Hot Dog Stand,BC,Hot Dog Eating Contest,http://www.tofinohotdogs.com/,http://eatfeats.com/query.php?_table=contests&id=6987
Santa Cruz,$20 entry fee  </TD>,04/20/2011,Harbor Cafe,CA,Pancake Eating Contest - men,http://harborcafesantacruz.com/,http://eatfeats.com/query.php?_table=contests&id=6895
Santa Cruz,$20 entry fee  </TD>,04/20/2011,Harbor Cafe,CA,Pancake Eating Contest - women,http://harborcafesantacruz.com/,http://eatfeats.com/query.php?_table=contests&id=6974
Meridian,,04/18/2011,Jimmy G's,MS,Burger Eating Contest,http://www.facebook.com/pages/Jimmy-Gs/111981965500130,http://eatfeats.com/query.php?_table=contests&id=7033
Lancaster,,04/17/2011,Hot Diggity Dog,PA,Chili Dog Eating Competition,http://www.facebook.com/pages/Hot-Diggity-Dog/122805496210,http://eatfeats.com/query.php?_table=contests&id=6993
Memphis,,04/17/2011,Rajun Cajun Crawfish Festival,TN,Crawfish Eating Contest,http://www.facebook.com/event.php?eid=129631337103394,http://eatfeats.com/query.php?_table=contests&id=6866
Kemah,qualfiers held April 15 & 16  </TD>,04/17/2011,Kemah Crawfish Festival,TX,Crawfish Eating Finals,http://www.kemahcrawfishfestival.com/,http://eatfeats.com/query.php?_table=contests&id=6926
Huntsville,2 qualifiers held April 3 & 17  </TD>,04/17/2011,Dreamland,AL,Dreamland Rib Eating Qualifier,http://www.thewhistlestopfestival.com/,http://eatfeats.com/query.php?_table=contests&id=6917
Gilbert,"$30 entry fee, limited to Arizona residents   </TD>",04/17/2011,Flancer's,AZ,Flancer's 11th Annual Pizza Eating Contest,http://flancers.com,http://eatfeats.com/query.php?_table=contests&id=6630
Evansville,top 3 advance to finals  </TD>,04/17/2011,Spudz N Stuff,IN,King of the Spud Eating Contest Round 2,http://www.facebook.com/spudznstuff,http://eatfeats.com/query.php?_table=contests&id=6848
West Palm Beach,,04/17/2011,South Florida Fairgrounds,FL,National Sweet Corn Eating Championship,http://southfloridafair.com,http://eatfeats.com/query.php?_table=contests&id=7015
San Antonio,,04/17/2011,Wonderland of the Americas Mall,TX,Tamale Eating Contest - Men,http://wonderlandamericas.com/index.html,http://eatfeats.com/query.php?_table=contests&id=7029
San Antonio,,04/17/2011,Wonderland of the Americas Mall,TX,Tamale Eating Contest - women,http://wonderlandamericas.com/index.html,http://eatfeats.com/query.php?_table=contests&id=7030
Memphis,$25 entry fee  </TD>,04/16/2011,Southern Hot Wing Festival,TN,Central BBQ Hot Wing Eating Contest,,http://eatfeats.com/query.php?_table=contests&id=6930
Staten Island,,04/16/2011,NYC Chili Cookoff,NY,Chicken Wing Eating Contest,http://www.historicrichmondtown.org/component/eventlist/details/545,http://eatfeats.com/query.php?_table=contests&id=6881
St. Louis,,04/16/2011,Six Flags,MO,Cupcake Eating Contest,http://www.sixflags.com/stlouis,http://eatfeats.com/query.php?_table=contests&id=6992
Speedway,,04/16/2011,Union Jack Pub,IN,Hot Dog Eating Contest,http://www.facebook.com/pages/Union-Jack-Pub/97261847163,http://eatfeats.com/query.php?_table=contests&id=6868
Sanibel Island,,04/16/2011,The Timbers,FL,Oyster Eating Contest,http://www.prawnbroker.com/floridawest/Timbers/index.php,http://eatfeats.com/query.php?_table=contests&id=6891
Metairie,,04/16/2011,Deanie's Seafood,LA,Pinch-A-Palooza Crawfish Eating Contest,http://www.deanies.com/,http://eatfeats.com/query.php?_table=contests&id=6898
Alma,,04/16/2011,Alma Spinach Festival,AR,Spinach Eating Contest,http://almaspinachfestival.com,http://eatfeats.com/query.php?_table=contests&id=6798
Manhattan,"initial round 30 seconds, top 3 will compete in minute long final round   </TD>",04/16/2011,Roger Smith Hotel,NY,The LACE Bacon Trail,http://www.rogersmith.com/,http://eatfeats.com/query.php?_table=contests&id=6947
Enid,,04/15/2011,Smokin' RedDirt BBQ,OK,Rib Crib Eating Contest,http://reddirtbbq.com/,http://eatfeats.com/query.php?_table=contests&id=6809
Minneapolis,for three person teams  </TD>,04/14/2011,Qdoba Dinkytown,MN,Burrito Eating Contest First Round,http://www.facebook.com/qdobadinkytown,http://eatfeats.com/query.php?_table=contests&id=7036
Bowling Green,"must also drink 3 pints of milk, $10 entry fee   </TD>",04/14/2011,The Cookie Jar and More,OH,Cookie Eating Contest,http://www.facebook.com/pages/The-Cookie-Jar-and-More/25418746340,http://eatfeats.com/query.php?_table=contests&id=7028
Phoenix,,04/14/2011,La Tolteca,AZ,Torta Eating Contest,http://www.latoltecamex.com/,http://eatfeats.com/query.php?_table=contests&id=6908
San Francisco,,04/13/2011,Hukilau,CA,Spam Musubi Eating Contest,http://www.dahukilau.com/sanfrancisco/,http://eatfeats.com/query.php?_table=contests&id=6997
Dallas,"before Mavs / Hornets game, originally scheduled Feb 1, cancelled due to winter storm   </TD>",04/13/2011,American Airlines Center,TX,Wingstop World Wing-Eating Championship,http://www.americanairlinescenter.com/about-aacenter/newsroom_details.php,http://eatfeats.com/query.php?_table=contests&id=6151
Amherst,for teams of 3  </TD>,04/11/2011,Newman Cafe,MA,Newmcan Cafe's Cheesburg Slider Eating Contest,http://newmancafe.com/,http://eatfeats.com/query.php?_table=contests&id=6951
Lawrence,,04/10/2011,Alabama Chicken & Egg Festival,AL,Chicken Wing Eating Contest,http://www.alabamachickenandeggfestival.com/,http://eatfeats.com/query.php?_table=contests&id=7048
Lawrence,,04/10/2011,Alabama Chicken & Egg Festival,AL,Hard Boiled Egg Eating Contest,http://www.alabamachickenandeggfestival.com/,http://eatfeats.com/query.php?_table=contests&id=7046
Littleton,,04/10/2011,Littleton Elks Lodge,CO,Jalapeno Eating Contest,http://www.chilicookoff.com/Event/Event_Display.asp?EventID=2843,http://eatfeats.com/query.php?_table=contests&id=6954
Stoughton,$50 entry fee  </TD>,04/10/2011,Maxie's Delicatessen,MA,Matzo Ball Mania,http://www.maxiesdeli.com/,http://eatfeats.com/query.php?_table=contests&id=6821
Celebration,,04/10/2011,Great American Pie Festival,FL,Pie Eating Contest,http://www.piecouncil.org/Events/GreatAmericanPieFestival/,http://eatfeats.com/query.php?_table=contests&id=6915
Carlsbad,,04/10/2011,The Flower Fields,CA,Strawberry Shortcake Eating Contest,http://www.theflowerfields.com/,http://eatfeats.com/query.php?_table=contests&id=6835
Grand Prairie,Contact:   972-647-2331. </TD>,04/09/2011,Traders Village,TX,34th World Championship of Pickled Quail Egg Eating,http://tradersvillage.com,http://eatfeats.com/query.php?_table=contests&id=6962
Lawrence,,04/09/2011,Alabama Chicken & Egg Festival,AL,Chicken Wing Eating Contest,http://www.alabamachickenandeggfestival.com/,http://eatfeats.com/query.php?_table=contests&id=7047
Lewisburg,,04/09/2011,Chocolate Festival,WV,Chocolate Mousse Eating Contest,http://lewisburgchocolatefestival.com/,http://eatfeats.com/query.php?_table=contests&id=6904
College Station,,04/09/2011,Blue Baker,TX,Cookie Eating Contest,http://www.bluebaker.com/,http://eatfeats.com/query.php?_table=contests&id=6902
Warwick,,04/09/2011,National Grits Festival,GA,Grits Eating Contest,http://www.gritsfest.com/,http://eatfeats.com/query.php?_table=contests&id=7043
St. George,,04/09/2011,World Grits Festival,SC,Grits Eating Contest,http://www.worldgritsfestival.com/,http://eatfeats.com/query.php?_table=contests&id=6927
Lawrence,,04/09/2011,Alabama Chicken & Egg Festival,AL,Hard Boiled Egg Eating Contest,http://www.alabamachickenandeggfestival.com/,http://eatfeats.com/query.php?_table=contests&id=7045
Miami,,04/09/2011,RA Sushi,FL,Maki Madness,http://www.facebook.com/RAsushiSouthMiami,http://eatfeats.com/query.php?_table=contests&id=6499
Volga,,04/09/2011,Lucky Dog Bar and Casino,SD,Man (or woman) vs. Big Dog,http://www.facebook.com/pages/Lucky-Dog-Bar-and-Casino/316397383539,http://eatfeats.com/query.php?_table=contests&id=6961
Colorado Springs,,04/09/2011,Dat's Italian,CO,Meatball Eating Contest,http://www.datsitalian.com/,http://eatfeats.com/query.php?_table=contests&id=6969
Brandon,$20 entry fee  </TD>,04/09/2011,Cornerstone Baptist Church,FL,Pancake Eating Contest,,http://eatfeats.com/query.php?_table=contests&id=7035
Wiggins,$40 entry fee  </TD>,04/09/2011,Over The Top,MS,Pickle Vat Challenge Contest,http://www.facebook.com/pages/Over-The-Top/367304288091,http://eatfeats.com/query.php?_table=contests&id=6878
Celebration,,04/09/2011,Great American Pie Festival,FL,Pie Eating Contest,http://www.piecouncil.org/Events/GreatAmericanPieFestival/,http://eatfeats.com/query.php?_table=contests&id=6914
New Orleans,to be held at Louisiana State's Museums's Old US Mint   </TD>,04/09/2011,French Quarter Festival,LA,Rouses World Crawfish Eating Championship,http://www.fqfi.org/frenchquarterfest/,http://eatfeats.com/query.php?_table=contests&id=7014
Ponchatoula,,04/09/2011,Ponchatoula Strawberry Festival,LA,Strawberry Eating Contest,http://lastrawberryfestival.com,http://eatfeats.com/query.php?_table=contests&id=6934
Portland,,04/09/2011,The Hobnob Grille,OR,The Great Burger Bender,http://www.hobnobgrille.com/,http://eatfeats.com/query.php?_table=contests&id=6816
Chardon,$25 entry fee <BR>Contact:   440-285-8222  </TD>,04/09/2011,Cleats,OH,Wing Eating Contest,http://cleatswings.com/,http://eatfeats.com/query.php?_table=contests&id=6860
Tampa,Contact:  sohopitapit@gmail.com  </TD>,04/07/2011,The Pita Pit,FL,Pita Eating Contest,http://sohopitapit.com,http://eatfeats.com/query.php?_table=contests&id=6795
Nashville,,04/07/2011,Hillsboro Village,TN,Pump Boys and dinettes pie eating contest,http://www.facebook.com/hillsborovillageevents,http://eatfeats.com/query.php?_table=contests&id=7025
Marshalls Creek,$20 entry fee  </TD>,04/07/2011,Pub 570,PA,Wing Eating Contest,,http://eatfeats.com/query.php?_table=contests&id=7044
West Reading,$10 entry fee  </TD>,09/24/2011,Haute Chocolate Cafe,PA,Cupcake Eating Contest,http://www.facebook.com/pages/haute-chocolate-cafe/279333442378,http://eatfeats.com/query.php?_table=contests&id=7057
Rutherford,,06/18/2011,Cupcakefest,NJ,Cupcake Eating Contest,http://www.facebook.com/event.php?eid=212147215469328,http://eatfeats.com/query.php?_table=contests&id=7053
Newport,,06/04/2011,Knorr Great Chowder Cook-Off,RI,Clam Cake Chow Down,http://www.newportwaterfrontevents.com/chowder-cook-off/overview-chowder-cook-off.htm,http://eatfeats.com/query.php?_table=contests&id=7098
Woodstock,,06/04/2011,The River Wing & Rock Fest,GA,Wing & Rock Fest,http://www.wingandrockfest.com/woodstock-ga-wingfest,http://eatfeats.com/query.php?_table=contests&id=7058
Las Vegas,,05/28/2011,Ellis Island Casino,NV,Hot Dog Eating Contest Finals,http://ellisislandcasino.com/,http://eatfeats.com/query.php?_table=contests&id=7127
Las Vegas,,05/25/2011,Ellis Island Casino,NV,Hot Dog Eating Contest Qualifier,http://ellisislandcasino.com/,http://eatfeats.com/query.php?_table=contests&id=7126
Pittsburgh,$20 entry fee  </TD>,05/23/2011,Double Wide Grill,PA,Tofu Eating Contest - men,http://www.facebook.com/doublewidegrill,http://eatfeats.com/query.php?_table=contests&id=7128
Pittsburgh,$20 entry fee  </TD>,05/23/2011,Double Wide Grill,PA,Tofu Eating Contest - women,http://www.facebook.com/doublewidegrill,http://eatfeats.com/query.php?_table=contests&id=7129
Albany,$25 entry fee  </TD>,05/21/2011,Orchard Tavern,NY,Pizza Challenge,http://orchardtavern.com/,http://eatfeats.com/query.php?_table=contests&id=7095
Wichita,$30 entry fee  </TD>,05/21/2011,I Love Mr. Kapow's,KS,Wing Eating Contest,http://www.facebook.com/pages/I-Love-Mr-Kapows-/126965397326177,http://eatfeats.com/query.php?_table=contests&id=7120
Las Vegas,,05/18/2011,Ellis Island Casino,NV,Hot Dog Eating Contest Qualifier,http://ellisislandcasino.com/,http://eatfeats.com/query.php?_table=contests&id=7125
The Woodlands,,05/15/2011,CrabbyDaddy Seafood & Steakhouse,TX,Crawfish Eating Competition,http://www.facebook.com/crabbydaddys,http://eatfeats.com/query.php?_table=contests&id=7112
Pittsburgh,,05/15/2011,Del's Bar & Ristorante del Pizzo,PA,Pasta Eating Contest,http://www.delsrest.com/,http://eatfeats.com/query.php?_table=contests&id=7119
Mt. Airy,,05/15/2011,May Fest,MD,Spaghetti Eating COntest,http://www.mtairylions.com/festivals.htm,http://eatfeats.com/query.php?_table=contests&id=7130
San Diego,"$15 entry fee, will have men's & women's divisions   </TD>",05/15/2011,Ichiban Hillcrest,CA,Sushi Eating Contest,http://www.ichibansushisandiego.com/,http://eatfeats.com/query.php?_table=contests&id=7102
Las Vegas,,05/13/2011,The Mirage Race & Sports Book,NV,Carnegie Deli Pickle Eating Contest,http://www.facebook.com/TheMirage,http://eatfeats.com/query.php?_table=contests&id=7122
Las Vegas,,05/11/2011,Ellis Island Casino,NV,Hot Dog Eating Contest Qualifier,http://ellisislandcasino.com/,http://eatfeats.com/query.php?_table=contests&id=7124
Bartonsville,,05/11/2011,the Lounge,PA,Wing Eating Contest Finals,http://www.theloungepoconos.com/,http://eatfeats.com/query.php?_table=contests&id=7072
Caddo Mills,,05/07/2011,Fox Fest,TX,Hot Dog Eating Contest,http://caddomillschamber.com/,http://eatfeats.com/query.php?_table=contests&id=7132
Bartonsville,,05/06/2011,the Lounge,PA,Wing Eating Contest Semifinals,http://www.theloungepoconos.com/,http://eatfeats.com/query.php?_table=contests&id=7071
Hackettstown,might have men's & women's divisions  </TD>,05/05/2011,El Mejicano's,NJ,5 De Mayo Burrito Challenge,http://mejicanorestaurant.com/,http://eatfeats.com/query.php?_table=contests&id=7050
Green Lake,,05/05/2011,Tacos Guayamas,WA,Jalapeno Eating Contest,http://www.tacosguaymas.com/cantinagreenlake/index.html,http://eatfeats.com/query.php?_table=contests&id=7092
Joplin,,05/05/2011,Cabo del Sol,MO,Taco Eating Contest,http://www.facebook.com/cabodelsol,http://eatfeats.com/query.php?_table=contests&id=7081
Vancouver,,05/05/2011,Cinco de Mayo Party,BC,Taco Eating Contest,http://www.facebook.com/pages/Chronic-Tacos-Canada/134180949925441,http://eatfeats.com/query.php?_table=contests&id=7118
